,Alameda,Allegheny,Allen,Arapoe,Baltimore City,Bernalillo,Bexar,Clark,Collin,Cook,Cuyahoga,Dallas,Dane,Davidson,Denver,District of Columbia,Douglas,Durham,Duvall,El Paso CO,El Paso TX,Erie,Essex,Fayette,Franklin,Fresno,Fulton,Guilford,Hamilton,Harris,Hennepin,Hillsborough,Hudson,Jackson,Jefferson,Kern,King,Lancaster,Los Angeles,Lubbock,Lucas,Maricopa,Marion,Mecklenburg,Miami-Dade,Milwaukee,Multnomah,New York,Nueces,Oklahoma,Orange_CA,Orange_FL,Orleans Parish,Philadelphia,Pima,Pinellas,Ramsey,Riverside,Sacramento,San Diego,San Francisco,San Joaquin,Santa Clara,Sedgwick,Shelby,St. Louis City,Suffolk,Tarrant,Travis,Tulsa,Virginia Beach City,Wake,Wayne,Webb
0,545,526,138,225,241,263,604,710,289,1933,534,858,206,256,266,263,204,111,330,237,255,380,277,123,468,289,368,196,327,1434,481,471,243,271,305,255,802,115,3230,105,178,1411,360,366,828,379,305,736,123,285,995,828,148,580,384,401,205,683,517,1076,345,215,609,192,343,403,288,659,411,241,164,348,670,71
1,531,542,157,255,237,285,563,676,302,1844,541,863,204,299,252,254,217,127,334,242,241,384,281,177,439,275,357,202,357,1428,505,500,255,270,322,243,788,132,3174,112,197,1360,387,371,850,385,330,733,112,290,986,849,195,579,378,424,203,686,497,1101,348,217,593,174,357,409,276,648,402,249,151,349,668,60
2,548,580,150,349,255,319,519,602,319,1734,571,838,227,315,265,250,228,152,366,260,229,375,285,208,461,250,342,265,397,1423,529,517,238,267,352,255,754,165,3029,103,233,1286,378,410,852,426,325,769,107,294,1023,856,297,587,343,476,224,675,496,1076,350,199,616,184,364,448,275,617,354,256,164,335,677,50
3,593,588,179,449,276,333,464,535,297,1602,610,775,377,317,286,242,262,202,378,278,220,374,280,264,450,248,400,350,443,1395,529,568,231,267,388,227,733,197,2800,122,286,1153,512,410,920,483,332,822,101,362,1014,912,400,648,312,502,231,622,511,990,337,173,595,188,361,439,259,563,335,247,159,349,643,43
4,630,563,184,500,303,360,420,427,298,1510,609,724,615,329,339,246,275,236,468,297,200,343,354,245,476,245,434,493,509,1325,577,555,275,273,459,187,691,225,2477,159,455,937,700,426,1016,448,447,845,83,410,1017,975,547,658,300,517,246,531,408,967,368,163,571,172,356,422,240,511,277,233,170,327,611,37
5,664,593,164,606,320,401,357,364,310,1440,544,568,800,392,396,288,264,270,569,355,172,321,348,244,550,248,572,572,604,1151,544,571,269,288,546,155,642,272,2116,188,599,844,876,444,1009,443,550,787,84,413,1057,1002,708,682,265,544,319,494,443,906,310,196,651,195,343,415,233,478,211,243,173,297,529,29
6,655,644,166,652,361,404,350,336,324,1472,545,495,743,392,483,335,283,267,567,411,148,286,420,400,537,238,717,680,613,1156,647,606,359,286,634,150,603,272,1837,202,644,677,1033,455,916,512,583,897,111,381,1130,1022,858,659,203,552,310,383,398,923,344,221,610,222,358,374,241,432,166,211,144,267,502,23
7,642,652,181,683,349,469,307,300,264,1520,539,457,783,458,544,368,362,336,613,449,129,334,382,406,523,218,831,742,590,1153,703,615,325,446,709,131,546,309,1661,219,686,541,1118,476,769,596,607,984,93,339,1086,1112,787,726,196,585,345,327,331,933,367,248,580,294,372,404,248,377,149,223,166,256,432,19
8,670,619,265,812,355,494,282,279,222,1458,515,411,684,479,463,423,445,370,650,476,122,375,494,380,432,249,828,732,685,1167,677,606,275,569,863,140,760,276,1454,194,726,462,1312,541,755,655,686,1058,97,323,1090,1202,753,645,204,628,325,338,319,908,369,211,574,293,379,405,240,361,134,245,153,209,430,17
9,650,681,237,831,286,480,228,276,198,1374,502,347,702,420,498,420,481,390,643,531,99,464,497,346,603,189,826,674,770,1134,781,655,300,653,930,152,961,279,1419,200,780,412,1421,509,743,756,807,997,86,406,1009,1226,726,771,206,631,329,352,318,941,356,202,533,248,365,335,231,316,120,268,156,227,455,16
10,685,740,254,973,329,540,245,278,152,1352,612,334,629,511,525,457,531,485,679,475,122,453,489,516,609,257,705,672,759,1154,785,654,301,643,994,140,896,320,1361,225,752,374,1236,779,757,757,832,1061,83,489,937,1135,642,830,268,548,327,339,313,976,372,159,492,212,366,330,219,347,141,253,172,221,432,9
11,688,795,258,1090,397,571,277,270,161,1227,573,339,630,598,525,486,550,593,644,537,152,585,433,601,601,253,626,703,746,1116,742,666,315,757,861,106,918,307,1296,263,946,382,1409,763,935,674,781,1253,89,377,993,1226,628,693,228,537,396,346,287,834,355,157,479,200,344,320,180,325,140,221,180,214,466,8
12,679,755,271,1067,484,585,331,251,192,1345,555,347,666,525,562,479,610,574,768,513,139,509,574,586,685,249,554,747,724,1158,699,747,316,838,798,116,929,290,1441,253,815,392,1308,784,1093,619,792,1070,77,286,1117,1218,705,884,208,593,359,331,239,850,324,195,457,217,346,315,181,299,128,212,166,219,501,7
13,576,864,265,944,649,723,348,235,159,1244,520,392,649,583,553,540,570,476,764,485,153,724,488,657,665,222,505,706,815,1070,748,690,461,769,715,134,986,304,1497,312,757,363,1307,837,1203,531,870,926,73,408,1207,1265,650,954,216,651,342,335,205,822,399,178,434,183,337,330,201,308,178,210,127,221,533,3
14,582,899,384,807,842,802,358,226,178,1183,548,310,737,646,648,570,500,436,759,480,150,803,416,693,745,213,535,680,728,1088,758,610,539,776,831,107,883,324,1457,341,860,381,1210,878,1157,581,869,1005,80,558,1139,1233,744,922,196,591,398,322,183,700,319,155,488,198,327,324,244,379,145,212,124,226,506,2
15,583,855,361,798,922,852,368,257,189,1277,639,335,747,551,627,601,435,434,815,504,167,982,331,763,695,213,639,751,675,1013,868,619,635,796,845,128,930,333,1395,273,869,454,1140,847,1067,490,1007,977,46,625,1215,1262,729,704,279,555,352,330,199,738,338,137,533,203,357,328,203,379,163,193,108,228,480,7
16,565,913,346,821,922,913,418,245,185,1171,680,315,791,585,545,557,490,461,828,631,117,696,748,756,647,282,695,711,570,1166,847,561,666,845,1012,84,1001,349,1407,267,817,457,1180,798,1130,633,833,989,32,632,1299,1213,711,644,269,497,521,308,183,846,381,140,497,140,282,361,202,317,134,177,104,205,450,1
17,632,780,325,795,834,892,413,224,197,1271,710,413,752,610,520,592,635,554,778,683,106,647,602,752,860,221,749,708,634,1062,910,555,622,758,1089,81,1004,390,1407,260,848,458,1165,814,1276,785,698,902,73,512,1449,1114,702,681,249,569,446,313,210,827,399,116,525,162,308,378,223,260,148,161,173,184,453,4
18,711,780,347,794,802,965,434,211,186,1267,585,402,687,596,604,643,615,515,767,635,114,567,669,785,896,252,662,769,543,1134,878,565,620,821,1043,66,1017,443,1349,254,871,428,1154,879,1244,878,709,1099,47,433,1422,1106,788,669,257,597,474,368,236,773,322,132,571,197,302,375,174,307,163,208,207,213,427,6
19,817,906,328,758,810,758,373,211,193,1148,616,398,748,556,615,629,600,578,799,566,160,510,684,755,979,242,582,938,682,1063,827,502,642,917,1061,85,1043,403,1492,277,908,441,1185,1000,1280,889,908,982,87,399,1335,1036,644,785,249,676,464,333,219,707,435,122,554,199,351,347,220,284,151,204,180,182,429,4
20,813,975,305,771,824,682,452,192,236,1355,631,386,722,646,530,649,586,606,882,643,152,488,695,713,953,239,666,805,730,939,776,548,752,945,1058,98,1050,403,1503,261,871,439,1097,1000,1289,886,1056,1010,76,389,1246,1054,712,705,261,698,385,322,265,797,466,117,536,225,300,335,212,286,140,206,171,199,341,5
21,738,843,368,766,906,569,403,178,225,1193,655,376,791,675,617,627,612,510,988,597,125,484,703,647,841,294,820,804,822,1059,664,574,734,894,1032,92,1152,433,1470,308,880,431,974,1031,1250,880,991,1487,51,356,1254,943,749,802,294,731,412,321,286,759,498,83,540,247,330,332,203,253,158,242,179,200,381,12
