,Births,County Influx,County Population,Deaths,Total Population
0,[],"[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]","[5450, 5260, 1382, 2255, 2414, 2631, 6046, 7100, 2897, 19333, 5344, 8583, 2069, 2567, 2660, 2636, 2042, 1112, 3308, 2370, 2555, 3801, 2773, 1231, 4682, 2898, 3681, 1964, 3279, 14346, 4812, 4713, 2438, 2715, 3058, 2552, 8026, 1152, 32303, 1052, 1781, 14117, 3600, 3666, 8280, 3796, 3059, 7361, 1239, 2853, 9955, 8280, 1483, 5800, 3840, 4017, 2053, 6831, 5172, 10764, 3453, 2155, 6093, 1926, 3435, 4032, 2882, 6597, 4118, 2419, 1649, 3486, 6709, 673]",[],349064
1,"[181, 175, 46, 75, 80, 87, 201, 236, 96, 644, 178, 286, 68, 85, 88, 87, 68, 37, 110, 79, 85, 126, 92, 41, 156, 96, 122, 65, 109, 478, 160, 157, 81, 90, 101, 85, 267, 38, 1076, 35, 59, 470, 120, 122, 276, 126, 101, 245, 41, 95, 331, 276, 49, 193, 128, 133, 68, 227, 172, 358, 115, 71, 203, 64, 114, 134, 96, 219, 137, 80, 54, 116, 223, 22]","[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]","[5618, 5273, 1510, 2653, 2351, 2777, 5765, 6815, 2928, 18694, 5533, 8353, 2092, 2987, 2746, 2594, 2102, 1184, 3339, 2404, 2522, 3805, 2778, 1892, 4757, 2875, 3747, 2018, 3471, 14290, 4795, 4836, 2434, 2730, 3175, 2479, 7874, 1294, 31925, 1004, 1974, 13472, 3908, 3878, 8456, 3869, 3088, 7368, 1214, 2866, 10238, 8374, 1961, 5757, 3725, 4341, 2144, 6703, 5109, 10904, 3374, 2170, 6038, 1947, 3501, 4118, 2815, 6487, 4032, 2411, 1637, 3496, 6667, 663]","[151, 195, 39, 44, 61, 96, 154, 170, 75, 544, 174, 175, 42, 73, 59, 70, 53, 27, 88, 61, 66, 129, 76, 35, 85, 75, 85, 69, 129, 307, 129, 126, 64, 87, 98, 66, 179, 27, 826, 34, 69, 387, 101, 76, 289, 102, 88, 203, 31, 80, 290, 275, 46, 183, 133, 170, 54, 195, 152, 302, 103, 64, 140, 56, 86, 139, 71, 131, 71, 62, 43, 74, 223, 13]",351124
2,"[187, 175, 50, 88, 78, 92, 192, 227, 97, 623, 184, 278, 69, 99, 91, 86, 70, 39, 111, 80, 84, 126, 92, 63, 158, 95, 124, 67, 115, 476, 159, 161, 81, 91, 105, 82, 262, 43, 1064, 33, 65, 449, 130, 129, 281, 128, 102, 245, 40, 95, 341, 279, 65, 191, 124, 144, 71, 223, 170, 363, 112, 72, 201, 64, 116, 137, 93, 216, 134, 80, 54, 116, 222, 22]","[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]","[5670, 5375, 1681, 3482, 2469, 2964, 5383, 6200, 2903, 17778, 5642, 7999, 2159, 3171, 2789, 2500, 2264, 1432, 3655, 2474, 2372, 3807, 2893, 2389, 5033, 2697, 3686, 2693, 3755, 14394, 4865, 4926, 2607, 2817, 3498, 2358, 7623, 1609, 30694, 966, 2322, 12302, 4291, 4340, 8534, 4243, 3239, 7410, 1140, 2961, 10522, 8810, 2916, 5770, 3577, 4815, 2408, 6318, 5118, 10634, 3388, 2097, 6247, 2056, 3606, 4135, 2700, 6163, 3772, 2469, 1671, 3556, 6691, 617]","[138, 149, 29, 87, 49, 59, 123, 154, 42, 479, 149, 178, 44, 55, 50, 70, 49, 29, 94, 49, 45, 108, 53, 53, 103, 58, 90, 70, 94, 287, 106, 117, 37, 69, 85, 53, 167, 32, 724, 19, 59, 330, 98, 86, 207, 98, 78, 191, 27, 56, 259, 214, 60, 135, 105, 163, 47, 161, 115, 248, 64, 52, 124, 53, 79, 104, 77, 106, 58, 70, 32, 76, 193, 14]",354510
3,"[189, 179, 56, 116, 82, 98, 179, 206, 96, 592, 188, 266, 71, 105, 92, 83, 75, 47, 121, 82, 79, 126, 96, 79, 167, 89, 122, 89, 125, 479, 162, 164, 86, 93, 116, 78, 254, 53, 1023, 32, 77, 410, 143, 144, 284, 141, 107, 247, 38, 98, 350, 293, 97, 192, 119, 160, 80, 210, 170, 354, 112, 69, 208, 68, 120, 137, 90, 205, 125, 82, 55, 118, 223, 20]","[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]","[5560, 5484, 1890, 4279, 2657, 3157, 4651, 5418, 2852, 16636, 5774, 7280, 3986, 3347, 2955, 2425, 2627, 1858, 4084, 2726, 2138, 3911, 2966, 3157, 4887, 2500, 4438, 3543, 4210, 14015, 4926, 5172, 2671, 2998, 3819, 2235, 7133, 1931, 27878, 1048, 2929, 10992, 5404, 4428, 9401, 5005, 3556, 7746, 1020, 3288, 10561, 9164, 4047, 6294, 3366, 5296, 2574, 5783, 4783, 9954, 3236, 2054, 6298, 2158, 3670, 4112, 2630, 5581, 3558, 2394, 1771, 3555, 6701, 505]","[99, 153, 43, 74, 48, 59, 108, 105, 49, 336, 143, 124, 83, 65, 54, 61, 45, 28, 68, 45, 51, 90, 49, 49, 77, 52, 91, 72, 79, 211, 100, 93, 49, 65, 85, 46, 123, 26, 553, 27, 58, 269, 106, 82, 201, 89, 66, 158, 26, 56, 237, 224, 84, 116, 72, 146, 53, 146, 77, 219, 64, 35, 140, 53, 76, 84, 51, 121, 55, 49, 37, 59, 145, 23]",359036
4,"[185, 182, 63, 142, 88, 105, 155, 180, 95, 554, 192, 242, 132, 111, 98, 80, 87, 61, 136, 90, 71, 130, 98, 105, 162, 83, 147, 118, 140, 467, 164, 172, 89, 99, 127, 74, 237, 64, 929, 34, 97, 366, 180, 147, 313, 166, 118, 258, 34, 109, 352, 305, 134, 209, 112, 176, 85, 192, 159, 331, 107, 68, 209, 71, 122, 137, 87, 186, 118, 79, 59, 118, 223, 16]","[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]","[5524, 5608, 2055, 5088, 2904, 3396, 4061, 4530, 2761, 15697, 5926, 6557, 6075, 3385, 3350, 2768, 2766, 2265, 4645, 3062, 1889, 3999, 3347, 3090, 5413, 2300, 5071, 4483, 4748, 13225, 5286, 5112, 3255, 3247, 4355, 2043, 6666, 2216, 24609, 1201, 4296, 9492, 6846, 4545, 10073, 4826, 4435, 7977, 912, 3634, 10652, 9588, 5373, 6709, 3111, 5768, 2934, 5192, 4415, 9496, 3306, 1969, 6015, 2247, 3712, 3936, 2653, 5211, 3137, 2238, 1794, 3404, 6306, 444]","[99, 125, 39, 81, 48, 66, 66, 88, 38, 313, 126, 89, 79, 56, 54, 45, 55, 35, 74, 37, 44, 71, 59, 58, 107, 47, 88, 62, 80, 199, 86, 71, 35, 50, 76, 34, 104, 39, 469, 19, 61, 171, 117, 58, 165, 70, 63, 132, 16, 70, 196, 160, 84, 130, 66, 135, 49, 112, 83, 188, 50, 54, 97, 36, 73, 69, 48, 84, 38, 52, 27, 47, 124, 7]",364624
5,"[184, 186, 68, 169, 96, 113, 135, 151, 92, 523, 197, 218, 202, 112, 111, 92, 92, 75, 154, 102, 62, 133, 111, 103, 180, 76, 169, 149, 158, 440, 176, 170, 108, 108, 145, 68, 222, 73, 820, 40, 143, 316, 228, 151, 335, 160, 147, 265, 30, 121, 355, 319, 179, 223, 103, 192, 97, 173, 147, 316, 110, 65, 200, 74, 123, 131, 88, 173, 104, 74, 59, 113, 210, 14]","[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]","[5804, 5619, 2341, 6061, 3010, 3688, 3540, 3843, 3098, 14691, 5534, 5584, 7967, 3761, 3761, 3163, 2931, 2776, 5033, 3343, 1699, 4012, 3770, 2922, 5837, 2185, 6062, 5075, 5572, 12564, 5786, 4997, 3759, 3416, 5074, 1791, 6244, 2497, 21271, 1469, 5961, 8168, 8485, 4397, 10747, 4515, 5271, 7351, 875, 4043, 10746, 9986, 6730, 7130, 2808, 5958, 3568, 4478, 4496, 8715, 3274, 1938, 6276, 2379, 3617, 3682, 2685, 4750, 2795, 2108, 1902, 2993, 5950, 390]","[99, 106, 31, 67, 48, 63, 68, 63, 50, 265, 98, 106, 98, 53, 61, 56, 51, 56, 77, 50, 26, 68, 62, 33, 98, 30, 90, 79, 85, 167, 117, 78, 53, 50, 80, 42, 80, 44, 360, 26, 87, 156, 95, 81, 161, 75, 81, 112, 12, 62, 170, 161, 100, 119, 66, 120, 73, 82, 98, 157, 42, 43, 103, 34, 56, 70, 40, 83, 44, 26, 30, 51, 102, 2]",370717
6,"[193, 187, 78, 202, 100, 122, 118, 128, 103, 489, 184, 186, 265, 125, 125, 105, 97, 92, 167, 111, 56, 133, 125, 97, 194, 72, 202, 169, 185, 418, 192, 166, 125, 113, 169, 59, 208, 83, 709, 48, 198, 272, 282, 146, 358, 150, 175, 245, 29, 134, 358, 332, 224, 237, 93, 198, 118, 149, 149, 290, 109, 64, 209, 79, 120, 122, 89, 158, 93, 70, 63, 99, 198, 13]","[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]","[5964, 5858, 2493, 6669, 3222, 4161, 3099, 3332, 2928, 15011, 5666, 4682, 7876, 4314, 4137, 3638, 3034, 2927, 5464, 4090, 1562, 3955, 4166, 4240, 5468, 2092, 7084, 5672, 6059, 11849, 6188, 5078, 5111, 3576, 5558, 1620, 6100, 2815, 19356, 1491, 6527, 7070, 10090, 4508, 9755, 5334, 5815, 7994, 738, 3900, 10685, 9851, 8032, 7042, 2632, 6293, 3588, 3741, 4020, 9137, 3246, 1909, 6042, 2527, 3556, 3576, 2587, 4236, 2487, 2207, 1870, 2777, 5507, 309]","[93, 116, 42, 95, 41, 84, 58, 54, 36, 242, 100, 64, 124, 67, 61, 57, 53, 41, 86, 64, 30, 55, 61, 52, 78, 28, 94, 85, 87, 176, 88, 67, 70, 49, 102, 23, 88, 42, 340, 35, 83, 126, 127, 73, 158, 83, 69, 131, 12, 58, 174, 155, 119, 113, 51, 99, 43, 71, 64, 145, 44, 34, 96, 38, 65, 46, 32, 68, 36, 43, 31, 30, 97, 5]",377193
7,"[198, 195, 83, 222, 107, 138, 103, 111, 97, 500, 188, 156, 262, 143, 137, 121, 101, 97, 182, 136, 52, 131, 138, 141, 182, 69, 236, 189, 201, 394, 206, 169, 170, 119, 185, 54, 203, 93, 645, 49, 217, 235, 336, 150, 325, 177, 193, 266, 24, 130, 356, 328, 267, 234, 87, 209, 119, 124, 134, 304, 108, 63, 201, 84, 118, 119, 86, 141, 82, 73, 62, 92, 183, 10]","[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]","[5871, 6028, 2718, 7311, 3365, 4386, 2784, 2980, 2878, 15480, 5714, 3998, 7720, 4544, 4090, 3982, 3990, 3091, 5897, 4711, 1360, 4534, 4491, 3975, 5132, 2131, 8138, 6774, 6414, 11437, 6710, 5280, 4962, 5013, 6110, 1583, 5695, 2960, 17585, 1512, 7252, 6034, 11244, 4865, 9074, 6116, 6614, 8810, 692, 3582, 10836, 11358, 7614, 7055, 2443, 6492, 3747, 3150, 3497, 9338, 3136, 1854, 5903, 2581, 3611, 3411, 2466, 3827, 2145, 2337, 1714, 2531, 5114, 256]","[73, 80, 36, 111, 48, 63, 42, 44, 38, 252, 99, 61, 111, 63, 56, 38, 57, 44, 85, 70, 18, 78, 69, 44, 67, 36, 119, 91, 87, 169, 98, 84, 78, 56, 98, 16, 71, 35, 281, 21, 107, 105, 159, 74, 151, 100, 82, 120, 15, 43, 143, 147, 116, 96, 48, 109, 62, 58, 64, 127, 56, 27, 87, 43, 56, 60, 49, 64, 45, 38, 29, 32, 97, 4]",384033
8,"[195, 200, 90, 243, 112, 146, 92, 99, 95, 516, 190, 133, 257, 151, 136, 132, 133, 103, 196, 157, 45, 151, 149, 132, 171, 71, 271, 225, 213, 381, 223, 176, 165, 167, 203, 52, 189, 98, 586, 50, 241, 201, 374, 162, 302, 203, 220, 293, 23, 119, 361, 378, 253, 235, 81, 216, 124, 105, 116, 311, 104, 61, 196, 86, 120, 113, 82, 127, 71, 77, 57, 84, 170, 8]","[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]","[5906, 6182, 2900, 8148, 3545, 5020, 2561, 2827, 2645, 15043, 5784, 3772, 7371, 4891, 3870, 4334, 4491, 3405, 5944, 5285, 1184, 4576, 4948, 3766, 4906, 2248, 8715, 7563, 6468, 10900, 7290, 5500, 5018, 6399, 6907, 1593, 8115, 2969, 15707, 1596, 7139, 5687, 12361, 4749, 8575, 6963, 7099, 9488, 645, 3457, 11429, 11399, 7334, 7029, 2457, 6572, 3556, 2784, 3241, 8941, 3252, 1629, 6006, 2465, 3534, 3127, 2515, 3751, 1908, 2333, 1643, 2336, 5074, 248]","[79, 116, 34, 105, 42, 78, 42, 30, 32, 223, 95, 51, 119, 64, 55, 77, 55, 52, 98, 85, 19, 74, 65, 58, 81, 27, 127, 115, 99, 162, 107, 98, 54, 102, 87, 24, 129, 35, 267, 20, 109, 82, 162, 71, 126, 110, 89, 152, 12, 62, 156, 172, 101, 110, 27, 103, 50, 55, 36, 144, 43, 28, 84, 42, 43, 57, 38, 57, 18, 20, 27, 36, 75, 4]",391018
9,"[196, 206, 96, 271, 118, 167, 85, 94, 88, 501, 192, 125, 245, 163, 129, 144, 149, 113, 198, 176, 39, 152, 164, 125, 163, 74, 290, 252, 215, 363, 243, 183, 167, 213, 230, 53, 270, 98, 523, 53, 237, 189, 412, 158, 285, 232, 236, 316, 21, 115, 380, 379, 244, 234, 81, 219, 118, 92, 108, 298, 108, 54, 200, 82, 117, 104, 83, 125, 63, 77, 54, 77, 169, 8]","[-490, 885, 4274, 4160, 3467, 2966, -4712, -6165, -1399, -9754, 2093, -7344, 3760, 1878, 1878, 1446, 3121, 3812, 4268, 3430, -1840, 2022, 2164, 4563, 954, 285, 2247, 2578, 3561, -6547, 3313, -1560, 4301, 6043, 5651, -1367, -752, 3195, -24833, 5232, 6409, -11829, 3935, 2885, -1749, 4662, 5084, 891, -832, 909, -3416, -3650, 3953, 1962, 1122, 1841, 2170, -5404, -3978, -4923, 80, -212, -1701, -97, -759, -1187, -1299, -4758, -3441, -963, -605, -1911, -3393, -580]","[6130, 6732, 3002, 8844, 3694, 5377, 2606, 2659, 2479, 14296, 6160, 3433, 7165, 4567, 4225, 4738, 4851, 3652, 6087, 5536, 1264, 5122, 4849, 3447, 6418, 1828, 9204, 7328, 6712, 10698, 8038, 5628, 4914, 7256, 7100, 1531, 9819, 2998, 14843, 1635, 7586, 5212, 13318, 4794, 8569, 7595, 7657, 9786, 632, 4341, 9884, 11588, 7092, 7505, 2326, 6621, 3468, 2549, 2868, 8792, 3121, 1546, 5843, 2351, 3363, 3163, 2602, 3710, 1890, 2390, 1554, 2279, 4952, 194]","[88, 112, 51, 126, 47, 70, 44, 42, 29, 220, 102, 58, 119, 68, 56, 56, 63, 52, 92, 79, 21, 80, 91, 59, 93, 26, 114, 93, 113, 149, 113, 78, 74, 113, 111, 17, 126, 37, 233, 29, 100, 102, 180, 75, 147, 110, 120, 144, 11, 57, 147, 180, 107, 130, 43, 119, 56, 37, 50, 132, 48, 29, 87, 51, 48, 65, 41, 49, 27, 40, 25, 35, 74, 3]",398006
