,Alameda,Allegheny,Allen,Arapoe,Baltimore City,Bernalillo,Bexar,Clark,Collin,Cook,Cuyahoga,Dallas,Dane,Davidson,Denver,District of Columbia,Douglas,Durham,Duvall,El Paso CO,El Paso TX,Erie,Essex,Fayette,Franklin,Fresno,Fulton,Guilford,Hamilton,Harris,Hennepin,Hillsborough,Hudson,Jackson,Jefferson,Kern,King,Lancaster,Los Angeles,Lubbock,Lucas,Maricopa,Marion,Mecklenburg,Miami-Dade,Milwaukee,Multnomah,New York,Nueces,Oklahoma,Orange_CA,Orange_FL,Orleans Parish,Philadelphia,Pima,Pinellas,Ramsey,Riverside,Sacramento,San Diego,San Francisco,San Joaquin,Santa Clara,Sedgwick,Shelby,St. Louis City,Suffolk,Tarrant,Travis,Tulsa,Virginia Beach City,Wake,Wayne,Webb
0,545,526,138,225,241,263,604,710,289,1933,534,858,206,256,266,263,204,111,330,237,255,380,277,123,468,289,368,196,327,1434,481,471,243,271,305,255,802,115,3230,105,178,1411,360,366,828,379,305,736,123,285,995,828,148,580,384,401,205,683,517,1076,345,215,609,192,343,403,288,659,411,241,164,348,670,67
1,553,504,170,223,238,263,592,678,306,1858,564,852,198,318,264,274,212,129,330,244,248,364,278,179,451,289,400,203,344,1434,502,477,243,278,298,246,780,122,3170,111,174,1352,376,386,868,397,322,750,122,290,1014,849,180,593,371,428,214,661,522,1080,340,225,584,191,358,408,281,655,406,240,159,334,673,63
2,578,529,204,253,227,293,541,642,319,1740,598,784,203,401,268,304,212,176,344,245,257,349,267,203,556,279,424,228,365,1442,512,481,236,290,353,229,733,160,3013,100,207,1222,390,413,877,440,328,727,129,278,1070,853,258,589,335,486,232,639,519,1119,339,241,588,183,386,402,283,627,376,249,161,347,672,59
3,599,514,276,342,223,321,478,533,298,1612,633,736,210,594,265,300,242,165,370,261,222,351,270,238,545,305,438,280,417,1379,520,469,237,298,418,206,698,194,2710,124,291,1049,445,441,982,537,320,758,119,302,1047,914,346,687,320,594,287,600,512,1135,354,262,564,204,419,390,276,571,326,243,156,364,645,49
4,583,460,304,365,264,358,417,490,290,1540,643,673,220,785,276,326,249,211,403,300,212,363,273,344,529,361,440,348,491,1277,563,436,315,327,432,186,657,241,2456,119,355,917,550,430,1014,487,374,825,114,300,1057,1013,503,750,264,680,341,553,438,1171,331,266,539,217,428,360,270,515,309,211,148,359,656,33
5,581,486,389,406,256,400,360,422,301,1426,672,583,215,971,309,362,245,279,412,315,185,378,239,391,527,300,800,405,507,1169,629,417,359,411,571,165,631,267,2276,116,406,804,587,401,1154,442,430,712,118,361,1024,1043,632,790,255,766,364,459,406,1098,323,292,524,257,444,293,236,466,261,181,141,366,659,25
6,591,496,448,468,291,404,321,346,266,1278,714,540,229,1091,365,388,331,289,490,345,168,411,219,381,535,230,1033,482,587,1132,615,435,472,480,646,153,598,253,1994,136,456,762,662,394,1079,570,502,732,103,354,1037,1106,761,788,215,841,401,389,395,960,323,286,534,284,425,290,234,369,196,213,129,313,706,14
7,631,505,546,503,321,402,306,292,250,1188,688,533,248,1122,451,474,410,302,515,384,142,381,223,337,557,210,1239,519,749,1059,668,525,522,530,710,124,597,234,1834,156,546,632,803,344,1033,596,574,808,94,367,1049,1283,704,713,226,979,437,368,431,810,300,293,540,319,355,252,205,309,163,181,117,260,612,7
8,594,544,589,537,330,394,267,278,215,1141,724,448,459,1254,520,516,379,401,618,373,101,403,220,295,486,209,1343,600,852,1072,731,517,614,630,742,116,643,229,1720,202,544,509,854,390,842,743,695,829,66,342,1002,1310,734,655,182,1041,413,338,351,782,258,220,579,312,364,229,201,291,156,189,122,231,687,9
9,598,540,670,538,394,440,282,281,226,1197,800,386,597,1185,550,505,368,472,740,345,85,392,262,257,660,181,1162,884,951,1091,667,519,605,717,803,127,593,229,1678,202,600,458,1005,378,788,707,749,797,91,422,890,1283,696,722,217,1010,444,295,311,709,255,161,575,300,297,223,202,268,150,213,111,243,667,17
