,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-13, -10, 37, 13, 14, 13, -16, 12, 22, -120, 6, -33, 22, 22, 14, 3, 13, 29, 6, 18, 24, 16, 3, 36, 6, 45, -6, 35, 22, -73, -15, -3, -2, 10, 20, 29, -41, 28, -243, 39, 33, -52, -2, 10, -71, 19, -1, -44, 25, 19, -21, -26, -2, -18, 19, -22, 24, 15, 4, -40, 7, 50, -7, 23, 12, 29, -17, 4, -2, 19, 2, 9, -2, 22]","[533, 516, 175, 239, 254, 275, 586, 725, 312, 1813, 537, 829, 226, 278, 282, 266, 217, 141, 337, 254, 280, 394, 276, 159, 475, 332, 364, 231, 349, 1364, 466, 468, 241, 282, 323, 283, 764, 144, 2989, 144, 212, 1365, 361, 372, 762, 397, 306, 690, 148, 303, 976, 803, 145, 564, 402, 381, 230, 701, 518, 1043, 349, 263, 605, 215, 355, 431, 270, 666, 410, 259, 165, 358, 664, 89]","[4, 5, 1, 1, 3, 3, 8, 4, 1, 19, 8, 4, 4, 2, 0, 2, 2, 0, 2, 3, 1, 5, 6, 1, 3, 4, 1, 1, 3, 11, 4, 4, 2, 1, 5, 3, 5, 0, 30, 1, 0, 8, 0, 7, 3, 4, 1, 9, 1, 3, 7, 7, 2, 3, 4, 2, 1, 3, 8, 3, 6, 4, 3, 1, 3, 5, 3, 3, 3, 3, 2, 2, 10, 0]",34901
2,"[5, 5, 1, 2, 2, 2, 5, 7, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 2, 3, 2, 7, 1, 29, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 8, 1, 5, 4, 3, 2, 7, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-15, -14, 78, 33, 14, 33, -38, -1, 57, -232, 5, -46, 38, 41, 21, 30, 27, 59, 7, 22, 39, 24, 3, 75, 25, 66, -3, 49, 45, -139, -16, -14, -4, 24, 43, 83, -68, 43, -448, 59, 46, -113, 12, 12, -137, 26, 2, -92, 32, 48, -43, -37, -3, -28, 44, -32, 38, 12, 6, -68, 14, 76, 0, 61, 10, 47, -49, -13, 11, 46, 5, 18, 0, 44]","[530, 508, 216, 259, 255, 294, 562, 714, 348, 1705, 532, 820, 241, 296, 290, 295, 231, 170, 337, 259, 296, 401, 276, 197, 495, 350, 367, 245, 372, 1301, 464, 460, 237, 294, 348, 337, 734, 159, 2788, 165, 224, 1303, 372, 375, 701, 401, 309, 645, 155, 332, 950, 785, 145, 554, 429, 371, 245, 699, 523, 1016, 354, 289, 614, 253, 356, 452, 239, 652, 420, 286, 167, 367, 664, 111]","[6, 9, 1, 2, 1, 3, 7, 5, 2, 14, 9, 4, 3, 3, 1, 0, 2, 2, 4, 1, 1, 4, 2, 2, 3, 6, 3, 2, 3, 10, 5, 1, 4, 4, 1, 2, 10, 1, 25, 0, 3, 14, 6, 2, 2, 6, 3, 3, 1, 3, 13, 15, 0, 5, 2, 3, 1, 6, 2, 9, 5, 2, 4, 2, 0, 1, 1, 3, 7, 2, 2, 3, 8, 0]",34906
3,"[5, 5, 2, 2, 2, 2, 5, 7, 3, 17, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 2, 3, 3, 7, 1, 27, 1, 2, 13, 3, 3, 7, 4, 3, 6, 1, 3, 9, 7, 1, 5, 4, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 1]","[-27, -6, 95, 46, 19, 44, -55, 8, 76, -320, 2, -73, 63, 52, 36, 38, 60, 82, 16, 42, 46, 33, 9, 121, 33, 79, -12, 61, 66, -212, -19, -21, -21, 46, 48, 130, -101, 83, -617, 96, 75, -163, 28, 19, -182, 32, 12, -127, 60, 51, -73, -76, 6, -39, 48, -30, 55, 13, 6, -109, 19, 93, 5, 84, 12, 55, -59, -14, 19, 60, 13, 20, -26, 67]","[518, 516, 232, 272, 259, 305, 546, 725, 367, 1618, 525, 798, 267, 307, 302, 303, 266, 192, 346, 281, 303, 409, 282, 241, 505, 366, 358, 256, 394, 1233, 462, 450, 221, 316, 353, 384, 702, 199, 2614, 199, 251, 1253, 383, 384, 659, 406, 318, 609, 183, 337, 917, 748, 154, 543, 433, 373, 262, 697, 525, 975, 357, 304, 620, 275, 358, 461, 228, 652, 428, 302, 175, 369, 637, 134]","[5, 5, 3, 2, 3, 2, 4, 5, 3, 16, 9, 3, 1, 2, 5, 2, 0, 2, 3, 0, 2, 5, 2, 3, 2, 0, 3, 3, 2, 8, 3, 7, 1, 2, 3, 3, 6, 1, 32, 4, 4, 13, 8, 1, 4, 5, 4, 7, 1, 1, 12, 5, 1, 5, 4, 3, 2, 9, 3, 10, 5, 4, 5, 3, 3, 3, 3, 5, 4, 0, 1, 3, 7, 1]",34902
4,"[5, 5, 2, 2, 2, 3, 5, 7, 3, 16, 5, 7, 2, 3, 3, 3, 2, 1, 3, 2, 3, 4, 2, 2, 5, 3, 3, 2, 3, 12, 4, 4, 2, 3, 3, 3, 7, 1, 26, 1, 2, 12, 3, 3, 6, 4, 3, 6, 1, 3, 9, 7, 1, 5, 4, 3, 2, 6, 5, 9, 3, 3, 6, 2, 3, 4, 2, 6, 4, 3, 1, 3, 6, 1]","[-38, -7, 117, 56, 35, 57, -61, 26, 90, -434, -8, -93, 81, 63, 41, 47, 71, 117, 22, 58, 50, 50, 15, 153, 28, 122, -4, 77, 83, -283, -17, -20, -25, 59, 65, 175, -135, 88, -784, 119, 103, -198, 48, 43, -218, 44, 11, -168, 74, 63, -114, -97, 4, -61, 60, -41, 71, 12, 21, -137, 32, 113, 1, 98, 17, 62, -67, -27, 30, 68, 15, 27, -33, 88]","[508, 513, 255, 278, 273, 317, 541, 741, 383, 1510, 516, 775, 286, 320, 307, 313, 274, 221, 354, 296, 307, 423, 289, 274, 501, 409, 369, 274, 407, 1160, 465, 453, 216, 328, 369, 427, 666, 202, 2457, 222, 280, 1220, 402, 410, 624, 418, 318, 561, 198, 351, 875, 725, 151, 522, 449, 362, 278, 695, 538, 951, 372, 323, 613, 287, 364, 467, 222, 638, 441, 310, 177, 378, 629, 154]","[4, 7, 1, 6, 4, 4, 4, 9, 1, 10, 4, 10, 1, 1, 3, 2, 5, 7, 1, 3, 3, 7, 1, 1, 4, 3, 0, 0, 7, 14, 3, 2, 3, 4, 4, 5, 9, 3, 16, 1, 1, 10, 4, 1, 5, 4, 2, 13, 0, 1, 10, 9, 2, 4, 0, 3, 2, 7, 7, 5, 1, 4, 9, 4, 2, 5, 0, 7, 2, 3, 1, 1, 7, 2]",34902
5,"[5, 5, 2, 2, 2, 3, 5, 7, 3, 15, 5, 7, 2, 3, 3, 3, 2, 2, 3, 2, 3, 4, 2, 2, 5, 4, 3, 2, 4, 11, 4, 4, 2, 3, 3, 4, 6, 2, 24, 2, 2, 12, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 4, 3, 2, 6, 5, 9, 3, 3, 6, 2, 3, 4, 2, 6, 4, 3, 1, 3, 6, 1]","[-48, -2, 142, 52, 53, 84, -73, 28, 104, -506, -7, -138, 91, 86, 48, 49, 87, 134, 6, 67, 63, 56, 25, 180, 40, 148, 3, 80, 91, -339, -36, -14, -35, 75, 81, 195, -163, 101, -945, 160, 129, -258, 62, 59, -260, 61, 9, -206, 95, 85, -137, -122, 3, -66, 68, -61, 87, 16, 27, -151, 36, 129, 17, 120, 33, 68, -75, -44, 24, 94, 20, 32, -42, 125]","[498, 520, 278, 273, 288, 347, 531, 741, 395, 1437, 519, 731, 294, 342, 310, 317, 289, 238, 340, 306, 319, 429, 298, 301, 510, 435, 374, 273, 416, 1106, 448, 457, 206, 342, 387, 447, 637, 214, 2294, 264, 307, 1158, 415, 422, 582, 437, 314, 516, 219, 372, 854, 692, 149, 516, 457, 339, 295, 695, 546, 935, 371, 338, 628, 310, 379, 468, 214, 622, 436, 328, 181, 382, 620, 190]","[5, 3, 4, 3, 5, 0, 3, 9, 5, 16, 3, 6, 4, 4, 7, 1, 3, 2, 1, 1, 4, 4, 3, 2, 8, 4, 5, 6, 3, 9, 2, 6, 2, 5, 1, 4, 7, 3, 26, 1, 1, 14, 5, 8, 6, 2, 5, 12, 1, 4, 6, 15, 2, 6, 4, 6, 1, 10, 3, 11, 8, 4, 7, 1, 4, 9, 2, 5, 3, 11, 2, 4, 6, 2]",34838
6,"[4, 5, 2, 2, 2, 3, 5, 7, 3, 14, 5, 7, 2, 3, 3, 3, 2, 2, 3, 3, 3, 4, 2, 3, 5, 4, 3, 2, 4, 11, 4, 4, 2, 3, 3, 4, 6, 2, 22, 2, 3, 11, 4, 4, 5, 4, 3, 5, 2, 3, 8, 6, 1, 5, 4, 3, 2, 6, 5, 9, 3, 3, 6, 3, 3, 4, 2, 6, 4, 3, 1, 3, 6, 1]","[-56, 4, 165, 55, 71, 115, -80, 24, 121, -578, -5, -154, 107, 104, 50, 67, 108, 147, -8, 83, 65, 55, 33, 195, 35, 152, 16, 90, 109, -391, -40, -18, -26, 81, 89, 203, -196, 108, -1053, 184, 140, -298, 85, 55, -315, 56, 26, -226, 107, 106, -145, -152, -4, -84, 87, -80, 84, 17, 10, -175, 43, 153, 39, 136, 38, 89, -92, -42, 36, 106, 19, 39, -39, 150]","[486, 524, 299, 274, 305, 377, 524, 735, 411, 1365, 521, 719, 308, 360, 312, 336, 306, 252, 327, 322, 324, 425, 305, 312, 501, 442, 388, 281, 433, 1053, 445, 453, 217, 351, 395, 453, 600, 220, 2189, 287, 316, 1121, 435, 418, 521, 430, 331, 497, 233, 394, 844, 662, 143, 501, 474, 318, 290, 698, 527, 911, 373, 363, 652, 326, 386, 491, 197, 626, 449, 340, 179, 385, 618, 214]","[8, 7, 4, 4, 3, 4, 5, 9, 4, 14, 5, 3, 4, 3, 3, 2, 6, 1, 2, 3, 0, 7, 3, 7, 9, 1, 2, 4, 5, 12, 3, 4, 0, 0, 3, 6, 10, 3, 19, 3, 5, 8, 7, 4, 11, 6, 3, 4, 0, 2, 10, 6, 0, 2, 6, 5, 4, 4, 7, 9, 8, 2, 4, 3, 1, 2, 2, 4, 3, 3, 2, 7, 11, 2]",34800
7,"[4, 5, 2, 2, 3, 3, 5, 7, 4, 13, 5, 7, 3, 3, 3, 3, 3, 2, 3, 3, 3, 4, 3, 3, 5, 4, 3, 2, 4, 10, 4, 4, 2, 3, 3, 4, 6, 2, 21, 2, 3, 11, 4, 4, 5, 4, 3, 4, 2, 3, 8, 6, 1, 5, 4, 3, 2, 6, 5, 9, 3, 3, 6, 3, 3, 4, 1, 6, 4, 3, 1, 3, 6, 2]","[-73, 11, 188, 69, 86, 135, -79, 28, 117, -634, -16, -173, 123, 119, 50, 74, 125, 158, 5, 91, 77, 59, 36, 212, 40, 173, 26, 112, 110, -423, -42, -30, -28, 89, 100, 221, -211, 122, -1162, 196, 168, -352, 85, 45, -346, 50, 24, -251, 107, 132, -163, -150, -3, -94, 81, -90, 100, 16, -1, -203, 60, 166, 31, 141, 41, 113, -92, -53, 39, 126, 19, 45, -39, 167]","[468, 530, 316, 286, 320, 392, 523, 742, 410, 1307, 509, 698, 325, 376, 312, 343, 322, 262, 338, 330, 335, 423, 309, 327, 506, 465, 397, 303, 435, 1021, 443, 442, 217, 360, 404, 470, 587, 235, 2073, 294, 345, 1064, 437, 411, 485, 421, 329, 472, 235, 421, 828, 660, 142, 487, 469, 304, 301, 696, 517, 880, 392, 375, 645, 333, 389, 511, 198, 618, 453, 358, 179, 389, 611, 231]","[5, 6, 8, 4, 3, 8, 7, 4, 1, 15, 6, 9, 2, 2, 3, 3, 4, 3, 5, 3, 4, 10, 2, 5, 5, 2, 4, 2, 3, 10, 4, 3, 0, 2, 5, 5, 4, 1, 28, 7, 2, 14, 2, 1, 10, 7, 3, 4, 0, 2, 6, 10, 3, 9, 3, 7, 7, 7, 4, 12, 1, 4, 5, 1, 3, 8, 0, 3, 3, 5, 1, 5, 13, 2]",34741
8,"[4, 5, 3, 2, 3, 3, 5, 7, 4, 13, 5, 6, 3, 3, 3, 3, 3, 2, 3, 3, 3, 4, 3, 3, 5, 4, 3, 3, 4, 10, 4, 4, 2, 3, 4, 4, 5, 2, 20, 2, 3, 10, 4, 4, 4, 4, 3, 4, 2, 4, 8, 6, 1, 4, 4, 3, 3, 6, 5, 8, 3, 3, 6, 3, 3, 5, 1, 6, 4, 3, 1, 3, 6, 2]","[-80, 9, 218, 76, 99, 149, -85, 28, 135, -674, -22, -170, 143, 134, 60, 83, 135, 176, 11, 99, 85, 69, 41, 239, 41, 182, 23, 128, 126, -472, -61, -44, -32, 101, 108, 216, -241, 137, -1290, 214, 188, -369, 94, 45, -385, 54, 29, -273, 120, 145, -171, -166, -5, -91, 93, -103, 100, 2, 5, -228, 67, 194, 18, 154, 55, 124, -92, -65, 27, 134, 23, 48, -52, 187]","[462, 527, 344, 292, 331, 402, 519, 738, 424, 1266, 505, 696, 341, 389, 322, 352, 331, 280, 342, 336, 340, 431, 313, 352, 510, 471, 394, 318, 451, 969, 421, 424, 212, 369, 413, 459, 555, 251, 1939, 312, 364, 1047, 443, 409, 440, 424, 332, 447, 249, 433, 822, 641, 141, 489, 481, 287, 302, 684, 522, 850, 395, 403, 627, 345, 402, 521, 196, 605, 443, 365, 181, 394, 597, 250]","[3, 6, 5, 3, 5, 7, 3, 11, 8, 14, 3, 11, 7, 5, 3, 3, 4, 2, 5, 5, 6, 6, 4, 5, 2, 7, 3, 4, 4, 13, 7, 8, 3, 6, 3, 10, 7, 1, 26, 2, 4, 10, 7, 6, 10, 5, 5, 7, 1, 5, 6, 9, 0, 5, 4, 7, 2, 4, 6, 13, 7, 3, 11, 4, 4, 6, 3, 7, 2, 4, 3, 1, 7, 3]",34634
9,"[4, 5, 3, 2, 3, 4, 5, 7, 4, 12, 5, 6, 3, 3, 3, 3, 3, 2, 3, 3, 3, 4, 3, 3, 5, 4, 3, 3, 4, 9, 4, 4, 2, 3, 4, 4, 5, 2, 19, 3, 3, 10, 4, 4, 4, 4, 3, 4, 2, 4, 8, 6, 1, 4, 4, 2, 3, 6, 5, 8, 3, 4, 6, 3, 4, 5, 1, 6, 4, 3, 1, 3, 5, 2]","[-90, 4, 234, 84, 115, 159, -93, 36, 135, -719, -4, -187, 152, 136, 69, 94, 145, 179, 5, 106, 82, 52, 37, 259, 49, 203, 23, 137, 137, -484, -71, -62, -24, 108, 126, 221, -256, 154, -1400, 244, 202, -437, 97, 52, -410, 68, 24, -292, 135, 143, -188, -164, 5, -89, 102, -118, 113, 5, 22, -242, 72, 183, 30, 174, 59, 118, -98, -63, 32, 141, 23, 54, -56, 208]","[451, 520, 357, 296, 347, 410, 509, 746, 428, 1221, 522, 677, 347, 389, 331, 364, 339, 281, 332, 343, 340, 414, 311, 372, 519, 491, 392, 326, 456, 957, 411, 402, 219, 370, 430, 464, 536, 265, 1818, 340, 378, 977, 445, 416, 412, 439, 324, 427, 264, 432, 797, 638, 150, 491, 489, 272, 310, 689, 537, 836, 395, 389, 636, 366, 406, 515, 189, 610, 444, 375, 179, 397, 591, 271]","[5, 7, 6, 6, 3, 6, 7, 7, 0, 12, 6, 8, 6, 5, 3, 2, 5, 4, 7, 3, 0, 4, 1, 3, 4, 5, 5, 4, 10, 9, 4, 8, 3, 9, 5, 4, 9, 5, 30, 5, 3, 12, 5, 4, 7, 3, 6, 5, 2, 3, 16, 11, 2, 4, 5, 2, 8, 4, 7, 8, 8, 7, 9, 2, 4, 5, 2, 3, 8, 0, 3, 6, 7, 2]",34529
