0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-27, 21, 40, 29, -3, 27, 7, -19, 21, -119, 26, -28, 22, 9, 23, 14, 33, 30, -2, 24, 16, 41, 3, 43, 18, 45, 11, 37, 48, -90, -5, -22, -1, 28, 20, 47, 27, 19, -239, 27, 31, -78, 6, 12, -62, 9, 18, -42, 14, 25, -59, -22, -10, -23, 13, -28, 14, -13, -11, -51, -7, 8, -1, 23, 4, 17, -11, -12, 4, 19, -9, 0, -1, 22]"
2,"[-44, 32, 70, 47, -5, 43, -11, -18, 35, -240, 56, -67, 50, 21, 29, 29, 42, 51, -11, 26, 24, 122, 0, 75, 30, 70, 21, 79, 85, -187, -6, -37, -18, 43, 39, 82, 73, 48, -456, 61, 59, -147, 20, 7, -118, 17, 27, -91, 30, 56, -97, -52, -14, -15, 20, -49, 35, -23, -8, -114, 6, 15, 3, 45, 26, 35, -24, -30, 0, 51, -11, 10, -8, 56]"
3,"[-63, 63, 108, 60, 3, 34, -16, -33, 33, -340, 65, -100, 70, 47, 34, 35, 69, 78, -15, 48, 32, 148, 5, 115, 48, 85, 25, 93, 111, -246, -11, -56, -26, 59, 57, 105, 147, 71, -640, 91, 85, -203, 43, 13, -170, 30, 41, -136, 44, 81, -133, -75, -23, -31, 4, -66, 52, -34, -11, -162, 10, 26, 6, 71, 39, 43, -43, -43, 10, 57, -3, 24, -7, 68]"
4,"[-81, 84, 132, 64, 7, 48, -44, -37, 53, -417, 88, -113, 86, 53, 54, 42, 95, 97, -21, 58, 31, 196, 2, 149, 44, 97, 21, 117, 134, -306, -17, -60, -30, 70, 50, 135, 203, 92, -817, 117, 103, -278, 56, 38, -225, 25, 66, -164, 65, 107, -162, -94, -27, -44, 7, -72, 68, -64, -2, -183, 0, 32, -16, 110, 50, 41, -49, -43, 2, 72, -5, 35, -12, 87]"
5,"[-94, 105, 160, 81, 21, 73, -59, -35, 72, -497, 94, -138, 105, 66, 54, 45, 123, 124, -25, 68, 37, 244, -4, 185, 31, 114, 20, 156, 163, -355, -24, -68, -36, 89, 55, 147, 275, 115, -965, 132, 119, -346, 62, 52, -263, 23, 64, -193, 88, 115, -199, -134, -27, -60, 2, -85, 79, -89, -13, -210, 0, 49, -15, 129, 60, 51, -67, -43, -12, 90, -6, 38, -11, 98]"
6,"[-106, 143, 188, 82, 39, 104, -59, -44, 82, -566, 89, -134, 125, 77, 49, 61, 125, 152, -23, 89, 52, 282, 3, 203, 47, 128, 30, 181, 182, -418, -40, -88, -42, 106, 50, 150, 338, 126, -1109, 147, 141, -403, 79, 44, -306, 49, 62, -220, 104, 127, -247, -162, -33, -65, 6, -117, 109, -97, -21, -242, -9, 66, -16, 136, 62, 56, -79, -68, -4, 117, -12, 43, -16, 115]"
7,"[-112, 163, 212, 96, 52, 127, -75, -62, 94, -628, 89, -154, 136, 100, 51, 47, 137, 159, -26, 110, 56, 337, 10, 222, 48, 144, 33, 202, 190, -466, -43, -91, -53, 113, 65, 161, 402, 138, -1259, 159, 154, -439, 83, 60, -348, 60, 71, -251, 111, 134, -270, -184, -43, -63, 10, -129, 128, -114, -26, -272, -8, 75, -12, 149, 69, 63, -96, -71, -9, 126, -6, 50, -20, 134]"
8,"[-119, 177, 231, 112, 62, 127, -72, -78, 94, -665, 107, -184, 140, 107, 49, 51, 141, 177, -31, 108, 55, 365, 17, 256, 47, 146, 43, 214, 193, -520, -68, -94, -54, 137, 69, 174, 459, 146, -1376, 174, 171, -477, 108, 64, -384, 68, 64, -282, 119, 141, -281, -212, -49, -58, -3, -146, 156, -122, -22, -297, -6, 90, -9, 159, 79, 60, -101, -84, -2, 134, -3, 74, -18, 152]"
9,"[-133, 207, 247, 114, 72, 130, -79, -91, 106, -694, 121, -178, 152, 110, 56, 68, 161, 199, -38, 119, 62, 381, 11, 267, 67, 172, 54, 208, 202, -557, -67, -100, -54, 152, 84, 192, 524, 154, -1505, 184, 183, -515, 120, 61, -425, 55, 73, -311, 118, 142, -308, -231, -53, -63, 1, -155, 168, -145, -24, -324, 11, 80, 2, 170, 89, 63, -116, -99, -14, 146, 4, 74, -22, 165]"
10,"[-134, 207, 253, 126, 77, 154, -82, -90, 98, -757, 126, -171, 166, 123, 52, 73, 163, 218, -49, 125, 69, 421, 17, 280, 64, 179, 59, 209, 209, -591, -77, -115, -56, 153, 127, 203, 590, 185, -1625, 207, 204, -564, 119, 80, -452, 65, 80, -318, 123, 144, -359, -245, -51, -77, 0, -164, 172, -131, -35, -342, 14, 83, 5, 166, 86, 64, -122, -106, -27, 164, 7, 72, -7, 166]"
11,"[-147, 219, 261, 126, 79, 161, -78, -84, 111, -797, 126, -181, 177, 137, 65, 80, 165, 229, -49, 113, 77, 446, 22, 311, 60, 185, 60, 219, 214, -623, -70, -129, -50, 164, 125, 208, 645, 193, -1710, 219, 209, -603, 124, 94, -466, 71, 73, -340, 124, 151, -368, -269, -52, -69, 2, -164, 174, -134, -42, -362, 2, 89, 0, 172, 81, 72, -121, -114, -27, 170, 7, 78, -9, 168]"
12,"[-155, 218, 280, 120, 82, 161, -89, -91, 112, -849, 137, -182, 197, 141, 64, 74, 167, 228, -41, 114, 80, 459, 24, 326, 68, 195, 70, 224, 215, -653, -77, -144, -45, 178, 135, 206, 711, 202, -1805, 237, 221, -645, 126, 98, -485, 57, 76, -344, 120, 158, -381, -281, -54, -83, 10, -171, 185, -145, -35, -381, 1, 98, -1, 189, 92, 83, -128, -113, -16, 177, 17, 94, -2, 169]"
