,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-13, 24, 31, 39, 10, 14, -31, -23, 23, -76, 34, -29, 19, 28, 11, 5, 26, 28, -10, 32, 16, 50, 18, 62, -4, 7, 11, 52, 38, -86, -12, -31, -3, 32, 37, 7, 73, 36, -265, 22, 36, -97, 25, 12, -64, 10, 16, -64, 0, 34, -50, -49, -4, 1, 2, -16, 28, -10, -17, -59, 1, 15, 12, 31, 21, 22, -22, -44, -21, 20, 2, 5, 11, 11]","[533, 551, 170, 260, 252, 276, 574, 689, 311, 1860, 569, 830, 226, 285, 273, 265, 231, 138, 320, 269, 272, 429, 297, 186, 464, 298, 380, 247, 366, 1354, 471, 440, 241, 298, 343, 264, 879, 151, 2972, 127, 215, 1317, 385, 377, 766, 389, 321, 672, 124, 320, 944, 785, 144, 583, 386, 386, 234, 674, 501, 1026, 348, 229, 625, 223, 362, 426, 266, 616, 390, 261, 167, 352, 680, 77]","[4, 4, 0, 6, 1, 3, 5, 5, 3, 16, 4, 7, 1, 1, 6, 5, 1, 2, 3, 2, 1, 4, 0, 0, 4, 0, 2, 2, 2, 8, 2, 4, 1, 7, 2, 0, 4, 1, 25, 1, 0, 11, 3, 4, 6, 3, 3, 7, 0, 1, 10, 2, 1, 3, 3, 3, 1, 5, 4, 1, 1, 3, 2, 1, 5, 3, 2, 5, 4, 2, 0, 4, 7, 1]",34932
2,"[5, 5, 1, 2, 2, 2, 5, 6, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 2, 3, 2, 3, 13, 4, 4, 2, 2, 3, 2, 8, 1, 29, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 0]","[-32, 62, 65, 64, 1, 40, -56, -31, 28, -183, 52, -70, 50, 39, 19, 7, 51, 57, -25, 53, 29, 145, 30, 129, 12, 10, 9, 77, 63, -170, -17, -36, -17, 52, 68, 12, 137, 62, -492, 43, 54, -183, 63, 25, -110, 22, 41, -99, 10, 60, -90, -85, -8, -13, -4, -44, 41, -20, -40, -111, 0, 27, 28, 58, 34, 43, -38, -70, -25, 42, 0, 11, 23, 21]","[515, 588, 204, 285, 243, 298, 550, 678, 318, 1746, 591, 791, 257, 295, 281, 264, 258, 167, 307, 290, 283, 521, 311, 250, 481, 299, 379, 270, 389, 1270, 469, 436, 228, 315, 373, 269, 940, 177, 2753, 148, 233, 1230, 420, 390, 714, 399, 345, 638, 133, 345, 904, 745, 139, 570, 377, 352, 247, 662, 481, 976, 348, 241, 642, 251, 378, 447, 250, 593, 387, 281, 164, 359, 687, 86]","[4, 6, 1, 2, 2, 6, 4, 9, 1, 25, 1, 6, 2, 3, 2, 5, 0, 1, 1, 2, 4, 7, 0, 4, 3, 4, 2, 4, 5, 13, 1, 3, 1, 5, 4, 2, 11, 1, 21, 1, 2, 14, 6, 3, 13, 5, 4, 5, 2, 4, 9, 11, 2, 4, 6, 9, 2, 8, 2, 8, 2, 2, 5, 1, 0, 4, 2, 3, 2, 4, 2, 2, 11, 1]",34901
3,"[5, 5, 2, 2, 2, 2, 5, 6, 3, 17, 5, 7, 2, 2, 2, 2, 2, 1, 3, 2, 2, 5, 3, 2, 4, 2, 3, 2, 3, 12, 4, 4, 2, 3, 3, 2, 9, 1, 27, 1, 2, 12, 4, 3, 7, 3, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 3, 4, 2, 5, 3, 2, 1, 3, 6, 0]","[-48, 103, 110, 79, 7, 46, -64, -49, 34, -280, 60, -105, 64, 54, 45, 26, 82, 94, -14, 82, 36, 195, 34, 161, 26, 11, 6, 112, 91, -245, -32, -57, -15, 71, 98, 28, 230, 93, -662, 52, 75, -256, 70, 29, -164, 41, 50, -135, 16, 67, -150, -92, -14, -29, 6, -62, 61, -53, -44, -156, -5, 27, 42, 81, 43, 37, -49, -78, -48, 58, -3, 22, 19, 35]","[503, 628, 249, 299, 250, 304, 543, 658, 324, 1652, 598, 759, 272, 307, 309, 283, 291, 204, 319, 318, 290, 569, 316, 282, 497, 297, 378, 306, 415, 1202, 456, 416, 231, 336, 402, 283, 1034, 208, 2584, 156, 253, 1155, 423, 395, 661, 416, 352, 598, 140, 353, 847, 734, 132, 555, 384, 334, 268, 629, 474, 933, 343, 239, 656, 272, 385, 440, 241, 585, 365, 297, 161, 369, 682, 98]","[1, 6, 2, 3, 1, 2, 4, 8, 3, 14, 6, 4, 1, 5, 0, 2, 0, 1, 2, 3, 2, 7, 2, 2, 2, 5, 1, 1, 5, 5, 2, 3, 1, 1, 4, 4, 8, 1, 26, 2, 3, 14, 8, 2, 6, 5, 5, 10, 0, 2, 6, 11, 2, 4, 6, 3, 1, 6, 7, 7, 3, 4, 6, 4, 5, 5, 0, 5, 2, 2, 1, 4, 7, 2]",34897
4,"[5, 6, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 2, 3, 3, 2, 2, 2, 3, 3, 2, 5, 3, 2, 4, 2, 3, 3, 4, 12, 4, 4, 2, 3, 4, 2, 10, 2, 25, 1, 2, 11, 4, 3, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 3, 4, 2, 5, 3, 2, 1, 3, 6, 0]","[-77, 124, 144, 100, 3, 71, -80, -74, 35, -364, 87, -140, 91, 66, 54, 35, 104, 107, -25, 118, 24, 281, 43, 186, 57, 32, 0, 135, 130, -304, -23, -68, -35, 87, 101, 46, 312, 123, -888, 73, 100, -329, 75, 42, -209, 77, 45, -190, 34, 73, -191, -111, -14, -35, -1, -73, 92, -65, -54, -193, -13, 32, 50, 95, 53, 54, -68, -91, -55, 80, -3, 36, 22, 44]","[472, 650, 285, 319, 247, 332, 530, 632, 325, 1571, 620, 727, 300, 316, 316, 293, 311, 218, 308, 352, 277, 653, 324, 308, 524, 316, 373, 331, 455, 1145, 467, 406, 211, 351, 408, 302, 1114, 239, 2352, 177, 279, 1082, 426, 409, 616, 452, 344, 543, 158, 356, 807, 713, 133, 546, 375, 320, 298, 618, 466, 898, 335, 244, 666, 284, 390, 455, 221, 568, 359, 318, 161, 383, 684, 107]","[7, 5, 0, 3, 1, 0, 2, 7, 3, 13, 10, 4, 1, 6, 5, 1, 4, 1, 3, 5, 3, 7, 4, 1, 8, 4, 2, 1, 3, 10, 2, 3, 2, 4, 1, 1, 12, 1, 31, 1, 1, 11, 6, 2, 6, 4, 6, 5, 1, 6, 7, 9, 0, 8, 5, 6, 3, 5, 2, 7, 3, 2, 4, 4, 8, 6, 3, 9, 2, 3, 1, 3, 7, 0]",34871
5,"[4, 6, 2, 3, 2, 3, 5, 6, 3, 15, 6, 7, 3, 3, 3, 2, 3, 2, 3, 3, 2, 6, 3, 3, 5, 3, 3, 3, 4, 11, 4, 4, 2, 3, 4, 3, 11, 2, 23, 1, 2, 10, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 8, 3, 2, 6, 2, 3, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-98, 154, 179, 109, 18, 103, -107, -84, 49, -422, 93, -176, 107, 85, 62, 53, 120, 129, -27, 142, 20, 343, 56, 222, 63, 42, 23, 165, 149, -376, -13, -84, -43, 103, 129, 51, 418, 142, -1055, 86, 124, -404, 76, 58, -257, 92, 39, -224, 45, 86, -218, -145, -20, -57, -11, -74, 126, -89, -78, -215, -24, 21, 41, 111, 63, 55, -82, -113, -54, 95, -2, 34, 23, 48]","[453, 675, 321, 323, 263, 361, 502, 622, 340, 1520, 624, 691, 317, 328, 323, 308, 326, 240, 306, 374, 273, 711, 331, 343, 528, 323, 394, 359, 472, 1071, 477, 392, 201, 365, 433, 306, 1215, 258, 2173, 187, 300, 1002, 422, 426, 568, 467, 340, 512, 170, 369, 776, 678, 127, 526, 364, 318, 334, 596, 443, 871, 320, 232, 659, 299, 400, 453, 207, 544, 359, 332, 161, 380, 684, 111]","[2, 11, 1, 8, 1, 6, 6, 6, 2, 8, 8, 7, 2, 10, 4, 5, 4, 2, 3, 5, 2, 10, 9, 4, 7, 6, 5, 5, 6, 13, 4, 2, 4, 5, 7, 4, 16, 2, 35, 4, 5, 15, 9, 3, 6, 4, 1, 2, 0, 3, 12, 8, 1, 3, 4, 4, 0, 4, 3, 13, 7, 3, 4, 3, 3, 7, 2, 7, 4, 4, 2, 4, 7, 1]",34779
6,"[4, 6, 3, 3, 2, 3, 5, 6, 3, 15, 6, 6, 3, 3, 3, 3, 3, 2, 3, 3, 2, 7, 3, 3, 5, 3, 3, 3, 4, 10, 4, 3, 2, 3, 4, 3, 12, 2, 21, 1, 3, 10, 4, 4, 5, 4, 3, 5, 1, 3, 7, 6, 1, 5, 3, 3, 3, 5, 4, 8, 3, 2, 6, 2, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-99, 189, 222, 129, 16, 114, -119, -83, 60, -489, 98, -209, 129, 104, 65, 56, 143, 153, -20, 140, 24, 391, 63, 239, 67, 49, 25, 199, 163, -416, -13, -100, -50, 117, 139, 60, 523, 160, -1232, 99, 157, -448, 84, 64, -304, 82, 59, -258, 48, 97, -249, -164, -27, -75, -20, -88, 129, -105, -97, -234, -30, 17, 39, 139, 70, 58, -92, -120, -58, 109, -5, 46, 16, 54]","[448, 709, 365, 345, 260, 372, 490, 626, 351, 1449, 631, 658, 336, 347, 325, 310, 349, 261, 314, 372, 274, 759, 336, 359, 531, 331, 397, 392, 486, 1030, 477, 376, 194, 377, 446, 313, 1322, 276, 2001, 199, 333, 959, 426, 433, 519, 454, 360, 477, 174, 380, 743, 659, 120, 510, 352, 301, 334, 578, 425, 853, 313, 225, 649, 323, 408, 454, 197, 535, 355, 338, 159, 392, 674, 115]","[8, 7, 2, 1, 3, 3, 5, 3, 3, 19, 4, 6, 6, 3, 4, 4, 3, 5, 2, 3, 5, 7, 5, 4, 6, 2, 2, 4, 4, 11, 4, 3, 2, 5, 1, 5, 10, 2, 16, 2, 3, 9, 8, 3, 7, 7, 3, 6, 0, 3, 9, 6, 1, 3, 6, 6, 6, 7, 3, 7, 4, 5, 14, 6, 3, 6, 2, 7, 3, 11, 0, 3, 9, 3]",34721
7,"[4, 7, 3, 3, 2, 3, 4, 6, 3, 14, 6, 6, 3, 3, 3, 3, 3, 2, 3, 3, 2, 7, 3, 3, 5, 3, 3, 3, 4, 10, 4, 3, 1, 3, 4, 3, 13, 2, 20, 1, 3, 9, 4, 4, 5, 4, 3, 4, 1, 3, 7, 6, 1, 5, 3, 3, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 3, 6, 1]","[-121, 222, 255, 135, 21, 137, -130, -104, 66, -517, 117, -234, 150, 114, 76, 62, 154, 190, -24, 154, 5, 437, 56, 269, 74, 65, 17, 220, 173, -478, -14, -113, -59, 130, 148, 64, 628, 188, -1380, 108, 167, -477, 99, 73, -332, 95, 75, -284, 51, 110, -280, -212, -32, -85, -21, -108, 163, -118, -106, -267, -27, 12, 14, 157, 87, 61, -103, -150, -65, 125, -2, 51, 13, 55]","[428, 738, 396, 346, 264, 393, 477, 595, 359, 1413, 648, 632, 356, 358, 336, 317, 357, 299, 310, 382, 254, 804, 328, 387, 539, 346, 391, 409, 496, 974, 476, 360, 183, 389, 451, 316, 1426, 304, 1851, 205, 341, 926, 441, 445, 488, 462, 374, 450, 176, 390, 715, 611, 113, 499, 347, 281, 369, 564, 414, 820, 315, 221, 618, 341, 423, 451, 187, 503, 346, 356, 160, 398, 666, 116]","[2, 11, 5, 8, 3, 5, 6, 16, 1, 22, 8, 7, 4, 2, 3, 2, 6, 1, 3, 7, 3, 8, 4, 5, 4, 4, 1, 7, 4, 4, 4, 6, 3, 4, 8, 4, 14, 2, 22, 4, 5, 13, 4, 1, 8, 9, 5, 5, 2, 6, 4, 6, 3, 6, 7, 3, 2, 6, 6, 8, 4, 1, 12, 3, 6, 10, 0, 7, 5, 1, 3, 2, 11, 1]",34620
8,"[4, 7, 3, 3, 2, 3, 4, 5, 3, 14, 6, 6, 3, 3, 3, 3, 3, 2, 3, 3, 2, 8, 3, 3, 5, 3, 3, 4, 4, 9, 4, 3, 1, 3, 4, 3, 14, 3, 18, 2, 3, 9, 4, 4, 4, 4, 3, 4, 1, 3, 7, 6, 1, 4, 3, 2, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 3, 6, 1]","[-145, 242, 275, 139, 36, 149, -161, -119, 61, -560, 138, -248, 155, 131, 79, 65, 163, 221, -20, 163, 7, 473, 59, 296, 84, 80, 23, 245, 194, -527, -29, -111, -70, 127, 160, 62, 726, 216, -1499, 114, 190, -530, 109, 67, -363, 99, 82, -315, 57, 114, -303, -231, -35, -90, -28, -111, 188, -138, -116, -295, -25, 14, -7, 167, 94, 79, -117, -151, -72, 147, -4, 49, 16, 65]","[400, 754, 413, 348, 278, 402, 447, 579, 354, 1369, 663, 617, 364, 371, 337, 320, 364, 328, 317, 393, 251, 840, 332, 413, 547, 362, 396, 434, 515, 924, 463, 361, 171, 385, 464, 315, 1528, 332, 1740, 213, 362, 871, 449, 439, 458, 466, 383, 418, 181, 394, 694, 590, 111, 488, 336, 279, 386, 541, 401, 790, 315, 223, 597, 348, 427, 465, 169, 504, 337, 379, 155, 397, 667, 126]","[8, 11, 6, 5, 3, 6, 3, 6, 3, 15, 12, 7, 0, 7, 5, 3, 5, 4, 0, 1, 7, 8, 2, 4, 7, 2, 4, 4, 6, 10, 2, 4, 2, 4, 3, 2, 10, 3, 10, 0, 5, 11, 6, 4, 3, 4, 1, 5, 2, 3, 5, 8, 0, 10, 7, 1, 11, 8, 7, 10, 5, 2, 6, 6, 7, 8, 5, 3, 5, 2, 4, 2, 8, 1]",34550
9,"[4, 7, 4, 3, 2, 4, 4, 5, 3, 13, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 2, 8, 3, 4, 5, 3, 3, 4, 5, 9, 4, 3, 1, 3, 4, 3, 15, 3, 17, 2, 3, 8, 4, 4, 4, 4, 3, 4, 1, 3, 6, 5, 1, 4, 3, 2, 3, 5, 4, 7, 3, 2, 5, 3, 4, 4, 1, 5, 3, 3, 1, 3, 6, 1]","[-162, 269, 275, 145, 37, 155, -164, -142, 61, -611, 160, -266, 173, 132, 93, 67, 174, 238, -35, 165, 11, 512, 64, 320, 81, 69, 25, 261, 212, -566, -33, -126, -74, 135, 162, 72, 838, 220, -1602, 113, 199, -565, 132, 63, -388, 118, 97, -332, 65, 127, -331, -242, -35, -86, -45, -124, 207, -152, -118, -336, -28, 15, -1, 180, 98, 79, -117, -173, -77, 166, -13, 65, 24, 70]","[383, 780, 407, 352, 277, 409, 440, 556, 352, 1304, 683, 594, 381, 373, 351, 319, 373, 348, 301, 392, 256, 875, 338, 435, 547, 347, 398, 447, 531, 887, 450, 346, 168, 393, 465, 321, 1637, 336, 1631, 207, 364, 831, 470, 434, 428, 483, 398, 393, 189, 404, 661, 576, 110, 488, 320, 262, 407, 521, 397, 746, 312, 223, 601, 361, 427, 464, 169, 475, 330, 395, 146, 415, 667, 130]","[4, 8, 10, 5, 4, 3, 8, 5, 5, 27, 8, 11, 4, 2, 3, 6, 5, 0, 4, 6, 1, 12, 2, 6, 2, 7, 3, 7, 7, 7, 13, 3, 0, 3, 5, 7, 18, 3, 23, 7, 10, 13, 6, 5, 9, 6, 3, 12, 1, 6, 11, 8, 2, 8, 2, 6, 1, 11, 6, 10, 3, 3, 7, 3, 8, 5, 1, 12, 5, 6, 1, 1, 14, 2]",34387
