0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-13, 24, 31, 39, 10, 14, -31, -23, 23, -76, 34, -29, 19, 28, 11, 5, 26, 28, -10, 32, 16, 50, 18, 62, -4, 7, 11, 52, 38, -86, -12, -31, -3, 32, 37, 7, 73, 36, -265, 22, 36, -97, 25, 12, -64, 10, 16, -64, 0, 34, -50, -49, -4, 1, 2, -16, 28, -10, -17, -59, 1, 15, 12, 31, 21, 22, -22, -44, -21, 20, 2, 5, 11, 11]"
2,"[-32, 62, 65, 64, 1, 40, -56, -31, 28, -183, 52, -70, 50, 39, 19, 7, 51, 57, -25, 53, 29, 145, 30, 129, 12, 10, 9, 77, 63, -170, -17, -36, -17, 52, 68, 12, 137, 62, -492, 43, 54, -183, 63, 25, -110, 22, 41, -99, 10, 60, -90, -85, -8, -13, -4, -44, 41, -20, -40, -111, 0, 27, 28, 58, 34, 43, -38, -70, -25, 42, 0, 11, 23, 21]"
3,"[-48, 103, 110, 79, 7, 46, -64, -49, 34, -280, 60, -105, 64, 54, 45, 26, 82, 94, -14, 82, 36, 195, 34, 161, 26, 11, 6, 112, 91, -245, -32, -57, -15, 71, 98, 28, 230, 93, -662, 52, 75, -256, 70, 29, -164, 41, 50, -135, 16, 67, -150, -92, -14, -29, 6, -62, 61, -53, -44, -156, -5, 27, 42, 81, 43, 37, -49, -78, -48, 58, -3, 22, 19, 35]"
4,"[-77, 124, 144, 100, 3, 71, -80, -74, 35, -364, 87, -140, 91, 66, 54, 35, 104, 107, -25, 118, 24, 281, 43, 186, 57, 32, 0, 135, 130, -304, -23, -68, -35, 87, 101, 46, 312, 123, -888, 73, 100, -329, 75, 42, -209, 77, 45, -190, 34, 73, -191, -111, -14, -35, -1, -73, 92, -65, -54, -193, -13, 32, 50, 95, 53, 54, -68, -91, -55, 80, -3, 36, 22, 44]"
5,"[-98, 154, 179, 109, 18, 103, -107, -84, 49, -422, 93, -176, 107, 85, 62, 53, 120, 129, -27, 142, 20, 343, 56, 222, 63, 42, 23, 165, 149, -376, -13, -84, -43, 103, 129, 51, 418, 142, -1055, 86, 124, -404, 76, 58, -257, 92, 39, -224, 45, 86, -218, -145, -20, -57, -11, -74, 126, -89, -78, -215, -24, 21, 41, 111, 63, 55, -82, -113, -54, 95, -2, 34, 23, 48]"
6,"[-99, 189, 222, 129, 16, 114, -119, -83, 60, -489, 98, -209, 129, 104, 65, 56, 143, 153, -20, 140, 24, 391, 63, 239, 67, 49, 25, 199, 163, -416, -13, -100, -50, 117, 139, 60, 523, 160, -1232, 99, 157, -448, 84, 64, -304, 82, 59, -258, 48, 97, -249, -164, -27, -75, -20, -88, 129, -105, -97, -234, -30, 17, 39, 139, 70, 58, -92, -120, -58, 109, -5, 46, 16, 54]"
7,"[-121, 222, 255, 135, 21, 137, -130, -104, 66, -517, 117, -234, 150, 114, 76, 62, 154, 190, -24, 154, 5, 437, 56, 269, 74, 65, 17, 220, 173, -478, -14, -113, -59, 130, 148, 64, 628, 188, -1380, 108, 167, -477, 99, 73, -332, 95, 75, -284, 51, 110, -280, -212, -32, -85, -21, -108, 163, -118, -106, -267, -27, 12, 14, 157, 87, 61, -103, -150, -65, 125, -2, 51, 13, 55]"
8,"[-145, 242, 275, 139, 36, 149, -161, -119, 61, -560, 138, -248, 155, 131, 79, 65, 163, 221, -20, 163, 7, 473, 59, 296, 84, 80, 23, 245, 194, -527, -29, -111, -70, 127, 160, 62, 726, 216, -1499, 114, 190, -530, 109, 67, -363, 99, 82, -315, 57, 114, -303, -231, -35, -90, -28, -111, 188, -138, -116, -295, -25, 14, -7, 167, 94, 79, -117, -151, -72, 147, -4, 49, 16, 65]"
9,"[-162, 269, 275, 145, 37, 155, -164, -142, 61, -611, 160, -266, 173, 132, 93, 67, 174, 238, -35, 165, 11, 512, 64, 320, 81, 69, 25, 261, 212, -566, -33, -126, -74, 135, 162, 72, 838, 220, -1602, 113, 199, -565, 132, 63, -388, 118, 97, -332, 65, 127, -331, -242, -35, -86, -45, -124, 207, -152, -118, -336, -28, 15, -1, 180, 98, 79, -117, -173, -77, 166, -13, 65, 24, 70]"
10,"[-182, 296, 291, 161, 52, 161, -170, -165, 62, -656, 185, -285, 174, 140, 101, 72, 178, 243, -46, 179, 10, 548, 62, 327, 80, 80, 30, 271, 215, -628, -39, -129, -69, 150, 168, 81, 923, 222, -1701, 115, 222, -594, 159, 62, -414, 123, 109, -358, 66, 137, -352, -250, -39, -83, -55, -135, 212, -175, -126, -381, -21, 9, 17, 189, 118, 80, -120, -179, -84, 167, -11, 70, 47, 83]"
11,"[-189, 299, 300, 165, 60, 161, -178, -179, 55, -698, 199, -312, 180, 144, 100, 85, 195, 256, -54, 193, 13, 571, 58, 341, 85, 86, 44, 283, 241, -661, -29, -143, -74, 162, 162, 74, 1037, 233, -1796, 121, 245, -625, 172, 57, -441, 149, 104, -365, 71, 154, -379, -264, -38, -87, -54, -152, 215, -198, -143, -413, -22, 13, 5, 196, 117, 86, -128, -167, -92, 176, -15, 71, 78, 84]"
