0,"[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]"
1,"[533, 551, 170, 260, 252, 276, 574, 689, 311, 1860, 569, 830, 226, 285, 273, 265, 231, 138, 320, 269, 272, 429, 297, 186, 464, 298, 380, 247, 366, 1354, 471, 440, 241, 298, 343, 264, 879, 151, 2972, 127, 215, 1317, 385, 377, 766, 389, 321, 672, 124, 320, 944, 785, 144, 583, 386, 386, 234, 674, 501, 1026, 348, 229, 625, 223, 362, 426, 266, 616, 390, 261, 167, 352, 680, 77]"
2,"[515, 588, 204, 285, 243, 298, 550, 678, 318, 1746, 591, 791, 257, 295, 281, 264, 258, 167, 307, 290, 283, 521, 311, 250, 481, 299, 379, 270, 389, 1270, 469, 436, 228, 315, 373, 269, 940, 177, 2753, 148, 233, 1230, 420, 390, 714, 399, 345, 638, 133, 345, 904, 745, 139, 570, 377, 352, 247, 662, 481, 976, 348, 241, 642, 251, 378, 447, 250, 593, 387, 281, 164, 359, 687, 86]"
3,"[503, 628, 249, 299, 250, 304, 543, 658, 324, 1652, 598, 759, 272, 307, 309, 283, 291, 204, 319, 318, 290, 569, 316, 282, 497, 297, 378, 306, 415, 1202, 456, 416, 231, 336, 402, 283, 1034, 208, 2584, 156, 253, 1155, 423, 395, 661, 416, 352, 598, 140, 353, 847, 734, 132, 555, 384, 334, 268, 629, 474, 933, 343, 239, 656, 272, 385, 440, 241, 585, 365, 297, 161, 369, 682, 98]"
4,"[472, 650, 285, 319, 247, 332, 530, 632, 325, 1571, 620, 727, 300, 316, 316, 293, 311, 218, 308, 352, 277, 653, 324, 308, 524, 316, 373, 331, 455, 1145, 467, 406, 211, 351, 408, 302, 1114, 239, 2352, 177, 279, 1082, 426, 409, 616, 452, 344, 543, 158, 356, 807, 713, 133, 546, 375, 320, 298, 618, 466, 898, 335, 244, 666, 284, 390, 455, 221, 568, 359, 318, 161, 383, 684, 107]"
5,"[453, 675, 321, 323, 263, 361, 502, 622, 340, 1520, 624, 691, 317, 328, 323, 308, 326, 240, 306, 374, 273, 711, 331, 343, 528, 323, 394, 359, 472, 1071, 477, 392, 201, 365, 433, 306, 1215, 258, 2173, 187, 300, 1002, 422, 426, 568, 467, 340, 512, 170, 369, 776, 678, 127, 526, 364, 318, 334, 596, 443, 871, 320, 232, 659, 299, 400, 453, 207, 544, 359, 332, 161, 380, 684, 111]"
6,"[448, 709, 365, 345, 260, 372, 490, 626, 351, 1449, 631, 658, 336, 347, 325, 310, 349, 261, 314, 372, 274, 759, 336, 359, 531, 331, 397, 392, 486, 1030, 477, 376, 194, 377, 446, 313, 1322, 276, 2001, 199, 333, 959, 426, 433, 519, 454, 360, 477, 174, 380, 743, 659, 120, 510, 352, 301, 334, 578, 425, 853, 313, 225, 649, 323, 408, 454, 197, 535, 355, 338, 159, 392, 674, 115]"
7,"[428, 738, 396, 346, 264, 393, 477, 595, 359, 1413, 648, 632, 356, 358, 336, 317, 357, 299, 310, 382, 254, 804, 328, 387, 539, 346, 391, 409, 496, 974, 476, 360, 183, 389, 451, 316, 1426, 304, 1851, 205, 341, 926, 441, 445, 488, 462, 374, 450, 176, 390, 715, 611, 113, 499, 347, 281, 369, 564, 414, 820, 315, 221, 618, 341, 423, 451, 187, 503, 346, 356, 160, 398, 666, 116]"
8,"[400, 754, 413, 348, 278, 402, 447, 579, 354, 1369, 663, 617, 364, 371, 337, 320, 364, 328, 317, 393, 251, 840, 332, 413, 547, 362, 396, 434, 515, 924, 463, 361, 171, 385, 464, 315, 1528, 332, 1740, 213, 362, 871, 449, 439, 458, 466, 383, 418, 181, 394, 694, 590, 111, 488, 336, 279, 386, 541, 401, 790, 315, 223, 597, 348, 427, 465, 169, 504, 337, 379, 155, 397, 667, 126]"
9,"[383, 780, 407, 352, 277, 409, 440, 556, 352, 1304, 683, 594, 381, 373, 351, 319, 373, 348, 301, 392, 256, 875, 338, 435, 547, 347, 398, 447, 531, 887, 450, 346, 168, 393, 465, 321, 1637, 336, 1631, 207, 364, 831, 470, 434, 428, 483, 398, 393, 189, 404, 661, 576, 110, 488, 320, 262, 407, 521, 397, 746, 312, 223, 601, 361, 427, 464, 169, 475, 330, 395, 146, 415, 667, 130]"
