0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-30, 42, 45, 17, 18, 25, -29, -1, 20, -147, 32, -68, 37, 17, 28, 28, 25, 31, -14, 25, 5, 71, 6, 64, 17, 14, 0, 47, 44, -72, -12, -9, -17, 24, 34, 32, 66, 37, -237, 28, 40, -82, 15, 5, -68, 5, 9, -72, 10, 31, -48, -36, -9, -14, -4, -20, 24, -11, -14, -64, -3, -5, 12, 48, 3, -4, -19, -6, -5, 26, 8, -3, -15, 23]"
2,"[-67, 62, 94, 30, 17, 48, -44, -48, 48, -247, 51, -116, 57, 42, 39, 21, 58, 54, -19, 61, 10, 125, 10, 110, 27, 29, 5, 100, 70, -140, -8, -29, -30, 28, 53, 54, 147, 54, -448, 47, 67, -172, 37, 25, -130, 18, 22, -117, 18, 43, -93, -57, -12, -22, -9, -39, 46, -15, -24, -109, 4, 2, 29, 95, 13, 17, -33, -34, -24, 49, 4, 12, -1, 35]"
3,"[-73, 106, 127, 50, 25, 76, -60, -69, 40, -311, 65, -134, 71, 57, 46, 41, 65, 69, -33, 76, 22, 163, 29, 164, 24, 48, 12, 117, 93, -210, -8, -43, -43, 42, 82, 71, 206, 86, -639, 71, 110, -259, 41, 37, -185, 36, 48, -148, 25, 69, -141, -79, -11, -40, -3, -58, 68, -38, -34, -158, -3, 24, 24, 110, 40, 13, -55, -48, -36, 55, 7, 22, 2, 44]"
4,"[-86, 160, 143, 59, 22, 94, -90, -85, 43, -403, 85, -167, 102, 86, 46, 35, 94, 92, -42, 84, 34, 209, 38, 185, 31, 41, 12, 168, 116, -272, 8, -66, -48, 61, 111, 88, 280, 106, -814, 88, 131, -305, 65, 49, -226, 46, 43, -182, 41, 82, -178, -103, -15, -32, -3, -71, 89, -57, -57, -199, -5, 32, 33, 120, 58, 20, -60, -78, -41, 80, 0, 18, 2, 55]"
5,"[-95, 200, 169, 67, 27, 123, -113, -100, 49, -480, 102, -208, 116, 94, 56, 34, 108, 114, -55, 93, 36, 240, 39, 207, 27, 78, 12, 201, 151, -336, 8, -74, -49, 78, 129, 89, 377, 130, -981, 102, 159, -373, 51, 52, -254, 57, 67, -207, 49, 93, -198, -127, -18, -36, -3, -90, 118, -70, -68, -218, -14, 37, 28, 143, 70, 30, -71, -100, -50, 100, -10, 30, -3, 61]"
6,"[-108, 226, 191, 77, 27, 129, -121, -124, 67, -547, 98, -240, 131, 122, 72, 55, 130, 139, -61, 99, 37, 282, 57, 240, 33, 91, 15, 221, 171, -370, 10, -90, -54, 88, 157, 110, 489, 149, -1131, 114, 181, -426, 60, 39, -287, 71, 68, -238, 62, 93, -219, -148, -27, -43, -11, -100, 133, -82, -77, -271, -21, 36, 15, 171, 64, 34, -77, -113, -54, 123, -9, 34, -27, 65]"
7,"[-119, 257, 212, 87, 29, 147, -126, -140, 66, -613, 107, -250, 137, 117, 89, 47, 137, 168, -65, 109, 41, 340, 60, 250, 49, 89, 21, 245, 178, -414, 16, -106, -68, 115, 169, 109, 568, 156, -1261, 122, 192, -476, 80, 45, -332, 71, 79, -254, 68, 108, -241, -156, -29, -59, 3, -116, 153, -109, -80, -313, -28, 48, 13, 180, 74, 44, -89, -121, -61, 145, -7, 27, -2, 68]"
8,"[-129, 265, 236, 98, 36, 158, -141, -158, 65, -642, 109, -257, 150, 122, 92, 49, 149, 196, -71, 118, 48, 381, 58, 261, 58, 87, 15, 264, 191, -478, -7, -111, -72, 137, 180, 123, 674, 176, -1364, 137, 212, -528, 96, 47, -365, 71, 79, -290, 69, 129, -284, -182, -37, -72, 14, -128, 189, -145, -82, -348, -25, 55, 6, 198, 87, 61, -101, -124, -57, 142, -8, 38, 6, 74]"
9,"[-131, 290, 245, 119, 30, 173, -149, -178, 62, -663, 130, -265, 158, 134, 92, 47, 156, 214, -74, 135, 40, 416, 64, 289, 72, 86, 25, 264, 195, -537, 4, -113, -76, 150, 191, 122, 778, 180, -1489, 138, 226, -562, 108, 44, -394, 69, 81, -301, 78, 137, -313, -206, -40, -82, 3, -131, 212, -171, -88, -360, -38, 45, 22, 201, 96, 73, -116, -133, -61, 149, -11, 46, 8, 85]"
10,"[-151, 327, 269, 139, 27, 193, -150, -184, 76, -711, 139, -271, 178, 150, 95, 37, 158, 228, -90, 142, 50, 450, 65, 317, 81, 93, 23, 263, 211, -590, -4, -118, -76, 159, 178, 113, 870, 199, -1586, 152, 239, -614, 123, 60, -420, 74, 90, -320, 82, 143, -317, -231, -44, -98, 16, -148, 228, -192, -101, -401, -41, 63, 9, 211, 103, 84, -122, -138, -71, 155, -14, 55, -9, 95]"
11,"[-164, 313, 282, 145, 36, 196, -159, -196, 76, -757, 151, -296, 198, 156, 108, 54, 187, 226, -93, 145, 56, 464, 60, 325, 102, 94, 26, 281, 242, -629, -2, -113, -71, 170, 185, 113, 998, 214, -1704, 164, 244, -643, 130, 81, -459, 77, 104, -329, 83, 151, -333, -260, -42, -100, 2, -156, 230, -209, -115, -432, -55, 54, 4, 231, 97, 80, -126, -147, -81, 184, -13, 66, 0, 99]"
12,"[-171, 325, 301, 138, 41, 188, -162, -200, 70, -805, 170, -309, 219, 169, 117, 62, 196, 238, -92, 148, 53, 489, 60, 334, 117, 87, 30, 279, 264, -659, -9, -112, -64, 188, 190, 121, 1114, 233, -1785, 171, 241, -685, 146, 75, -480, 67, 107, -351, 90, 166, -352, -276, -41, -117, 1, -166, 242, -222, -116, -470, -55, 51, -2, 242, 97, 83, -128, -154, -92, 193, -14, 65, 7, 104]"
