county1, county2, distance, netmig
21,36,2098,-1680
1,21,171,-631
1,36,2108,-372
10,21,176,-349
10,36,2001,-237
38,62,279,-221
38,59,123,-113
9,24,282,-109
9,28,251,-107
9,72,234,-107
12,56,227,-107
9,12,117,-105
9,10,320,-90
38,46,806,-89
41,54,95,-83
41,57,203,-83
38,63,1181,-81
29,49,410,-77
30,56,18,-75
38,60,333,-74
44,51,208,-69
9,45,80,-67
38,49,1180,-63
38,50,50,-61
9,21,469,-60
9,23,317,-59
7,35,217,-58
38,69,1261,-57
9,56,344,-55
24,72,161,-54
38,61,301,-52
7,25,260,-51
9,40,215,-51
14,19,67,-51
9,42,167,-50
27,36,2272,-50
35,61,227,-50
2,12,261,-49
2,21,345,-49
29,64,488,-49
38,57,133,-48
24,36,1983,-46
45,72,242,-46
12,21,541,-45
9,36,1700,-44
2,10,178,-43
6,8,283,-43
11,49,195,-43
20,39,286,-43
8,49,170,-42
11,69,236,-41
12,36,1592,-41
35,58,258,-41
38,54,402,-41
25,62,117,-40
29,37,758,-40
2,36,1851,-39
29,63,553,-39
59,62,402,-39
24,56,621,-38
29,33,635,-38
6,11,251,-36
29,36,1858,-36
51,64,679,-36
67,69,244,-36
38,64,1604,-35
2,72,122,-34
0,35,236,-33
41,59,246,-33
47,53,83,-33
7,58,380,-32
9,27,587,-32
38,56,1518,-32
30,36,1356,-31
38,42,1799,-31
6,39,346,-30
6,67,241,-30
7,61,364,-30
18,26,289,-30
23,36,1981,-30
28,36,1938,-30
29,30,1052,-30
29,65,669,-30
38,72,1958,-30
9,65,261,-29
41,67,880,-29
11,64,428,-28
34,45,354,-28
50,57,101,-28
59,69,1200,-28
11,12,816,-27
13,28,242,-27
23,72,300,-27
30,72,542,-27
31,36,2508,-27
41,61,585,-27
41,73,872,-27
50,69,1245,-27
51,71,525,-27
0,25,137,-26
3,14,29,-26
5,19,286,-26
22,36,2365,-26
29,69,434,-26
31,43,513,-26
59,63,1131,-26
7,20,588,-25
12,46,1629,-25
29,34,800,-25
64,65,240,-25
0,58,64,-24
0,61,39,-24
7,39,768,-24
9,37,465,-24
11,56,869,-24
39,67,268,-24
7,59,240,-23
15,27,247,-23
23,56,656,-23
31,42,848,-23
38,45,1729,-23
59,61,423,-23
0,7,392,-22
10,46,2042,-22
17,27,50,-22
38,40,1936,-22
41,69,957,-22
49,69,91,-22
51,65,871,-22
1,46,2147,-21
2,56,487,-21
6,49,426,-21
7,14,603,-21
11,53,1299,-21
19,36,1053,-21
34,72,309,-21
38,58,334,-21
41,63,895,-21
42,56,506,-21
29,42,862,-20
41,49,872,-20
49,63,146,-20
57,58,441,-20
58,61,36,-20
4,15,35,-19
8,63,314,-19
8,69,206,-19
9,34,277,-19
11,14,660,-19
11,26,714,-19
11,40,944,-19
16,30,290,-19
19,24,1148,-19
22,45,721,-19
29,40,1044,-19
29,73,279,-19
39,49,284,-19
41,56,1309,-19
44,64,864,-19
5,39,293,-18
9,17,626,-18
11,63,341,-18
19,21,1371,-18
19,72,1137,-18
20,49,571,-18
26,43,229,-18
38,65,1566,-18
