,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-25, 34, 36, 20, 15, 25, -21, -13, 18, -110, -8, -36, 17, 18, 16, 3, 24, 29, 1, 23, 10, 44, 12, 49, 21, 30, 3, 38, 52, -90, -13, -16, -13, 11, 15, 29, 62, 27, -258, 24, 27, -83, 31, 10, -76, -4, 8, -55, 26, 32, -34, -47, -7, -20, 8, -12, 15, -22, -5, -56, 2, 42, 22, 29, 5, 17, -11, -29, 4, 18, 2, 7, 15, 38]","[521, 560, 173, 246, 257, 285, 583, 700, 306, 1827, 527, 824, 224, 272, 282, 267, 228, 141, 333, 261, 266, 421, 288, 173, 493, 316, 374, 232, 381, 1348, 469, 456, 230, 281, 322, 283, 867, 138, 2985, 129, 203, 1326, 390, 377, 754, 374, 316, 682, 148, 315, 961, 781, 141, 561, 395, 388, 220, 655, 512, 1026, 346, 259, 630, 221, 347, 418, 274, 629, 419, 257, 165, 355, 684, 104]","[4, 5, 2, 1, 1, 5, 6, 4, 3, 15, 4, 6, 1, 4, 2, 1, 2, 0, 1, 1, 1, 6, 3, 0, 0, 5, 0, 3, 1, 10, 3, 3, 2, 3, 1, 3, 5, 5, 19, 1, 3, 16, 4, 2, 6, 4, 0, 6, 2, 4, 9, 8, 1, 4, 0, 5, 2, 12, 5, 4, 4, 0, 7, 1, 4, 6, 5, 7, 0, 4, 2, 3, 7, 1]",34902
2,"[5, 5, 1, 2, 2, 2, 5, 7, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 2, 3, 2, 8, 1, 29, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 1]","[-50, 76, 71, 33, 22, 43, -38, -5, 28, -198, 37, -73, 30, 24, 33, 17, 23, 56, -2, 51, 29, 99, 15, 94, 18, 49, 3, 77, 76, -158, -20, -37, -19, 32, 36, 66, 107, 63, -471, 62, 53, -155, 50, 20, -142, -10, 11, -90, 45, 40, -72, -70, -9, -49, 0, -37, 25, -29, -16, -118, 11, 58, 20, 50, 25, 19, -22, -30, 7, 37, 1, 12, 0, 66]","[500, 603, 206, 257, 262, 302, 567, 708, 317, 1743, 574, 792, 237, 280, 299, 282, 229, 167, 332, 287, 284, 475, 292, 218, 491, 331, 377, 268, 408, 1283, 463, 435, 224, 301, 342, 320, 909, 174, 2777, 167, 230, 1261, 410, 389, 687, 370, 317, 650, 168, 322, 924, 760, 138, 534, 387, 361, 227, 645, 501, 962, 352, 277, 628, 241, 365, 421, 264, 629, 424, 274, 163, 360, 668, 132]","[1, 4, 3, 4, 4, 3, 4, 7, 2, 14, 3, 3, 2, 0, 2, 1, 0, 2, 1, 4, 3, 5, 1, 1, 3, 7, 0, 5, 0, 10, 3, 4, 2, 3, 4, 2, 11, 1, 24, 1, 1, 6, 2, 1, 8, 1, 5, 3, 0, 4, 8, 5, 2, 3, 3, 5, 5, 9, 5, 12, 6, 0, 6, 3, 5, 3, 1, 5, 2, 4, 2, 3, 7, 1]",34924
3,"[5, 6, 2, 2, 2, 3, 5, 7, 3, 17, 5, 7, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 2, 4, 3, 3, 2, 4, 12, 4, 4, 2, 3, 3, 3, 9, 1, 27, 1, 2, 12, 4, 3, 6, 3, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 5, 9, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 1]","[-76, 110, 100, 41, 20, 69, -38, -13, 42, -325, 55, -97, 63, 37, 38, 25, 36, 82, -9, 77, 33, 150, 27, 137, 28, 66, 13, 105, 102, -228, -23, -58, -33, 48, 54, 95, 151, 70, -654, 84, 74, -216, 79, 32, -182, -3, 35, -137, 60, 50, -113, -102, -16, -67, 17, -61, 45, -40, -3, -166, 10, 76, 1, 64, 24, 37, -43, -35, 16, 67, -5, 19, -9, 88]","[476, 638, 234, 267, 259, 327, 562, 700, 333, 1619, 591, 771, 271, 292, 305, 289, 243, 194, 325, 311, 284, 527, 304, 261, 499, 346, 385, 296, 434, 1216, 459, 413, 212, 316, 360, 351, 951, 181, 2597, 187, 251, 1201, 440, 403, 642, 375, 342, 604, 183, 331, 883, 728, 132, 518, 403, 336, 245, 636, 514, 917, 351, 291, 611, 255, 363, 442, 243, 624, 433, 302, 156, 367, 654, 153]","[3, 5, 3, 0, 3, 4, 10, 7, 1, 14, 6, 4, 1, 3, 1, 3, 1, 0, 3, 4, 6, 3, 2, 2, 6, 5, 5, 2, 4, 9, 5, 5, 0, 4, 3, 1, 11, 1, 24, 3, 2, 11, 3, 1, 11, 5, 2, 5, 1, 4, 9, 7, 0, 3, 4, 4, 4, 4, 5, 6, 3, 6, 4, 2, 4, 1, 2, 6, 4, 4, 2, 3, 11, 2]",34915
4,"[4, 6, 2, 2, 2, 3, 5, 7, 3, 16, 5, 7, 2, 2, 3, 2, 2, 1, 3, 3, 2, 5, 3, 2, 4, 3, 3, 2, 4, 12, 4, 4, 2, 3, 3, 3, 9, 1, 25, 1, 2, 12, 4, 4, 6, 3, 3, 6, 1, 3, 8, 7, 1, 5, 4, 3, 2, 6, 5, 9, 3, 2, 6, 2, 3, 4, 2, 6, 4, 3, 1, 3, 6, 1]","[-81, 121, 129, 61, 30, 67, -54, -8, 51, -406, 72, -128, 87, 42, 44, 34, 51, 91, -13, 99, 47, 181, 34, 176, 27, 95, 25, 120, 106, -284, -33, -70, -41, 47, 60, 112, 199, 114, -816, 110, 96, -287, 94, 46, -237, 13, 47, -182, 75, 62, -145, -107, -25, -67, 14, -78, 66, -45, -12, -203, 13, 82, 6, 79, 19, 48, -55, -50, 30, 88, -3, 30, -8, 98]","[471, 653, 261, 289, 271, 325, 539, 707, 342, 1539, 602, 740, 294, 298, 313, 292, 258, 204, 324, 330, 300, 554, 311, 301, 494, 376, 398, 313, 440, 1162, 451, 400, 205, 315, 365, 366, 996, 224, 2435, 213, 273, 1126, 455, 419, 589, 391, 356, 558, 198, 339, 841, 725, 124, 520, 400, 319, 264, 629, 506, 879, 355, 298, 616, 270, 354, 456, 233, 609, 448, 323, 158, 376, 654, 163]","[4, 2, 4, 0, 0, 3, 12, 5, 3, 15, 11, 7, 3, 1, 1, 8, 2, 0, 0, 6, 0, 9, 3, 1, 8, 2, 2, 0, 2, 10, 2, 5, 1, 3, 4, 5, 12, 2, 25, 1, 2, 16, 4, 2, 4, 3, 1, 7, 1, 7, 18, 5, 0, 3, 4, 3, 4, 8, 4, 10, 2, 1, 6, 2, 7, 1, 0, 6, 3, 3, 1, 5, 7, 1]",34895
5,"[4, 6, 2, 2, 2, 3, 5, 7, 3, 15, 6, 7, 2, 2, 3, 2, 2, 2, 3, 3, 3, 5, 3, 3, 4, 3, 3, 3, 4, 11, 4, 4, 2, 3, 3, 3, 9, 2, 24, 2, 2, 11, 4, 4, 5, 3, 3, 5, 1, 3, 8, 7, 1, 5, 4, 3, 2, 6, 5, 8, 3, 2, 6, 2, 3, 4, 2, 6, 4, 3, 1, 3, 6, 1]","[-106, 150, 151, 61, 38, 79, -75, -24, 58, -467, 90, -148, 102, 49, 52, 43, 78, 109, -17, 115, 63, 222, 32, 206, 35, 107, 26, 134, 113, -356, -37, -79, -43, 80, 62, 117, 283, 129, -942, 132, 121, -333, 90, 45, -272, 13, 35, -219, 87, 78, -163, -137, -27, -78, 14, -86, 82, -56, -22, -238, -1, 109, 17, 97, 33, 62, -78, -58, 13, 101, -7, 33, 7, 116]","[449, 685, 283, 289, 278, 336, 517, 690, 349, 1474, 618, 718, 308, 306, 324, 301, 283, 221, 318, 347, 317, 593, 306, 332, 501, 389, 400, 327, 443, 1090, 446, 390, 203, 348, 367, 370, 1080, 240, 2303, 236, 297, 1082, 449, 418, 552, 390, 342, 521, 207, 353, 822, 689, 120, 509, 401, 311, 282, 619, 498, 843, 340, 322, 624, 286, 366, 467, 208, 601, 433, 339, 154, 380, 665, 181]","[1, 3, 2, 2, 3, 4, 6, 8, 3, 19, 8, 9, 3, 1, 0, 2, 4, 3, 5, 2, 2, 7, 6, 2, 5, 2, 2, 3, 8, 11, 5, 5, 2, 3, 3, 4, 9, 1, 30, 1, 3, 9, 6, 4, 7, 4, 5, 5, 4, 5, 9, 13, 3, 5, 3, 3, 0, 5, 3, 9, 4, 5, 9, 4, 5, 7, 4, 6, 2, 0, 1, 2, 10, 1]",34846
6,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 14, 6, 7, 3, 3, 3, 3, 2, 2, 3, 3, 3, 5, 3, 3, 5, 3, 4, 3, 4, 10, 4, 3, 2, 3, 3, 3, 10, 2, 23, 2, 2, 10, 4, 4, 5, 3, 3, 5, 2, 3, 8, 6, 1, 5, 4, 3, 2, 6, 4, 8, 3, 3, 6, 2, 3, 4, 2, 6, 4, 3, 1, 3, 6, 1]","[-124, 157, 178, 74, 46, 90, -61, -17, 53, -537, 117, -176, 127, 66, 57, 53, 95, 137, -30, 119, 73, 257, 34, 237, 48, 97, 24, 167, 110, -410, -40, -94, -43, 100, 64, 136, 358, 148, -1071, 149, 135, -378, 93, 47, -309, 22, 37, -250, 98, 81, -200, -162, -29, -90, 10, -97, 98, -65, -36, -262, 1, 126, 4, 116, 41, 79, -95, -68, 15, 103, -4, 39, 11, 121]","[432, 686, 310, 302, 285, 343, 530, 698, 343, 1407, 644, 689, 332, 323, 331, 308, 297, 249, 306, 352, 326, 624, 310, 366, 516, 380, 399, 360, 441, 1034, 443, 377, 205, 368, 365, 386, 1152, 258, 2172, 251, 308, 1036, 451, 418, 513, 400, 341, 484, 215, 356, 788, 665, 119, 493, 395, 301, 295, 610, 485, 813, 342, 339, 613, 306, 372, 486, 193, 593, 434, 341, 156, 383, 663, 183]","[3, 12, 2, 2, 3, 7, 6, 5, 4, 11, 7, 8, 4, 3, 1, 6, 5, 2, 2, 2, 4, 9, 1, 0, 3, 2, 3, 3, 3, 12, 4, 1, 0, 3, 7, 6, 13, 3, 25, 4, 5, 11, 5, 6, 7, 2, 6, 11, 5, 3, 5, 5, 0, 9, 6, 2, 5, 6, 3, 14, 3, 3, 4, 1, 5, 2, 0, 4, 5, 3, 2, 6, 12, 4]",34790
7,"[4, 6, 3, 3, 2, 3, 5, 6, 3, 14, 6, 6, 3, 3, 3, 3, 2, 2, 3, 3, 3, 6, 3, 3, 5, 3, 3, 3, 4, 10, 4, 3, 2, 3, 3, 3, 11, 2, 21, 2, 3, 10, 4, 4, 5, 4, 3, 4, 2, 3, 7, 6, 1, 4, 3, 3, 2, 6, 4, 8, 3, 3, 6, 3, 3, 4, 1, 5, 4, 3, 1, 3, 6, 1]","[-126, 175, 198, 86, 57, 101, -65, -33, 61, -599, 128, -193, 135, 81, 52, 64, 109, 149, -40, 126, 74, 297, 44, 261, 52, 105, 20, 183, 115, -465, -36, -101, -45, 113, 80, 147, 432, 170, -1200, 163, 138, -424, 99, 50, -348, 43, 44, -276, 119, 99, -245, -163, -34, -94, 23, -113, 113, -85, -40, -288, -9, 122, 4, 145, 40, 85, -112, -67, 14, 109, -3, 40, 10, 129]","[428, 695, 329, 312, 298, 352, 523, 677, 349, 1344, 651, 676, 339, 337, 325, 319, 310, 262, 296, 357, 326, 664, 321, 390, 518, 388, 395, 376, 446, 981, 447, 368, 203, 383, 381, 394, 1221, 279, 2039, 266, 312, 988, 458, 419, 472, 422, 348, 458, 236, 368, 736, 661, 115, 484, 408, 284, 310, 589, 479, 789, 332, 336, 612, 337, 370, 493, 174, 591, 436, 345, 156, 385, 653, 188]","[6, 15, 4, 5, 0, 5, 8, 11, 5, 15, 10, 2, 4, 4, 4, 3, 3, 1, 3, 5, 4, 6, 2, 3, 7, 3, 3, 3, 4, 8, 4, 5, 2, 1, 3, 6, 16, 3, 25, 1, 2, 12, 3, 6, 7, 3, 3, 4, 2, 9, 14, 9, 0, 9, 3, 4, 2, 7, 6, 6, 3, 2, 7, 1, 4, 3, 3, 8, 1, 5, 2, 2, 15, 4]",34709
8,"[4, 6, 3, 3, 2, 3, 5, 6, 3, 13, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 3, 6, 3, 3, 5, 3, 3, 3, 4, 9, 4, 3, 2, 3, 3, 3, 12, 2, 20, 2, 3, 9, 4, 4, 4, 4, 3, 4, 2, 3, 7, 6, 1, 4, 4, 2, 3, 5, 4, 7, 3, 3, 6, 3, 3, 4, 1, 5, 4, 3, 1, 3, 6, 1]","[-147, 194, 234, 95, 56, 108, -87, -51, 69, -662, 135, -210, 155, 92, 61, 85, 124, 150, -35, 145, 79, 306, 50, 276, 54, 115, 21, 203, 123, -519, -39, -105, -58, 126, 90, 160, 519, 175, -1326, 168, 161, -493, 96, 42, -377, 55, 58, -304, 116, 115, -277, -177, -34, -87, 27, -123, 135, -93, -37, -293, -17, 122, -3, 167, 62, 92, -113, -83, 9, 126, 0, 29, 19, 151]","[404, 713, 364, 320, 299, 358, 498, 653, 353, 1274, 651, 656, 361, 346, 332, 337, 327, 261, 301, 377, 330, 673, 329, 406, 519, 398, 390, 391, 454, 925, 445, 363, 184, 393, 387, 398, 1304, 283, 1902, 272, 337, 915, 457, 407, 438, 430, 364, 432, 233, 380, 701, 641, 116, 490, 411, 269, 327, 581, 482, 786, 324, 334, 603, 360, 388, 499, 171, 574, 432, 362, 157, 375, 658, 208]","[7, 7, 4, 4, 0, 4, 8, 12, 7, 20, 13, 9, 1, 5, 5, 6, 1, 4, 2, 2, 4, 6, 1, 2, 6, 3, 9, 8, 4, 11, 3, 4, 8, 6, 7, 12, 16, 3, 31, 1, 1, 13, 2, 8, 9, 8, 1, 2, 2, 7, 10, 12, 0, 5, 5, 7, 8, 5, 4, 5, 3, 5, 8, 2, 7, 5, 3, 6, 3, 3, 3, 2, 10, 3]",34573
9,"[4, 7, 3, 3, 2, 3, 4, 6, 3, 12, 6, 6, 3, 3, 3, 3, 3, 2, 3, 3, 3, 6, 3, 4, 5, 3, 3, 3, 4, 9, 4, 3, 1, 3, 3, 3, 13, 2, 19, 2, 3, 9, 4, 4, 4, 4, 3, 4, 2, 3, 7, 6, 1, 4, 4, 2, 3, 5, 4, 7, 3, 3, 6, 3, 3, 4, 1, 5, 4, 3, 1, 3, 6, 2]","[-169, 209, 254, 97, 57, 124, -89, -60, 70, -705, 139, -221, 155, 104, 53, 82, 131, 161, -42, 146, 82, 328, 46, 286, 76, 122, 30, 207, 132, -576, -43, -108, -57, 138, 97, 166, 573, 197, -1445, 176, 187, -528, 114, 47, -409, 66, 60, -332, 121, 128, -296, -200, -44, -81, 19, -133, 162, -91, -41, -299, -13, 134, -4, 182, 83, 83, -118, -81, 4, 134, 0, 24, 45, 154]","[382, 726, 382, 323, 298, 375, 490, 642, 352, 1225, 656, 645, 361, 358, 324, 331, 334, 270, 292, 379, 331, 694, 326, 414, 541, 403, 396, 394, 465, 866, 437, 357, 182, 406, 391, 400, 1352, 303, 1775, 277, 355, 878, 474, 412, 403, 443, 364, 403, 238, 390, 674, 618, 104, 495, 405, 256, 355, 581, 476, 775, 327, 346, 599, 373, 407, 487, 166, 575, 422, 367, 158, 370, 676, 211]","[4, 9, 5, 2, 4, 2, 10, 8, 5, 18, 5, 6, 3, 3, 3, 6, 3, 4, 5, 2, 5, 7, 2, 6, 5, 5, 6, 4, 2, 11, 8, 6, 4, 2, 6, 7, 19, 4, 27, 5, 11, 11, 5, 4, 7, 2, 5, 5, 2, 6, 15, 6, 3, 5, 2, 5, 2, 7, 6, 12, 4, 3, 9, 5, 5, 7, 1, 6, 9, 6, 0, 3, 14, 2]",34438
