0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-25, 34, 36, 20, 15, 25, -21, -13, 18, -110, -8, -36, 17, 18, 16, 3, 24, 29, 1, 23, 10, 44, 12, 49, 21, 30, 3, 38, 52, -90, -13, -16, -13, 11, 15, 29, 62, 27, -258, 24, 27, -83, 31, 10, -76, -4, 8, -55, 26, 32, -34, -47, -7, -20, 8, -12, 15, -22, -5, -56, 2, 42, 22, 29, 5, 17, -11, -29, 4, 18, 2, 7, 15, 38]"
2,"[-50, 76, 71, 33, 22, 43, -38, -5, 28, -198, 37, -73, 30, 24, 33, 17, 23, 56, -2, 51, 29, 99, 15, 94, 18, 49, 3, 77, 76, -158, -20, -37, -19, 32, 36, 66, 107, 63, -471, 62, 53, -155, 50, 20, -142, -10, 11, -90, 45, 40, -72, -70, -9, -49, 0, -37, 25, -29, -16, -118, 11, 58, 20, 50, 25, 19, -22, -30, 7, 37, 1, 12, 0, 66]"
3,"[-76, 110, 100, 41, 20, 69, -38, -13, 42, -325, 55, -97, 63, 37, 38, 25, 36, 82, -9, 77, 33, 150, 27, 137, 28, 66, 13, 105, 102, -228, -23, -58, -33, 48, 54, 95, 151, 70, -654, 84, 74, -216, 79, 32, -182, -3, 35, -137, 60, 50, -113, -102, -16, -67, 17, -61, 45, -40, -3, -166, 10, 76, 1, 64, 24, 37, -43, -35, 16, 67, -5, 19, -9, 88]"
4,"[-81, 121, 129, 61, 30, 67, -54, -8, 51, -406, 72, -128, 87, 42, 44, 34, 51, 91, -13, 99, 47, 181, 34, 176, 27, 95, 25, 120, 106, -284, -33, -70, -41, 47, 60, 112, 199, 114, -816, 110, 96, -287, 94, 46, -237, 13, 47, -182, 75, 62, -145, -107, -25, -67, 14, -78, 66, -45, -12, -203, 13, 82, 6, 79, 19, 48, -55, -50, 30, 88, -3, 30, -8, 98]"
5,"[-106, 150, 151, 61, 38, 79, -75, -24, 58, -467, 90, -148, 102, 49, 52, 43, 78, 109, -17, 115, 63, 222, 32, 206, 35, 107, 26, 134, 113, -356, -37, -79, -43, 80, 62, 117, 283, 129, -942, 132, 121, -333, 90, 45, -272, 13, 35, -219, 87, 78, -163, -137, -27, -78, 14, -86, 82, -56, -22, -238, -1, 109, 17, 97, 33, 62, -78, -58, 13, 101, -7, 33, 7, 116]"
6,"[-124, 157, 178, 74, 46, 90, -61, -17, 53, -537, 117, -176, 127, 66, 57, 53, 95, 137, -30, 119, 73, 257, 34, 237, 48, 97, 24, 167, 110, -410, -40, -94, -43, 100, 64, 136, 358, 148, -1071, 149, 135, -378, 93, 47, -309, 22, 37, -250, 98, 81, -200, -162, -29, -90, 10, -97, 98, -65, -36, -262, 1, 126, 4, 116, 41, 79, -95, -68, 15, 103, -4, 39, 11, 121]"
7,"[-126, 175, 198, 86, 57, 101, -65, -33, 61, -599, 128, -193, 135, 81, 52, 64, 109, 149, -40, 126, 74, 297, 44, 261, 52, 105, 20, 183, 115, -465, -36, -101, -45, 113, 80, 147, 432, 170, -1200, 163, 138, -424, 99, 50, -348, 43, 44, -276, 119, 99, -245, -163, -34, -94, 23, -113, 113, -85, -40, -288, -9, 122, 4, 145, 40, 85, -112, -67, 14, 109, -3, 40, 10, 129]"
8,"[-147, 194, 234, 95, 56, 108, -87, -51, 69, -662, 135, -210, 155, 92, 61, 85, 124, 150, -35, 145, 79, 306, 50, 276, 54, 115, 21, 203, 123, -519, -39, -105, -58, 126, 90, 160, 519, 175, -1326, 168, 161, -493, 96, 42, -377, 55, 58, -304, 116, 115, -277, -177, -34, -87, 27, -123, 135, -93, -37, -293, -17, 122, -3, 167, 62, 92, -113, -83, 9, 126, 0, 29, 19, 151]"
9,"[-169, 209, 254, 97, 57, 124, -89, -60, 70, -705, 139, -221, 155, 104, 53, 82, 131, 161, -42, 146, 82, 328, 46, 286, 76, 122, 30, 207, 132, -576, -43, -108, -57, 138, 97, 166, 573, 197, -1445, 176, 187, -528, 114, 47, -409, 66, 60, -332, 121, 128, -296, -200, -44, -81, 19, -133, 162, -91, -41, -299, -13, 134, -4, 182, 83, 83, -118, -81, 4, 134, 0, 24, 45, 154]"
