,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-20, 41, 49, 24, 5, 25, -18, 4, 28, -116, 7, -44, 23, 10, -2, 5, 12, 29, 6, 22, 16, 48, -8, 56, -1, 37, -7, 37, 35, -101, 0, -12, -7, 32, 30, 10, 37, 25, -215, 29, 38, -83, -5, 18, -55, -1, 22, -61, 23, 16, -73, -18, -7, -11, 11, -15, 20, -10, 8, -51, -10, 22, 6, 23, 16, -4, -15, -25, 1, 50, -5, 16, -13, 41]","[528, 567, 186, 249, 247, 290, 587, 719, 316, 1818, 542, 816, 231, 265, 261, 268, 217, 139, 335, 260, 272, 425, 269, 180, 466, 327, 357, 233, 362, 1339, 481, 460, 235, 300, 336, 267, 842, 138, 3028, 134, 216, 1324, 351, 385, 775, 378, 328, 678, 146, 299, 919, 814, 140, 571, 397, 387, 226, 672, 525, 1025, 335, 239, 617, 215, 355, 398, 274, 635, 412, 292, 160, 364, 659, 108]","[2, 5, 2, 2, 1, 0, 5, 2, 3, 18, 4, 6, 0, 3, 5, 2, 1, 2, 4, 1, 1, 6, 2, 0, 5, 1, 7, 1, 3, 8, 4, 3, 3, 5, 2, 0, 5, 3, 19, 1, 1, 18, 7, 2, 6, 3, 2, 4, 1, 4, 12, 4, 2, 3, 1, 3, 1, 7, 5, 10, 3, 0, 4, 1, 7, 5, 1, 5, 4, 1, 0, 3, 4, 0]",34911
2,"[5, 5, 1, 2, 2, 2, 5, 7, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 3, 3, 2, 8, 1, 30, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 2, 9, 8, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 3, 2, 6, 4, 2, 1, 3, 6, 1]","[-32, 65, 86, 57, 19, 43, -23, -22, 34, -224, 42, -73, 47, 26, 8, 3, 25, 50, 10, 34, 32, 86, -9, 100, 13, 53, 6, 60, 86, -200, 2, -28, -21, 60, 47, 51, 79, 49, -426, 52, 66, -148, 6, 18, -123, 5, 33, -100, 39, 35, -116, -56, -14, -21, 25, -34, 34, -19, 10, -95, -12, 41, 9, 40, 35, -8, -31, -26, -4, 78, -6, 17, -16, 71]","[517, 591, 223, 283, 260, 308, 585, 693, 324, 1707, 577, 790, 255, 281, 271, 268, 226, 161, 339, 273, 286, 456, 268, 221, 477, 344, 370, 256, 409, 1237, 481, 444, 222, 330, 354, 307, 885, 162, 2824, 157, 245, 1263, 362, 384, 712, 383, 339, 640, 161, 319, 882, 773, 134, 564, 408, 362, 241, 664, 526, 984, 332, 257, 621, 233, 371, 391, 257, 637, 409, 321, 159, 365, 656, 137]","[4, 5, 1, 1, 3, 2, 2, 7, 1, 21, 5, 5, 2, 2, 2, 0, 6, 0, 3, 1, 4, 11, 2, 4, 7, 2, 3, 2, 7, 16, 6, 4, 1, 1, 2, 3, 7, 1, 23, 1, 1, 9, 3, 4, 2, 4, 3, 5, 2, 1, 3, 11, 0, 2, 6, 9, 1, 5, 6, 7, 4, 3, 5, 1, 6, 6, 3, 3, 2, 1, 1, 3, 6, 2]",34914
3,"[5, 5, 2, 2, 2, 3, 5, 6, 3, 17, 5, 7, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 2, 4, 3, 3, 2, 4, 12, 4, 4, 2, 3, 3, 3, 8, 1, 28, 1, 2, 12, 3, 3, 7, 3, 3, 6, 1, 3, 8, 7, 1, 5, 4, 3, 2, 6, 5, 9, 3, 2, 6, 2, 3, 3, 2, 6, 4, 3, 1, 3, 6, 1]","[-65, 93, 114, 69, 26, 54, -27, -12, 36, -296, 60, -95, 72, 47, 25, 15, 40, 65, 4, 56, 36, 142, -6, 145, 21, 66, 0, 82, 111, -281, -16, -39, -31, 85, 55, 77, 133, 75, -628, 82, 80, -232, 19, 35, -182, 8, 41, -128, 46, 40, -165, -73, -16, -19, 27, -50, 66, -32, 5, -126, -3, 59, 6, 69, 35, 19, -50, -34, 3, 96, -6, 14, -25, 83]","[482, 621, 251, 296, 266, 317, 582, 701, 326, 1639, 595, 773, 277, 297, 287, 280, 242, 176, 332, 292, 291, 507, 272, 263, 488, 357, 360, 278, 431, 1157, 461, 434, 214, 354, 364, 329, 942, 189, 2623, 184, 257, 1182, 375, 400, 651, 385, 349, 613, 168, 324, 835, 758, 132, 568, 410, 343, 272, 653, 523, 950, 343, 274, 614, 262, 371, 416, 237, 627, 418, 342, 157, 362, 649, 149]","[7, 3, 2, 1, 3, 5, 4, 8, 3, 13, 5, 2, 5, 7, 3, 2, 1, 1, 4, 5, 1, 9, 1, 5, 1, 3, 7, 2, 7, 11, 6, 3, 0, 4, 1, 7, 5, 0, 27, 4, 4, 9, 3, 4, 9, 4, 1, 5, 1, 3, 6, 5, 1, 3, 4, 6, 3, 4, 3, 12, 1, 3, 10, 2, 3, 5, 3, 8, 2, 0, 3, 3, 4, 1]",34899
4,"[4, 6, 2, 2, 2, 3, 5, 7, 3, 16, 5, 7, 2, 2, 2, 2, 2, 1, 3, 2, 2, 5, 2, 2, 4, 3, 3, 2, 4, 11, 4, 4, 2, 3, 3, 3, 9, 1, 26, 1, 2, 11, 3, 4, 6, 3, 3, 6, 1, 3, 8, 7, 1, 5, 4, 3, 2, 6, 5, 9, 3, 2, 6, 2, 3, 4, 2, 6, 4, 3, 1, 3, 6, 1]","[-72, 139, 151, 63, 21, 80, -46, -26, 61, -388, 64, -111, 101, 79, 33, 20, 60, 81, -12, 61, 57, 177, 7, 179, 16, 91, 6, 98, 128, -333, -11, -55, -39, 96, 80, 97, 198, 101, -814, 101, 94, -297, 28, 39, -221, 15, 54, -171, 70, 43, -192, -88, -21, -17, 35, -70, 97, -31, -23, -165, -5, 75, -10, 91, 28, 38, -74, -43, -10, 104, -9, 26, -29, 100]","[476, 670, 287, 292, 259, 339, 561, 689, 351, 1546, 601, 759, 303, 329, 290, 285, 262, 189, 313, 293, 311, 546, 283, 297, 482, 385, 364, 294, 449, 1106, 466, 418, 208, 365, 392, 350, 1008, 214, 2436, 202, 272, 1113, 384, 406, 607, 392, 360, 570, 192, 324, 803, 743, 126, 572, 419, 319, 303, 657, 496, 911, 340, 290, 600, 284, 362, 435, 214, 617, 406, 349, 154, 375, 645, 166]","[3, 3, 3, 0, 4, 7, 7, 5, 3, 17, 3, 5, 5, 2, 7, 2, 2, 4, 6, 6, 3, 1, 4, 2, 5, 0, 5, 2, 3, 10, 4, 4, 0, 3, 0, 2, 8, 2, 27, 2, 1, 15, 3, 2, 11, 3, 5, 6, 1, 6, 13, 7, 2, 3, 3, 7, 2, 3, 4, 9, 4, 2, 4, 2, 5, 4, 1, 7, 3, 4, 1, 2, 6, 1]",34876
5,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 15, 6, 7, 3, 3, 2, 2, 2, 1, 3, 2, 3, 5, 2, 2, 4, 3, 3, 2, 4, 11, 4, 4, 2, 3, 3, 3, 10, 2, 24, 2, 2, 11, 3, 4, 6, 3, 3, 5, 1, 3, 8, 7, 1, 5, 4, 3, 3, 6, 4, 9, 3, 2, 6, 2, 3, 4, 2, 6, 4, 3, 1, 3, 6, 1]","[-75, 155, 187, 65, 25, 89, -42, -51, 64, -479, 84, -127, 126, 93, 39, 33, 90, 108, -20, 78, 69, 214, 0, 205, 15, 110, 15, 136, 165, -407, -5, -74, -43, 123, 85, 114, 242, 124, -967, 131, 110, -348, 43, 38, -262, 13, 62, -197, 70, 57, -227, -113, -19, -27, 44, -76, 124, -37, -41, -196, 7, 84, -21, 98, 36, 48, -78, -67, -13, 114, -13, 19, -36, 110]","[471, 685, 318, 293, 264, 348, 564, 661, 353, 1451, 621, 740, 330, 341, 295, 296, 292, 217, 305, 311, 321, 583, 275, 319, 484, 402, 370, 332, 486, 1039, 468, 399, 205, 393, 394, 367, 1050, 237, 2282, 232, 283, 1063, 399, 403, 568, 389, 369, 545, 192, 339, 766, 714, 128, 560, 430, 313, 329, 646, 479, 877, 352, 301, 585, 291, 369, 446, 211, 595, 403, 359, 151, 370, 635, 176]","[6, 7, 7, 3, 1, 3, 6, 9, 4, 19, 6, 10, 1, 5, 3, 4, 2, 0, 3, 1, 5, 5, 3, 6, 1, 5, 6, 2, 4, 4, 8, 4, 1, 2, 6, 3, 12, 2, 25, 2, 7, 10, 3, 6, 4, 4, 2, 4, 1, 2, 10, 11, 1, 7, 2, 3, 4, 11, 3, 12, 3, 0, 10, 2, 4, 3, 1, 4, 4, 3, 0, 1, 9, 1]",34830
6,"[4, 6, 3, 2, 2, 3, 5, 6, 3, 14, 6, 7, 3, 3, 2, 2, 2, 2, 3, 3, 3, 5, 2, 3, 4, 4, 3, 3, 4, 10, 4, 3, 2, 3, 3, 3, 10, 2, 22, 2, 2, 10, 3, 4, 5, 3, 3, 5, 1, 3, 7, 7, 1, 5, 4, 3, 3, 6, 4, 8, 3, 3, 5, 2, 3, 4, 2, 5, 4, 3, 1, 3, 6, 1]","[-99, 177, 205, 74, 33, 103, -59, -60, 75, -564, 75, -132, 140, 108, 58, 43, 102, 134, -33, 97, 76, 244, 18, 225, 11, 142, 22, 176, 183, -468, -7, -84, -50, 141, 94, 127, 315, 140, -1119, 144, 118, -407, 62, 38, -300, 19, 69, -226, 78, 62, -243, -128, -33, -32, 49, -89, 149, -33, -39, -212, 5, 83, -34, 107, 54, 42, -92, -78, -25, 133, -22, 35, -35, 118]","[450, 705, 333, 299, 273, 362, 543, 652, 366, 1367, 610, 737, 344, 351, 312, 302, 305, 243, 292, 329, 328, 612, 290, 336, 479, 435, 375, 372, 501, 979, 466, 388, 197, 412, 399, 378, 1116, 253, 2127, 243, 290, 1001, 416, 401, 527, 393, 376, 518, 198, 342, 750, 696, 113, 553, 433, 300, 354, 650, 478, 855, 348, 301, 572, 297, 387, 440, 198, 582, 392, 377, 143, 388, 631, 184]","[1, 8, 6, 5, 1, 3, 9, 6, 1, 13, 8, 5, 3, 8, 4, 6, 1, 2, 3, 4, 3, 6, 5, 6, 5, 3, 5, 3, 7, 9, 4, 4, 3, 2, 7, 5, 17, 2, 25, 4, 3, 13, 5, 6, 8, 5, 3, 3, 3, 5, 7, 10, 2, 7, 6, 3, 3, 6, 7, 14, 5, 2, 5, 5, 3, 4, 1, 7, 3, 4, 0, 1, 11, 1]",34745
7,"[4, 7, 3, 2, 2, 3, 5, 6, 3, 13, 6, 7, 3, 3, 3, 3, 3, 2, 2, 3, 3, 6, 2, 3, 4, 4, 3, 3, 5, 9, 4, 3, 1, 4, 3, 3, 11, 2, 21, 2, 2, 10, 4, 4, 5, 3, 3, 5, 1, 3, 7, 6, 1, 5, 4, 3, 3, 6, 4, 8, 3, 3, 5, 2, 3, 4, 1, 5, 3, 3, 1, 3, 6, 1]","[-118, 180, 231, 85, 46, 116, -70, -66, 102, -630, 80, -152, 164, 111, 62, 53, 112, 151, -39, 106, 69, 301, 21, 238, 27, 161, 24, 190, 189, -527, -12, -91, -44, 143, 110, 151, 381, 153, -1249, 146, 118, -449, 66, 49, -336, 55, 69, -256, 100, 85, -264, -153, -33, -45, 33, -101, 157, -36, -46, -249, -1, 96, -46, 125, 47, 57, -102, -84, -25, 153, -26, 40, -30, 127]","[431, 706, 354, 309, 286, 374, 530, 639, 389, 1295, 615, 718, 363, 354, 314, 309, 316, 261, 285, 336, 322, 663, 292, 346, 494, 450, 374, 387, 507, 916, 461, 380, 204, 408, 413, 400, 1180, 263, 1979, 246, 292, 951, 424, 409, 491, 428, 379, 489, 217, 364, 730, 662, 112, 536, 416, 285, 363, 646, 465, 819, 337, 315, 555, 312, 376, 451, 188, 570, 390, 397, 138, 395, 636, 192]","[4, 9, 8, 3, 2, 4, 7, 13, 7, 19, 6, 6, 8, 3, 5, 6, 2, 1, 3, 5, 2, 12, 3, 6, 5, 8, 6, 2, 5, 13, 4, 4, 0, 10, 5, 5, 13, 5, 39, 1, 0, 18, 0, 7, 5, 4, 0, 4, 4, 4, 6, 15, 2, 9, 5, 6, 2, 7, 10, 7, 8, 2, 10, 5, 7, 8, 1, 11, 5, 3, 2, 1, 6, 2]",34599
8,"[4, 7, 3, 3, 2, 3, 5, 6, 3, 12, 6, 7, 3, 3, 3, 3, 3, 2, 2, 3, 3, 6, 2, 3, 4, 4, 3, 3, 5, 9, 4, 3, 2, 4, 4, 4, 11, 2, 19, 2, 2, 9, 4, 4, 4, 4, 3, 4, 2, 3, 7, 6, 1, 5, 4, 2, 3, 6, 4, 8, 3, 3, 5, 3, 3, 4, 1, 5, 3, 3, 1, 3, 6, 1]","[-136, 196, 258, 87, 54, 131, -89, -77, 115, -692, 85, -161, 186, 125, 87, 75, 128, 153, -52, 112, 76, 326, 27, 266, 37, 168, 33, 213, 207, -575, -23, -108, -50, 143, 125, 146, 451, 165, -1363, 161, 135, -487, 82, 54, -376, 44, 88, -285, 104, 95, -306, -157, -40, -70, 34, -115, 175, -61, -35, -269, -14, 122, -48, 147, 54, 67, -113, -76, -32, 165, -26, 37, -28, 125]","[410, 721, 383, 313, 291, 388, 511, 625, 400, 1230, 619, 705, 385, 366, 339, 333, 331, 260, 270, 340, 329, 685, 296, 369, 498, 454, 378, 405, 523, 869, 447, 362, 196, 407, 430, 394, 1244, 275, 1861, 261, 307, 913, 439, 411, 445, 415, 397, 460, 222, 371, 687, 655, 106, 509, 413, 269, 379, 619, 479, 797, 324, 341, 552, 335, 380, 456, 176, 579, 383, 405, 137, 393, 642, 189]","[7, 8, 1, 1, 5, 4, 5, 9, 5, 15, 7, 11, 3, 5, 3, 1, 4, 5, 4, 5, 3, 9, 4, 8, 10, 7, 8, 8, 7, 8, 7, 4, 4, 5, 2, 5, 17, 2, 23, 2, 4, 9, 5, 7, 10, 6, 4, 4, 1, 6, 8, 9, 0, 7, 8, 4, 5, 8, 1, 10, 3, 3, 6, 2, 6, 9, 2, 4, 3, 7, 2, 2, 2, 2]",34488
9,"[4, 7, 3, 3, 2, 3, 5, 6, 4, 12, 6, 7, 3, 3, 3, 3, 3, 2, 2, 3, 3, 6, 2, 3, 4, 4, 3, 4, 5, 8, 4, 3, 1, 4, 4, 3, 12, 2, 18, 2, 3, 9, 4, 4, 4, 4, 3, 4, 2, 3, 6, 6, 1, 5, 4, 2, 3, 6, 4, 7, 3, 3, 5, 3, 3, 4, 1, 5, 3, 4, 1, 3, 6, 1]","[-153, 215, 268, 99, 51, 137, -94, -104, 114, -728, 107, -183, 193, 130, 90, 84, 136, 166, -60, 111, 98, 350, 30, 273, 44, 183, 53, 211, 217, -596, -23, -106, -61, 145, 141, 145, 509, 186, -1459, 169, 142, -526, 104, 80, -403, 45, 81, -309, 115, 108, -335, -167, -44, -78, 31, -132, 182, -76, -34, -294, -14, 121, -42, 155, 56, 72, -117, -73, -41, 181, -19, 37, -32, 138]","[393, 739, 393, 325, 289, 392, 503, 598, 393, 1182, 642, 678, 389, 369, 343, 339, 336, 275, 261, 336, 349, 706, 297, 376, 501, 469, 392, 399, 536, 851, 445, 361, 185, 406, 447, 392, 1302, 297, 1751, 265, 314, 877, 454, 437, 414, 417, 388, 434, 235, 382, 651, 645, 102, 503, 407, 251, 388, 604, 479, 772, 323, 340, 555, 343, 384, 459, 168, 582, 371, 421, 145, 390, 633, 200]","[4, 8, 3, 3, 1, 5, 8, 6, 10, 24, 5, 12, 6, 5, 2, 6, 6, 0, 3, 6, 5, 9, 4, 3, 8, 4, 9, 8, 2, 5, 6, 6, 1, 7, 3, 4, 12, 1, 32, 6, 3, 6, 11, 4, 8, 3, 5, 6, 0, 5, 13, 6, 1, 3, 7, 3, 1, 6, 5, 7, 4, 3, 8, 3, 1, 6, 5, 5, 6, 4, 0, 6, 11, 3]",34370
