county_1,county_2,distance,net_mig,negative: county 1 to county 2
38,50,50,-127,la to oc
38,55,2135,-125,la to pinellas
38,52,1677,-113,la to orleans
38,59,123,-104,la to san diego
11,38,1238,-101,dallas to la
38,44,2319,-86,la to miami
9,38,1723,-82,cook to la
29,50,1337,-74,harris to oc
38,49,1180,-74,la to oklahoma
9,41,1466,-70,cook to maricopa
29,52,328,-67,harris to orleans
41,57,203,-65,
38,53,2382,-54,
41,59,246,-53,
29,40,1044,-50,
38,56,1518,-50,
0,13,1931,-47,
11,52,446,-47,
29,59,1275,-47,
6,38,1201,-46,
38,40,1936,-46,
7,59,240,-45,
38,51,2197,-44,
58,59,454,-44,
6,59,1103,-43,
9,50,1719,-43,
25,38,186,-41,
38,42,1799,-41,
9,29,929,-40,
36,38,928,-40,
29,49,410,-37,
38,46,806,-35,
41,55,1802,-35,
41,54,95,-33,
41,72,1699,-33,
7,38,223,-32,
54,59,295,-32,
11,13,615,-31,
29,30,1052,-31,
41,67,880,-30,
7,25,260,-28,
11,59,1157,-28,
44,51,208,-28,
50,51,2171,-28,
7,58,380,-27,
9,55,1003,-27,
38,47,2440,-27,
57,59,65,-27,
62,67,1411,-27,
7,13,1569,-26,
41,63,895,-26,
47,51,946,-26,
9,54,1478,-25,
41,52,1344,-25,
41,58,606,-25,
41,68,887,-25,
0,28,2011,-24,
6,58,1442,-24,
9,47,722,-24,
9,51,988,-24,
9,57,1628,-24,
41,49,872,-24,
49,50,1162,-24,
9,67,813,-23,
0,2,1967,-22,
7,61,364,-22,
9,59,1690,-22,
11,19,602,-22,
11,29,217,-22,
11,55,901,-22,
0,26,2102,-21,
6,25,1319,-21,
9,11,796,-21,
36,47,2378,-21,
36,57,997,-21,
41,61,585,-21,
0,34,1962,-20,
11,49,195,-20,
11,50,1212,-20,
29,32,1413,-20,
29,44,952,-20,
29,53,1340,-20,
0,16,1390,-19,
0,27,2311,-19,
9,32,717,-19,
11,44,1094,-19,
11,53,1299,-19,
41,66,2319,-19,
44,55,208,-19,
47,57,2340,-19,
1,13,473,-18,
7,11,1064,-18,
7,53,2166,-18,
0,36,680,-17,
0,44,2546,-17,
6,29,189,-17,
6,50,1168,-17,
7,29,1215,-17,
7,55,1965,-17,
48,59,1194,-17,
6,13,824,-16,
6,32,1580,-16,
7,52,1509,-16,
11,40,944,-16,
20,59,618,-16,
25,50,236,-16,
29,37,758,-16,
35,38,76,-16,
36,41,1090,-16,
36,55,2489,-16,
38,45,1729,-16,
41,50,304,-16,
65,67,557,-16,
0,40,2037,-15,
9,62,1821,-15,
14,62,924,-15,
20,38,715,-15,
29,46,1817,-15,
36,67,1634,-15,
38,43,2111,-15,
46,69,1520,-15,
0,23,2028,-14,
5,41,353,-14,
7,35,217,-14,
9,53,673,-14,
9,70,719,-14,
20,58,968,-14,
21,41,1934,-14,
22,29,1406,-14,
25,40,1943,-14,
29,42,862,-14,
36,50,975,-14,
41,48,965,-14,
57,58,441,-14,
62,71,2372,-14,
0,18,2340,-13,
9,25,1727,-13,
9,35,1719,-13,
10,14,1220,-13,
11,23,782,-13,
11,27,994,-13,
11,30,863,-13,
25,29,1474,-13,
35,44,2354,-13,
35,64,1621,-13,
43,71,128,-13,
47,62,2544,-13,
60,67,1455,-13,
65,68,709,-13,
0,12,1739,-12,
0,17,2360,-12,
0,42,1920,-12,
0,46,546,-12,
1,54,1852,-12,
6,11,251,-12,
6,51,1037,-12,
6,52,518,-12,
7,49,985,-12,
8,13,592,-12,
8,29,240,-12,
8,59,1166,-12,
9,20,1230,-12,
9,44,1195,-12,
9,56,344,-12,
10,41,1772,-12,
11,56,869,-12,
13,23,181,-12,
14,34,1036,-12,
29,33,635,-12,
29,51,850,-12,
36,59,1033,-12,
40,53,458,-12,
41,53,2104,-12,
41,64,1293,-12,
49,52,578,-12,
57,61,413,-12,
1,57,2024,-11,
1,71,331,-11,
7,28,1671,-11,
7,50,232,-11,
8,34,701,-11,
8,51,955,-11,
11,28,814,-11,
20,61,950,-11,
22,53,71,-11,
25,26,1984,-11,
28,53,503,-11,
29,34,800,-11,
30,57,1425,-11,
31,50,2131,-11,
36,61,661,-11,
40,41,1672,-11,
42,72,228,-11,
45,60,1838,-11,
61,62,54,-11,
0,43,2270,-10,
1,6,1292,-10,
1,50,2117,-10,
3,41,626,-10,
4,72,405,-10,
6,53,1509,-10,
7,42,1584,-10,
7,67,1035,-10,
9,14,902,-10,
9,48,1122,-10,
9,49,674,-10,
9,58,1773,-10,
9,65,261,-10,
9,68,969,-10,
11,31,924,-10,
11,46,1622,-10,
13,26,210,-10,
13,34,152,-10,
20,50,682,-10,
26,66,935,-10,
29,43,925,-10,
35,59,196,-10,
36,37,1322,-10,
47,61,2505,-10,
57,68,1091,-10,
71,72,513,-10,
0,51,2408,-9,
1,42,329,-9,
2,27,449,-9,
6,55,963,-9,
7,17,2005,-9,
7,18,1958,-9,
7,30,1277,-9,
7,66,2362,-9,
8,16,560,-9,
8,23,757,-9,
8,26,698,-9,
8,33,420,-9,
9,15,603,-9,
9,42,167,-9,
9,61,1782,-9,
10,55,934,-9,
11,14,660,-9,
11,26,714,-9,
11,42,764,-9,
12,59,1631,-9,
14,30,684,-9,
18,33,935,-9,
20,29,656,-9,
21,34,482,-9,
23,42,150,-9,
24,31,832,-9,
25,32,2445,-9,
25,43,2158,-9,
25,53,2397,-9,
27,36,2272,-9,
33,43,788,-9,
34,65,260,-9,
35,58,258,-9,
35,61,227,-9,
36,62,709,-9,
43,44,666,-9,
44,65,1068,-9,
45,72,242,-9,
53,62,2492,-9,
54,67,846,-9,
57,64,1486,-9,
57,67,1082,-9,
58,67,1401,-9,
60,62,54,-9,
0,1,2236,-8,
0,5,865,-8,
0,14,927,-8,
1,21,171,-8,
2,51,893,-8,
6,42,1001,-8,
7,64,1407,-8,
8,9,765,-8,
8,27,973,-8,
8,50,1220,-8,
9,33,395,-8,
10,47,403,-8,
10,53,354,-8,
11,18,903,-8,
12,51,1099,-8,
16,62,1389,-8,
18,41,1814,-8,
18,47,843,-8,
19,42,983,-8,
21,49,1114,-8,
24,42,167,-8,
24,46,2016,-8,
27,42,431,-8,
27,53,371,-8,
31,62,2363,-8,
32,45,731,-8,
34,52,613,-8,
35,49,1198,-8,
36,71,2336,-8,
37,65,362,-8,
39,55,1197,-8,
41,56,1309,-8,
44,52,647,-8,
47,55,1019,-8,
47,58,2496,-8,
47,72,493,-8,
48,61,1537,-8,
51,52,524,-8,
51,54,1825,-8,
51,64,679,-8,
54,55,1758,-8,
54,68,836,-8,
58,60,78,-8,
65,66,1047,-8,
