,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-17, 12, 44, 30, 9, 26, -23, -7, 21, -87, 21, -27, 22, 41, 21, -3, 27, 39, -19, 17, 11, 28, 15, 48, 2, 30, 9, 24, 35, -106, -20, -13, -22, 12, 28, 18, -16, 27, -235, 23, 34, -72, 33, 24, -61, 7, 21, -58, 35, 22, -55, -34, 2, -13, 6, -22, 23, -26, 0, -34, 1, 23, 5, 22, 18, 9, -13, -13, -2, 30, -2, 8, 15, 22]","[527, 540, 179, 253, 247, 287, 580, 707, 310, 1846, 554, 833, 228, 298, 288, 260, 230, 150, 310, 254, 266, 405, 293, 172, 470, 320, 376, 219, 363, 1331, 461, 459, 222, 282, 335, 274, 783, 142, 3006, 128, 210, 1340, 391, 389, 772, 386, 327, 680, 156, 306, 940, 797, 146, 568, 391, 381, 227, 660, 519, 1043, 349, 239, 616, 213, 358, 414, 277, 646, 413, 270, 163, 355, 684, 87]","[6, 3, 4, 4, 5, 4, 7, 3, 2, 19, 6, 6, 2, 1, 1, 2, 3, 1, 4, 2, 2, 6, 1, 0, 4, 1, 4, 2, 2, 11, 4, 3, 1, 3, 1, 1, 11, 1, 21, 1, 3, 13, 5, 4, 3, 3, 2, 5, 3, 3, 9, 5, 5, 4, 2, 2, 3, 3, 3, 9, 0, 1, 4, 2, 6, 2, 0, 6, 0, 3, 0, 4, 7, 2]",34901
2,"[5, 5, 1, 2, 2, 2, 5, 7, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 2, 3, 2, 7, 1, 30, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-37, 34, 81, 43, 13, 37, -35, -20, 43, -186, 26, -52, 51, 60, 19, 15, 52, 79, -24, 35, 26, 44, 34, 87, 8, 56, 13, 55, 44, -188, -32, -23, -33, 29, 54, 49, -31, 55, -425, 46, 72, -124, 77, 45, -124, 25, 28, -110, 49, 47, -88, -68, 0, -33, 11, -35, 32, -41, -1, -72, 1, 40, 12, 44, 36, 26, -41, -27, -8, 54, -4, 14, 16, 45]","[507, 559, 216, 266, 252, 296, 570, 700, 333, 1748, 555, 810, 258, 317, 286, 279, 255, 190, 306, 272, 282, 424, 311, 211, 477, 348, 377, 251, 373, 1252, 450, 450, 213, 300, 359, 303, 768, 170, 2820, 151, 248, 1291, 434, 410, 710, 406, 334, 627, 170, 330, 903, 766, 145, 548, 389, 366, 237, 643, 519, 1005, 351, 257, 625, 235, 374, 431, 249, 634, 408, 294, 160, 364, 684, 110]","[5, 8, 1, 2, 1, 4, 3, 1, 2, 17, 9, 6, 1, 2, 2, 1, 2, 1, 2, 2, 1, 1, 3, 1, 3, 1, 6, 1, 2, 10, 3, 3, 0, 1, 5, 4, 7, 1, 26, 1, 2, 10, 4, 3, 6, 1, 3, 7, 1, 4, 13, 4, 0, 5, 10, 5, 1, 8, 4, 10, 1, 1, 4, 2, 5, 4, 2, 4, 3, 2, 2, 0, 7, 0]",34922
3,"[5, 5, 2, 2, 2, 2, 5, 7, 3, 17, 5, 8, 2, 3, 2, 2, 2, 1, 3, 2, 2, 4, 3, 2, 4, 3, 3, 2, 3, 12, 4, 4, 2, 3, 3, 3, 7, 1, 28, 1, 2, 12, 4, 4, 7, 4, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 1]","[-55, 62, 112, 59, 8, 56, -50, -18, 60, -289, 54, -89, 75, 79, 46, 25, 77, 117, -23, 54, 34, 55, 25, 136, 10, 83, 25, 77, 68, -245, -27, -28, -39, 59, 86, 74, -30, 82, -620, 67, 98, -182, 89, 46, -191, 32, 53, -154, 59, 55, -132, -87, -5, -43, 13, -50, 58, -73, 14, -122, -1, 59, 5, 83, 52, 37, -57, -45, -14, 73, -5, 29, -11, 65]","[491, 585, 245, 279, 246, 312, 554, 701, 351, 1646, 586, 776, 281, 335, 312, 289, 279, 227, 306, 287, 290, 436, 301, 260, 482, 372, 390, 274, 395, 1199, 456, 446, 209, 332, 391, 328, 770, 194, 2633, 172, 271, 1228, 447, 414, 640, 414, 360, 582, 179, 339, 865, 747, 140, 540, 392, 348, 261, 614, 533, 952, 348, 272, 618, 275, 391, 445, 233, 616, 401, 312, 159, 382, 654, 131]","[3, 7, 4, 5, 3, 5, 6, 8, 2, 16, 2, 5, 3, 4, 3, 2, 3, 2, 4, 6, 2, 3, 4, 2, 1, 6, 2, 1, 5, 8, 3, 3, 0, 1, 3, 3, 6, 4, 20, 1, 5, 17, 3, 1, 10, 3, 2, 7, 2, 2, 3, 7, 1, 3, 2, 6, 4, 3, 6, 13, 4, 6, 6, 1, 2, 1, 2, 6, 5, 3, 1, 0, 9, 0]",34921
4,"[4, 5, 2, 2, 2, 3, 5, 7, 3, 16, 5, 7, 2, 3, 3, 2, 2, 2, 3, 2, 2, 4, 3, 2, 4, 3, 3, 2, 3, 11, 4, 4, 2, 3, 3, 3, 7, 1, 26, 1, 2, 12, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 5, 9, 3, 2, 6, 2, 3, 4, 2, 6, 4, 3, 1, 3, 6, 1]","[-68, 76, 144, 69, 4, 69, -62, -20, 80, -369, 63, -104, 99, 108, 61, 44, 91, 134, -26, 67, 49, 75, 32, 164, 27, 91, 34, 96, 90, -309, -31, -41, -46, 58, 81, 95, -19, 108, -804, 88, 118, -236, 109, 53, -235, 59, 63, -195, 65, 74, -167, -108, -13, -53, 17, -68, 82, -73, 22, -159, -5, 69, 10, 93, 70, 48, -64, -58, -17, 92, -11, 51, -18, 87]","[479, 598, 276, 289, 241, 325, 539, 697, 369, 1574, 595, 759, 305, 366, 324, 308, 291, 244, 299, 299, 304, 451, 308, 287, 499, 381, 400, 295, 416, 1137, 453, 433, 204, 333, 381, 348, 781, 217, 2447, 191, 290, 1178, 468, 419, 592, 443, 373, 540, 184, 356, 827, 726, 132, 528, 398, 325, 287, 614, 545, 916, 345, 280, 623, 283, 405, 453, 225, 602, 399, 332, 152, 401, 645, 153]","[3, 6, 3, 2, 3, 3, 8, 9, 5, 8, 5, 9, 2, 1, 6, 2, 4, 2, 7, 3, 3, 9, 3, 3, 4, 2, 2, 0, 4, 9, 3, 4, 0, 1, 8, 4, 7, 4, 28, 3, 3, 8, 3, 6, 10, 2, 0, 6, 2, 5, 11, 7, 1, 7, 1, 8, 0, 6, 1, 8, 2, 4, 6, 4, 7, 7, 3, 7, 3, 2, 2, 6, 8, 1]",34882
5,"[4, 5, 2, 2, 2, 3, 5, 6, 3, 15, 5, 7, 3, 3, 3, 3, 2, 2, 2, 2, 3, 4, 3, 2, 4, 3, 4, 2, 4, 11, 4, 4, 2, 3, 3, 3, 7, 2, 24, 1, 2, 11, 4, 4, 5, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 5, 9, 3, 2, 6, 2, 4, 4, 2, 6, 3, 3, 1, 4, 6, 1]","[-99, 77, 174, 85, -3, 92, -48, -38, 101, -448, 62, -121, 123, 111, 74, 50, 109, 152, -34, 83, 45, 99, 44, 177, 35, 114, 38, 121, 113, -349, -28, -52, -42, 69, 109, 115, -21, 130, -984, 111, 141, -307, 140, 66, -267, 79, 69, -219, 77, 66, -205, -125, -18, -59, 29, -87, 83, -76, 9, -170, -10, 86, 27, 99, 82, 63, -80, -64, -34, 116, -11, 49, -5, 110]","[445, 596, 306, 304, 236, 349, 554, 680, 391, 1487, 592, 740, 327, 370, 337, 313, 310, 262, 287, 316, 298, 473, 319, 301, 506, 404, 407, 320, 439, 1098, 456, 425, 207, 344, 410, 368, 778, 239, 2263, 212, 311, 1103, 497, 428, 560, 458, 376, 516, 194, 344, 788, 710, 126, 520, 411, 302, 288, 608, 529, 905, 341, 296, 638, 289, 419, 464, 208, 598, 381, 357, 153, 399, 658, 176]","[7, 8, 2, 3, 0, 2, 4, 5, 2, 23, 7, 9, 5, 2, 3, 4, 1, 2, 6, 1, 5, 6, 4, 1, 5, 3, 1, 2, 4, 10, 4, 1, 3, 3, 2, 3, 8, 2, 28, 3, 4, 15, 6, 8, 5, 9, 6, 5, 3, 7, 9, 6, 2, 7, 2, 7, 2, 9, 8, 9, 2, 3, 8, 2, 2, 8, 3, 4, 4, 2, 0, 4, 6, 1]",34820
6,"[4, 5, 3, 3, 2, 3, 5, 6, 3, 14, 5, 7, 3, 3, 3, 3, 3, 2, 2, 3, 2, 4, 3, 3, 5, 4, 4, 3, 4, 10, 4, 4, 2, 3, 4, 3, 7, 2, 22, 2, 3, 11, 4, 4, 5, 4, 3, 5, 1, 3, 7, 7, 1, 5, 4, 3, 2, 6, 5, 9, 3, 2, 6, 2, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-122, 94, 199, 81, 1, 108, -69, -68, 107, -496, 63, -132, 135, 114, 98, 62, 113, 180, -38, 93, 65, 107, 58, 186, 42, 131, 35, 128, 131, -388, -20, -61, -53, 82, 116, 140, -15, 147, -1124, 133, 176, -375, 165, 73, -301, 104, 76, -245, 108, 75, -222, -142, -20, -72, 34, -86, 106, -77, 10, -215, -19, 103, 23, 118, 95, 72, -89, -77, -26, 121, -12, 56, -17, 117]","[424, 609, 327, 300, 241, 362, 528, 651, 399, 1434, 595, 727, 340, 373, 362, 323, 313, 291, 283, 324, 318, 476, 334, 309, 515, 420, 402, 328, 451, 1059, 465, 418, 195, 355, 421, 392, 780, 250, 2131, 235, 344, 1039, 525, 436, 525, 481, 381, 488, 222, 352, 771, 690, 124, 507, 418, 302, 310, 601, 526, 859, 328, 310, 630, 310, 434, 474, 198, 579, 390, 365, 151, 404, 645, 183]","[2, 9, 7, 3, 1, 6, 10, 5, 1, 19, 3, 9, 2, 3, 2, 5, 4, 1, 2, 5, 2, 9, 2, 4, 3, 5, 6, 2, 10, 10, 3, 2, 3, 5, 0, 4, 11, 8, 14, 1, 5, 7, 1, 3, 6, 6, 5, 7, 4, 4, 7, 10, 1, 5, 2, 4, 3, 12, 9, 10, 7, 5, 10, 0, 2, 3, 3, 11, 2, 0, 2, 5, 7, 1]",34762
7,"[4, 6, 3, 3, 2, 3, 5, 6, 3, 14, 5, 7, 3, 3, 3, 3, 3, 2, 2, 3, 3, 4, 3, 3, 5, 4, 4, 3, 4, 10, 4, 4, 1, 3, 4, 3, 7, 2, 21, 2, 3, 10, 5, 4, 5, 4, 3, 4, 2, 3, 7, 6, 1, 5, 4, 3, 3, 6, 5, 8, 3, 3, 6, 3, 4, 4, 1, 5, 3, 3, 1, 4, 6, 1]","[-139, 101, 226, 89, 12, 120, -75, -78, 125, -549, 68, -138, 146, 125, 89, 61, 133, 204, -34, 102, 71, 130, 61, 212, 41, 136, 47, 159, 157, -433, -21, -69, -62, 103, 136, 159, -17, 177, -1228, 145, 195, -415, 172, 70, -327, 109, 90, -279, 111, 86, -269, -162, -17, -90, 42, -98, 113, -80, -1, -242, -25, 99, 40, 136, 101, 86, -89, -95, -18, 110, -9, 77, -37, 124]","[404, 616, 353, 308, 252, 375, 526, 641, 418, 1382, 595, 722, 349, 383, 351, 324, 333, 311, 284, 334, 325, 498, 334, 334, 516, 426, 416, 359, 475, 1012, 464, 410, 184, 371, 442, 407, 775, 279, 2015, 244, 364, 999, 530, 432, 498, 486, 394, 456, 226, 362, 719, 667, 127, 492, 421, 286, 316, 594, 515, 832, 325, 305, 647, 327, 442, 490, 199, 559, 397, 354, 154, 425, 624, 188]","[7, 6, 4, 3, 2, 2, 1, 6, 2, 13, 10, 6, 5, 4, 5, 1, 3, 6, 5, 2, 2, 5, 6, 4, 3, 3, 2, 3, 6, 12, 4, 4, 3, 8, 3, 7, 10, 3, 33, 5, 2, 10, 7, 5, 6, 4, 4, 2, 1, 4, 12, 9, 1, 2, 9, 7, 4, 10, 5, 8, 0, 4, 6, 4, 2, 2, 0, 7, 4, 3, 1, 4, 7, 3]",34699
8,"[4, 6, 3, 3, 2, 3, 5, 6, 4, 13, 5, 7, 3, 3, 3, 3, 3, 3, 2, 3, 3, 4, 3, 3, 5, 4, 4, 3, 4, 10, 4, 4, 1, 3, 4, 4, 7, 2, 20, 2, 3, 9, 5, 4, 4, 4, 3, 4, 2, 3, 7, 6, 1, 4, 4, 2, 3, 5, 5, 8, 3, 3, 6, 3, 4, 4, 1, 5, 3, 3, 1, 4, 6, 1]","[-152, 111, 258, 84, 25, 125, -72, -96, 113, -594, 67, -153, 162, 127, 96, 69, 140, 225, -38, 113, 75, 152, 69, 223, 59, 158, 58, 184, 162, -489, -18, -87, -65, 131, 147, 177, -19, 189, -1326, 170, 212, -461, 177, 68, -366, 102, 93, -304, 117, 101, -287, -186, -18, -92, 51, -102, 133, -95, -12, -264, -17, 100, 24, 152, 117, 94, -96, -97, -8, 122, -6, 86, -34, 136]","[389, 623, 387, 302, 264, 380, 529, 623, 407, 1330, 595, 706, 364, 387, 355, 331, 338, 333, 278, 347, 329, 514, 340, 346, 536, 443, 425, 382, 480, 957, 466, 387, 179, 397, 449, 426, 773, 291, 1912, 269, 378, 952, 535, 430, 455, 480, 396, 433, 231, 375, 698, 637, 126, 486, 429, 281, 337, 575, 500, 808, 333, 303, 631, 344, 457, 494, 190, 550, 401, 360, 158, 432, 625, 200]","[6, 9, 1, 4, 3, 3, 5, 6, 3, 20, 4, 8, 4, 1, 6, 4, 5, 2, 4, 1, 3, 10, 5, 2, 3, 9, 6, 5, 4, 9, 5, 9, 3, 5, 8, 3, 7, 2, 25, 2, 6, 10, 5, 4, 8, 3, 4, 2, 3, 5, 10, 12, 1, 8, 5, 3, 2, 9, 9, 10, 3, 6, 6, 2, 5, 8, 3, 12, 9, 9, 0, 6, 8, 1]",34589
9,"[3, 6, 3, 3, 2, 3, 5, 6, 4, 13, 5, 7, 3, 3, 3, 3, 3, 3, 2, 3, 3, 5, 3, 3, 5, 4, 4, 3, 4, 9, 4, 3, 1, 3, 4, 4, 7, 2, 19, 2, 3, 9, 5, 4, 4, 4, 3, 4, 2, 3, 6, 6, 1, 4, 4, 2, 3, 5, 5, 8, 3, 3, 6, 3, 4, 4, 1, 5, 4, 3, 1, 4, 6, 2]","[-167, 125, 275, 107, 23, 113, -74, -81, 107, -629, 75, -165, 171, 143, 104, 81, 163, 238, -39, 123, 81, 159, 80, 231, 63, 167, 66, 183, 178, -534, -19, -89, -70, 144, 158, 183, -37, 206, -1440, 186, 233, -490, 192, 81, -399, 105, 86, -315, 125, 121, -313, -198, -12, -86, 58, -112, 138, -109, -21, -299, -19, 114, 27, 160, 113, 98, -109, -86, -11, 133, -7, 91, -24, 146]","[373, 631, 405, 327, 262, 367, 528, 632, 398, 1292, 603, 687, 371, 399, 362, 340, 361, 342, 274, 358, 333, 520, 350, 351, 542, 445, 427, 377, 491, 906, 462, 385, 172, 410, 459, 432, 748, 307, 1790, 284, 396, 917, 551, 443, 421, 480, 388, 422, 236, 392, 666, 622, 131, 492, 438, 269, 341, 557, 488, 772, 332, 317, 632, 355, 456, 496, 177, 555, 396, 371, 155, 437, 629, 211]","[4, 12, 2, 1, 2, 4, 4, 12, 7, 16, 5, 14, 5, 7, 4, 6, 3, 7, 5, 2, 5, 6, 4, 6, 3, 11, 10, 7, 9, 15, 7, 3, 3, 3, 5, 4, 14, 3, 27, 3, 6, 15, 4, 4, 5, 7, 4, 4, 5, 6, 12, 9, 2, 4, 2, 4, 4, 9, 8, 9, 2, 3, 8, 0, 1, 6, 1, 11, 6, 3, 3, 4, 12, 1]",34444
