0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-17, 12, 44, 30, 9, 26, -23, -7, 21, -87, 21, -27, 22, 41, 21, -3, 27, 39, -19, 17, 11, 28, 15, 48, 2, 30, 9, 24, 35, -106, -20, -13, -22, 12, 28, 18, -16, 27, -235, 23, 34, -72, 33, 24, -61, 7, 21, -58, 35, 22, -55, -34, 2, -13, 6, -22, 23, -26, 0, -34, 1, 23, 5, 22, 18, 9, -13, -13, -2, 30, -2, 8, 15, 22]"
2,"[-37, 34, 81, 43, 13, 37, -35, -20, 43, -186, 26, -52, 51, 60, 19, 15, 52, 79, -24, 35, 26, 44, 34, 87, 8, 56, 13, 55, 44, -188, -32, -23, -33, 29, 54, 49, -31, 55, -425, 46, 72, -124, 77, 45, -124, 25, 28, -110, 49, 47, -88, -68, 0, -33, 11, -35, 32, -41, -1, -72, 1, 40, 12, 44, 36, 26, -41, -27, -8, 54, -4, 14, 16, 45]"
3,"[-55, 62, 112, 59, 8, 56, -50, -18, 60, -289, 54, -89, 75, 79, 46, 25, 77, 117, -23, 54, 34, 55, 25, 136, 10, 83, 25, 77, 68, -245, -27, -28, -39, 59, 86, 74, -30, 82, -620, 67, 98, -182, 89, 46, -191, 32, 53, -154, 59, 55, -132, -87, -5, -43, 13, -50, 58, -73, 14, -122, -1, 59, 5, 83, 52, 37, -57, -45, -14, 73, -5, 29, -11, 65]"
4,"[-68, 76, 144, 69, 4, 69, -62, -20, 80, -369, 63, -104, 99, 108, 61, 44, 91, 134, -26, 67, 49, 75, 32, 164, 27, 91, 34, 96, 90, -309, -31, -41, -46, 58, 81, 95, -19, 108, -804, 88, 118, -236, 109, 53, -235, 59, 63, -195, 65, 74, -167, -108, -13, -53, 17, -68, 82, -73, 22, -159, -5, 69, 10, 93, 70, 48, -64, -58, -17, 92, -11, 51, -18, 87]"
5,"[-99, 77, 174, 85, -3, 92, -48, -38, 101, -448, 62, -121, 123, 111, 74, 50, 109, 152, -34, 83, 45, 99, 44, 177, 35, 114, 38, 121, 113, -349, -28, -52, -42, 69, 109, 115, -21, 130, -984, 111, 141, -307, 140, 66, -267, 79, 69, -219, 77, 66, -205, -125, -18, -59, 29, -87, 83, -76, 9, -170, -10, 86, 27, 99, 82, 63, -80, -64, -34, 116, -11, 49, -5, 110]"
6,"[-122, 94, 199, 81, 1, 108, -69, -68, 107, -496, 63, -132, 135, 114, 98, 62, 113, 180, -38, 93, 65, 107, 58, 186, 42, 131, 35, 128, 131, -388, -20, -61, -53, 82, 116, 140, -15, 147, -1124, 133, 176, -375, 165, 73, -301, 104, 76, -245, 108, 75, -222, -142, -20, -72, 34, -86, 106, -77, 10, -215, -19, 103, 23, 118, 95, 72, -89, -77, -26, 121, -12, 56, -17, 117]"
7,"[-139, 101, 226, 89, 12, 120, -75, -78, 125, -549, 68, -138, 146, 125, 89, 61, 133, 204, -34, 102, 71, 130, 61, 212, 41, 136, 47, 159, 157, -433, -21, -69, -62, 103, 136, 159, -17, 177, -1228, 145, 195, -415, 172, 70, -327, 109, 90, -279, 111, 86, -269, -162, -17, -90, 42, -98, 113, -80, -1, -242, -25, 99, 40, 136, 101, 86, -89, -95, -18, 110, -9, 77, -37, 124]"
8,"[-152, 111, 258, 84, 25, 125, -72, -96, 113, -594, 67, -153, 162, 127, 96, 69, 140, 225, -38, 113, 75, 152, 69, 223, 59, 158, 58, 184, 162, -489, -18, -87, -65, 131, 147, 177, -19, 189, -1326, 170, 212, -461, 177, 68, -366, 102, 93, -304, 117, 101, -287, -186, -18, -92, 51, -102, 133, -95, -12, -264, -17, 100, 24, 152, 117, 94, -96, -97, -8, 122, -6, 86, -34, 136]"
9,"[-167, 125, 275, 107, 23, 113, -74, -81, 107, -629, 75, -165, 171, 143, 104, 81, 163, 238, -39, 123, 81, 159, 80, 231, 63, 167, 66, 183, 178, -534, -19, -89, -70, 144, 158, 183, -37, 206, -1440, 186, 233, -490, 192, 81, -399, 105, 86, -315, 125, 121, -313, -198, -12, -86, 58, -112, 138, -109, -21, -299, -19, 114, 27, 160, 113, 98, -109, -86, -11, 133, -7, 91, -24, 146]"
10,"[-181, 133, 303, 127, 27, 119, -87, -86, 107, -680, 85, -175, 177, 153, 107, 84, 190, 258, -54, 131, 86, 183, 93, 253, 79, 174, 56, 201, 200, -577, -29, -103, -72, 149, 180, 186, -45, 207, -1537, 210, 245, -537, 202, 84, -430, 121, 88, -346, 135, 139, -331, -212, -14, -82, 55, -114, 154, -104, -15, -322, -26, 128, 12, 176, 118, 99, -119, -90, -8, 142, -5, 92, -18, 151]"
11,"[-183, 155, 320, 132, 30, 126, -88, -88, 116, -726, 87, -194, 186, 152, 104, 99, 195, 263, -59, 147, 92, 198, 103, 264, 81, 179, 63, 203, 203, -600, -25, -99, -68, 151, 189, 190, -51, 221, -1629, 232, 257, -573, 216, 82, -445, 126, 97, -375, 163, 156, -352, -232, -19, -72, 50, -111, 160, -108, -5, -344, -24, 125, -10, 190, 133, 118, -126, -93, -20, 145, -9, 89, -18, 158]"
12,"[-181, 172, 337, 140, 35, 132, -104, -113, 128, -775, 86, -196, 194, 142, 118, 116, 210, 263, -66, 160, 98, 215, 107, 287, 80, 194, 62, 221, 218, -624, -31, -110, -77, 154, 199, 213, -51, 236, -1708, 241, 243, -594, 224, 87, -466, 121, 91, -387, 171, 161, -363, -230, -20, -89, 57, -124, 168, -125, -6, -357, -20, 121, -24, 191, 149, 127, -136, -94, -11, 163, -13, 96, -15, 182]"
