,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-15, 35, 35, 19, -1, 24, -18, -17, 28, -115, 14, -33, 26, 21, 9, 16, 41, 39, -1, 27, 3, 45, 16, 49, 24, 22, 2, 29, 30, -72, -1, -7, -12, 18, 28, 18, 27, 25, -250, 11, 36, -108, 31, 14, -71, 15, 10, -51, 16, 39, -54, -26, -6, -21, 3, -22, 27, -25, -11, -46, 2, 6, 40, 35, 13, 26, -11, -31, -29, 23, 9, 9, 2, 17]","[530, 556, 171, 244, 240, 289, 588, 696, 319, 1823, 546, 826, 231, 274, 276, 279, 246, 149, 326, 263, 258, 423, 294, 171, 496, 313, 371, 225, 355, 1368, 482, 466, 233, 285, 331, 272, 827, 140, 2983, 117, 213, 1305, 392, 382, 756, 396, 315, 688, 139, 325, 939, 804, 142, 558, 383, 379, 233, 657, 508, 1034, 347, 221, 653, 225, 358, 430, 274, 628, 385, 264, 173, 359, 670, 83]","[5, 10, 3, 2, 2, 0, 4, 4, 0, 14, 7, 7, 3, 5, 1, 2, 1, 2, 6, 3, 2, 5, 1, 2, 0, 0, 2, 1, 5, 8, 2, 2, 0, 6, 5, 3, 10, 1, 29, 0, 2, 12, 2, 1, 9, 1, 3, 4, 1, 1, 11, 6, 1, 6, 7, 4, 1, 7, 3, 6, 3, 2, 2, 3, 1, 3, 5, 6, 1, 2, 1, 1, 8, 1]",34900
2,"[5, 5, 1, 2, 2, 2, 5, 6, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 2, 3, 2, 8, 1, 29, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 8, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 0]","[-37, 70, 93, 45, 5, 62, -34, -49, 34, -192, 39, -86, 54, 47, 17, 34, 50, 74, 0, 38, 15, 78, 24, 97, 31, 51, 9, 59, 38, -139, 2, -31, -17, 43, 42, 19, 53, 80, -476, 29, 69, -205, 55, 29, -143, 24, 39, -104, 20, 52, -97, -39, -9, -33, 0, -31, 30, -49, -22, -71, -1, 33, 36, 66, 27, 41, -29, -46, -25, 57, 7, 17, 2, 29]","[509, 590, 230, 268, 246, 327, 573, 663, 327, 1747, 571, 777, 260, 299, 284, 293, 253, 183, 328, 274, 271, 455, 299, 218, 502, 341, 378, 257, 361, 1307, 485, 438, 228, 312, 344, 275, 860, 193, 2763, 135, 244, 1208, 416, 399, 680, 404, 346, 637, 144, 339, 897, 783, 138, 547, 382, 368, 236, 631, 496, 1012, 346, 248, 650, 257, 373, 445, 257, 615, 389, 296, 172, 366, 672, 93]","[4, 6, 0, 4, 2, 2, 4, 7, 1, 17, 5, 4, 1, 3, 2, 6, 4, 2, 2, 2, 1, 5, 5, 2, 5, 4, 3, 0, 5, 7, 4, 8, 2, 0, 4, 0, 1, 3, 23, 1, 4, 13, 3, 1, 11, 4, 1, 4, 0, 2, 8, 16, 2, 4, 1, 5, 2, 8, 6, 7, 1, 2, 5, 1, 2, 4, 1, 4, 3, 4, 0, 4, 4, 2]",34910
3,"[5, 5, 2, 2, 2, 3, 5, 6, 3, 17, 5, 7, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 2, 5, 3, 3, 2, 3, 13, 4, 4, 2, 3, 3, 2, 8, 1, 27, 1, 2, 12, 4, 3, 6, 4, 3, 6, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 10, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 0]","[-63, 78, 127, 50, 18, 90, -58, -63, 56, -273, 52, -114, 78, 62, 21, 60, 74, 105, -19, 64, 21, 122, 24, 143, 49, 54, 12, 86, 70, -214, 0, -36, -9, 62, 71, 42, 51, 107, -704, 51, 104, -271, 60, 31, -192, 49, 66, -150, 38, 68, -121, -67, -20, -34, 12, -51, 41, -53, -24, -112, 3, 35, 24, 105, 42, 53, -44, -54, -27, 84, -1, 42, -19, 36]","[484, 599, 264, 274, 259, 354, 553, 648, 351, 1669, 581, 749, 283, 315, 285, 319, 277, 214, 311, 300, 278, 494, 300, 261, 524, 343, 381, 285, 394, 1232, 479, 436, 238, 328, 374, 299, 858, 219, 2523, 158, 277, 1147, 419, 396, 633, 427, 371, 595, 161, 352, 876, 755, 128, 547, 389, 347, 249, 630, 491, 974, 352, 248, 641, 296, 388, 456, 243, 605, 388, 323, 165, 388, 649, 100]","[4, 4, 2, 1, 2, 4, 1, 7, 1, 14, 8, 7, 3, 1, 5, 2, 2, 1, 1, 2, 1, 9, 1, 5, 1, 4, 3, 1, 2, 13, 8, 1, 0, 6, 2, 1, 8, 2, 39, 0, 4, 7, 6, 8, 4, 6, 5, 2, 2, 6, 5, 7, 0, 4, 8, 4, 0, 3, 7, 7, 1, 4, 3, 2, 3, 5, 1, 8, 2, 2, 0, 6, 8, 0]",34899
4,"[4, 5, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 2, 3, 2, 3, 2, 2, 3, 3, 2, 4, 3, 2, 5, 3, 3, 2, 3, 12, 4, 4, 2, 3, 3, 2, 8, 2, 25, 1, 2, 11, 4, 3, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 3, 4, 2, 6, 3, 3, 1, 3, 6, 1]","[-82, 94, 166, 71, 13, 96, -72, -66, 58, -347, 80, -134, 107, 82, 34, 61, 106, 120, -23, 87, 26, 153, 47, 175, 67, 63, 7, 129, 92, -281, 8, -42, -15, 82, 101, 55, 62, 132, -861, 59, 121, -333, 64, 39, -236, 58, 87, -195, 41, 91, -161, -95, -26, -33, 17, -70, 67, -84, -35, -160, -11, 38, 28, 120, 54, 72, -56, -77, -38, 103, -1, 61, -12, 52]","[469, 613, 303, 295, 252, 360, 542, 648, 353, 1585, 609, 731, 310, 336, 298, 319, 308, 229, 309, 322, 281, 523, 322, 293, 544, 350, 376, 328, 415, 1162, 487, 431, 232, 349, 403, 310, 872, 245, 2373, 165, 293, 1086, 423, 405, 588, 433, 391, 549, 163, 372, 835, 730, 122, 550, 393, 328, 275, 599, 476, 916, 336, 249, 642, 311, 401, 476, 232, 584, 378, 342, 164, 404, 658, 117]","[0, 7, 2, 2, 4, 3, 2, 3, 3, 26, 5, 5, 4, 2, 2, 4, 3, 2, 1, 4, 4, 6, 4, 2, 3, 5, 3, 2, 4, 15, 4, 3, 2, 2, 4, 4, 5, 1, 18, 2, 3, 10, 4, 2, 7, 7, 4, 6, 2, 6, 9, 4, 1, 3, 4, 3, 2, 6, 8, 19, 5, 4, 9, 2, 2, 3, 1, 4, 2, 3, 2, 6, 4, 0]",34873
5,"[4, 6, 3, 2, 2, 3, 5, 6, 3, 15, 6, 7, 3, 3, 2, 3, 3, 2, 3, 3, 2, 5, 3, 2, 5, 3, 3, 3, 4, 11, 4, 4, 2, 3, 4, 3, 8, 2, 23, 1, 2, 10, 4, 4, 5, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 5, 4, 9, 3, 2, 6, 3, 4, 4, 2, 5, 3, 3, 1, 4, 6, 1]","[-109, 125, 202, 89, 26, 120, -76, -71, 66, -411, 77, -175, 155, 79, 42, 58, 128, 139, -34, 108, 33, 177, 59, 204, 91, 77, 25, 140, 126, -359, 8, -51, -24, 96, 129, 72, 69, 153, -1028, 72, 133, -399, 75, 40, -268, 81, 118, -234, 42, 114, -212, -107, -37, -44, 2, -83, 97, -103, -41, -189, -5, 56, 35, 142, 48, 80, -66, -97, -51, 129, -3, 72, 12, 56]","[441, 642, 341, 313, 267, 384, 534, 640, 363, 1511, 606, 690, 360, 333, 304, 315, 332, 248, 297, 342, 288, 541, 334, 323, 570, 363, 393, 341, 450, 1084, 486, 420, 225, 365, 434, 329, 878, 267, 2197, 174, 305, 1023, 433, 407, 556, 455, 423, 509, 164, 389, 783, 715, 112, 538, 376, 311, 304, 576, 473, 888, 345, 266, 649, 333, 396, 482, 222, 564, 362, 367, 163, 417, 683, 121]","[5, 8, 1, 2, 0, 3, 9, 9, 1, 25, 6, 7, 1, 3, 4, 4, 1, 2, 4, 4, 2, 11, 3, 1, 3, 4, 4, 1, 3, 11, 5, 6, 0, 1, 1, 1, 9, 1, 32, 5, 2, 7, 5, 3, 5, 5, 2, 6, 1, 9, 9, 10, 0, 6, 5, 7, 3, 9, 1, 8, 0, 3, 6, 3, 3, 6, 2, 5, 6, 4, 0, 2, 5, 1]",34835
6,"[4, 6, 3, 3, 2, 3, 5, 6, 3, 15, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 3, 5, 3, 3, 3, 4, 10, 4, 4, 2, 3, 4, 3, 8, 2, 21, 1, 3, 10, 4, 4, 5, 4, 4, 5, 1, 3, 7, 7, 1, 5, 3, 3, 3, 5, 4, 8, 3, 2, 6, 3, 3, 4, 2, 5, 3, 3, 1, 4, 6, 1]","[-126, 143, 219, 87, 39, 121, -85, -83, 76, -483, 94, -210, 170, 90, 61, 65, 160, 163, -43, 131, 29, 201, 88, 220, 104, 81, 36, 159, 164, -421, 10, -70, -33, 118, 149, 78, 76, 171, -1156, 104, 163, -471, 92, 41, -304, 100, 142, -261, 49, 121, -250, -115, -41, -57, -1, -96, 117, -113, -56, -221, -11, 71, 38, 158, 52, 101, -84, -109, -51, 145, -2, 75, 14, 67]","[423, 663, 355, 308, 281, 384, 525, 628, 370, 1433, 621, 653, 373, 342, 322, 322, 364, 270, 289, 365, 284, 565, 361, 337, 583, 368, 405, 358, 487, 1020, 488, 403, 216, 388, 456, 336, 883, 281, 2070, 207, 336, 950, 451, 409, 520, 475, 447, 481, 171, 395, 745, 705, 107, 522, 374, 296, 321, 562, 461, 852, 337, 283, 649, 346, 396, 498, 202, 553, 363, 383, 162, 422, 685, 133]","[5, 3, 6, 6, 1, 4, 5, 6, 6, 21, 8, 8, 5, 5, 4, 3, 3, 4, 1, 3, 2, 5, 5, 5, 5, 2, 2, 5, 5, 12, 4, 2, 2, 2, 2, 2, 10, 6, 20, 0, 2, 11, 3, 3, 5, 3, 4, 6, 1, 4, 7, 9, 2, 8, 2, 5, 6, 9, 1, 12, 5, 0, 9, 6, 7, 9, 4, 4, 2, 3, 3, 2, 6, 0]",34779
7,"[4, 6, 3, 3, 2, 3, 5, 6, 3, 14, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 3, 5, 3, 4, 3, 4, 10, 4, 4, 2, 3, 4, 3, 8, 2, 20, 2, 3, 9, 4, 4, 5, 4, 4, 4, 1, 3, 7, 7, 1, 5, 3, 2, 3, 5, 4, 8, 3, 2, 6, 3, 3, 4, 2, 5, 3, 3, 1, 4, 6, 1]","[-142, 172, 261, 107, 37, 122, -111, -107, 75, -535, 91, -234, 196, 113, 65, 86, 185, 191, -49, 143, 44, 208, 90, 236, 108, 96, 37, 183, 169, -480, 10, -90, -34, 140, 184, 87, 96, 191, -1276, 107, 187, -528, 113, 49, -345, 128, 158, -295, 64, 135, -282, -131, -38, -62, -2, -104, 122, -116, -66, -259, -9, 77, 44, 177, 60, 111, -91, -123, -54, 158, -1, 72, 3, 76]","[403, 691, 390, 330, 278, 386, 497, 599, 369, 1381, 617, 628, 399, 365, 325, 343, 385, 297, 281, 376, 295, 572, 362, 353, 584, 383, 404, 383, 487, 961, 490, 380, 217, 407, 490, 344, 902, 301, 1948, 209, 359, 891, 468, 415, 475, 501, 456, 439, 186, 408, 709, 687, 111, 514, 373, 281, 325, 556, 451, 811, 339, 288, 656, 365, 405, 509, 196, 540, 358, 397, 161, 419, 674, 142]","[8, 7, 10, 1, 3, 2, 7, 11, 3, 14, 7, 7, 3, 3, 4, 3, 7, 3, 4, 4, 6, 5, 4, 3, 8, 3, 6, 2, 9, 10, 2, 7, 0, 6, 5, 4, 9, 2, 22, 3, 4, 11, 8, 6, 9, 6, 11, 12, 1, 4, 11, 9, 0, 8, 3, 9, 4, 8, 4, 11, 3, 3, 5, 3, 2, 3, 1, 4, 5, 2, 3, 4, 6, 1]",34677
8,"[4, 6, 3, 3, 2, 3, 4, 5, 3, 13, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 3, 5, 3, 4, 3, 4, 9, 4, 3, 2, 4, 4, 3, 9, 3, 19, 2, 3, 8, 4, 4, 4, 5, 4, 4, 1, 4, 7, 6, 1, 5, 3, 2, 3, 5, 4, 8, 3, 2, 6, 3, 4, 5, 1, 5, 3, 3, 1, 4, 6, 1]","[-142, 195, 280, 118, 37, 119, -116, -114, 82, -585, 100, -253, 216, 123, 77, 84, 194, 208, -55, 149, 49, 232, 88, 248, 116, 113, 36, 205, 199, -525, 19, -91, -40, 155, 197, 103, 102, 205, -1393, 119, 208, -571, 119, 63, -380, 141, 179, -326, 71, 148, -318, -150, -39, -64, -7, -113, 144, -118, -69, -281, -24, 89, 39, 193, 71, 108, -107, -151, -56, 173, 5, 86, 9, 74]","[402, 713, 409, 336, 275, 383, 490, 590, 376, 1325, 626, 605, 418, 374, 333, 340, 392, 315, 275, 378, 298, 597, 358, 366, 596, 398, 401, 402, 514, 916, 500, 379, 212, 417, 502, 359, 911, 316, 1824, 222, 382, 851, 476, 431, 439, 511, 479, 408, 191, 422, 669, 664, 109, 511, 363, 269, 346, 556, 445, 788, 324, 298, 644, 378, 417, 506, 180, 510, 355, 408, 166, 430, 680, 141]","[5, 7, 3, 8, 5, 3, 6, 7, 3, 19, 6, 10, 4, 4, 7, 4, 5, 1, 2, 7, 4, 4, 5, 2, 1, 5, 6, 6, 7, 9, 3, 3, 1, 9, 5, 4, 6, 2, 26, 1, 1, 5, 2, 2, 5, 8, 2, 4, 3, 3, 11, 10, 2, 6, 8, 5, 4, 3, 7, 9, 3, 4, 13, 6, 3, 5, 1, 7, 4, 7, 2, 7, 6, 0]",34590
9,"[4, 7, 4, 3, 2, 3, 4, 5, 3, 13, 6, 6, 4, 3, 3, 3, 3, 3, 2, 3, 2, 5, 3, 3, 5, 3, 4, 4, 5, 9, 5, 3, 2, 4, 5, 3, 9, 3, 18, 2, 3, 8, 4, 4, 4, 5, 4, 4, 1, 4, 6, 6, 1, 5, 3, 2, 3, 5, 4, 7, 3, 2, 6, 3, 4, 5, 1, 5, 3, 4, 1, 4, 6, 1]","[-150, 223, 299, 133, 39, 133, -129, -136, 96, -627, 110, -274, 218, 114, 94, 97, 201, 230, -58, 172, 54, 241, 91, 269, 109, 116, 27, 215, 219, -565, 24, -96, -53, 171, 211, 102, 89, 221, -1506, 143, 224, -610, 129, 66, -403, 153, 168, -347, 77, 149, -324, -159, -44, -64, -11, -123, 167, -118, -69, -293, -24, 84, 45, 221, 82, 130, -120, -167, -59, 193, 2, 79, 19, 80]","[392, 738, 427, 351, 277, 394, 472, 567, 388, 1281, 640, 586, 423, 363, 349, 353, 397, 337, 270, 398, 302, 599, 360, 387, 590, 400, 393, 412, 535, 877, 501, 372, 199, 435, 514, 356, 901, 333, 1711, 242, 397, 812, 486, 434, 409, 524, 465, 386, 197, 419, 658, 649, 103, 507, 356, 256, 366, 554, 443, 778, 321, 288, 645, 405, 426, 528, 166, 493, 347, 425, 162, 422, 688, 148]","[6, 10, 5, 3, 2, 6, 9, 6, 5, 15, 2, 4, 1, 5, 4, 3, 5, 3, 4, 6, 3, 12, 4, 3, 4, 4, 3, 4, 4, 8, 9, 5, 2, 2, 7, 5, 6, 2, 18, 6, 4, 8, 4, 4, 11, 4, 7, 5, 1, 8, 11, 12, 2, 9, 6, 5, 6, 7, 6, 5, 6, 7, 11, 4, 6, 5, 2, 6, 8, 7, 2, 5, 8, 0]",34485
