0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-28, 9, 42, 18, 15, 35, -12, 9, 24, -94, 1, -38, 34, 10, 13, 19, 16, 33, -18, 24, 3, 30, 10, 43, 12, 32, 15, 21, 19, -84, -2, -18, -15, 30, 43, 33, 7, 34, -241, 36, 36, -65, 38, 19, -61, 27, 9, -57, 18, 18, -54, -42, -11, -12, 0, -26, 19, -14, -14, -37, 9, 15, 9, 36, 12, 7, -25, -19, 8, 27, -7, 8, -13, 22]"
2,"[-46, 31, 81, 34, 21, 54, -9, 6, 42, -224, 15, -62, 40, 39, 28, 30, 41, 54, -11, 52, 24, 65, 14, 89, 22, 55, 28, 37, 41, -159, -16, -28, -22, 42, 56, 71, -7, 72, -457, 56, 59, -152, 34, 24, -106, 50, 25, -98, 30, 41, -97, -61, -18, -34, 19, -37, 33, -17, -17, -69, 0, 29, 19, 55, 37, 41, -39, -23, 0, 50, -12, 25, -23, 33]"
3,"[-70, 56, 125, 44, 32, 55, -25, -17, 47, -316, 1, -81, 72, 67, 52, 40, 56, 72, -12, 60, 37, 95, 18, 136, 41, 69, 29, 63, 55, -214, -7, -45, -30, 57, 76, 101, 10, 103, -630, 88, 80, -230, 43, 27, -155, 68, 40, -138, 49, 65, -137, -96, -20, -33, 23, -55, 62, -24, -15, -108, -8, 38, 28, 79, 57, 32, -51, -34, -3, 76, -10, 18, -26, 48]"
4,"[-78, 63, 145, 64, 34, 83, -45, -39, 61, -408, 21, -117, 94, 69, 55, 50, 81, 107, -24, 85, 42, 119, 38, 166, 34, 76, 46, 90, 71, -279, -2, -59, -39, 66, 108, 143, 7, 111, -807, 110, 108, -303, 64, 42, -200, 66, 46, -169, 73, 84, -176, -122, -24, -37, 35, -76, 72, -25, 1, -145, -6, 55, 27, 102, 70, 47, -67, -50, 16, 91, -8, 15, -18, 70]"
5,"[-100, 82, 177, 76, 39, 92, -57, -60, 80, -459, 54, -136, 115, 92, 64, 59, 103, 123, -24, 99, 38, 151, 52, 196, 59, 94, 52, 115, 76, -339, -5, -68, -43, 80, 125, 164, 11, 136, -994, 135, 133, -341, 92, 41, -255, 56, 49, -194, 87, 92, -200, -146, -23, -69, 26, -84, 90, -28, -8, -182, -13, 68, 10, 121, 87, 69, -69, -63, 16, 111, -4, 10, -25, 92]"
6,"[-118, 89, 212, 79, 46, 118, -64, -58, 86, -532, 63, -177, 135, 108, 64, 72, 125, 137, -25, 127, 34, 159, 69, 222, 71, 119, 55, 139, 94, -379, -4, -77, -49, 105, 139, 173, 22, 150, -1153, 148, 158, -402, 96, 46, -291, 75, 55, -239, 102, 106, -230, -165, -27, -74, 33, -91, 109, -19, 1, -208, -3, 72, 11, 131, 95, 77, -83, -68, 1, 118, -1, 27, -38, 102]"
7,"[-136, 104, 235, 88, 53, 136, -72, -67, 83, -591, 67, -208, 151, 131, 79, 83, 134, 152, -36, 130, 33, 164, 66, 236, 82, 132, 55, 162, 105, -420, -5, -80, -60, 105, 148, 188, 21, 184, -1262, 156, 181, -462, 108, 59, -324, 81, 80, -269, 118, 129, -253, -182, -27, -81, 32, -100, 128, -21, -2, -248, -21, 87, -1, 148, 116, 83, -94, -78, 10, 121, -4, 50, -7, 117]"
8,"[-156, 114, 244, 103, 52, 148, -73, -85, 92, -637, 72, -225, 170, 146, 77, 93, 135, 168, -42, 151, 46, 180, 67, 255, 85, 156, 49, 188, 122, -471, 1, -94, -64, 114, 155, 193, -3, 199, -1380, 178, 193, -500, 119, 65, -365, 101, 92, -289, 125, 139, -286, -195, -27, -93, 39, -112, 150, -57, 2, -270, -19, 101, 12, 160, 108, 100, -100, -77, 28, 149, 4, 49, 6, 125]"
9,"[-164, 112, 249, 109, 59, 150, -94, -94, 103, -673, 61, -232, 183, 159, 75, 104, 146, 190, -46, 154, 47, 189, 69, 284, 101, 165, 36, 204, 117, -511, -2, -101, -64, 121, 167, 203, -10, 220, -1489, 209, 219, -535, 140, 73, -378, 109, 90, -295, 129, 146, -305, -197, -35, -97, 47, -131, 160, -74, 4, -279, -36, 107, 36, 175, 111, 107, -102, -71, 21, 152, -4, 60, 9, 138]"
10,"[-173, 125, 262, 116, 72, 161, -95, -97, 117, -705, 69, -234, 197, 167, 84, 110, 151, 224, -48, 179, 48, 196, 80, 312, 93, 170, 42, 210, 139, -553, 10, -96, -65, 138, 165, 188, 0, 229, -1567, 218, 236, -563, 135, 76, -411, 100, 90, -308, 136, 148, -331, -211, -40, -93, 42, -145, 165, -76, -8, -317, -35, 109, 46, 184, 113, 100, -107, -76, 25, 164, -8, 61, 12, 148]"
11,"[-181, 125, 284, 129, 69, 181, -103, -91, 123, -759, 81, -237, 207, 172, 93, 104, 161, 236, -68, 184, 59, 206, 73, 324, 105, 156, 46, 221, 150, -580, 3, -102, -62, 148, 176, 201, -8, 231, -1636, 228, 262, -588, 144, 78, -433, 101, 106, -321, 157, 164, -346, -213, -42, -90, 46, -157, 177, -100, -16, -347, -31, 123, 18, 185, 119, 115, -117, -84, 17, 173, -7, 72, 18, 168]"
12,"[-189, 136, 314, 131, 65, 185, -112, -103, 126, -788, 81, -258, 219, 159, 91, 118, 176, 247, -67, 188, 61, 209, 88, 344, 125, 171, 48, 231, 157, -606, 1, -107, -77, 147, 194, 213, -24, 225, -1721, 233, 270, -610, 146, 82, -463, 122, 111, -321, 178, 173, -364, -226, -43, -97, 49, -163, 194, -110, -15, -354, -34, 129, 8, 204, 133, 119, -128, -86, 13, 177, -2, 84, 19, 174]"
13,"[-204, 144, 334, 150, 55, 187, -99, -122, 127, -816, 106, -271, 220, 159, 78, 128, 189, 250, -61, 203, 59, 222, 94, 362, 118, 181, 25, 231, 159, -630, 1, -114, -71, 162, 208, 209, -26, 237, -1798, 242, 283, -639, 163, 99, -492, 118, 125, -339, 185, 163, -376, -232, -44, -89, 59, -167, 205, -119, -15, -387, -31, 134, 12, 210, 144, 120, -130, -86, 2, 186, -3, 110, 7, 196]"
14,"[-214, 142, 356, 149, 55, 198, -84, -123, 133, -856, 102, -277, 250, 166, 93, 131, 197, 249, -58, 202, 73, 221, 90, 377, 129, 177, 27, 234, 174, -671, -16, -115, -74, 194, 225, 213, -45, 238, -1874, 260, 285, -672, 174, 99, -512, 121, 127, -346, 193, 166, -396, -235, -45, -87, 63, -172, 226, -127, -22, -378, -37, 149, -5, 225, 155, 133, -139, -75, 1, 191, -3, 107, -5, 193]"
