,Alameda,Allegheny,Allen,Arapoe,Baltimore City,Bernalillo,Bexar,Clark,Collin,Cook,Cuyahoga,Dallas,Dane,Davidson,Denver,District of Columbia,Douglas,Durham,Duvall,El Paso CO,El Paso TX,Erie,Essex,Fayette,Franklin,Fresno,Fulton,Guilford,Hamilton,Harris,Hennepin,Hillsborough,Hudson,Jackson,Jefferson,Kern,King,Lancaster,Los Angeles,Lubbock,Lucas,Maricopa,Marion,Mecklenburg,Miami-Dade,Milwaukee,Multnomah,New York,Nueces,Oklahoma,Orange_CA,Orange_FL,Orleans Parish,Philadelphia,Pima,Pinellas,Ramsey,Riverside,Sacramento,San Diego,San Francisco,San Joaquin,Santa Clara,Sedgwick,Shelby,St. Louis City,Suffolk,Tarrant,Travis,Tulsa,Virginia Beach City,Wake,Wayne,Webb
0,545,526,138,225,241,263,604,710,289,1933,534,858,206,256,266,263,204,111,330,237,255,380,277,123,468,289,368,196,327,1434,481,471,243,271,305,255,802,115,3230,105,178,1411,360,366,828,379,305,736,123,285,995,828,148,580,384,401,205,683,517,1076,345,215,609,192,343,403,288,659,411,241,164,348,670,67
1,518,536,178,243,253,294,593,716,314,1838,534,825,240,267,277,282,221,143,312,260,258,411,287,162,480,319,383,216,343,1358,477,454,226,300,349,288,809,149,3004,140,214,1350,399,385,772,403,315,683,138,300,946,789,138,569,383,375,225,671,502,1038,353,231,615,226,349,410,262,639,418,270,156,355,659,88
2,502,561,217,259,259,313,594,714,333,1713,545,796,246,296,293,291,247,163,316,290,280,445,290,206,488,342,398,232,365,1286,465,443,221,314,364,322,793,186,2787,158,235,1267,394,388,728,427,333,643,149,324,901,768,129,547,402,364,240,666,503,1007,345,243,628,246,374,443,249,636,409,293,150,369,645,99
3,480,585,263,271,267,314,574,688,337,1621,524,779,277,324,317,301,261,181,316,296,292,476,294,253,507,355,400,257,380,1230,473,425,213,327,385,354,816,216,2609,190,257,1189,404,390,679,445,348,606,167,346,859,730,127,545,404,345,268,660,504,970,334,253,635,269,396,436,238,619,406,319,150,361,645,112
4,476,588,284,293,266,341,557,666,352,1525,541,743,300,327,316,313,287,214,305,320,298,500,314,284,496,364,417,286,394,1168,477,406,205,335,418,395,813,224,2436,211,285,1111,424,403,632,442,355,573,191,365,817,694,120,539,417,323,276,657,516,931,333,269,633,292,409,444,223,598,428,333,153,357,651,133
5,453,603,314,302,270,349,541,647,372,1472,577,724,323,351,323,321,306,230,307,333,291,529,326,312,521,384,423,310,397,1107,474,394,200,351,435,414,815,251,2247,235,309,1075,451,401,579,427,357,548,203,374,791,672,119,503,409,315,295,655,509,893,323,282,616,308,424,463,221,585,428,356,156,348,645,154
6,436,602,348,304,279,366,529,645,378,1394,583,686,344,368,322,326,328,241,306,363,284,538,340,338,534,406,425,333,416,1066,471,384,190,371,448,425,824,266,2084,249,335,1013,453,408,540,443,362,501,216,386,756,647,115,499,416,307,315,663,517,867,334,283,620,316,430,467,206,578,415,363,159,366,629,164
7,418,618,363,308,287,385,524,635,375,1329,582,656,357,388,337,338,335,253,296,360,281,539,340,354,545,416,427,354,426,1025,466,380,178,371,459,437,819,302,1978,256,356,953,463,421,505,449,382,470,232,406,723,630,115,486,413,296,333,660,513,827,313,295,612,330,449,472,195,568,427,367,156,389,661,178
8,399,627,370,321,286,394,521,622,381,1280,587,632,374,403,335,349,334,269,287,378,296,549,341,372,546,438,422,377,443,971,473,365,174,381,468,440,793,317,1856,279,368,912,474,425,463,467,393,449,238,415,685,618,114,470,420,283,356,622,516,799,314,304,625,339,441,487,186,568,444,389,163,389,670,186
9,391,622,375,324,292,396,497,609,391,1232,574,622,387,417,331,358,344,290,282,380,292,558,340,398,563,445,407,394,439,925,472,356,174,388,476,447,786,337,1744,310,394,874,491,433,442,476,386,438,242,420,661,614,106,464,430,264,364,599,518,789,298,308,649,353,435,490,182,573,436,390,155,398,670,196
