,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-19, 27, 50, 24, 5, 19, -25, -45, -1, -114, 30, -25, 27, 25, 18, 17, 44, 31, -16, 19, 10, 31, 15, 44, 13, 17, 14, 41, 57, -83, -3, -15, -10, 34, 33, 9, 33, 26, -248, 23, 27, -92, 18, 3, -63, 20, 29, -53, 9, 29, -27, -52, -4, -1, -3, -14, 24, -18, -18, -44, 4, 6, 32, 38, 36, 14, -15, -22, -19, 17, -5, 5, -6, 13]","[530, 552, 188, 249, 247, 282, 582, 666, 288, 1826, 567, 834, 233, 278, 284, 280, 250, 142, 313, 257, 264, 407, 293, 168, 479, 304, 383, 235, 383, 1352, 477, 456, 232, 305, 340, 265, 838, 142, 2993, 127, 203, 1323, 379, 369, 767, 398, 335, 683, 131, 311, 966, 779, 143, 575, 381, 384, 230, 665, 500, 1033, 349, 220, 641, 230, 381, 417, 271, 639, 394, 259, 158, 356, 662, 80]","[1, 6, 1, 2, 1, 2, 3, 6, 2, 12, 2, 7, 2, 5, 2, 2, 0, 1, 4, 1, 3, 7, 1, 0, 6, 4, 2, 3, 4, 13, 5, 4, 3, 2, 1, 1, 5, 0, 21, 2, 3, 10, 2, 3, 6, 4, 2, 7, 2, 5, 11, 5, 2, 9, 3, 7, 1, 6, 4, 9, 3, 3, 6, 1, 1, 4, 4, 4, 2, 1, 2, 0, 8, 0]",34903
2,"[5, 5, 1, 2, 2, 2, 5, 6, 2, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 3, 3, 2, 8, 1, 29, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 0]","[-43, 50, 82, 38, 13, 33, -38, -64, 9, -217, 48, -65, 52, 44, 36, 39, 81, 51, -23, 44, 7, 62, 26, 85, 31, 29, 29, 83, 94, -169, 13, -41, -10, 52, 61, 25, 76, 52, -469, 40, 54, -148, 57, 22, -118, 37, 41, -109, 15, 42, -70, -78, -6, -7, 6, -36, 54, -59, -42, -84, 4, 14, 33, 64, 55, 25, -35, -38, -37, 58, -1, 4, 4, 33]","[502, 572, 217, 263, 255, 297, 570, 647, 298, 1732, 584, 800, 254, 297, 302, 302, 288, 162, 306, 281, 258, 439, 304, 210, 498, 315, 399, 276, 420, 1271, 494, 431, 231, 323, 369, 280, 877, 168, 2755, 143, 230, 1267, 416, 389, 710, 414, 348, 626, 137, 326, 924, 746, 142, 570, 390, 357, 261, 623, 476, 998, 351, 228, 645, 258, 400, 429, 251, 626, 375, 296, 161, 354, 674, 99]","[9, 8, 4, 2, 2, 1, 4, 6, 2, 9, 6, 2, 6, 2, 2, 2, 1, 1, 3, 3, 5, 3, 2, 0, 3, 4, 2, 3, 3, 8, 3, 3, 3, 3, 2, 3, 12, 1, 46, 2, 2, 13, 5, 2, 9, 4, 2, 7, 1, 1, 8, 14, 0, 4, 3, 8, 1, 7, 5, 5, 1, 2, 3, 0, 3, 3, 2, 3, 4, 6, 2, 4, 4, 1]",34887
3,"[5, 5, 2, 2, 2, 2, 5, 6, 2, 17, 5, 8, 2, 2, 3, 3, 2, 1, 3, 2, 2, 4, 3, 2, 4, 3, 3, 2, 4, 12, 4, 4, 2, 3, 3, 2, 8, 1, 27, 1, 2, 12, 4, 3, 7, 4, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 4, 4, 2, 6, 3, 2, 1, 3, 6, 0]","[-52, 79, 123, 59, 22, 57, -77, -85, 29, -273, 70, -98, 80, 64, 57, 50, 108, 80, -34, 84, 2, 102, 28, 127, 36, 50, 25, 110, 118, -245, 17, -65, -27, 74, 78, 40, 77, 86, -658, 54, 89, -210, 77, 21, -169, 51, 44, -134, 19, 60, -115, -80, -5, -29, -6, -58, 83, -94, -58, -126, -1, 14, 50, 82, 72, 46, -51, -59, -37, 97, -2, 1, 14, 42]","[493, 597, 256, 286, 263, 322, 532, 629, 317, 1674, 606, 768, 282, 317, 325, 315, 315, 192, 296, 321, 252, 482, 309, 252, 504, 335, 394, 303, 438, 1197, 494, 410, 214, 342, 386, 297, 877, 201, 2562, 157, 265, 1197, 437, 384, 657, 426, 353, 603, 141, 344, 872, 743, 143, 550, 377, 334, 288, 589, 461, 954, 345, 230, 659, 274, 416, 452, 236, 608, 376, 335, 158, 353, 682, 107]","[5, 9, 4, 0, 3, 1, 4, 3, 3, 19, 5, 7, 2, 2, 1, 1, 2, 0, 2, 2, 3, 1, 0, 2, 3, 4, 4, 2, 10, 10, 8, 1, 2, 6, 3, 0, 9, 2, 31, 1, 2, 20, 3, 7, 9, 6, 1, 4, 1, 3, 16, 8, 1, 3, 4, 4, 4, 5, 3, 11, 4, 0, 9, 4, 5, 2, 1, 3, 2, 2, 3, 1, 8, 1]",34861
4,"[4, 5, 2, 2, 2, 3, 5, 6, 3, 16, 6, 7, 2, 3, 3, 3, 3, 1, 2, 3, 2, 4, 3, 2, 5, 3, 3, 3, 4, 11, 4, 4, 2, 3, 3, 2, 8, 2, 25, 1, 2, 11, 4, 3, 6, 4, 3, 6, 1, 3, 8, 7, 1, 5, 3, 3, 2, 5, 4, 9, 3, 2, 6, 2, 4, 4, 2, 6, 3, 3, 1, 3, 6, 1]","[-86, 105, 155, 78, 33, 76, -94, -102, 27, -343, 93, -133, 111, 80, 70, 58, 124, 117, -30, 115, 2, 128, 43, 145, 46, 45, 32, 147, 146, -319, 16, -98, -31, 99, 111, 56, 92, 116, -835, 60, 129, -284, 87, 41, -218, 59, 74, -181, 30, 71, -155, -114, -1, -26, -7, -79, 79, -109, -61, -169, 8, 30, 47, 116, 92, 64, -55, -67, -42, 100, -10, 20, 19, 57]","[455, 620, 287, 304, 273, 340, 518, 607, 313, 1599, 632, 734, 310, 330, 337, 323, 331, 229, 299, 353, 252, 507, 326, 271, 516, 332, 401, 340, 467, 1124, 493, 375, 209, 364, 420, 314, 892, 230, 2381, 162, 303, 1126, 448, 402, 608, 434, 379, 557, 152, 355, 833, 711, 148, 550, 375, 308, 282, 571, 453, 910, 354, 244, 656, 306, 437, 469, 232, 599, 372, 340, 151, 371, 685, 123]","[8, 8, 3, 3, 3, 4, 2, 11, 5, 21, 3, 6, 5, 6, 4, 3, 3, 1, 3, 2, 2, 5, 1, 1, 3, 1, 3, 3, 3, 10, 4, 6, 3, 6, 2, 1, 8, 3, 29, 2, 4, 8, 3, 5, 6, 4, 7, 5, 1, 3, 7, 5, 0, 8, 4, 8, 4, 8, 9, 10, 3, 4, 6, 4, 3, 5, 2, 7, 2, 1, 0, 4, 8, 0]",34814
5,"[4, 6, 2, 3, 2, 3, 5, 6, 3, 15, 6, 7, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 2, 5, 3, 4, 3, 4, 11, 4, 3, 2, 3, 4, 3, 8, 2, 23, 1, 3, 11, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 5, 4, 9, 3, 2, 6, 3, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-106, 114, 181, 91, 35, 86, -124, -107, 40, -410, 91, -166, 129, 106, 83, 69, 143, 145, -38, 142, 7, 160, 44, 184, 71, 48, 42, 179, 178, -381, 26, -102, -32, 111, 144, 58, 94, 151, -1014, 75, 156, -351, 113, 54, -267, 77, 88, -207, 39, 78, -193, -140, -1, -34, -21, -87, 96, -117, -61, -211, 10, 45, 26, 147, 100, 82, -66, -76, -56, 110, -15, 30, 36, 69]","[434, 630, 312, 318, 272, 352, 490, 603, 326, 1522, 634, 705, 329, 357, 352, 334, 352, 256, 291, 379, 256, 536, 329, 308, 539, 334, 413, 368, 499, 1063, 502, 371, 209, 377, 453, 318, 893, 266, 2196, 177, 329, 1060, 475, 413, 558, 454, 390, 531, 160, 361, 796, 686, 146, 543, 362, 299, 300, 559, 451, 874, 357, 258, 634, 339, 446, 489, 223, 589, 359, 347, 146, 381, 698, 135]","[5, 5, 3, 2, 5, 1, 3, 5, 3, 25, 2, 3, 2, 2, 1, 3, 1, 3, 2, 4, 3, 8, 1, 4, 7, 4, 2, 7, 4, 10, 5, 3, 1, 2, 4, 1, 9, 1, 29, 1, 4, 10, 3, 6, 7, 2, 6, 5, 2, 4, 7, 6, 3, 4, 2, 4, 1, 9, 6, 3, 2, 3, 7, 1, 3, 2, 0, 6, 2, 6, 1, 3, 10, 1]",34803
6,"[4, 6, 3, 3, 2, 3, 4, 6, 3, 15, 6, 7, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 3, 5, 3, 4, 3, 4, 10, 5, 3, 2, 3, 4, 3, 8, 2, 21, 1, 3, 10, 4, 4, 5, 4, 3, 5, 1, 3, 7, 6, 1, 5, 3, 2, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-121, 137, 220, 119, 34, 88, -138, -132, 48, -476, 114, -190, 167, 121, 94, 70, 156, 171, -43, 160, 15, 174, 57, 212, 71, 59, 54, 196, 188, -448, 29, -113, -40, 127, 175, 57, 89, 174, -1160, 80, 196, -402, 141, 74, -306, 87, 108, -238, 51, 96, -224, -165, -10, -39, -21, -100, 119, -144, -68, -236, 10, 45, 35, 169, 112, 80, -81, -98, -72, 121, -5, 42, 53, 75]","[420, 649, 351, 347, 269, 355, 474, 581, 331, 1456, 654, 679, 366, 373, 364, 332, 366, 281, 284, 397, 264, 548, 339, 335, 539, 342, 426, 384, 510, 998, 499, 359, 199, 392, 485, 318, 892, 287, 2048, 181, 369, 1003, 496, 432, 517, 467, 409, 497, 172, 376, 761, 659, 137, 537, 360, 285, 321, 529, 443, 847, 356, 253, 646, 357, 454, 481, 210, 568, 346, 357, 154, 390, 713, 141]","[3, 10, 3, 2, 4, 2, 6, 3, 6, 15, 9, 9, 4, 2, 2, 6, 2, 3, 4, 3, 2, 7, 6, 4, 5, 6, 3, 4, 3, 8, 11, 4, 4, 4, 3, 2, 4, 4, 23, 2, 3, 16, 11, 5, 7, 1, 4, 8, 1, 6, 11, 8, 1, 6, 5, 3, 5, 8, 5, 10, 4, 7, 3, 7, 8, 10, 0, 4, 0, 4, 3, 6, 8, 1]",34717
7,"[4, 6, 3, 3, 2, 3, 4, 5, 3, 14, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 3, 5, 3, 4, 3, 5, 9, 4, 3, 1, 3, 4, 3, 8, 2, 20, 1, 3, 10, 4, 4, 5, 4, 4, 4, 1, 3, 7, 6, 1, 5, 3, 2, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 2, 5, 3, 3, 1, 3, 7, 1]","[-130, 141, 258, 145, 36, 104, -146, -142, 52, -511, 101, -202, 206, 149, 102, 76, 184, 191, -58, 186, -1, 203, 71, 241, 87, 67, 47, 207, 218, -492, 27, -121, -45, 139, 178, 65, 110, 185, -1304, 89, 211, -455, 153, 88, -330, 92, 106, -265, 52, 107, -253, -186, -17, -31, -10, -109, 135, -159, -84, -270, 11, 46, 29, 183, 122, 86, -87, -114, -77, 148, -4, 48, 40, 81]","[408, 653, 388, 370, 270, 367, 466, 573, 335, 1420, 637, 664, 406, 400, 373, 332, 391, 302, 269, 421, 250, 570, 355, 364, 553, 349, 420, 395, 542, 953, 496, 349, 193, 403, 489, 323, 908, 297, 1893, 189, 382, 952, 504, 444, 491, 468, 407, 471, 174, 384, 728, 634, 130, 543, 365, 272, 336, 515, 427, 814, 358, 255, 634, 368, 465, 483, 204, 552, 342, 379, 155, 397, 695, 145]","[7, 6, 4, 6, 3, 7, 4, 3, 3, 15, 10, 9, 2, 4, 2, 9, 6, 1, 2, 5, 0, 12, 1, 3, 7, 4, 3, 3, 3, 10, 5, 5, 2, 4, 3, 6, 13, 3, 31, 2, 5, 8, 8, 6, 7, 8, 4, 3, 0, 6, 11, 10, 1, 7, 9, 6, 4, 4, 4, 7, 2, 1, 12, 6, 3, 8, 2, 5, 2, 8, 1, 2, 12, 3]",34609
8,"[4, 6, 3, 3, 2, 3, 4, 5, 3, 14, 6, 6, 4, 4, 3, 3, 3, 3, 2, 4, 2, 5, 3, 3, 5, 3, 4, 3, 5, 9, 4, 3, 1, 4, 4, 3, 9, 2, 18, 1, 3, 9, 5, 4, 4, 4, 4, 4, 1, 3, 7, 6, 1, 5, 3, 2, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-135, 160, 273, 154, 46, 93, -155, -171, 49, -550, 124, -218, 218, 160, 107, 105, 195, 199, -58, 190, 4, 207, 81, 273, 117, 90, 57, 213, 245, -551, 51, -134, -49, 153, 212, 74, 114, 211, -1429, 98, 231, -504, 175, 108, -358, 101, 123, -289, 54, 117, -269, -218, -21, -35, -15, -124, 157, -168, -104, -318, 8, 50, 28, 185, 120, 104, -97, -127, -74, 161, -10, 56, 42, 88]","[400, 666, 402, 378, 276, 357, 454, 545, 332, 1374, 662, 641, 415, 414, 377, 358, 401, 307, 267, 424, 255, 570, 364, 393, 582, 373, 428, 400, 568, 890, 512, 337, 188, 411, 520, 331, 915, 322, 1762, 199, 402, 901, 524, 465, 458, 476, 423, 444, 174, 395, 711, 596, 125, 540, 361, 253, 357, 508, 407, 764, 354, 256, 634, 367, 463, 494, 194, 535, 346, 392, 143, 404, 693, 151]","[7, 12, 4, 4, 6, 2, 7, 4, 3, 21, 4, 13, 7, 1, 4, 6, 4, 6, 4, 5, 2, 9, 4, 6, 6, 2, 6, 4, 6, 13, 12, 2, 2, 10, 7, 4, 6, 3, 24, 0, 3, 11, 7, 3, 9, 5, 5, 7, 3, 2, 8, 12, 2, 4, 2, 6, 4, 3, 4, 10, 4, 5, 5, 6, 4, 11, 2, 9, 2, 3, 7, 4, 10, 2]",34480
9,"[4, 6, 4, 3, 2, 3, 4, 5, 3, 13, 6, 6, 4, 4, 3, 3, 4, 3, 2, 4, 2, 5, 3, 3, 5, 3, 4, 4, 5, 8, 5, 3, 1, 4, 5, 3, 9, 3, 17, 1, 4, 9, 5, 4, 4, 4, 4, 4, 1, 3, 7, 5, 1, 5, 3, 2, 3, 5, 4, 7, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 4, 6, 1]","[-148, 167, 312, 161, 48, 94, -162, -188, 63, -584, 121, -240, 237, 186, 129, 112, 204, 215, -63, 193, 9, 228, 87, 323, 129, 106, 45, 230, 263, -596, 59, -144, -51, 184, 227, 65, 114, 213, -1533, 106, 249, -542, 192, 107, -398, 108, 131, -307, 66, 142, -300, -245, -21, -37, -25, -134, 168, -182, -107, -336, 9, 53, 27, 192, 104, 109, -104, -152, -73, 188, -9, 56, 45, 105]","[388, 674, 438, 386, 279, 356, 450, 525, 344, 1336, 656, 618, 431, 440, 393, 363, 411, 322, 258, 429, 259, 588, 363, 441, 594, 389, 412, 415, 580, 843, 522, 322, 187, 440, 536, 323, 913, 316, 1660, 206, 420, 858, 542, 464, 416, 482, 426, 421, 185, 416, 675, 567, 126, 535, 352, 234, 366, 490, 399, 746, 354, 256, 634, 371, 447, 494, 184, 510, 350, 420, 143, 406, 694, 169]","[3, 5, 7, 2, 1, 5, 1, 8, 5, 17, 9, 7, 7, 4, 9, 5, 3, 4, 6, 2, 3, 8, 10, 5, 5, 3, 8, 6, 11, 10, 3, 8, 0, 6, 4, 2, 11, 11, 15, 2, 4, 14, 4, 4, 6, 5, 9, 9, 2, 7, 12, 7, 0, 8, 2, 11, 5, 9, 9, 7, 4, 5, 5, 6, 4, 9, 4, 5, 0, 2, 2, 2, 8, 0]",34358
