0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-19, 27, 50, 24, 5, 19, -25, -45, -1, -114, 30, -25, 27, 25, 18, 17, 44, 31, -16, 19, 10, 31, 15, 44, 13, 17, 14, 41, 57, -83, -3, -15, -10, 34, 33, 9, 33, 26, -248, 23, 27, -92, 18, 3, -63, 20, 29, -53, 9, 29, -27, -52, -4, -1, -3, -14, 24, -18, -18, -44, 4, 6, 32, 38, 36, 14, -15, -22, -19, 17, -5, 5, -6, 13]"
2,"[-43, 50, 82, 38, 13, 33, -38, -64, 9, -217, 48, -65, 52, 44, 36, 39, 81, 51, -23, 44, 7, 62, 26, 85, 31, 29, 29, 83, 94, -169, 13, -41, -10, 52, 61, 25, 76, 52, -469, 40, 54, -148, 57, 22, -118, 37, 41, -109, 15, 42, -70, -78, -6, -7, 6, -36, 54, -59, -42, -84, 4, 14, 33, 64, 55, 25, -35, -38, -37, 58, -1, 4, 4, 33]"
3,"[-52, 79, 123, 59, 22, 57, -77, -85, 29, -273, 70, -98, 80, 64, 57, 50, 108, 80, -34, 84, 2, 102, 28, 127, 36, 50, 25, 110, 118, -245, 17, -65, -27, 74, 78, 40, 77, 86, -658, 54, 89, -210, 77, 21, -169, 51, 44, -134, 19, 60, -115, -80, -5, -29, -6, -58, 83, -94, -58, -126, -1, 14, 50, 82, 72, 46, -51, -59, -37, 97, -2, 1, 14, 42]"
4,"[-86, 105, 155, 78, 33, 76, -94, -102, 27, -343, 93, -133, 111, 80, 70, 58, 124, 117, -30, 115, 2, 128, 43, 145, 46, 45, 32, 147, 146, -319, 16, -98, -31, 99, 111, 56, 92, 116, -835, 60, 129, -284, 87, 41, -218, 59, 74, -181, 30, 71, -155, -114, -1, -26, -7, -79, 79, -109, -61, -169, 8, 30, 47, 116, 92, 64, -55, -67, -42, 100, -10, 20, 19, 57]"
5,"[-106, 114, 181, 91, 35, 86, -124, -107, 40, -410, 91, -166, 129, 106, 83, 69, 143, 145, -38, 142, 7, 160, 44, 184, 71, 48, 42, 179, 178, -381, 26, -102, -32, 111, 144, 58, 94, 151, -1014, 75, 156, -351, 113, 54, -267, 77, 88, -207, 39, 78, -193, -140, -1, -34, -21, -87, 96, -117, -61, -211, 10, 45, 26, 147, 100, 82, -66, -76, -56, 110, -15, 30, 36, 69]"
6,"[-121, 137, 220, 119, 34, 88, -138, -132, 48, -476, 114, -190, 167, 121, 94, 70, 156, 171, -43, 160, 15, 174, 57, 212, 71, 59, 54, 196, 188, -448, 29, -113, -40, 127, 175, 57, 89, 174, -1160, 80, 196, -402, 141, 74, -306, 87, 108, -238, 51, 96, -224, -165, -10, -39, -21, -100, 119, -144, -68, -236, 10, 45, 35, 169, 112, 80, -81, -98, -72, 121, -5, 42, 53, 75]"
7,"[-130, 141, 258, 145, 36, 104, -146, -142, 52, -511, 101, -202, 206, 149, 102, 76, 184, 191, -58, 186, -1, 203, 71, 241, 87, 67, 47, 207, 218, -492, 27, -121, -45, 139, 178, 65, 110, 185, -1304, 89, 211, -455, 153, 88, -330, 92, 106, -265, 52, 107, -253, -186, -17, -31, -10, -109, 135, -159, -84, -270, 11, 46, 29, 183, 122, 86, -87, -114, -77, 148, -4, 48, 40, 81]"
8,"[-135, 160, 273, 154, 46, 93, -155, -171, 49, -550, 124, -218, 218, 160, 107, 105, 195, 199, -58, 190, 4, 207, 81, 273, 117, 90, 57, 213, 245, -551, 51, -134, -49, 153, 212, 74, 114, 211, -1429, 98, 231, -504, 175, 108, -358, 101, 123, -289, 54, 117, -269, -218, -21, -35, -15, -124, 157, -168, -104, -318, 8, 50, 28, 185, 120, 104, -97, -127, -74, 161, -10, 56, 42, 88]"
9,"[-148, 167, 312, 161, 48, 94, -162, -188, 63, -584, 121, -240, 237, 186, 129, 112, 204, 215, -63, 193, 9, 228, 87, 323, 129, 106, 45, 230, 263, -596, 59, -144, -51, 184, 227, 65, 114, 213, -1533, 106, 249, -542, 192, 107, -398, 108, 131, -307, 66, 142, -300, -245, -21, -37, -25, -134, 168, -182, -107, -336, 9, 53, 27, 192, 104, 109, -104, -152, -73, 188, -9, 56, 45, 105]"
