,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-21, 23, 31, 12, 18, 34, -23, -22, 29, -141, 11, -43, 19, 24, 27, 19, 25, 24, -11, 36, 2, 49, 25, 66, 12, 24, 3, 53, 39, -82, -4, -25, -15, 28, 18, 19, 52, 34, -250, 24, 43, -104, 23, -3, -59, 15, 17, -51, 10, 11, -53, -32, -7, -14, 6, -24, 36, -17, -13, -50, -19, 24, 21, 34, 23, 22, -28, -12, -19, 35, 1, 13, 19, 9]","[527, 548, 170, 238, 256, 295, 582, 687, 317, 1793, 546, 813, 225, 278, 292, 281, 229, 136, 320, 273, 257, 423, 301, 190, 482, 315, 373, 249, 367, 1355, 474, 447, 227, 300, 325, 275, 855, 149, 2982, 130, 221, 1311, 386, 365, 770, 394, 321, 684, 132, 295, 946, 798, 140, 567, 386, 379, 241, 668, 507, 1028, 320, 237, 631, 226, 367, 420, 256, 646, 393, 275, 166, 360, 690, 76]","[2, 6, 0, 1, 5, 4, 5, 8, 3, 18, 4, 10, 2, 4, 3, 3, 2, 0, 2, 2, 2, 9, 3, 0, 2, 0, 1, 1, 2, 11, 7, 3, 3, 1, 1, 1, 7, 1, 30, 0, 1, 10, 0, 1, 7, 3, 4, 8, 2, 3, 5, 6, 2, 4, 7, 2, 2, 4, 2, 8, 9, 4, 5, 1, 2, 9, 6, 7, 3, 3, 0, 4, 5, 0]",34884
2,"[5, 5, 1, 2, 2, 2, 5, 6, 3, 17, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 3, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 3, 3, 2, 8, 1, 29, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 2, 9, 7, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 0]","[-26, 43, 74, 39, 25, 59, -42, -41, 57, -251, 35, -83, 44, 50, 37, 37, 38, 59, -23, 54, 12, 80, 38, 125, 33, 31, 14, 82, 67, -170, 11, -39, -26, 49, 49, 31, 56, 62, -480, 43, 84, -181, 35, 11, -121, 38, 40, -89, 23, 52, -82, -69, -19, -25, 9, -48, 61, -35, -5, -90, -19, 30, 37, 56, 20, 42, -42, -43, -39, 65, -7, 17, 15, 26]","[523, 570, 212, 264, 261, 317, 560, 671, 346, 1691, 568, 778, 251, 305, 301, 298, 241, 171, 308, 293, 268, 457, 314, 249, 502, 323, 384, 276, 396, 1268, 488, 435, 214, 322, 357, 285, 857, 176, 2757, 149, 262, 1236, 397, 381, 708, 416, 345, 647, 143, 335, 916, 762, 128, 557, 391, 351, 267, 648, 517, 992, 321, 244, 649, 249, 366, 438, 243, 618, 373, 306, 158, 364, 688, 93]","[4, 3, 2, 3, 4, 5, 8, 3, 2, 9, 7, 3, 1, 1, 3, 3, 3, 1, 3, 0, 1, 1, 3, 1, 5, 2, 3, 4, 2, 12, 5, 2, 4, 2, 2, 4, 10, 2, 24, 1, 2, 11, 4, 1, 7, 4, 2, 5, 3, 3, 10, 6, 1, 4, 1, 7, 1, 8, 3, 6, 2, 1, 4, 1, 1, 6, 1, 3, 3, 1, 1, 3, 4, 0]",34915
3,"[5, 5, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 2, 3, 3, 2, 2, 1, 3, 2, 2, 4, 3, 2, 5, 3, 3, 2, 3, 12, 4, 4, 2, 3, 3, 2, 8, 1, 27, 1, 2, 12, 3, 3, 7, 4, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 5, 9, 3, 2, 6, 2, 3, 4, 2, 6, 3, 3, 1, 3, 6, 0]","[-47, 70, 112, 58, 30, 90, -66, -72, 76, -329, 45, -119, 65, 65, 53, 38, 62, 79, -35, 78, 23, 106, 47, 160, 49, 39, 14, 111, 104, -239, 15, -49, -30, 73, 83, 45, 54, 99, -655, 70, 114, -259, 64, 39, -165, 48, 58, -129, 30, 65, -124, -88, -25, -15, 6, -55, 75, -58, -27, -145, -21, 32, 27, 81, 40, 50, -54, -66, -46, 98, -5, 18, 13, 52]","[499, 596, 251, 282, 267, 348, 537, 640, 366, 1615, 577, 744, 272, 321, 318, 300, 267, 191, 295, 313, 278, 482, 323, 285, 518, 328, 384, 305, 430, 1204, 493, 421, 211, 344, 388, 300, 852, 213, 2579, 173, 291, 1158, 425, 410, 668, 421, 364, 605, 151, 350, 873, 743, 122, 562, 389, 340, 282, 624, 495, 934, 318, 246, 640, 273, 388, 443, 232, 597, 368, 341, 159, 362, 688, 116]","[8, 6, 1, 3, 1, 3, 4, 6, 2, 14, 6, 5, 2, 2, 2, 1, 0, 1, 4, 6, 3, 5, 3, 1, 5, 6, 3, 2, 6, 7, 3, 8, 1, 5, 6, 1, 11, 1, 30, 4, 3, 12, 4, 2, 3, 9, 2, 8, 0, 1, 10, 7, 1, 10, 2, 7, 1, 7, 5, 12, 4, 2, 5, 3, 1, 7, 1, 4, 1, 1, 2, 6, 4, 3]",34888
4,"[4, 5, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 2, 3, 3, 3, 2, 1, 2, 3, 2, 4, 3, 2, 5, 3, 3, 3, 4, 12, 4, 4, 2, 3, 3, 3, 8, 2, 25, 1, 2, 11, 4, 4, 6, 4, 3, 6, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 3, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-69, 97, 143, 77, 36, 98, -73, -89, 84, -404, 61, -148, 86, 91, 73, 49, 91, 111, -29, 109, 22, 144, 60, 185, 60, 76, 30, 147, 118, -322, 12, -64, -36, 108, 99, 67, 59, 118, -870, 92, 140, -317, 86, 53, -211, 57, 65, -181, 34, 82, -155, -107, -26, -16, 2, -74, 101, -69, -36, -193, -22, 31, 21, 107, 66, 66, -63, -74, -55, 122, -7, 21, 4, 49]","[476, 621, 282, 298, 271, 356, 531, 620, 373, 1540, 590, 712, 292, 347, 338, 308, 293, 222, 302, 343, 277, 518, 335, 308, 530, 364, 399, 342, 443, 1120, 487, 404, 207, 377, 403, 322, 858, 234, 2367, 195, 317, 1104, 442, 426, 615, 431, 374, 551, 152, 366, 839, 721, 120, 560, 381, 318, 308, 614, 487, 889, 318, 245, 636, 297, 414, 461, 222, 588, 360, 365, 155, 367, 678, 113]","[5, 7, 2, 5, 4, 3, 4, 9, 4, 16, 8, 10, 3, 3, 3, 6, 5, 2, 1, 4, 2, 6, 4, 4, 4, 4, 4, 2, 5, 13, 7, 6, 0, 5, 4, 3, 7, 0, 22, 1, 2, 7, 9, 2, 13, 3, 0, 8, 4, 4, 11, 10, 2, 6, 7, 6, 2, 5, 3, 6, 2, 2, 4, 4, 3, 2, 3, 6, 2, 3, 3, 1, 7, 1]",34839
5,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 15, 5, 7, 2, 3, 3, 3, 2, 2, 3, 3, 2, 5, 3, 3, 5, 3, 3, 3, 4, 11, 4, 4, 2, 3, 4, 3, 8, 2, 23, 1, 3, 11, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 3, 6, 4, 8, 3, 2, 6, 2, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-91, 94, 186, 95, 43, 132, -83, -101, 82, -459, 69, -172, 119, 118, 89, 70, 108, 141, -36, 114, 29, 165, 58, 233, 68, 82, 37, 159, 147, -387, 21, -84, -41, 120, 109, 70, 72, 144, -1032, 93, 163, -392, 97, 64, -261, 76, 92, -223, 42, 99, -172, -122, -30, -15, 2, -98, 126, -93, -48, -231, -29, 36, 19, 136, 93, 68, -66, -97, -65, 152, -12, 31, 16, 61]","[453, 619, 326, 318, 276, 389, 523, 606, 366, 1482, 598, 690, 321, 372, 355, 329, 307, 250, 294, 347, 284, 542, 330, 351, 537, 369, 405, 351, 469, 1053, 497, 385, 202, 388, 411, 328, 867, 260, 2209, 195, 341, 1027, 449, 437, 564, 450, 399, 513, 161, 382, 821, 705, 115, 562, 377, 294, 332, 589, 476, 854, 307, 248, 633, 325, 441, 463, 217, 561, 353, 393, 150, 379, 681, 123]","[5, 5, 1, 0, 4, 4, 3, 8, 8, 18, 5, 5, 6, 5, 2, 3, 5, 4, 4, 4, 2, 2, 6, 8, 6, 4, 4, 6, 7, 13, 3, 3, 2, 4, 6, 0, 12, 2, 19, 2, 2, 13, 8, 4, 7, 4, 5, 1, 0, 4, 9, 8, 2, 4, 7, 3, 4, 7, 3, 5, 7, 4, 7, 3, 4, 4, 4, 9, 0, 5, 1, 1, 15, 3]",34776
6,"[4, 6, 3, 3, 2, 3, 5, 6, 3, 14, 5, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 3, 5, 3, 4, 3, 4, 10, 4, 3, 2, 3, 4, 3, 8, 2, 22, 1, 3, 10, 4, 4, 5, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 2, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-100, 112, 209, 111, 58, 156, -91, -117, 96, -527, 77, -210, 146, 140, 113, 78, 104, 163, -42, 127, 31, 179, 66, 266, 80, 76, 48, 187, 171, -452, 18, -95, -43, 141, 136, 82, 66, 166, -1142, 108, 202, -440, 114, 72, -297, 88, 107, -242, 52, 120, -198, -166, -36, -27, -8, -110, 139, -98, -48, -267, -38, 50, 2, 149, 104, 66, -80, -104, -79, 172, -14, 31, 13, 79]","[441, 637, 349, 332, 289, 411, 517, 589, 381, 1416, 605, 654, 350, 389, 378, 337, 304, 271, 289, 355, 286, 558, 337, 386, 550, 360, 417, 379, 492, 988, 494, 376, 199, 409, 437, 339, 856, 283, 2089, 209, 381, 976, 467, 445, 524, 463, 414, 497, 170, 401, 796, 656, 110, 549, 366, 282, 346, 581, 474, 816, 298, 261, 617, 338, 450, 460, 204, 556, 341, 413, 148, 379, 676, 141]","[7, 6, 3, 5, 4, 5, 3, 7, 2, 12, 6, 4, 1, 8, 4, 3, 2, 3, 1, 8, 2, 3, 4, 1, 4, 6, 3, 3, 5, 10, 4, 1, 3, 3, 5, 4, 13, 1, 32, 2, 2, 13, 3, 4, 9, 3, 3, 2, 2, 5, 7, 12, 0, 6, 4, 2, 2, 8, 6, 10, 3, 3, 5, 3, 6, 5, 1, 3, 1, 3, 1, 3, 8, 1]",34734
7,"[4, 6, 3, 3, 2, 4, 5, 5, 3, 14, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 3, 5, 3, 4, 3, 4, 9, 4, 3, 1, 4, 4, 3, 8, 2, 20, 2, 3, 9, 4, 4, 5, 4, 4, 4, 1, 4, 7, 6, 1, 5, 3, 2, 3, 5, 4, 8, 2, 2, 6, 3, 4, 4, 2, 5, 3, 4, 1, 3, 6, 1]","[-124, 133, 231, 130, 63, 161, -99, -139, 107, -563, 87, -235, 175, 159, 125, 98, 115, 178, -58, 137, 36, 201, 89, 295, 110, 89, 59, 194, 181, -513, 27, -111, -47, 154, 150, 93, 73, 175, -1297, 119, 233, -480, 131, 82, -339, 98, 120, -276, 67, 141, -249, -173, -33, -38, -10, -117, 155, -111, -60, -285, -45, 57, -6, 154, 110, 86, -92, -116, -76, 203, -15, 29, 7, 90]","[412, 660, 372, 348, 294, 417, 507, 562, 393, 1376, 613, 629, 375, 409, 389, 356, 312, 280, 267, 363, 290, 578, 359, 411, 583, 371, 427, 386, 500, 921, 499, 356, 194, 422, 452, 351, 865, 289, 1930, 220, 409, 933, 482, 454, 475, 474, 430, 461, 184, 422, 743, 650, 113, 533, 358, 273, 362, 566, 461, 797, 291, 268, 610, 342, 455, 477, 192, 545, 341, 445, 147, 377, 669, 152]","[9, 4, 2, 6, 2, 3, 7, 10, 2, 18, 8, 6, 7, 2, 4, 4, 6, 8, 8, 5, 3, 7, 4, 7, 2, 5, 5, 3, 6, 15, 8, 7, 2, 4, 3, 2, 6, 5, 24, 2, 6, 12, 6, 5, 12, 3, 1, 6, 2, 4, 9, 5, 1, 10, 9, 4, 3, 7, 5, 9, 2, 2, 5, 4, 5, 7, 2, 4, 6, 3, 1, 3, 7, 1]",34629
8,"[4, 6, 3, 3, 2, 4, 5, 5, 3, 13, 6, 6, 3, 4, 3, 3, 3, 2, 2, 3, 2, 5, 3, 4, 5, 3, 4, 3, 5, 9, 4, 3, 1, 4, 4, 3, 8, 2, 19, 2, 4, 9, 4, 4, 4, 4, 4, 4, 1, 4, 7, 6, 1, 5, 3, 2, 3, 5, 4, 7, 2, 2, 6, 3, 4, 4, 1, 5, 3, 4, 1, 3, 6, 1]","[-130, 133, 245, 161, 61, 158, -106, -137, 118, -605, 98, -260, 193, 172, 142, 122, 134, 198, -62, 160, 49, 214, 93, 314, 114, 99, 70, 209, 210, -549, 43, -111, -49, 165, 181, 91, 69, 191, -1445, 129, 237, -532, 148, 77, -381, 106, 135, -299, 75, 138, -270, -181, -33, -46, -15, -133, 166, -127, -72, -327, -46, 71, 1, 171, 122, 80, -104, -120, -78, 220, -11, 21, 20, 105]","[406, 658, 386, 375, 291, 415, 494, 562, 407, 1323, 618, 603, 388, 425, 404, 381, 331, 302, 261, 386, 300, 584, 363, 428, 587, 377, 440, 399, 530, 888, 515, 357, 190, 428, 485, 350, 858, 304, 1777, 230, 415, 876, 497, 449, 432, 481, 448, 437, 191, 421, 718, 641, 114, 523, 353, 251, 374, 552, 446, 751, 290, 277, 612, 359, 466, 468, 177, 537, 340, 461, 151, 366, 679, 166]","[4, 8, 3, 7, 3, 3, 11, 7, 0, 24, 12, 7, 8, 1, 5, 2, 3, 0, 4, 3, 5, 12, 3, 6, 5, 7, 2, 5, 4, 6, 4, 2, 3, 9, 2, 2, 11, 3, 24, 2, 2, 14, 6, 4, 5, 5, 1, 5, 2, 2, 11, 7, 0, 7, 3, 8, 2, 3, 7, 11, 2, 7, 11, 3, 5, 7, 4, 9, 2, 5, 1, 6, 9, 2]",34525
9,"[4, 6, 3, 3, 2, 4, 4, 5, 4, 13, 6, 6, 3, 4, 4, 3, 3, 3, 2, 3, 3, 5, 3, 4, 5, 3, 4, 3, 5, 8, 5, 3, 1, 4, 4, 3, 8, 3, 17, 2, 4, 8, 4, 4, 4, 4, 4, 4, 1, 4, 7, 6, 1, 5, 3, 2, 3, 5, 4, 7, 2, 2, 6, 3, 4, 4, 1, 5, 3, 4, 1, 3, 6, 1]","[-148, 137, 268, 178, 58, 174, -115, -161, 122, -650, 84, -273, 210, 188, 153, 147, 153, 233, -70, 171, 60, 245, 81, 338, 126, 109, 81, 211, 221, -575, 43, -122, -53, 181, 208, 99, 62, 203, -1566, 132, 267, -548, 166, 89, -417, 132, 148, -319, 83, 147, -304, -204, -43, -46, -18, -148, 171, -142, -77, -353, -50, 78, -3, 177, 132, 91, -109, -129, -85, 215, -4, 28, 25, 107]","[382, 660, 409, 393, 284, 429, 483, 530, 408, 1278, 601, 585, 406, 444, 416, 406, 351, 338, 253, 394, 308, 607, 347, 445, 595, 385, 449, 399, 543, 860, 513, 346, 185, 444, 505, 360, 851, 312, 1657, 230, 447, 859, 510, 463, 398, 502, 462, 417, 199, 433, 684, 611, 104, 518, 348, 233, 380, 536, 439, 720, 284, 284, 610, 362, 473, 477, 171, 529, 331, 455, 157, 371, 679, 169]","[10, 8, 3, 2, 6, 6, 6, 13, 7, 13, 9, 11, 2, 1, 3, 3, 2, 2, 2, 6, 6, 13, 7, 11, 9, 5, 6, 5, 3, 10, 7, 3, 2, 4, 11, 1, 8, 7, 16, 5, 2, 9, 9, 2, 2, 9, 3, 4, 1, 1, 7, 13, 1, 10, 5, 5, 2, 6, 6, 12, 4, 2, 4, 6, 7, 6, 2, 4, 5, 5, 2, 5, 11, 0]",34406
