,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-16, 22, 29, 8, 0, 27, -22, -31, 19, -111, 4, -40, 35, 14, 31, 7, 32, 32, -13, 34, 12, 70, 15, 35, 10, 26, 9, 32, 55, -68, 5, -6, -6, 32, 36, 14, 27, 29, -264, 21, 29, -89, 22, 19, -69, 21, 16, -58, 15, 36, -58, -43, 0, -4, 7, -12, 26, -34, -11, -64, 14, 9, 22, 26, 10, 32, -21, -27, -13, 36, 0, 10, -5, 13]","[532, 550, 167, 235, 241, 290, 583, 682, 309, 1820, 537, 820, 242, 272, 297, 272, 237, 144, 318, 271, 267, 445, 289, 159, 481, 313, 379, 228, 378, 1373, 486, 467, 239, 302, 343, 265, 825, 144, 2975, 125, 205, 1323, 384, 385, 760, 398, 323, 678, 138, 320, 937, 786, 148, 573, 388, 390, 231, 650, 509, 1012, 355, 226, 630, 216, 352, 439, 266, 630, 401, 276, 162, 360, 660, 80]","[2, 3, 1, 0, 2, 2, 5, 4, 1, 21, 6, 6, 1, 0, 2, 0, 1, 0, 2, 2, 2, 8, 5, 0, 1, 4, 1, 1, 7, 7, 4, 2, 0, 3, 1, 6, 12, 1, 23, 2, 3, 13, 1, 3, 7, 5, 1, 7, 1, 3, 9, 7, 1, 8, 6, 3, 2, 5, 2, 10, 7, 0, 7, 3, 4, 0, 3, 8, 1, 3, 3, 1, 11, 0]",34893
2,"[5, 5, 1, 2, 2, 2, 5, 6, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 3, 3, 2, 8, 1, 29, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-34, 62, 79, 39, 13, 61, -58, -50, 49, -213, 15, -72, 64, 40, 35, 16, 49, 62, -16, 71, 8, 81, 21, 89, 36, 38, 10, 69, 100, -140, 2, -24, -9, 59, 50, 31, 58, 54, -471, 36, 74, -202, 52, 45, -121, 36, 28, -113, 23, 59, -117, -90, -2, -28, 1, -29, 43, -43, -37, -109, 23, 28, 49, 54, 39, 37, -51, -38, -24, 68, 1, 20, -14, 28]","[514, 587, 215, 267, 250, 324, 547, 665, 341, 1727, 550, 789, 272, 298, 301, 279, 254, 173, 313, 304, 265, 459, 296, 212, 508, 325, 378, 264, 421, 1305, 483, 451, 236, 327, 356, 283, 858, 167, 2775, 141, 249, 1217, 410, 409, 711, 409, 338, 624, 147, 345, 884, 737, 147, 547, 380, 372, 248, 640, 486, 967, 361, 245, 657, 245, 384, 440, 237, 618, 390, 307, 161, 371, 649, 93]","[5, 8, 3, 1, 6, 2, 5, 4, 1, 9, 3, 7, 1, 2, 2, 4, 2, 2, 5, 6, 0, 1, 1, 2, 3, 3, 5, 3, 5, 9, 4, 2, 2, 5, 4, 1, 6, 3, 22, 0, 3, 6, 7, 5, 4, 7, 0, 5, 0, 1, 3, 9, 0, 7, 5, 4, 2, 7, 2, 10, 6, 2, 6, 1, 0, 8, 1, 7, 4, 3, 3, 2, 8, 2]",34905
3,"[5, 5, 2, 2, 2, 3, 5, 6, 3, 17, 5, 7, 2, 2, 3, 2, 2, 1, 3, 3, 2, 4, 2, 2, 5, 3, 3, 2, 4, 13, 4, 4, 2, 3, 3, 2, 8, 1, 27, 1, 2, 12, 4, 4, 7, 4, 3, 6, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 3, 4, 2, 6, 3, 3, 1, 3, 6, 0]","[-56, 99, 129, 63, 20, 74, -75, -59, 66, -297, 23, -99, 85, 65, 48, 31, 76, 112, -21, 91, 20, 105, 34, 118, 41, 68, 22, 112, 125, -212, -9, -31, -14, 70, 73, 48, 69, 93, -665, 61, 102, -272, 79, 56, -165, 50, 29, -158, 36, 73, -170, -118, -15, -33, 14, -45, 51, -67, -55, -148, 28, 35, 53, 79, 53, 52, -69, -59, -40, 88, -7, 25, -23, 38]","[491, 624, 264, 291, 257, 340, 531, 653, 360, 1646, 562, 760, 293, 322, 311, 291, 282, 222, 307, 323, 276, 481, 308, 240, 513, 353, 390, 307, 444, 1239, 468, 445, 233, 338, 378, 299, 871, 203, 2572, 166, 279, 1144, 438, 419, 665, 425, 340, 581, 158, 357, 835, 709, 134, 542, 394, 355, 257, 619, 466, 926, 364, 251, 663, 267, 398, 453, 219, 600, 373, 329, 154, 375, 636, 98]","[6, 5, 3, 2, 2, 0, 4, 9, 1, 14, 1, 9, 2, 3, 6, 5, 1, 2, 4, 4, 3, 6, 3, 3, 5, 5, 3, 2, 6, 7, 8, 3, 0, 3, 4, 3, 6, 4, 36, 1, 0, 15, 3, 5, 9, 2, 2, 4, 3, 5, 4, 7, 1, 5, 2, 4, 1, 3, 6, 11, 5, 3, 4, 5, 3, 6, 2, 3, 4, 1, 0, 4, 10, 5]",34877
4,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 2, 3, 3, 2, 2, 2, 3, 3, 2, 4, 3, 2, 5, 3, 3, 3, 4, 12, 4, 4, 2, 3, 3, 2, 8, 2, 25, 1, 2, 11, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 3, 4, 2, 6, 3, 3, 1, 3, 6, 0]","[-75, 123, 154, 65, 27, 87, -95, -70, 61, -371, 37, -123, 119, 73, 66, 34, 110, 142, -24, 105, 32, 141, 45, 143, 55, 94, 22, 140, 164, -290, -25, -36, -21, 87, 91, 62, 85, 108, -839, 74, 128, -328, 98, 64, -208, 58, 30, -180, 52, 100, -210, -135, -16, -53, 9, -58, 82, -82, -62, -190, 11, 41, 57, 114, 66, 72, -84, -82, -36, 110, -7, 35, -22, 49]","[473, 648, 289, 292, 263, 352, 514, 642, 358, 1576, 578, 738, 324, 325, 329, 291, 316, 252, 307, 337, 287, 517, 317, 267, 527, 381, 388, 333, 480, 1160, 451, 441, 228, 355, 395, 309, 886, 219, 2403, 179, 303, 1091, 457, 426, 623, 431, 339, 556, 174, 385, 793, 692, 131, 519, 388, 341, 286, 600, 458, 884, 348, 255, 666, 300, 408, 464, 205, 576, 375, 352, 153, 383, 632, 108]","[3, 6, 2, 3, 3, 4, 2, 6, 0, 12, 3, 5, 5, 8, 3, 5, 2, 2, 0, 3, 3, 4, 5, 0, 5, 1, 5, 5, 7, 13, 5, 3, 0, 3, 4, 6, 9, 1, 20, 1, 4, 8, 4, 5, 5, 6, 5, 8, 1, 2, 10, 7, 3, 8, 4, 4, 4, 10, 5, 9, 2, 4, 7, 4, 6, 13, 1, 7, 5, 2, 2, 5, 11, 1]",34829
5,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 15, 5, 7, 3, 3, 3, 2, 3, 2, 3, 3, 2, 5, 3, 2, 5, 3, 3, 3, 4, 11, 4, 4, 2, 3, 3, 3, 8, 2, 24, 1, 3, 10, 4, 4, 6, 4, 3, 5, 1, 3, 7, 6, 1, 5, 3, 3, 2, 6, 4, 8, 3, 2, 6, 3, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-79, 137, 203, 82, 32, 124, -94, -103, 80, -456, 30, -152, 145, 97, 68, 51, 140, 177, -37, 122, 30, 163, 48, 179, 68, 95, 24, 163, 192, -344, -28, -67, -36, 101, 110, 89, 79, 136, -1023, 82, 177, -399, 116, 84, -245, 74, 30, -222, 60, 107, -244, -144, -26, -57, 12, -85, 100, -93, -51, -201, 5, 42, 77, 131, 64, 80, -92, -94, -45, 133, -4, 47, -24, 59]","[468, 661, 338, 310, 267, 389, 512, 608, 378, 1494, 570, 709, 352, 350, 333, 302, 346, 288, 295, 349, 284, 540, 316, 303, 542, 378, 389, 356, 506, 1105, 449, 406, 212, 363, 414, 333, 883, 247, 2219, 185, 351, 1022, 475, 447, 588, 447, 340, 514, 183, 393, 760, 681, 121, 517, 389, 311, 303, 589, 468, 869, 341, 255, 688, 320, 405, 466, 199, 566, 369, 374, 157, 397, 633, 119]","[5, 7, 2, 1, 3, 3, 8, 7, 2, 12, 6, 7, 1, 2, 1, 8, 3, 1, 2, 8, 3, 4, 7, 2, 3, 7, 4, 3, 6, 12, 3, 8, 3, 9, 3, 6, 5, 2, 24, 3, 4, 8, 4, 3, 4, 4, 2, 5, 0, 2, 6, 8, 1, 3, 5, 6, 3, 6, 5, 12, 4, 3, 4, 0, 5, 10, 0, 3, 0, 4, 0, 1, 3, 0]",34806
6,"[4, 6, 3, 3, 2, 3, 5, 6, 3, 14, 5, 7, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 3, 5, 3, 3, 3, 5, 11, 4, 4, 2, 3, 4, 3, 8, 2, 22, 1, 3, 10, 4, 4, 5, 4, 3, 5, 1, 3, 7, 6, 1, 5, 3, 3, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 3, 6, 1]","[-93, 146, 225, 86, 37, 141, -109, -118, 93, -504, 42, -158, 161, 112, 69, 70, 166, 204, -40, 151, 23, 183, 50, 215, 84, 92, 27, 203, 206, -422, -23, -80, -44, 119, 125, 103, 89, 144, -1160, 112, 196, -448, 154, 78, -283, 74, 40, -258, 71, 130, -283, -155, -27, -75, 2, -102, 117, -109, -54, -239, -1, 50, 86, 168, 80, 91, -109, -106, -53, 130, -8, 62, -21, 75]","[453, 665, 357, 313, 269, 405, 498, 587, 392, 1445, 582, 707, 368, 366, 334, 321, 370, 313, 291, 375, 279, 554, 319, 340, 562, 375, 388, 396, 521, 1027, 454, 392, 204, 381, 429, 344, 888, 252, 2070, 216, 369, 973, 511, 444, 546, 445, 350, 477, 191, 417, 712, 670, 120, 500, 378, 295, 318, 573, 465, 832, 336, 262, 694, 357, 424, 473, 183, 550, 361, 372, 154, 411, 637, 135]","[5, 11, 6, 4, 5, 4, 4, 12, 2, 15, 5, 3, 3, 2, 3, 3, 5, 4, 3, 6, 0, 11, 2, 2, 1, 3, 7, 3, 4, 11, 4, 5, 2, 3, 4, 6, 13, 5, 34, 0, 4, 10, 6, 1, 9, 6, 3, 6, 4, 2, 16, 6, 1, 4, 4, 2, 5, 5, 4, 7, 2, 3, 9, 3, 1, 8, 0, 9, 3, 2, 0, 4, 5, 1]",34737
7,"[4, 6, 3, 3, 2, 4, 4, 5, 3, 14, 5, 7, 3, 3, 3, 3, 3, 3, 2, 3, 2, 5, 3, 3, 5, 3, 3, 3, 5, 10, 4, 3, 2, 3, 4, 3, 8, 2, 20, 2, 3, 9, 5, 4, 5, 4, 3, 4, 1, 4, 7, 6, 1, 5, 3, 2, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 4, 6, 1]","[-109, 162, 251, 100, 40, 155, -107, -137, 98, -586, 44, -184, 165, 135, 84, 84, 190, 229, -55, 169, 39, 201, 41, 225, 122, 99, 22, 225, 232, -480, -14, -89, -46, 130, 135, 103, 104, 185, -1283, 123, 216, -508, 163, 94, -314, 94, 54, -280, 71, 132, -312, -166, -37, -82, -3, -127, 143, -110, -62, -282, -12, 65, 98, 199, 87, 102, -119, -118, -67, 163, -10, 65, -22, 83]","[439, 682, 383, 327, 272, 417, 497, 566, 395, 1358, 581, 682, 371, 390, 349, 335, 393, 335, 278, 393, 293, 566, 310, 347, 603, 385, 378, 417, 544, 968, 464, 380, 203, 391, 441, 344, 899, 291, 1946, 225, 387, 911, 522, 458, 515, 461, 365, 454, 191, 420, 684, 658, 110, 491, 373, 270, 343, 569, 457, 787, 325, 275, 709, 387, 431, 484, 173, 537, 346, 405, 151, 416, 630, 143]","[2, 5, 3, 3, 2, 6, 7, 7, 5, 19, 8, 6, 4, 2, 3, 3, 4, 6, 0, 3, 4, 11, 3, 6, 2, 0, 8, 4, 8, 11, 3, 6, 1, 4, 2, 3, 12, 4, 21, 4, 5, 11, 3, 6, 5, 8, 2, 5, 1, 3, 6, 7, 1, 7, 3, 2, 4, 8, 4, 10, 3, 4, 3, 4, 4, 4, 1, 6, 4, 3, 2, 2, 12, 1]",34676
8,"[4, 6, 3, 3, 2, 4, 4, 5, 3, 13, 5, 6, 3, 3, 3, 3, 3, 3, 2, 3, 2, 5, 3, 3, 6, 3, 3, 4, 5, 9, 4, 3, 2, 3, 4, 3, 8, 2, 19, 2, 3, 9, 5, 4, 5, 4, 3, 4, 1, 4, 6, 6, 1, 4, 3, 2, 3, 5, 4, 7, 3, 2, 7, 3, 4, 4, 1, 5, 3, 4, 1, 4, 6, 1]","[-122, 173, 271, 115, 47, 177, -94, -150, 94, -621, 49, -214, 174, 141, 85, 87, 207, 243, -67, 167, 45, 217, 62, 250, 118, 113, 28, 249, 245, -523, -13, -90, -47, 138, 135, 104, 115, 198, -1398, 140, 246, -570, 187, 106, -357, 110, 57, -306, 68, 164, -330, -174, -34, -83, -19, -136, 173, -117, -67, -285, -2, 79, 76, 220, 92, 104, -130, -131, -75, 164, -15, 65, -13, 85]","[428, 686, 405, 343, 277, 437, 510, 552, 392, 1316, 586, 651, 377, 395, 349, 338, 409, 350, 265, 391, 299, 584, 332, 371, 603, 399, 382, 443, 556, 927, 463, 378, 200, 391, 442, 347, 904, 301, 1817, 239, 417, 846, 544, 470, 470, 478, 368, 426, 185, 454, 663, 650, 112, 490, 357, 258, 367, 559, 449, 780, 332, 285, 688, 407, 435, 486, 161, 524, 340, 406, 143, 416, 637, 143]","[2, 13, 1, 2, 4, 6, 4, 6, 2, 20, 5, 7, 6, 4, 4, 3, 4, 2, 3, 3, 2, 3, 2, 4, 2, 3, 5, 2, 6, 7, 6, 4, 4, 11, 3, 1, 14, 5, 33, 5, 3, 12, 7, 4, 7, 3, 3, 6, 4, 2, 9, 6, 2, 4, 3, 5, 9, 8, 7, 11, 6, 6, 6, 4, 5, 4, 2, 5, 1, 4, 4, 4, 8, 3]",34581
9,"[4, 6, 4, 3, 2, 4, 5, 5, 3, 13, 5, 6, 3, 3, 3, 3, 4, 3, 2, 3, 2, 5, 3, 3, 6, 3, 3, 4, 5, 9, 4, 3, 2, 3, 4, 3, 9, 3, 18, 2, 4, 8, 5, 4, 4, 4, 3, 4, 1, 4, 6, 6, 1, 4, 3, 2, 3, 5, 4, 7, 3, 2, 6, 4, 4, 4, 1, 5, 3, 4, 1, 4, 6, 1]","[-129, 194, 279, 114, 55, 181, -105, -152, 100, -643, 59, -240, 192, 136, 101, 86, 209, 261, -85, 164, 38, 231, 74, 283, 123, 129, 39, 254, 265, -561, -10, -102, -45, 155, 174, 114, 88, 224, -1504, 147, 255, -613, 200, 121, -392, 123, 64, -317, 86, 163, -356, -188, -39, -96, -26, -149, 185, -137, -68, -309, -3, 94, 67, 229, 90, 120, -135, -138, -73, 190, -12, 72, 7, 92]","[421, 697, 411, 342, 281, 439, 499, 553, 396, 1283, 596, 621, 389, 389, 363, 336, 407, 365, 247, 388, 292, 595, 345, 400, 609, 416, 391, 445, 571, 892, 461, 365, 203, 409, 478, 354, 875, 325, 1711, 248, 427, 792, 552, 483, 433, 494, 373, 414, 201, 449, 636, 631, 106, 474, 348, 245, 376, 537, 448, 754, 329, 300, 676, 411, 431, 499, 152, 519, 344, 434, 146, 423, 654, 151]","[4, 16, 6, 3, 6, 6, 5, 2, 5, 24, 5, 10, 9, 4, 5, 4, 8, 6, 2, 3, 2, 8, 2, 7, 5, 2, 5, 7, 10, 6, 9, 4, 1, 2, 7, 6, 11, 5, 18, 0, 3, 19, 10, 6, 6, 1, 5, 5, 3, 8, 7, 11, 2, 7, 5, 2, 6, 7, 4, 9, 5, 2, 9, 9, 6, 7, 5, 3, 1, 2, 1, 4, 9, 0]",34450
