0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-16, 22, 29, 8, 0, 27, -22, -31, 19, -111, 4, -40, 35, 14, 31, 7, 32, 32, -13, 34, 12, 70, 15, 35, 10, 26, 9, 32, 55, -68, 5, -6, -6, 32, 36, 14, 27, 29, -264, 21, 29, -89, 22, 19, -69, 21, 16, -58, 15, 36, -58, -43, 0, -4, 7, -12, 26, -34, -11, -64, 14, 9, 22, 26, 10, 32, -21, -27, -13, 36, 0, 10, -5, 13]"
2,"[-34, 62, 79, 39, 13, 61, -58, -50, 49, -213, 15, -72, 64, 40, 35, 16, 49, 62, -16, 71, 8, 81, 21, 89, 36, 38, 10, 69, 100, -140, 2, -24, -9, 59, 50, 31, 58, 54, -471, 36, 74, -202, 52, 45, -121, 36, 28, -113, 23, 59, -117, -90, -2, -28, 1, -29, 43, -43, -37, -109, 23, 28, 49, 54, 39, 37, -51, -38, -24, 68, 1, 20, -14, 28]"
3,"[-56, 99, 129, 63, 20, 74, -75, -59, 66, -297, 23, -99, 85, 65, 48, 31, 76, 112, -21, 91, 20, 105, 34, 118, 41, 68, 22, 112, 125, -212, -9, -31, -14, 70, 73, 48, 69, 93, -665, 61, 102, -272, 79, 56, -165, 50, 29, -158, 36, 73, -170, -118, -15, -33, 14, -45, 51, -67, -55, -148, 28, 35, 53, 79, 53, 52, -69, -59, -40, 88, -7, 25, -23, 38]"
4,"[-75, 123, 154, 65, 27, 87, -95, -70, 61, -371, 37, -123, 119, 73, 66, 34, 110, 142, -24, 105, 32, 141, 45, 143, 55, 94, 22, 140, 164, -290, -25, -36, -21, 87, 91, 62, 85, 108, -839, 74, 128, -328, 98, 64, -208, 58, 30, -180, 52, 100, -210, -135, -16, -53, 9, -58, 82, -82, -62, -190, 11, 41, 57, 114, 66, 72, -84, -82, -36, 110, -7, 35, -22, 49]"
5,"[-79, 137, 203, 82, 32, 124, -94, -103, 80, -456, 30, -152, 145, 97, 68, 51, 140, 177, -37, 122, 30, 163, 48, 179, 68, 95, 24, 163, 192, -344, -28, -67, -36, 101, 110, 89, 79, 136, -1023, 82, 177, -399, 116, 84, -245, 74, 30, -222, 60, 107, -244, -144, -26, -57, 12, -85, 100, -93, -51, -201, 5, 42, 77, 131, 64, 80, -92, -94, -45, 133, -4, 47, -24, 59]"
6,"[-93, 146, 225, 86, 37, 141, -109, -118, 93, -504, 42, -158, 161, 112, 69, 70, 166, 204, -40, 151, 23, 183, 50, 215, 84, 92, 27, 203, 206, -422, -23, -80, -44, 119, 125, 103, 89, 144, -1160, 112, 196, -448, 154, 78, -283, 74, 40, -258, 71, 130, -283, -155, -27, -75, 2, -102, 117, -109, -54, -239, -1, 50, 86, 168, 80, 91, -109, -106, -53, 130, -8, 62, -21, 75]"
7,"[-109, 162, 251, 100, 40, 155, -107, -137, 98, -586, 44, -184, 165, 135, 84, 84, 190, 229, -55, 169, 39, 201, 41, 225, 122, 99, 22, 225, 232, -480, -14, -89, -46, 130, 135, 103, 104, 185, -1283, 123, 216, -508, 163, 94, -314, 94, 54, -280, 71, 132, -312, -166, -37, -82, -3, -127, 143, -110, -62, -282, -12, 65, 98, 199, 87, 102, -119, -118, -67, 163, -10, 65, -22, 83]"
8,"[-122, 173, 271, 115, 47, 177, -94, -150, 94, -621, 49, -214, 174, 141, 85, 87, 207, 243, -67, 167, 45, 217, 62, 250, 118, 113, 28, 249, 245, -523, -13, -90, -47, 138, 135, 104, 115, 198, -1398, 140, 246, -570, 187, 106, -357, 110, 57, -306, 68, 164, -330, -174, -34, -83, -19, -136, 173, -117, -67, -285, -2, 79, 76, 220, 92, 104, -130, -131, -75, 164, -15, 65, -13, 85]"
9,"[-129, 194, 279, 114, 55, 181, -105, -152, 100, -643, 59, -240, 192, 136, 101, 86, 209, 261, -85, 164, 38, 231, 74, 283, 123, 129, 39, 254, 265, -561, -10, -102, -45, 155, 174, 114, 88, 224, -1504, 147, 255, -613, 200, 121, -392, 123, 64, -317, 86, 163, -356, -188, -39, -96, -26, -149, 185, -137, -68, -309, -3, 94, 67, 229, 90, 120, -135, -138, -73, 190, -12, 72, 7, 92]"
