0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-21, 23, 31, 12, 18, 34, -23, -22, 29, -141, 11, -43, 19, 24, 27, 19, 25, 24, -11, 36, 2, 49, 25, 66, 12, 24, 3, 53, 39, -82, -4, -25, -15, 28, 18, 19, 52, 34, -250, 24, 43, -104, 23, -3, -59, 15, 17, -51, 10, 11, -53, -32, -7, -14, 6, -24, 36, -17, -13, -50, -19, 24, 21, 34, 23, 22, -28, -12, -19, 35, 1, 13, 19, 9]"
2,"[-26, 43, 74, 39, 25, 59, -42, -41, 57, -251, 35, -83, 44, 50, 37, 37, 38, 59, -23, 54, 12, 80, 38, 125, 33, 31, 14, 82, 67, -170, 11, -39, -26, 49, 49, 31, 56, 62, -480, 43, 84, -181, 35, 11, -121, 38, 40, -89, 23, 52, -82, -69, -19, -25, 9, -48, 61, -35, -5, -90, -19, 30, 37, 56, 20, 42, -42, -43, -39, 65, -7, 17, 15, 26]"
3,"[-47, 70, 112, 58, 30, 90, -66, -72, 76, -329, 45, -119, 65, 65, 53, 38, 62, 79, -35, 78, 23, 106, 47, 160, 49, 39, 14, 111, 104, -239, 15, -49, -30, 73, 83, 45, 54, 99, -655, 70, 114, -259, 64, 39, -165, 48, 58, -129, 30, 65, -124, -88, -25, -15, 6, -55, 75, -58, -27, -145, -21, 32, 27, 81, 40, 50, -54, -66, -46, 98, -5, 18, 13, 52]"
4,"[-69, 97, 143, 77, 36, 98, -73, -89, 84, -404, 61, -148, 86, 91, 73, 49, 91, 111, -29, 109, 22, 144, 60, 185, 60, 76, 30, 147, 118, -322, 12, -64, -36, 108, 99, 67, 59, 118, -870, 92, 140, -317, 86, 53, -211, 57, 65, -181, 34, 82, -155, -107, -26, -16, 2, -74, 101, -69, -36, -193, -22, 31, 21, 107, 66, 66, -63, -74, -55, 122, -7, 21, 4, 49]"
5,"[-91, 94, 186, 95, 43, 132, -83, -101, 82, -459, 69, -172, 119, 118, 89, 70, 108, 141, -36, 114, 29, 165, 58, 233, 68, 82, 37, 159, 147, -387, 21, -84, -41, 120, 109, 70, 72, 144, -1032, 93, 163, -392, 97, 64, -261, 76, 92, -223, 42, 99, -172, -122, -30, -15, 2, -98, 126, -93, -48, -231, -29, 36, 19, 136, 93, 68, -66, -97, -65, 152, -12, 31, 16, 61]"
6,"[-100, 112, 209, 111, 58, 156, -91, -117, 96, -527, 77, -210, 146, 140, 113, 78, 104, 163, -42, 127, 31, 179, 66, 266, 80, 76, 48, 187, 171, -452, 18, -95, -43, 141, 136, 82, 66, 166, -1142, 108, 202, -440, 114, 72, -297, 88, 107, -242, 52, 120, -198, -166, -36, -27, -8, -110, 139, -98, -48, -267, -38, 50, 2, 149, 104, 66, -80, -104, -79, 172, -14, 31, 13, 79]"
7,"[-124, 133, 231, 130, 63, 161, -99, -139, 107, -563, 87, -235, 175, 159, 125, 98, 115, 178, -58, 137, 36, 201, 89, 295, 110, 89, 59, 194, 181, -513, 27, -111, -47, 154, 150, 93, 73, 175, -1297, 119, 233, -480, 131, 82, -339, 98, 120, -276, 67, 141, -249, -173, -33, -38, -10, -117, 155, -111, -60, -285, -45, 57, -6, 154, 110, 86, -92, -116, -76, 203, -15, 29, 7, 90]"
8,"[-130, 133, 245, 161, 61, 158, -106, -137, 118, -605, 98, -260, 193, 172, 142, 122, 134, 198, -62, 160, 49, 214, 93, 314, 114, 99, 70, 209, 210, -549, 43, -111, -49, 165, 181, 91, 69, 191, -1445, 129, 237, -532, 148, 77, -381, 106, 135, -299, 75, 138, -270, -181, -33, -46, -15, -133, 166, -127, -72, -327, -46, 71, 1, 171, 122, 80, -104, -120, -78, 220, -11, 21, 20, 105]"
9,"[-148, 137, 268, 178, 58, 174, -115, -161, 122, -650, 84, -273, 210, 188, 153, 147, 153, 233, -70, 171, 60, 245, 81, 338, 126, 109, 81, 211, 221, -575, 43, -122, -53, 181, 208, 99, 62, 203, -1566, 132, 267, -548, 166, 89, -417, 132, 148, -319, 83, 147, -304, -204, -43, -46, -18, -148, 171, -142, -77, -353, -50, 78, -3, 177, 132, 91, -109, -129, -85, 215, -4, 28, 25, 107]"
10,"[-162, 154, 283, 192, 50, 187, -128, -177, 130, -690, 94, -281, 238, 195, 155, 147, 185, 247, -68, 171, 58, 258, 100, 343, 139, 132, 79, 227, 239, -634, 31, -127, -67, 177, 222, 118, 70, 227, -1660, 153, 275, -587, 182, 93, -447, 155, 154, -320, 94, 156, -322, -201, -42, -52, -30, -155, 187, -153, -81, -375, -50, 71, -22, 187, 125, 94, -111, -140, -94, 219, -3, 45, 27, 114]"
