0,"[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]"
1,"[527, 548, 170, 238, 256, 295, 582, 687, 317, 1793, 546, 813, 225, 278, 292, 281, 229, 136, 320, 273, 257, 423, 301, 190, 482, 315, 373, 249, 367, 1355, 474, 447, 227, 300, 325, 275, 855, 149, 2982, 130, 221, 1311, 386, 365, 770, 394, 321, 684, 132, 295, 946, 798, 140, 567, 386, 379, 241, 668, 507, 1028, 320, 237, 631, 226, 367, 420, 256, 646, 393, 275, 166, 360, 690, 76]"
2,"[523, 570, 212, 264, 261, 317, 560, 671, 346, 1691, 568, 778, 251, 305, 301, 298, 241, 171, 308, 293, 268, 457, 314, 249, 502, 323, 384, 276, 396, 1268, 488, 435, 214, 322, 357, 285, 857, 176, 2757, 149, 262, 1236, 397, 381, 708, 416, 345, 647, 143, 335, 916, 762, 128, 557, 391, 351, 267, 648, 517, 992, 321, 244, 649, 249, 366, 438, 243, 618, 373, 306, 158, 364, 688, 93]"
3,"[499, 596, 251, 282, 267, 348, 537, 640, 366, 1615, 577, 744, 272, 321, 318, 300, 267, 191, 295, 313, 278, 482, 323, 285, 518, 328, 384, 305, 430, 1204, 493, 421, 211, 344, 388, 300, 852, 213, 2579, 173, 291, 1158, 425, 410, 668, 421, 364, 605, 151, 350, 873, 743, 122, 562, 389, 340, 282, 624, 495, 934, 318, 246, 640, 273, 388, 443, 232, 597, 368, 341, 159, 362, 688, 116]"
4,"[476, 621, 282, 298, 271, 356, 531, 620, 373, 1540, 590, 712, 292, 347, 338, 308, 293, 222, 302, 343, 277, 518, 335, 308, 530, 364, 399, 342, 443, 1120, 487, 404, 207, 377, 403, 322, 858, 234, 2367, 195, 317, 1104, 442, 426, 615, 431, 374, 551, 152, 366, 839, 721, 120, 560, 381, 318, 308, 614, 487, 889, 318, 245, 636, 297, 414, 461, 222, 588, 360, 365, 155, 367, 678, 113]"
5,"[453, 619, 326, 318, 276, 389, 523, 606, 366, 1482, 598, 690, 321, 372, 355, 329, 307, 250, 294, 347, 284, 542, 330, 351, 537, 369, 405, 351, 469, 1053, 497, 385, 202, 388, 411, 328, 867, 260, 2209, 195, 341, 1027, 449, 437, 564, 450, 399, 513, 161, 382, 821, 705, 115, 562, 377, 294, 332, 589, 476, 854, 307, 248, 633, 325, 441, 463, 217, 561, 353, 393, 150, 379, 681, 123]"
6,"[441, 637, 349, 332, 289, 411, 517, 589, 381, 1416, 605, 654, 350, 389, 378, 337, 304, 271, 289, 355, 286, 558, 337, 386, 550, 360, 417, 379, 492, 988, 494, 376, 199, 409, 437, 339, 856, 283, 2089, 209, 381, 976, 467, 445, 524, 463, 414, 497, 170, 401, 796, 656, 110, 549, 366, 282, 346, 581, 474, 816, 298, 261, 617, 338, 450, 460, 204, 556, 341, 413, 148, 379, 676, 141]"
7,"[412, 660, 372, 348, 294, 417, 507, 562, 393, 1376, 613, 629, 375, 409, 389, 356, 312, 280, 267, 363, 290, 578, 359, 411, 583, 371, 427, 386, 500, 921, 499, 356, 194, 422, 452, 351, 865, 289, 1930, 220, 409, 933, 482, 454, 475, 474, 430, 461, 184, 422, 743, 650, 113, 533, 358, 273, 362, 566, 461, 797, 291, 268, 610, 342, 455, 477, 192, 545, 341, 445, 147, 377, 669, 152]"
8,"[406, 658, 386, 375, 291, 415, 494, 562, 407, 1323, 618, 603, 388, 425, 404, 381, 331, 302, 261, 386, 300, 584, 363, 428, 587, 377, 440, 399, 530, 888, 515, 357, 190, 428, 485, 350, 858, 304, 1777, 230, 415, 876, 497, 449, 432, 481, 448, 437, 191, 421, 718, 641, 114, 523, 353, 251, 374, 552, 446, 751, 290, 277, 612, 359, 466, 468, 177, 537, 340, 461, 151, 366, 679, 166]"
9,"[382, 660, 409, 393, 284, 429, 483, 530, 408, 1278, 601, 585, 406, 444, 416, 406, 351, 338, 253, 394, 308, 607, 347, 445, 595, 385, 449, 399, 543, 860, 513, 346, 185, 444, 505, 360, 851, 312, 1657, 230, 447, 859, 510, 463, 398, 502, 462, 417, 199, 433, 684, 611, 104, 518, 348, 233, 380, 536, 439, 720, 284, 284, 610, 362, 473, 477, 171, 529, 331, 455, 157, 371, 679, 169]"
10,"[367, 675, 423, 406, 274, 438, 471, 506, 414, 1231, 601, 581, 429, 452, 418, 407, 382, 350, 251, 393, 308, 619, 365, 447, 608, 404, 448, 414, 560, 798, 500, 333, 166, 441, 515, 378, 855, 338, 1566, 249, 455, 814, 521, 467, 365, 518, 468, 414, 208, 446, 664, 608, 104, 509, 329, 224, 395, 527, 435, 700, 283, 277, 590, 372, 465, 473, 166, 514, 323, 459, 156, 386, 678, 175]"
11,"[365, 669, 438, 411, 283, 448, 465, 491, 423, 1206, 604, 565, 437, 455, 416, 413, 399, 366, 261, 401, 300, 626, 354, 479, 625, 407, 443, 422, 563, 762, 496, 326, 161, 448, 518, 382, 851, 359, 1462, 272, 466, 766, 542, 452, 330, 523, 460, 392, 205, 456, 648, 584, 103, 504, 324, 208, 408, 525, 427, 685, 284, 281, 586, 379, 465, 483, 156, 513, 319, 457, 153, 392, 690, 183]"
12,"[350, 692, 456, 425, 284, 455, 458, 483, 405, 1183, 621, 555, 428, 450, 421, 415, 416, 377, 242, 409, 304, 613, 352, 496, 639, 410, 448, 440, 556, 720, 501, 312, 158, 468, 519, 374, 820, 374, 1378, 269, 473, 742, 540, 468, 307, 527, 477, 383, 223, 465, 629, 564, 103, 489, 326, 199, 427, 508, 419, 665, 278, 280, 565, 376, 460, 506, 151, 483, 312, 443, 142, 391, 687, 190]"
13,"[343, 719, 454, 441, 283, 467, 446, 460, 396, 1151, 619, 533, 438, 458, 438, 412, 427, 401, 237, 415, 307, 614, 349, 514, 637, 424, 454, 440, 557, 686, 503, 313, 159, 475, 525, 382, 811, 377, 1275, 270, 484, 702, 560, 459, 289, 546, 483, 356, 230, 466, 602, 546, 99, 500, 314, 189, 420, 483, 429, 650, 261, 274, 565, 393, 470, 502, 145, 471, 302, 448, 142, 396, 704, 195]"
14,"[337, 722, 470, 462, 272, 469, 434, 452, 378, 1113, 625, 536, 460, 465, 420, 423, 442, 410, 232, 417, 310, 618, 346, 533, 652, 417, 455, 441, 568, 665, 495, 306, 147, 489, 537, 386, 785, 395, 1207, 280, 506, 656, 577, 458, 258, 544, 467, 335, 233, 473, 580, 513, 96, 476, 316, 182, 429, 462, 432, 628, 266, 265, 558, 417, 473, 502, 137, 470, 311, 442, 145, 403, 692, 191]"
15,"[341, 720, 480, 465, 268, 467, 421, 443, 387, 1072, 640, 507, 476, 473, 422, 425, 451, 418, 233, 420, 313, 614, 347, 547, 639, 407, 447, 449, 575, 630, 482, 301, 143, 501, 543, 396, 764, 404, 1114, 286, 511, 623, 592, 471, 240, 554, 461, 327, 231, 478, 559, 510, 90, 462, 302, 171, 422, 452, 414, 618, 264, 267, 556, 436, 468, 505, 131, 460, 315, 449, 146, 405, 693, 185]"
16,"[339, 732, 513, 467, 275, 471, 409, 428, 384, 1037, 634, 495, 483, 471, 405, 422, 451, 417, 231, 416, 314, 630, 352, 530, 622, 406, 449, 457, 581, 602, 476, 295, 134, 509, 564, 393, 756, 409, 1054, 288, 515, 601, 604, 467, 223, 565, 451, 311, 229, 473, 546, 505, 89, 465, 301, 163, 421, 450, 398, 593, 257, 272, 531, 459, 476, 509, 121, 446, 308, 464, 145, 401, 694, 190]"
17,"[321, 732, 531, 455, 283, 468, 389, 412, 367, 1012, 633, 491, 477, 485, 409, 427, 438, 425, 227, 415, 316, 640, 366, 542, 594, 391, 438, 444, 585, 584, 488, 284, 135, 515, 555, 377, 742, 422, 981, 291, 520, 564, 599, 474, 212, 587, 441, 304, 241, 460, 533, 497, 85, 461, 315, 157, 440, 423, 386, 571, 258, 281, 532, 473, 489, 514, 121, 431, 304, 469, 145, 404, 701, 186]"
