,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-11, 7, 57, 26, 3, 37, -18, -30, 29, -122, 29, -48, 24, 27, 19, 19, 38, 34, -7, 37, 8, 27, 18, 63, 9, 24, 6, 14, 40, -88, 2, -15, -14, 18, 25, 20, 21, 32, -241, 14, 46, -104, 28, 16, -74, 41, 1, -48, 3, 19, -51, -38, -3, -9, -2, -8, 25, -37, -10, -53, 15, 11, 21, 27, 17, 11, -26, -5, -14, 48, -6, 15, -12, 23]","[533, 532, 194, 253, 244, 299, 583, 680, 318, 1813, 560, 811, 231, 284, 284, 280, 241, 145, 326, 274, 264, 407, 295, 185, 477, 313, 375, 209, 365, 1348, 483, 458, 229, 288, 329, 276, 826, 146, 3000, 119, 223, 1312, 386, 379, 754, 419, 308, 689, 127, 305, 949, 793, 144, 572, 381, 389, 228, 646, 508, 1026, 359, 224, 627, 220, 359, 414, 262, 655, 400, 287, 157, 364, 653, 90]","[6, 6, 2, 0, 2, 3, 9, 7, 2, 17, 8, 7, 1, 1, 3, 4, 3, 1, 0, 2, 1, 3, 2, 2, 4, 2, 2, 2, 5, 12, 4, 2, 2, 3, 4, 1, 5, 2, 21, 1, 2, 9, 5, 6, 8, 4, 1, 6, 0, 1, 4, 5, 2, 4, 4, 8, 4, 6, 4, 7, 4, 4, 9, 0, 4, 4, 2, 5, 1, 4, 2, 2, 11, 0]",34886
2,"[5, 5, 1, 2, 2, 2, 5, 6, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 2, 3, 2, 8, 1, 30, 1, 2, 13, 3, 3, 7, 4, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-26, 32, 114, 52, 7, 66, -49, -46, 42, -202, 44, -101, 56, 53, 33, 9, 52, 77, -6, 65, 13, 67, 19, 111, 5, 49, 22, 52, 53, -173, 3, -28, -21, 32, 54, 27, 43, 75, -461, 34, 73, -184, 39, 30, -146, 72, 32, -94, 13, 34, -99, -56, -6, -31, -3, -34, 45, -56, -12, -98, 16, 9, 28, 51, 24, 47, -42, -25, -17, 89, -6, 36, -9, 32]","[520, 557, 250, 281, 249, 327, 545, 666, 333, 1735, 572, 757, 263, 308, 296, 269, 253, 188, 328, 300, 268, 447, 297, 232, 474, 339, 388, 245, 379, 1264, 483, 449, 224, 302, 357, 283, 850, 188, 2784, 139, 248, 1232, 398, 393, 683, 451, 340, 642, 137, 320, 903, 774, 141, 552, 378, 365, 247, 624, 510, 981, 361, 223, 628, 246, 367, 451, 246, 633, 401, 328, 156, 387, 659, 96]","[3, 5, 2, 0, 1, 3, 12, 4, 1, 16, 8, 9, 2, 4, 4, 3, 4, 1, 2, 4, 3, 4, 1, 2, 3, 2, 6, 4, 2, 12, 5, 0, 0, 2, 4, 2, 6, 2, 26, 1, 4, 13, 2, 3, 6, 3, 2, 7, 1, 3, 7, 8, 1, 3, 5, 1, 3, 9, 1, 10, 2, 1, 12, 0, 2, 3, 2, 8, 0, 2, 2, 1, 3, 3]",34890
3,"[5, 5, 2, 2, 2, 3, 5, 6, 3, 17, 5, 7, 2, 3, 2, 2, 2, 1, 3, 3, 2, 4, 2, 2, 4, 3, 3, 2, 3, 12, 4, 4, 2, 3, 3, 2, 8, 1, 27, 1, 2, 12, 3, 3, 6, 4, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 5, 9, 3, 2, 6, 2, 3, 4, 2, 6, 4, 3, 1, 3, 6, 0]","[-51, 56, 154, 70, 24, 79, -61, -52, 52, -291, 60, -124, 86, 87, 60, 15, 68, 101, -19, 89, 25, 98, 30, 149, 10, 49, 28, 89, 78, -245, -11, -50, -28, 65, 69, 42, 72, 96, -667, 50, 112, -242, 68, 52, -188, 76, 56, -139, 33, 73, -140, -85, -8, -59, 3, -50, 60, -75, -23, -148, 23, 11, 23, 76, 28, 57, -67, -56, -36, 110, -1, 68, -7, 43]","[492, 578, 289, 299, 267, 339, 530, 662, 344, 1651, 588, 737, 294, 343, 322, 272, 268, 212, 318, 324, 277, 478, 309, 269, 480, 337, 396, 280, 401, 1191, 468, 427, 219, 336, 373, 294, 881, 208, 2592, 154, 286, 1172, 426, 413, 641, 455, 365, 596, 157, 357, 864, 747, 137, 522, 381, 344, 261, 605, 501, 934, 366, 224, 628, 272, 370, 461, 222, 604, 384, 350, 160, 419, 663, 106]","[8, 8, 3, 2, 1, 4, 8, 4, 2, 12, 5, 4, 1, 2, 3, 5, 3, 1, 0, 3, 5, 4, 1, 3, 3, 5, 1, 4, 6, 13, 5, 4, 0, 2, 2, 6, 6, 2, 13, 2, 3, 14, 4, 5, 6, 4, 2, 7, 1, 5, 7, 5, 3, 7, 6, 8, 3, 6, 3, 6, 5, 3, 1, 1, 4, 4, 1, 4, 2, 2, 2, 3, 4, 1]",34892
4,"[4, 5, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 2, 3, 3, 2, 2, 2, 3, 3, 2, 4, 3, 2, 4, 3, 3, 2, 4, 11, 4, 4, 2, 3, 3, 2, 8, 2, 25, 1, 2, 11, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 5, 9, 3, 2, 6, 2, 3, 4, 2, 6, 3, 3, 1, 4, 6, 1]","[-60, 76, 181, 91, 25, 108, -77, -72, 59, -342, 66, -150, 110, 84, 61, 29, 110, 121, -18, 118, 21, 130, 29, 188, 36, 67, 31, 116, 104, -312, -7, -59, -35, 84, 81, 62, 81, 123, -828, 66, 141, -304, 96, 59, -224, 81, 67, -173, 32, 96, -174, -121, -20, -56, 5, -65, 81, -91, -37, -193, 27, 24, 24, 85, 51, 73, -85, -75, -58, 127, -8, 68, -13, 62]","[482, 594, 315, 320, 268, 366, 518, 642, 350, 1603, 588, 710, 319, 339, 324, 285, 311, 233, 320, 351, 273, 508, 307, 306, 507, 356, 396, 307, 423, 1120, 473, 416, 213, 356, 388, 312, 892, 236, 2430, 171, 313, 1110, 456, 423, 606, 452, 369, 561, 155, 381, 831, 709, 125, 527, 378, 326, 277, 591, 486, 891, 368, 237, 631, 279, 393, 474, 205, 589, 355, 364, 154, 418, 659, 124]","[5, 9, 3, 2, 2, 5, 1, 6, 4, 13, 11, 8, 1, 4, 2, 3, 1, 1, 2, 5, 2, 6, 4, 4, 3, 2, 6, 2, 8, 15, 3, 6, 1, 2, 0, 4, 6, 1, 26, 0, 4, 11, 2, 1, 5, 12, 10, 6, 2, 2, 7, 9, 1, 3, 8, 6, 7, 4, 6, 7, 5, 2, 4, 4, 3, 7, 1, 2, 10, 6, 0, 5, 4, 2]",34845
5,"[4, 5, 3, 3, 2, 3, 5, 6, 3, 16, 5, 7, 3, 3, 3, 2, 3, 2, 3, 3, 2, 5, 3, 3, 5, 3, 3, 3, 4, 11, 4, 4, 2, 3, 3, 3, 8, 2, 24, 1, 3, 11, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 5, 4, 8, 3, 2, 6, 2, 3, 4, 2, 5, 3, 3, 1, 4, 6, 1]","[-87, 90, 221, 117, 31, 110, -86, -83, 61, -426, 88, -179, 132, 94, 67, 56, 118, 132, -27, 133, 26, 146, 47, 218, 52, 88, 36, 136, 121, -384, -7, -70, -43, 106, 115, 84, 66, 151, -999, 95, 178, -367, 91, 75, -269, 94, 105, -222, 42, 122, -213, -130, -19, -50, 12, -72, 99, -101, -49, -226, 14, 37, 28, 101, 60, 87, -102, -74, -72, 142, -6, 79, -8, 68]","[459, 609, 356, 347, 272, 369, 505, 633, 352, 1516, 610, 683, 341, 349, 330, 311, 318, 245, 310, 364, 275, 524, 324, 336, 522, 374, 403, 329, 440, 1054, 475, 402, 205, 380, 417, 334, 881, 265, 2263, 200, 346, 1045, 451, 438, 563, 465, 407, 511, 164, 405, 793, 701, 126, 534, 384, 316, 296, 579, 473, 857, 355, 246, 634, 292, 397, 481, 188, 586, 344, 380, 156, 428, 663, 130]","[0, 4, 2, 2, 4, 2, 9, 4, 3, 19, 5, 5, 3, 3, 3, 3, 4, 1, 4, 5, 5, 5, 4, 3, 6, 6, 1, 1, 4, 5, 2, 7, 2, 1, 8, 3, 4, 1, 20, 1, 7, 13, 4, 5, 4, 4, 3, 6, 2, 5, 7, 6, 1, 4, 4, 6, 1, 7, 5, 9, 3, 6, 7, 5, 8, 11, 2, 9, 0, 2, 1, 5, 7, 1]",34816
6,"[4, 6, 3, 3, 2, 3, 5, 6, 3, 15, 6, 6, 3, 3, 3, 3, 3, 2, 3, 3, 2, 5, 3, 3, 5, 3, 4, 3, 4, 10, 4, 4, 2, 3, 4, 3, 8, 2, 22, 2, 3, 10, 4, 4, 5, 4, 4, 5, 1, 4, 7, 7, 1, 5, 3, 3, 2, 5, 4, 8, 3, 2, 6, 2, 3, 4, 1, 5, 3, 3, 1, 4, 6, 1]","[-110, 98, 251, 129, 42, 119, -85, -107, 59, -496, 109, -201, 153, 115, 76, 69, 129, 150, -35, 165, 32, 168, 50, 239, 55, 100, 38, 153, 131, -444, -19, -79, -47, 136, 122, 101, 69, 168, -1136, 103, 207, -428, 98, 85, -305, 96, 120, -240, 60, 126, -237, -132, -26, -39, 11, -89, 124, -125, -57, -234, 13, 50, 17, 116, 79, 110, -108, -75, -85, 149, -12, 85, 10, 66]","[434, 617, 386, 354, 283, 377, 507, 606, 349, 1441, 630, 659, 364, 367, 334, 322, 327, 264, 298, 390, 282, 547, 323, 358, 523, 382, 404, 347, 449, 998, 455, 392, 201, 408, 424, 347, 886, 281, 2126, 206, 370, 983, 457, 448, 521, 464, 424, 496, 183, 409, 768, 697, 117, 542, 375, 299, 318, 553, 463, 849, 356, 256, 624, 305, 413, 500, 180, 581, 331, 384, 149, 435, 683, 128]","[6, 6, 3, 8, 2, 4, 4, 9, 4, 20, 7, 8, 1, 6, 8, 5, 5, 1, 7, 9, 1, 4, 7, 2, 7, 7, 5, 2, 5, 6, 12, 5, 2, 5, 4, 7, 6, 3, 22, 4, 8, 11, 5, 4, 11, 7, 2, 2, 0, 4, 8, 9, 3, 8, 11, 3, 5, 7, 6, 8, 1, 5, 5, 4, 6, 8, 3, 9, 3, 6, 2, 3, 4, 1]",34709
7,"[4, 6, 3, 3, 2, 3, 5, 6, 3, 14, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 3, 5, 3, 4, 3, 4, 9, 4, 3, 2, 4, 4, 3, 8, 2, 21, 2, 3, 9, 4, 4, 5, 4, 4, 4, 1, 4, 7, 6, 1, 5, 3, 2, 3, 5, 4, 8, 3, 2, 6, 3, 4, 5, 1, 5, 3, 3, 1, 4, 6, 1]","[-116, 117, 260, 137, 49, 123, -107, -130, 49, -562, 129, -219, 176, 123, 77, 77, 132, 168, -35, 187, 48, 182, 67, 263, 86, 117, 56, 169, 163, -501, -14, -97, -46, 163, 135, 117, 73, 170, -1271, 111, 230, -472, 104, 98, -350, 96, 124, -263, 70, 141, -262, -142, -24, -39, 18, -97, 138, -138, -58, -261, 5, 62, 17, 122, 80, 125, -119, -89, -90, 176, -9, 105, 6, 70]","[429, 632, 395, 361, 289, 380, 485, 583, 338, 1376, 648, 637, 388, 374, 334, 331, 330, 281, 296, 409, 295, 559, 341, 376, 555, 395, 425, 364, 483, 939, 460, 373, 200, 436, 436, 360, 887, 283, 1985, 214, 395, 940, 465, 460, 476, 465, 425, 471, 193, 420, 740, 680, 118, 543, 381, 288, 335, 535, 460, 824, 349, 265, 622, 312, 413, 512, 167, 567, 324, 410, 150, 453, 678, 133]","[3, 10, 3, 4, 3, 4, 5, 6, 4, 13, 8, 10, 2, 4, 4, 2, 3, 3, 4, 6, 5, 7, 2, 9, 4, 7, 1, 2, 2, 11, 4, 4, 4, 3, 5, 6, 11, 2, 27, 2, 1, 8, 2, 5, 5, 3, 7, 6, 1, 8, 10, 13, 2, 4, 4, 5, 0, 10, 6, 6, 2, 5, 8, 2, 5, 8, 3, 5, 5, 4, 3, 6, 7, 0]",34631
8,"[4, 6, 3, 3, 2, 3, 4, 5, 3, 13, 6, 6, 3, 3, 3, 3, 3, 2, 2, 4, 2, 5, 3, 3, 5, 3, 4, 3, 4, 9, 4, 3, 2, 4, 4, 3, 8, 2, 19, 2, 3, 9, 4, 4, 4, 4, 4, 4, 1, 4, 7, 6, 1, 5, 3, 2, 3, 5, 4, 8, 3, 2, 6, 3, 4, 5, 1, 5, 3, 4, 1, 4, 6, 1]","[-126, 136, 291, 138, 43, 140, -118, -136, 63, -627, 135, -229, 189, 149, 102, 89, 153, 181, -45, 187, 45, 211, 69, 291, 111, 118, 62, 171, 189, -528, 1, -107, -54, 179, 141, 133, 82, 180, -1398, 122, 252, -514, 109, 101, -376, 117, 139, -288, 76, 151, -292, -154, -37, -43, -5, -114, 166, -168, -71, -290, 8, 68, 24, 131, 104, 119, -123, -91, -94, 182, -11, 100, 12, 79]","[419, 649, 423, 361, 284, 395, 473, 575, 348, 1309, 654, 628, 399, 402, 358, 341, 352, 293, 287, 411, 289, 585, 342, 404, 580, 395, 431, 367, 508, 913, 475, 362, 193, 452, 440, 376, 899, 289, 1851, 223, 415, 893, 472, 458, 447, 480, 440, 442, 199, 430, 707, 666, 103, 537, 356, 272, 360, 503, 444, 793, 351, 271, 628, 322, 437, 502, 162, 562, 320, 416, 148, 448, 677, 141]","[4, 8, 6, 4, 1, 5, 5, 7, 7, 15, 6, 5, 5, 1, 4, 5, 2, 3, 1, 2, 5, 8, 4, 3, 5, 4, 4, 2, 5, 8, 4, 4, 1, 4, 6, 3, 5, 6, 26, 4, 5, 14, 2, 9, 7, 10, 4, 8, 1, 4, 10, 8, 3, 7, 5, 1, 6, 7, 7, 10, 4, 2, 7, 2, 4, 9, 2, 8, 3, 4, 1, 4, 13, 2]",34537
9,"[4, 6, 4, 3, 2, 3, 4, 5, 3, 13, 6, 6, 3, 4, 3, 3, 3, 2, 2, 4, 2, 5, 3, 4, 5, 3, 4, 3, 5, 9, 4, 3, 1, 4, 4, 3, 8, 2, 18, 2, 4, 8, 4, 4, 4, 4, 4, 4, 1, 4, 7, 6, 1, 5, 3, 2, 3, 5, 4, 7, 3, 2, 6, 3, 4, 5, 1, 5, 3, 4, 1, 4, 6, 1]","[-140, 165, 312, 138, 47, 155, -115, -155, 70, -696, 152, -239, 205, 154, 108, 89, 177, 196, -42, 189, 45, 224, 65, 314, 122, 125, 70, 194, 213, -578, -1, -113, -64, 189, 159, 145, 89, 200, -1526, 126, 266, -551, 117, 111, -405, 137, 152, -306, 81, 156, -314, -164, -45, -54, -9, -120, 176, -166, -78, -317, 12, 73, 22, 145, 115, 140, -130, -100, -101, 196, -11, 109, 15, 80]","[401, 673, 437, 358, 286, 411, 473, 557, 354, 1230, 673, 619, 412, 405, 365, 341, 371, 306, 288, 410, 289, 597, 337, 426, 588, 405, 436, 389, 531, 861, 471, 354, 182, 459, 458, 386, 900, 310, 1713, 227, 432, 849, 479, 463, 415, 493, 454, 423, 198, 436, 681, 656, 96, 526, 350, 266, 369, 501, 433, 761, 353, 277, 624, 334, 440, 517, 152, 550, 311, 427, 146, 452, 675, 142]","[8, 11, 11, 6, 4, 2, 7, 4, 4, 23, 4, 5, 6, 6, 2, 3, 8, 4, 4, 7, 2, 6, 4, 5, 8, 0, 7, 4, 6, 11, 6, 5, 2, 7, 4, 5, 14, 1, 28, 2, 1, 15, 5, 9, 7, 11, 3, 5, 7, 3, 11, 6, 0, 5, 5, 2, 4, 9, 8, 12, 5, 1, 8, 5, 12, 11, 4, 8, 5, 7, 3, 9, 11, 1]",34370
