,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-2, 32, 48, 19, -1, 26, -30, -32, 10, -105, 24, -43, 32, 19, 12, 2, 27, 31, -5, 47, 12, 38, -1, 37, 10, 10, 8, 20, 49, -89, 3, -24, -6, 29, 24, 24, 29, 39, -226, 14, 32, -82, 35, 5, -72, 29, 5, -56, 15, 19, -45, -34, -8, -11, -5, -17, 22, -10, -25, -37, -11, 7, 18, 30, 22, 26, -17, -25, -18, 44, 1, 17, 14, 21]","[546, 555, 184, 245, 236, 288, 574, 682, 301, 1831, 556, 819, 239, 277, 279, 266, 230, 143, 327, 285, 267, 412, 272, 160, 478, 297, 374, 212, 374, 1351, 484, 446, 238, 300, 331, 278, 835, 152, 3005, 119, 210, 1331, 393, 372, 756, 407, 311, 683, 139, 303, 949, 798, 140, 564, 379, 385, 229, 676, 493, 1045, 335, 223, 630, 222, 362, 429, 273, 636, 397, 284, 164, 366, 682, 88]","[2, 8, 3, 1, 6, 3, 6, 3, 0, 16, 7, 4, 1, 0, 1, 1, 3, 0, 1, 1, 2, 9, 6, 1, 4, 4, 5, 5, 5, 8, 4, 5, 1, 2, 1, 3, 4, 3, 31, 1, 1, 12, 5, 2, 8, 4, 2, 4, 0, 3, 10, 4, 1, 10, 3, 3, 0, 3, 4, 4, 2, 1, 3, 1, 6, 4, 0, 4, 0, 3, 2, 2, 8, 0]",34902
2,"[5, 5, 1, 2, 2, 2, 5, 6, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 2, 3, 2, 3, 13, 4, 4, 2, 3, 3, 2, 8, 1, 30, 1, 2, 13, 3, 3, 7, 4, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 4, 10, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 0]","[-33, 65, 80, 46, -4, 57, -51, -51, 20, -180, 29, -80, 61, 46, 25, 26, 60, 68, -24, 72, 15, 88, 0, 74, 26, 30, 14, 64, 63, -179, 2, -44, -8, 40, 65, 38, 45, 69, -439, 32, 63, -163, 63, 19, -121, 37, 26, -119, 25, 30, -90, -63, -12, -14, -1, -32, 46, -27, -27, -73, -7, 22, 15, 61, 45, 27, -41, -43, -18, 57, 0, 30, 24, 34]","[513, 586, 216, 273, 228, 318, 552, 664, 311, 1748, 558, 786, 270, 304, 290, 286, 263, 180, 309, 308, 268, 464, 272, 197, 493, 319, 381, 255, 387, 1267, 480, 427, 234, 312, 373, 292, 855, 182, 2793, 138, 238, 1249, 421, 386, 703, 415, 334, 619, 147, 312, 899, 766, 136, 562, 383, 369, 250, 657, 491, 1010, 341, 237, 632, 253, 384, 429, 248, 619, 396, 296, 161, 381, 689, 101]","[7, 7, 1, 1, 7, 3, 6, 5, 3, 26, 8, 4, 0, 2, 4, 6, 2, 1, 2, 4, 4, 2, 3, 1, 5, 0, 2, 3, 4, 7, 7, 3, 4, 2, 2, 2, 4, 1, 29, 0, 5, 14, 3, 3, 11, 4, 1, 7, 3, 5, 14, 10, 1, 4, 3, 4, 5, 8, 4, 9, 1, 3, 1, 2, 4, 5, 3, 5, 4, 3, 3, 1, 9, 0]",34866
3,"[5, 5, 2, 2, 2, 3, 5, 6, 3, 17, 5, 7, 2, 3, 2, 2, 2, 1, 3, 3, 2, 4, 2, 1, 4, 3, 3, 2, 3, 12, 4, 4, 2, 3, 3, 2, 8, 1, 27, 1, 2, 12, 4, 3, 7, 4, 3, 6, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 10, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 1]","[-50, 86, 114, 57, 2, 75, -62, -59, 46, -263, 50, -127, 87, 70, 40, 37, 77, 91, -25, 102, 21, 135, 16, 129, 46, 39, 19, 79, 94, -251, -1, -60, -13, 68, 89, 45, 52, 101, -687, 44, 78, -227, 83, 21, -176, 40, 39, -160, 22, 45, -123, -83, -14, -33, 4, -45, 57, -43, -25, -121, -9, 40, 25, 104, 70, 35, -66, -66, -22, 92, -4, 57, 38, 54]","[493, 604, 251, 282, 230, 339, 541, 657, 336, 1671, 577, 744, 296, 330, 306, 299, 281, 204, 308, 337, 273, 510, 286, 250, 513, 329, 389, 268, 417, 1201, 476, 414, 229, 339, 396, 300, 861, 212, 2537, 151, 253, 1185, 441, 384, 650, 420, 350, 575, 143, 326, 865, 748, 134, 540, 387, 354, 261, 638, 491, 963, 340, 254, 643, 294, 408, 441, 224, 595, 393, 331, 157, 406, 705, 122]","[8, 8, 1, 4, 6, 0, 5, 5, 4, 11, 7, 2, 2, 1, 1, 0, 1, 0, 3, 4, 3, 5, 4, 3, 4, 2, 0, 4, 4, 6, 5, 1, 2, 4, 4, 1, 9, 3, 35, 0, 2, 12, 4, 7, 5, 2, 0, 9, 2, 4, 9, 5, 1, 8, 4, 5, 2, 9, 6, 9, 2, 3, 5, 4, 4, 0, 1, 7, 2, 2, 1, 5, 4, 0]",34858
4,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 2, 3, 3, 2, 2, 2, 3, 3, 2, 5, 2, 2, 5, 3, 3, 2, 4, 12, 4, 4, 2, 3, 3, 3, 8, 2, 25, 1, 2, 11, 4, 3, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 4, 4, 2, 5, 3, 3, 1, 4, 7, 1]","[-75, 92, 151, 60, 6, 91, -77, -91, 60, -325, 54, -139, 99, 82, 51, 46, 106, 126, -29, 119, 31, 171, 39, 159, 61, 50, 16, 118, 113, -321, 5, -73, -24, 85, 110, 67, 48, 123, -853, 52, 110, -283, 118, 30, -224, 50, 57, -201, 33, 72, -162, -92, -17, -39, -7, -59, 81, -66, -36, -152, -18, 51, 41, 120, 70, 38, -76, -76, -23, 110, -9, 64, 43, 68]","[466, 610, 286, 284, 235, 354, 528, 625, 349, 1611, 577, 733, 307, 340, 316, 306, 310, 238, 303, 355, 280, 545, 308, 281, 529, 342, 385, 303, 437, 1137, 483, 403, 218, 356, 414, 323, 856, 236, 2379, 159, 287, 1126, 477, 393, 604, 428, 369, 537, 153, 351, 826, 737, 131, 535, 373, 339, 283, 613, 480, 930, 329, 267, 659, 309, 411, 438, 214, 583, 395, 349, 153, 413, 709, 134]","[6, 6, 4, 3, 1, 4, 3, 6, 4, 14, 9, 6, 3, 5, 4, 4, 2, 3, 4, 2, 5, 6, 3, 1, 4, 1, 4, 6, 3, 6, 3, 2, 2, 3, 6, 2, 9, 0, 17, 1, 0, 14, 3, 3, 4, 6, 2, 2, 2, 5, 8, 9, 1, 4, 6, 4, 4, 8, 4, 11, 5, 0, 6, 3, 1, 10, 2, 7, 0, 3, 0, 4, 8, 3]",34842
5,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 3, 3, 3, 3, 3, 2, 3, 3, 2, 5, 3, 2, 5, 3, 3, 3, 4, 11, 4, 4, 2, 3, 4, 3, 8, 2, 23, 1, 2, 11, 4, 3, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 3, 4, 4, 2, 5, 3, 3, 1, 4, 7, 1]","[-74, 108, 179, 80, 12, 108, -90, -103, 70, -383, 60, -160, 119, 100, 71, 54, 125, 158, -30, 139, 39, 203, 49, 177, 91, 77, 26, 135, 140, -384, 7, -87, -35, 104, 131, 76, 54, 138, -992, 60, 146, -360, 123, 44, -268, 65, 80, -227, 44, 91, -199, -124, -27, -46, -25, -83, 127, -86, -54, -212, -27, 48, 29, 164, 90, 55, -92, -87, -36, 130, -8, 60, 37, 76]","[470, 628, 311, 304, 242, 367, 514, 607, 357, 1558, 584, 711, 327, 358, 339, 310, 329, 272, 301, 372, 290, 574, 319, 298, 555, 368, 397, 319, 462, 1069, 480, 390, 205, 375, 435, 333, 860, 252, 2240, 167, 319, 1050, 482, 406, 560, 445, 382, 508, 165, 370, 790, 700, 121, 525, 352, 311, 325, 589, 462, 867, 322, 263, 642, 351, 430, 451, 194, 569, 380, 371, 154, 407, 700, 143]","[1, 4, 5, 2, 1, 7, 6, 12, 5, 11, 4, 8, 3, 3, 0, 7, 3, 0, 4, 6, 0, 8, 2, 3, 9, 4, 1, 4, 6, 16, 9, 3, 4, 3, 4, 2, 10, 1, 23, 1, 6, 10, 4, 4, 6, 2, 13, 8, 0, 3, 7, 12, 1, 8, 6, 7, 6, 10, 4, 12, 1, 3, 11, 5, 5, 8, 6, 8, 5, 1, 1, 6, 10, 0]",34755
6,"[4, 6, 3, 3, 2, 3, 5, 6, 3, 15, 5, 7, 3, 3, 3, 3, 3, 2, 3, 3, 2, 5, 3, 2, 5, 3, 3, 3, 4, 10, 4, 3, 2, 3, 4, 3, 8, 2, 22, 1, 3, 10, 4, 4, 5, 4, 3, 5, 1, 3, 7, 7, 1, 5, 3, 3, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 4, 7, 1]","[-93, 122, 196, 99, 7, 127, -103, -128, 78, -444, 66, -176, 153, 127, 75, 72, 132, 175, -31, 145, 35, 232, 64, 210, 83, 83, 42, 158, 150, -424, 21, -103, -49, 127, 131, 83, 71, 155, -1144, 62, 162, -400, 142, 52, -308, 66, 75, -253, 51, 102, -226, -142, -32, -50, -22, -97, 149, -98, -64, -229, -40, 61, 34, 179, 84, 83, -102, -96, -43, 172, -11, 66, 67, 82]","[450, 641, 325, 324, 236, 385, 501, 583, 365, 1491, 586, 696, 361, 385, 343, 329, 333, 291, 302, 378, 285, 606, 336, 333, 551, 372, 411, 342, 476, 1035, 493, 373, 189, 398, 431, 340, 872, 270, 2087, 169, 332, 1008, 497, 414, 518, 447, 378, 482, 171, 382, 761, 675, 115, 523, 353, 296, 345, 578, 452, 847, 304, 275, 649, 368, 423, 476, 184, 558, 370, 408, 146, 409, 728, 149]","[5, 7, 6, 2, 3, 4, 5, 5, 3, 21, 9, 6, 3, 3, 3, 2, 6, 0, 1, 3, 3, 2, 1, 0, 1, 5, 5, 3, 0, 4, 5, 4, 4, 3, 8, 3, 13, 1, 23, 1, 6, 12, 8, 4, 7, 3, 2, 5, 2, 2, 9, 14, 2, 3, 5, 4, 5, 4, 4, 11, 8, 3, 4, 1, 5, 7, 1, 7, 6, 8, 6, 8, 9, 1]",34695
7,"[4, 6, 3, 3, 2, 3, 5, 5, 3, 14, 5, 6, 3, 3, 3, 3, 3, 2, 3, 3, 2, 6, 3, 3, 5, 3, 4, 3, 4, 10, 4, 3, 1, 3, 4, 3, 8, 2, 20, 1, 3, 10, 4, 4, 5, 4, 3, 4, 1, 3, 7, 6, 1, 5, 3, 2, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 1, 5, 3, 4, 1, 4, 7, 1]","[-103, 147, 214, 107, 11, 140, -115, -143, 102, -506, 65, -207, 164, 153, 85, 76, 145, 188, -33, 155, 23, 268, 69, 231, 81, 96, 66, 185, 166, -475, 28, -115, -55, 133, 162, 101, 89, 157, -1266, 83, 197, -460, 143, 66, -343, 101, 89, -285, 56, 110, -252, -158, -40, -46, -28, -110, 168, -117, -84, -272, -45, 71, 32, 209, 96, 91, -114, -99, -46, 177, -9, 71, 71, 88]","[438, 668, 342, 334, 236, 400, 489, 561, 387, 1423, 582, 666, 369, 408, 353, 331, 347, 303, 300, 385, 273, 640, 341, 354, 550, 383, 438, 369, 491, 985, 496, 358, 183, 402, 462, 361, 889, 272, 1964, 187, 365, 950, 497, 427, 481, 479, 392, 445, 176, 388, 734, 660, 108, 523, 348, 281, 365, 556, 427, 805, 296, 284, 641, 398, 432, 482, 171, 555, 365, 413, 146, 415, 731, 156]","[6, 4, 4, 1, 6, 1, 5, 12, 5, 20, 8, 5, 6, 6, 3, 5, 2, 3, 3, 6, 2, 8, 3, 3, 4, 5, 1, 3, 5, 9, 8, 6, 1, 5, 4, 0, 9, 2, 21, 4, 5, 8, 5, 5, 7, 7, 3, 9, 1, 5, 8, 5, 0, 9, 2, 4, 2, 8, 9, 7, 6, 3, 12, 3, 7, 6, 2, 5, 5, 4, 3, 3, 8, 0]",34612
8,"[4, 6, 3, 3, 2, 4, 4, 5, 3, 14, 5, 6, 3, 4, 3, 3, 3, 3, 3, 3, 2, 6, 3, 3, 5, 3, 4, 3, 4, 9, 4, 3, 1, 4, 4, 3, 8, 2, 19, 1, 3, 9, 4, 4, 4, 4, 3, 4, 1, 3, 7, 6, 1, 5, 3, 2, 3, 5, 4, 8, 2, 2, 6, 3, 4, 4, 1, 5, 3, 4, 1, 4, 7, 1]","[-125, 156, 244, 115, 22, 161, -127, -147, 105, -527, 87, -217, 177, 161, 99, 81, 179, 204, -47, 174, 33, 296, 76, 246, 96, 100, 65, 196, 177, -528, 18, -131, -58, 144, 182, 118, 100, 181, -1405, 100, 230, -511, 145, 87, -391, 124, 94, -304, 75, 125, -289, -167, -41, -48, -26, -125, 173, -132, -90, -300, -44, 78, 22, 221, 103, 92, -126, -111, -55, 179, -4, 73, 69, 93]","[414, 673, 368, 343, 245, 418, 477, 558, 391, 1399, 603, 656, 383, 416, 366, 335, 380, 318, 286, 402, 283, 668, 344, 369, 561, 386, 435, 376, 500, 926, 486, 344, 180, 413, 481, 377, 900, 293, 1815, 203, 394, 889, 495, 447, 433, 494, 395, 427, 193, 400, 695, 651, 108, 520, 350, 264, 369, 539, 418, 777, 292, 288, 626, 407, 439, 481, 158, 542, 355, 414, 148, 419, 730, 161]","[6, 10, 7, 2, 4, 7, 4, 4, 2, 17, 6, 6, 2, 4, 4, 4, 4, 4, 3, 5, 2, 6, 7, 3, 9, 4, 6, 7, 6, 15, 4, 1, 1, 4, 5, 4, 8, 5, 29, 2, 7, 19, 8, 5, 4, 12, 5, 3, 3, 6, 9, 6, 0, 6, 3, 4, 4, 7, 7, 8, 7, 5, 11, 6, 4, 6, 2, 6, 4, 5, 4, 2, 6, 1]",34489
9,"[4, 6, 3, 3, 2, 4, 4, 5, 3, 13, 6, 6, 3, 4, 3, 3, 3, 3, 2, 4, 2, 6, 3, 3, 5, 3, 4, 3, 5, 9, 4, 3, 1, 4, 4, 3, 9, 2, 18, 2, 3, 8, 4, 4, 4, 4, 3, 4, 1, 4, 6, 6, 1, 5, 3, 2, 3, 5, 4, 7, 2, 2, 6, 4, 4, 4, 1, 5, 3, 4, 1, 4, 7, 1]","[-133, 176, 281, 121, 27, 170, -141, -171, 115, -569, 97, -240, 188, 188, 113, 85, 190, 220, -56, 183, 35, 299, 74, 278, 105, 112, 64, 222, 196, -570, 26, -141, -54, 160, 195, 122, 107, 189, -1513, 115, 268, -558, 156, 107, -425, 133, 112, -319, 87, 126, -314, -169, -37, -62, -23, -138, 189, -144, -100, -328, -48, 78, 9, 226, 104, 108, -131, -139, -56, 188, -10, 97, 64, 84]","[405, 688, 402, 348, 250, 429, 457, 530, 397, 1345, 612, 633, 394, 440, 380, 340, 391, 335, 275, 410, 283, 668, 343, 396, 561, 393, 434, 397, 522, 884, 488, 333, 179, 428, 491, 379, 905, 299, 1696, 216, 433, 839, 509, 466, 398, 504, 410, 408, 200, 400, 666, 646, 112, 503, 356, 243, 384, 523, 409, 747, 286, 285, 612, 413, 442, 491, 152, 517, 351, 420, 142, 441, 714, 152]","[5, 11, 6, 4, 2, 2, 10, 9, 7, 25, 7, 6, 3, 7, 3, 2, 3, 2, 4, 5, 4, 9, 2, 8, 14, 8, 4, 8, 2, 9, 10, 4, 6, 5, 7, 5, 11, 4, 29, 4, 2, 11, 1, 5, 5, 3, 6, 8, 6, 5, 10, 9, 1, 8, 0, 10, 4, 9, 3, 9, 4, 5, 7, 3, 2, 10, 2, 2, 6, 7, 1, 6, 18, 1]",34330
