0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-10, 20, 37, 27, 5, 33, -2, -19, 10, -119, 2, -48, 25, 30, 16, 14, 24, 24, -2, 8, 13, 60, 3, 59, 23, 14, 18, 42, 34, -98, -2, -6, -2, 33, 25, 36, 53, 26, -260, 34, 26, -86, 21, -6, -69, -6, 14, -61, 15, 20, -58, -38, -3, -7, 5, -26, 22, -10, 2, -53, -5, 28, 15, 27, 14, 16, -23, -18, 2, 40, -2, 10, 3, 11]"
2,"[-30, 51, 73, 48, 11, 58, -16, -22, 19, -223, 24, -68, 46, 40, 39, 21, 51, 59, -9, 25, 21, 100, 18, 124, 31, 30, 14, 65, 54, -185, 2, -30, -11, 52, 41, 76, 97, 38, -491, 71, 54, -155, 35, 17, -128, -11, 32, -119, 27, 31, -99, -69, -10, -14, 24, -39, 46, -19, -2, -101, -5, 25, 34, 49, 9, 29, -36, -33, -6, 64, -1, 14, -2, 45]"
3,"[-47, 62, 103, 61, 13, 66, -29, -37, 29, -303, 41, -103, 54, 58, 39, 32, 66, 82, -13, 51, 35, 164, 26, 172, 43, 51, 19, 82, 82, -227, -2, -36, -24, 80, 56, 90, 151, 71, -674, 96, 76, -249, 43, 23, -184, -25, 27, -159, 44, 43, -150, -96, -16, -18, 17, -49, 69, -19, 3, -140, -12, 37, 48, 76, 29, 32, -45, -45, -7, 91, 1, 17, -9, 67]"
4,"[-62, 94, 127, 68, 11, 78, -33, -46, 34, -394, 69, -130, 77, 65, 37, 35, 94, 102, -11, 68, 57, 182, 30, 219, 50, 79, 21, 108, 91, -310, -1, -46, -35, 95, 64, 103, 236, 93, -870, 120, 99, -314, 73, 32, -232, -5, 43, -195, 57, 55, -192, -128, -21, -28, 22, -50, 105, -32, -4, -175, -18, 58, 46, 105, 27, 33, -62, -58, -28, 107, 3, 35, -16, 89]"
5,"[-79, 123, 156, 76, 16, 101, -56, -45, 48, -495, 97, -158, 96, 81, 45, 46, 107, 119, -17, 85, 61, 210, 46, 254, 58, 86, 27, 135, 119, -359, 3, -50, -49, 111, 77, 116, 300, 106, -1032, 137, 118, -373, 78, 31, -285, -1, 57, -221, 60, 72, -207, -130, -28, -42, 30, -69, 126, -42, -16, -208, -18, 72, 40, 114, 28, 36, -74, -58, -21, 115, 2, 32, -25, 105]"
6,"[-93, 152, 177, 82, 18, 110, -75, -59, 52, -557, 117, -181, 111, 83, 54, 53, 127, 141, -19, 99, 61, 229, 51, 260, 88, 99, 46, 140, 144, -425, 8, -71, -64, 123, 72, 135, 352, 124, -1190, 154, 117, -420, 91, 30, -313, 7, 60, -230, 77, 88, -243, -154, -32, -57, 31, -82, 142, -46, -12, -225, -7, 100, 27, 137, 50, 41, -91, -68, -12, 127, -5, 49, -31, 126]"
7,"[-99, 149, 198, 89, 32, 134, -86, -53, 61, -623, 140, -199, 122, 86, 57, 48, 145, 166, -26, 117, 52, 261, 54, 295, 96, 118, 38, 161, 151, -464, 4, -73, -70, 132, 80, 144, 407, 134, -1312, 170, 144, -451, 105, 29, -359, 41, 69, -257, 86, 110, -271, -172, -31, -67, 19, -86, 147, -70, -19, -243, -20, 108, 19, 148, 49, 50, -94, -70, -19, 137, -10, 47, -36, 131]"
8,"[-113, 170, 211, 93, 37, 121, -98, -48, 76, -677, 144, -219, 129, 101, 67, 57, 156, 175, -25, 112, 50, 295, 63, 313, 88, 137, 43, 188, 160, -502, -9, -84, -79, 140, 96, 166, 449, 159, -1402, 188, 150, -503, 114, 36, -389, 48, 81, -286, 93, 115, -287, -167, -30, -78, 35, -101, 158, -93, -17, -284, -24, 116, 4, 169, 57, 50, -106, -66, -30, 150, -9, 46, -35, 155]"
9,"[-124, 187, 228, 98, 37, 144, -101, -57, 89, -719, 159, -238, 141, 114, 74, 65, 160, 185, -33, 130, 68, 306, 75, 327, 90, 153, 45, 199, 164, -544, -16, -81, -70, 142, 106, 177, 515, 175, -1500, 190, 159, -548, 118, 29, -415, 48, 82, -318, 99, 125, -311, -187, -30, -93, 37, -110, 179, -102, -9, -327, -35, 130, -2, 187, 61, 66, -114, -80, -37, 153, -1, 56, -28, 158]"
10,"[-137, 206, 250, 109, 42, 149, -113, -71, 98, -784, 152, -249, 159, 120, 84, 71, 161, 195, -42, 140, 77, 340, 65, 352, 91, 150, 50, 210, 178, -576, -19, -100, -74, 164, 120, 180, 577, 195, -1607, 199, 174, -595, 129, 31, -437, 66, 93, -347, 110, 128, -330, -199, -33, -97, 34, -118, 192, -104, -10, -345, -30, 139, -11, 183, 67, 76, -121, -76, -27, 151, 13, 55, -30, 157]"
11,"[-142, 226, 267, 118, 59, 161, -124, -87, 104, -819, 152, -259, 170, 128, 92, 76, 175, 185, -55, 154, 79, 354, 70, 367, 107, 163, 62, 232, 179, -623, -21, -111, -74, 181, 136, 191, 634, 207, -1686, 209, 195, -625, 146, 39, -461, 71, 95, -367, 117, 132, -354, -214, -33, -117, 36, -136, 199, -126, -12, -374, -21, 145, -23, 184, 77, 79, -123, -89, -19, 150, 3, 54, -26, 161]"
12,"[-153, 211, 289, 133, 59, 150, -133, -114, 121, -842, 161, -260, 176, 144, 105, 74, 184, 188, -54, 170, 67, 391, 74, 358, 106, 175, 69, 247, 192, -639, -28, -123, -72, 174, 142, 188, 693, 220, -1753, 213, 201, -663, 156, 33, -482, 67, 94, -379, 129, 148, -375, -241, -33, -115, 39, -143, 208, -125, -7, -373, -29, 156, -44, 178, 75, 75, -132, -95, -5, 168, 0, 58, -11, 164]"
13,"[-169, 250, 300, 138, 54, 163, -142, -111, 127, -877, 160, -250, 169, 153, 104, 79, 185, 200, -55, 166, 77, 414, 72, 358, 103, 180, 77, 239, 186, -659, -25, -133, -79, 181, 158, 199, 734, 238, -1841, 222, 211, -687, 162, 22, -506, 76, 106, -386, 136, 151, -397, -257, -33, -120, 44, -147, 225, -137, -20, -382, -27, 159, -51, 186, 65, 84, -126, -95, -24, 177, 13, 71, -11, 173]"
14,"[-177, 277, 306, 140, 50, 154, -149, -116, 114, -915, 156, -272, 175, 172, 99, 94, 188, 204, -58, 171, 83, 437, 68, 367, 107, 181, 77, 239, 197, -693, -34, -138, -76, 184, 169, 207, 824, 242, -1940, 233, 209, -709, 169, 25, -524, 92, 106, -403, 141, 166, -408, -254, -39, -121, 29, -153, 227, -144, -19, -380, -19, 165, -57, 205, 79, 84, -132, -104, -15, 192, 15, 73, -17, 174]"
15,"[-185, 295, 324, 154, 54, 160, -151, -130, 110, -962, 159, -275, 191, 172, 92, 97, 196, 213, -71, 172, 91, 464, 81, 372, 126, 190, 78, 233, 195, -718, -39, -136, -85, 190, 171, 219, 896, 250, -1991, 241, 210, -743, 170, 32, -537, 100, 90, -417, 148, 159, -432, -266, -39, -117, 24, -157, 235, -156, -38, -389, -25, 153, -48, 218, 75, 80, -139, -94, -6, 201, 21, 74, -10, 180]"
16,"[-185, 305, 326, 149, 62, 135, -150, -142, 117, -992, 163, -282, 216, 188, 102, 95, 207, 220, -74, 164, 91, 482, 84, 380, 133, 194, 78, 220, 191, -747, -34, -138, -85, 191, 193, 231, 946, 261, -2045, 266, 205, -772, 187, 26, -541, 111, 78, -422, 146, 162, -451, -272, -30, -119, 21, -169, 251, -171, -50, -399, -9, 166, -50, 227, 86, 87, -142, -97, -18, 195, 18, 71, -17, 176]"
17,"[-185, 328, 348, 161, 59, 146, -156, -143, 116, -1026, 162, -306, 221, 190, 95, 101, 213, 217, -77, 175, 96, 489, 92, 382, 140, 195, 77, 210, 201, -756, -33, -147, -85, 198, 201, 237, 1007, 253, -2119, 282, 213, -791, 193, 37, -551, 108, 75, -431, 156, 172, -437, -286, -38, -128, 16, -175, 256, -188, -60, -432, -16, 173, -46, 230, 94, 92, -141, -100, -7, 199, 20, 78, -19, 175]"
18,"[-186, 342, 345, 159, 62, 152, -166, -160, 125, -1056, 164, -322, 226, 181, 97, 103, 206, 223, -74, 184, 111, 506, 90, 384, 151, 206, 83, 215, 209, -779, -42, -150, -88, 204, 217, 232, 1062, 255, -2171, 281, 230, -790, 212, 48, -563, 116, 64, -433, 169, 188, -444, -307, -48, -135, 11, -171, 271, -203, -59, -453, -26, 178, -53, 241, 90, 88, -143, -97, -17, 204, 14, 89, -32, 180]"
19,"[-191, 359, 362, 166, 60, 163, -163, -165, 112, -1085, 173, -312, 221, 187, 97, 110, 216, 234, -74, 194, 110, 508, 89, 376, 152, 219, 84, 216, 214, -793, -55, -148, -92, 211, 205, 219, 1112, 262, -2222, 280, 239, -805, 205, 44, -571, 132, 77, -435, 170, 208, -456, -334, -54, -137, -9, -182, 266, -194, -69, -459, -26, 175, -66, 248, 93, 105, -139, -102, -12, 208, 15, 89, -18, 183]"
20,"[-186, 347, 360, 161, 63, 175, -166, -172, 125, -1100, 174, -299, 247, 194, 95, 111, 226, 246, -70, 177, 96, 514, 96, 396, 140, 217, 90, 225, 217, -817, -63, -160, -93, 223, 197, 220, 1185, 267, -2258, 280, 265, -834, 208, 41, -590, 138, 87, -448, 178, 208, -463, -350, -49, -151, -6, -183, 271, -198, -66, -483, -33, 179, -72, 259, 97, 95, -146, -106, -5, 212, 7, 81, -18, 195]"
21,"[-192, 350, 378, 157, 71, 180, -172, -183, 131, -1107, 188, -307, 258, 203, 98, 111, 245, 253, -74, 179, 99, 541, 83, 398, 137, 212, 87, 219, 235, -839, -74, -156, -89, 219, 188, 228, 1255, 247, -2289, 283, 273, -837, 208, 49, -599, 142, 66, -454, 188, 198, -474, -355, -55, -149, -19, -181, 270, -191, -72, -495, -33, 185, -79, 248, 97, 100, -142, -108, 1, 203, 16, 81, -30, 197]"
22,"[-184, 352, 381, 161, 80, 183, -180, -196, 123, -1109, 184, -315, 263, 211, 97, 101, 243, 255, -87, 166, 98, 548, 84, 418, 135, 209, 92, 223, 239, -860, -63, -160, -82, 212, 205, 229, 1310, 255, -2326, 290, 279, -862, 207, 51, -610, 158, 64, -448, 192, 204, -491, -369, -60, -151, -20, -183, 280, -197, -70, -490, -25, 186, -88, 257, 105, 102, -148, -113, -4, 199, 13, 80, -26, 193]"
23,"[-191, 345, 383, 165, 81, 180, -181, -190, 133, -1114, 187, -317, 260, 206, 91, 108, 245, 255, -78, 169, 93, 532, 91, 411, 138, 215, 91, 211, 227, -877, -72, -160, -84, 218, 212, 223, 1373, 261, -2352, 303, 276, -876, 217, 74, -618, 156, 64, -448, 203, 192, -498, -382, -52, -159, -18, -193, 290, -201, -85, -498, -26, 186, -82, 254, 113, 104, -154, -107, -10, 205, 19, 83, -20, 200]"
24,"[-202, 322, 397, 168, 80, 184, -169, -189, 136, -1138, 188, -329, 268, 211, 98, 120, 235, 262, -74, 185, 105, 539, 82, 415, 137, 217, 94, 230, 232, -889, -77, -171, -75, 213, 220, 223, 1415, 254, -2380, 301, 285, -883, 216, 61, -629, 168, 67, -443, 205, 192, -524, -391, -55, -168, -18, -199, 296, -212, -80, -503, -31, 186, -84, 259, 113, 116, -160, -113, -14, 212, 18, 79, -8, 204]"
25,"[-210, 297, 402, 175, 77, 177, -177, -191, 129, -1136, 192, -328, 264, 210, 93, 128, 238, 265, -73, 199, 102, 557, 79, 414, 139, 218, 99, 229, 228, -896, -74, -167, -78, 220, 223, 221, 1456, 254, -2405, 311, 275, -899, 234, 62, -627, 164, 59, -450, 211, 190, -536, -384, -55, -177, -30, -202, 302, -221, -71, -501, -27, 183, -92, 266, 117, 126, -166, -116, -5, 213, 22, 80, -4, 198]"
26,"[-211, 309, 401, 174, 71, 165, -172, -188, 125, -1147, 197, -336, 281, 211, 98, 125, 235, 291, -73, 185, 113, 567, 70, 408, 137, 210, 109, 247, 218, -899, -82, -171, -76, 222, 224, 214, 1493, 265, -2427, 326, 277, -918, 216, 68, -635, 162, 70, -453, 207, 186, -550, -391, -52, -170, -32, -206, 312, -221, -85, -504, -20, 173, -90, 291, 121, 122, -169, -128, 1, 221, 26, 70, -7, 199]"
27,"[-210, 298, 425, 167, 82, 166, -171, -204, 145, -1161, 192, -360, 277, 207, 104, 134, 237, 290, -72, 183, 122, 574, 63, 415, 143, 199, 114, 241, 233, -909, -86, -176, -78, 228, 213, 213, 1532, 263, -2440, 335, 288, -924, 208, 68, -648, 154, 72, -467, 215, 185, -555, -390, -49, -177, -30, -212, 313, -223, -93, -506, -27, 198, -97, 291, 121, 129, -169, -133, -2, 223, 24, 73, 6, 206]"
28,"[-220, 293, 415, 156, 91, 167, -176, -208, 150, -1181, 193, -352, 289, 217, 106, 130, 232, 295, -78, 190, 120, 566, 55, 431, 151, 188, 116, 230, 230, -925, -89, -174, -72, 235, 228, 224, 1588, 278, -2458, 326, 298, -941, 209, 62, -649, 169, 78, -456, 221, 203, -568, -392, -53, -179, -24, -215, 300, -227, -92, -515, -24, 193, -108, 303, 125, 126, -170, -131, -4, 222, 21, 67, -9, 203]"
29,"[-219, 283, 419, 170, 102, 152, -182, -209, 150, -1200, 186, -339, 292, 213, 107, 124, 231, 298, -81, 190, 119, 564, 66, 448, 146, 200, 108, 226, 222, -928, -84, -173, -72, 233, 227, 227, 1647, 298, -2473, 326, 291, -943, 210, 57, -655, 175, 83, -445, 217, 199, -570, -408, -45, -171, -35, -211, 284, -229, -97, -531, -21, 207, -116, 295, 123, 116, -178, -133, 5, 220, 19, 79, -10, 204]"
30,"[-225, 289, 405, 182, 107, 146, -178, -222, 153, -1213, 192, -333, 292, 215, 104, 122, 231, 299, -74, 176, 111, 572, 58, 446, 156, 205, 107, 235, 214, -949, -81, -180, -80, 231, 235, 222, 1681, 301, -2482, 339, 293, -955, 199, 72, -654, 192, 79, -444, 220, 209, -576, -414, -47, -176, -41, -211, 289, -247, -100, -534, -17, 209, -111, 303, 123, 130, -176, -136, 0, 217, 15, 77, -4, 207]"
31,"[-234, 289, 409, 170, 95, 142, -176, -224, 163, -1224, 185, -333, 302, 208, 104, 133, 237, 304, -77, 170, 103, 566, 59, 442, 146, 218, 98, 247, 222, -967, -82, -181, -80, 235, 233, 215, 1723, 320, -2482, 348, 290, -979, 208, 73, -654, 193, 71, -437, 236, 198, -581, -427, -47, -170, -37, -216, 295, -243, -114, -543, -15, 206, -119, 321, 118, 130, -171, -129, 2, 223, 17, 72, -2, 205]"
32,"[-231, 286, 416, 177, 94, 140, -174, -242, 164, -1204, 193, -353, 309, 201, 105, 129, 247, 304, -71, 166, 109, 546, 65, 446, 141, 217, 102, 235, 217, -965, -78, -186, -77, 221, 227, 214, 1735, 338, -2490, 369, 293, -987, 204, 86, -660, 190, 85, -438, 244, 191, -585, -438, -49, -160, -41, -214, 293, -247, -106, -539, -19, 203, -133, 325, 123, 120, -169, -128, 5, 220, 21, 77, -21, 212]"
33,"[-234, 296, 407, 176, 95, 145, -185, -238, 180, -1202, 185, -352, 302, 210, 110, 140, 243, 299, -76, 167, 113, 558, 53, 443, 153, 227, 102, 230, 214, -961, -76, -195, -79, 214, 225, 217, 1741, 338, -2509, 363, 308, -979, 205, 96, -658, 191, 79, -450, 246, 195, -590, -445, -56, -145, -46, -211, 283, -238, -118, -540, -15, 206, -147, 324, 120, 122, -175, -124, 5, 229, 24, 84, -23, 204]"
34,"[-236, 293, 405, 174, 108, 141, -186, -249, 183, -1202, 177, -355, 313, 205, 109, 136, 246, 312, -75, 167, 111, 556, 66, 438, 149, 217, 102, 226, 217, -972, -72, -201, -80, 222, 238, 206, 1757, 343, -2517, 349, 318, -980, 207, 90, -660, 185, 70, -444, 247, 208, -588, -445, -52, -140, -53, -212, 273, -240, -115, -538, -8, 208, -152, 335, 117, 124, -176, -113, -6, 230, 24, 87, -32, 210]"
35,"[-249, 281, 412, 180, 94, 151, -177, -243, 186, -1218, 186, -371, 324, 222, 108, 132, 234, 323, -70, 166, 115, 557, 72, 432, 152, 219, 87, 250, 217, -977, -67, -197, -77, 220, 234, 210, 1780, 338, -2530, 353, 335, -994, 212, 93, -664, 188, 55, -454, 253, 204, -583, -445, -50, -128, -66, -214, 276, -245, -115, -538, -8, 217, -158, 327, 107, 119, -180, -125, -7, 243, 18, 84, -34, 218]"
36,"[-237, 277, 424, 175, 93, 172, -184, -248, 193, -1221, 191, -367, 317, 225, 124, 133, 246, 334, -69, 157, 110, 561, 73, 429, 145, 208, 92, 236, 218, -981, -74, -196, -75, 217, 211, 210, 1785, 343, -2543, 344, 324, -1009, 214, 101, -669, 180, 60, -457, 251, 193, -589, -440, -55, -122, -57, -219, 270, -258, -121, -532, 3, 221, -158, 333, 105, 133, -178, -111, 0, 251, 23, 85, -39, 219]"
37,"[-233, 275, 424, 166, 107, 169, -182, -256, 195, -1227, 188, -366, 313, 238, 137, 139, 252, 329, -74, 154, 109, 565, 82, 430, 150, 205, 99, 232, 209, -977, -70, -199, -76, 231, 203, 217, 1797, 327, -2558, 349, 321, -1009, 206, 97, -678, 191, 60, -453, 248, 205, -588, -438, -55, -124, -58, -218, 275, -262, -121, -531, 6, 219, -158, 321, 99, 128, -177, -125, 3, 248, 30, 86, -45, 224]"
38,"[-237, 266, 431, 167, 112, 161, -179, -261, 195, -1236, 192, -374, 318, 246, 131, 131, 258, 331, -71, 166, 106, 569, 79, 427, 135, 197, 97, 234, 213, -976, -70, -197, -79, 234, 223, 216, 1815, 341, -2561, 361, 325, -1017, 208, 108, -684, 192, 62, -457, 248, 218, -594, -443, -56, -130, -58, -220, 279, -276, -130, -535, 12, 213, -153, 316, 94, 137, -173, -130, -9, 255, 22, 81, -46, 230]"
39,"[-235, 266, 438, 156, 118, 163, -176, -253, 190, -1238, 202, -371, 320, 248, 142, 139, 263, 331, -56, 166, 107, 549, 76, 426, 139, 202, 86, 235, 217, -974, -74, -191, -79, 221, 221, 209, 1843, 331, -2579, 368, 335, -1018, 204, 102, -687, 190, 57, -461, 248, 224, -594, -442, -58, -131, -60, -221, 275, -287, -126, -534, 6, 210, -154, 318, 111, 127, -174, -135, -17, 256, 29, 86, -55, 230]"
40,"[-243, 266, 441, 161, 121, 171, -181, -249, 184, -1240, 196, -371, 320, 262, 142, 142, 260, 336, -51, 166, 108, 543, 82, 407, 129, 206, 88, 234, 221, -981, -79, -202, -74, 241, 211, 205, 1856, 328, -2586, 372, 335, -1025, 213, 104, -688, 192, 64, -460, 233, 244, -597, -449, -56, -128, -54, -215, 271, -292, -130, -548, -2, 215, -158, 310, 104, 119, -176, -127, -19, 262, 37, 86, -47, 240]"
41,"[-251, 280, 439, 164, 113, 168, -186, -239, 203, -1244, 189, -358, 323, 257, 136, 140, 255, 337, -49, 166, 112, 533, 78, 406, 130, 189, 109, 230, 221, -989, -80, -205, -68, 234, 214, 200, 1863, 321, -2590, 376, 358, -1027, 219, 107, -690, 202, 67, -453, 232, 234, -593, -441, -56, -122, -49, -213, 273, -294, -132, -548, 5, 203, -158, 297, 108, 117, -176, -136, -30, 268, 37, 80, -51, 235]"
42,"[-244, 267, 439, 161, 118, 170, -178, -236, 216, -1252, 192, -371, 323, 262, 140, 143, 267, 340, -54, 171, 109, 525, 75, 405, 131, 187, 114, 234, 214, -993, -84, -204, -69, 233, 210, 189, 1870, 328, -2596, 370, 353, -1031, 233, 106, -692, 208, 78, -453, 236, 241, -591, -454, -52, -124, -48, -209, 271, -300, -139, -554, 2, 210, -160, 290, 122, 121, -175, -140, -45, 264, 33, 76, -43, 244]"
43,"[-245, 265, 463, 163, 119, 159, -186, -233, 204, -1262, 189, -378, 321, 257, 139, 139, 263, 340, -54, 177, 109, 516, 72, 419, 112, 181, 115, 237, 213, -992, -88, -206, -67, 244, 209, 192, 1892, 325, -2612, 375, 353, -1035, 218, 108, -693, 212, 71, -460, 235, 242, -587, -450, -50, -122, -50, -213, 266, -308, -143, -555, 6, 211, -155, 291, 126, 131, -174, -134, -30, 260, 38, 83, -38, 260]"
44,"[-242, 261, 465, 167, 120, 151, -173, -240, 201, -1262, 183, -376, 329, 260, 137, 140, 275, 330, -48, 185, 111, 514, 73, 427, 99, 189, 127, 232, 218, -997, -90, -210, -75, 246, 208, 192, 1905, 330, -2608, 354, 381, -1038, 220, 118, -692, 208, 72, -466, 238, 243, -594, -449, -53, -115, -44, -212, 264, -315, -145, -566, 4, 207, -162, 285, 121, 133, -179, -132, -31, 262, 39, 80, -40, 250]"
