,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-13, -4, 28, 26, 1, 17, -14, -17, 15, -109, 8, -36, 29, 30, 1, 34, 11, 32, -5, 25, 27, 3, 2, 36, 10, 32, 3, 25, 25, -99, -4, -13, -7, 33, 5, 29, -17, 27, -231, 36, 24, -75, 21, -3, -49, 5, 9, -46, 25, 32, -34, -30, 6, -11, -7, -4, 29, 27, -5, -46, 10, 41, 16, 29, 5, 18, -15, -23, 7, 32, 18, -2, -4, 19]","[531, 524, 166, 251, 243, 279, 590, 698, 305, 1828, 536, 826, 237, 286, 266, 297, 217, 142, 325, 261, 283, 382, 280, 160, 478, 322, 369, 218, 350, 1341, 479, 456, 236, 304, 310, 282, 787, 141, 3002, 141, 200, 1337, 378, 363, 781, 385, 316, 690, 148, 316, 960, 801, 154, 570, 377, 395, 234, 704, 513, 1031, 357, 254, 627, 220, 347, 421, 271, 633, 418, 272, 180, 346, 667, 84]","[6, 3, 1, 2, 1, 3, 6, 2, 1, 15, 11, 4, 0, 2, 3, 2, 0, 2, 3, 3, 1, 4, 1, 0, 4, 1, 5, 4, 5, 8, 2, 6, 2, 2, 3, 4, 6, 2, 29, 1, 3, 13, 6, 3, 6, 2, 1, 7, 1, 3, 10, 5, 1, 4, 3, 6, 2, 12, 4, 9, 1, 4, 4, 2, 4, 4, 4, 9, 4, 3, 3, 3, 5, 2]",34879
2,"[5, 5, 1, 2, 2, 2, 5, 6, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 3, 3, 2, 7, 1, 30, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 8, 1, 5, 3, 3, 2, 7, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-32, 6, 66, 40, 5, 45, -17, -16, 42, -203, 6, -72, 54, 35, 8, 47, 17, 57, -8, 48, 22, 27, 7, 59, 15, 82, 14, 50, 36, -160, -12, -11, -13, 37, 19, 70, -47, 47, -448, 62, 61, -125, 44, 20, -133, 30, 22, -79, 32, 55, -59, -62, 3, -31, 8, -17, 49, 8, 3, -89, 23, 56, 19, 49, 29, 33, -27, -50, 16, 55, 25, 23, -13, 38]","[515, 533, 203, 266, 247, 307, 588, 700, 333, 1734, 535, 796, 261, 290, 274, 309, 222, 166, 323, 282, 278, 405, 286, 183, 484, 369, 380, 243, 356, 1285, 474, 459, 231, 308, 322, 321, 760, 161, 2788, 168, 238, 1289, 404, 386, 696, 409, 331, 656, 156, 338, 937, 767, 148, 548, 387, 379, 255, 687, 518, 983, 372, 268, 630, 240, 369, 434, 257, 610, 430, 297, 187, 370, 658, 102]","[2, 6, 2, 1, 2, 2, 4, 5, 2, 18, 4, 2, 3, 3, 1, 3, 3, 2, 2, 4, 2, 4, 1, 1, 3, 6, 3, 2, 8, 8, 1, 3, 1, 3, 5, 4, 4, 1, 27, 0, 1, 11, 0, 3, 8, 4, 1, 7, 0, 4, 7, 10, 4, 7, 8, 6, 1, 5, 8, 15, 1, 3, 6, 2, 5, 6, 4, 2, 1, 0, 1, 4, 6, 1]",34881
3,"[5, 5, 2, 2, 2, 3, 5, 7, 3, 17, 5, 7, 2, 2, 2, 3, 2, 1, 3, 2, 2, 4, 2, 1, 4, 3, 3, 2, 3, 12, 4, 4, 2, 3, 3, 3, 7, 1, 27, 1, 2, 12, 4, 3, 6, 4, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 5, 9, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 1]","[-55, 13, 94, 54, 18, 74, -21, 5, 58, -295, 1, -106, 73, 52, 25, 56, 37, 84, -4, 58, 38, 40, 20, 82, 21, 109, 16, 78, 50, -225, -13, -13, -11, 49, 40, 101, -58, 74, -652, 86, 64, -201, 70, 27, -186, 33, 20, -109, 46, 62, -101, -79, 1, -52, 14, -18, 52, 29, -14, -103, 43, 79, 11, 62, 38, 57, -27, -63, 15, 79, 27, 29, -18, 60]","[492, 541, 232, 280, 260, 338, 585, 720, 350, 1639, 531, 766, 280, 307, 291, 320, 242, 194, 328, 287, 292, 421, 298, 205, 491, 391, 384, 271, 371, 1223, 472, 454, 235, 317, 338, 352, 749, 189, 2589, 193, 240, 1213, 431, 392, 644, 413, 324, 624, 170, 347, 892, 749, 147, 529, 390, 377, 259, 703, 495, 969, 388, 290, 621, 255, 375, 456, 258, 592, 431, 320, 189, 377, 653, 125]","[5, 4, 1, 2, 2, 1, 4, 8, 2, 20, 4, 3, 2, 2, 2, 1, 2, 0, 2, 7, 4, 1, 3, 2, 3, 8, 1, 2, 2, 9, 5, 7, 0, 6, 8, 3, 7, 0, 22, 0, 3, 12, 3, 4, 5, 3, 8, 8, 1, 1, 12, 8, 0, 3, 6, 4, 1, 11, 11, 9, 7, 3, 7, 0, 6, 6, 1, 11, 2, 3, 1, 2, 6, 0]",34856
4,"[4, 5, 2, 2, 2, 3, 5, 7, 3, 16, 5, 7, 2, 3, 2, 3, 2, 1, 3, 2, 2, 4, 2, 2, 4, 3, 3, 2, 3, 12, 4, 4, 2, 3, 3, 3, 7, 1, 25, 1, 2, 12, 4, 3, 6, 4, 3, 6, 1, 3, 8, 7, 1, 5, 3, 3, 2, 7, 4, 9, 3, 2, 6, 2, 3, 4, 2, 5, 4, 3, 1, 3, 6, 1]","[-62, 22, 120, 61, 37, 79, -30, -17, 53, -408, 10, -114, 116, 69, 32, 82, 47, 104, 3, 70, 53, 41, 33, 108, 24, 131, 23, 91, 75, -281, -1, -27, -17, 72, 55, 114, -96, 84, -822, 96, 78, -248, 92, 36, -228, 42, 26, -157, 72, 73, -118, -102, 6, -55, 25, -39, 68, 34, -15, -104, 57, 120, 6, 82, 44, 59, -36, -73, 28, 86, 26, 27, -15, 73]","[481, 550, 258, 287, 276, 343, 578, 697, 342, 1532, 542, 759, 325, 326, 299, 345, 251, 215, 334, 296, 301, 423, 311, 232, 495, 414, 391, 284, 396, 1168, 484, 435, 228, 339, 354, 363, 707, 199, 2413, 200, 256, 1157, 454, 403, 605, 424, 331, 572, 194, 359, 876, 726, 151, 525, 398, 356, 274, 706, 494, 971, 400, 329, 613, 276, 381, 462, 247, 581, 447, 329, 187, 376, 655, 137]","[8, 5, 2, 2, 5, 3, 3, 8, 6, 10, 3, 6, 0, 1, 1, 4, 3, 0, 4, 5, 8, 3, 2, 1, 3, 2, 3, 2, 3, 11, 4, 9, 3, 4, 2, 5, 11, 1, 31, 4, 0, 21, 3, 1, 3, 2, 2, 10, 3, 2, 7, 7, 2, 6, 6, 3, 3, 9, 4, 6, 5, 4, 9, 1, 3, 0, 4, 6, 1, 1, 2, 2, 7, 2]",34825
5,"[4, 5, 2, 2, 2, 3, 5, 6, 3, 15, 5, 7, 3, 3, 2, 3, 2, 2, 3, 2, 3, 4, 3, 2, 4, 4, 3, 2, 3, 11, 4, 4, 2, 3, 3, 3, 7, 1, 24, 2, 2, 11, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 7, 4, 9, 4, 3, 6, 2, 3, 4, 2, 5, 4, 3, 1, 3, 6, 1]","[-66, 20, 136, 65, 55, 103, -47, -39, 63, -489, -3, -112, 132, 82, 46, 95, 76, 125, 20, 82, 41, 47, 32, 134, 25, 149, 29, 117, 77, -349, 10, -30, -16, 90, 65, 146, -101, 100, -982, 108, 102, -287, 105, 31, -268, 43, 25, -165, 74, 85, -172, -110, 5, -66, 51, -63, 84, 15, -10, -132, 63, 141, 16, 101, 66, 57, -46, -68, 37, 99, 27, 34, 1, 89]","[475, 549, 268, 291, 291, 368, 557, 672, 352, 1448, 526, 760, 342, 340, 309, 358, 278, 234, 353, 306, 290, 430, 311, 258, 493, 434, 395, 311, 397, 1097, 493, 431, 230, 354, 364, 396, 706, 215, 2256, 212, 278, 1112, 465, 397, 569, 424, 331, 566, 195, 366, 820, 719, 150, 516, 424, 332, 292, 683, 502, 944, 403, 351, 626, 297, 398, 458, 235, 578, 456, 339, 188, 380, 671, 153]","[6, 4, 8, 2, 5, 2, 9, 9, 3, 18, 8, 8, 2, 2, 6, 3, 4, 4, 1, 4, 2, 3, 2, 2, 7, 2, 5, 1, 4, 14, 6, 5, 1, 6, 3, 2, 3, 1, 21, 2, 4, 17, 6, 5, 2, 5, 2, 3, 2, 8, 10, 6, 1, 3, 3, 3, 0, 11, 1, 8, 7, 2, 3, 0, 8, 6, 4, 13, 4, 6, 1, 6, 6, 1]",34768
6,"[4, 5, 2, 2, 2, 3, 5, 6, 3, 14, 5, 7, 3, 3, 3, 3, 2, 2, 3, 3, 2, 4, 3, 2, 4, 4, 3, 3, 3, 10, 4, 4, 2, 3, 3, 3, 7, 2, 22, 2, 2, 11, 4, 3, 5, 4, 3, 5, 1, 3, 8, 7, 1, 5, 4, 3, 2, 6, 5, 9, 4, 3, 6, 2, 3, 4, 2, 5, 4, 3, 1, 3, 6, 1]","[-73, 34, 165, 72, 59, 100, -57, -43, 72, -543, -21, -147, 144, 87, 51, 107, 102, 134, 10, 89, 55, 48, 40, 163, 33, 181, 57, 127, 96, -403, -6, -30, -20, 108, 76, 171, -146, 111, -1093, 130, 133, -323, 105, 34, -310, 58, 32, -188, 90, 91, -190, -131, 7, -65, 54, -65, 88, -6, -4, -148, 71, 147, 13, 109, 83, 62, -50, -75, 34, 113, 35, 58, -12, 110]","[468, 562, 294, 298, 293, 365, 544, 664, 359, 1394, 508, 728, 353, 345, 312, 369, 301, 243, 341, 313, 301, 432, 317, 285, 500, 466, 418, 317, 413, 1047, 475, 434, 224, 370, 375, 421, 658, 226, 2151, 236, 304, 1072, 465, 398, 527, 438, 341, 536, 208, 373, 797, 694, 152, 518, 427, 328, 295, 662, 509, 931, 412, 355, 620, 305, 412, 460, 232, 571, 453, 349, 193, 403, 656, 173]","[4, 6, 5, 2, 4, 3, 8, 10, 5, 14, 5, 4, 4, 3, 5, 4, 5, 2, 5, 3, 5, 3, 5, 4, 5, 4, 8, 7, 6, 6, 6, 1, 4, 5, 3, 3, 10, 2, 16, 0, 7, 15, 4, 5, 5, 5, 0, 12, 4, 2, 13, 11, 1, 4, 4, 5, 3, 6, 4, 6, 3, 5, 9, 2, 6, 7, 1, 5, 4, 7, 4, 4, 8, 2]",34689
7,"[4, 5, 2, 2, 2, 3, 5, 6, 3, 13, 5, 7, 3, 3, 3, 3, 3, 2, 3, 3, 3, 4, 3, 2, 5, 4, 4, 3, 4, 10, 4, 4, 2, 3, 3, 4, 6, 2, 21, 2, 3, 10, 4, 3, 5, 4, 3, 5, 2, 3, 7, 6, 1, 5, 4, 3, 2, 6, 5, 9, 4, 3, 6, 3, 4, 4, 2, 5, 4, 3, 1, 4, 6, 1]","[-81, 41, 182, 78, 93, 91, -78, -58, 87, -581, -21, -167, 170, 108, 47, 100, 113, 152, 12, 102, 69, 68, 46, 178, 41, 204, 56, 159, 101, -433, -12, -49, -32, 121, 99, 182, -162, 122, -1210, 131, 145, -358, 121, 37, -340, 62, 20, -212, 105, 107, -221, -150, 8, -74, 57, -71, 90, -4, -5, -164, 79, 147, 13, 130, 90, 68, -65, -55, 35, 121, 36, 63, -15, 131]","[457, 568, 313, 304, 327, 355, 523, 651, 370, 1352, 505, 707, 379, 364, 307, 363, 311, 260, 343, 325, 315, 446, 324, 297, 506, 490, 418, 349, 417, 1017, 468, 417, 212, 380, 395, 434, 644, 239, 2028, 236, 317, 1039, 485, 400, 497, 442, 330, 506, 223, 386, 762, 676, 152, 511, 430, 321, 298, 666, 506, 918, 418, 352, 618, 328, 420, 465, 216, 592, 454, 355, 193, 406, 653, 192]","[7, 6, 0, 2, 2, 4, 5, 4, 7, 17, 8, 8, 3, 5, 4, 2, 4, 3, 3, 4, 3, 10, 2, 5, 7, 3, 3, 3, 5, 10, 5, 2, 2, 6, 6, 2, 4, 0, 27, 3, 2, 8, 0, 4, 5, 4, 2, 11, 2, 6, 11, 5, 2, 3, 4, 4, 1, 4, 7, 6, 6, 6, 8, 1, 3, 5, 3, 4, 4, 5, 2, 6, 6, 3]",34643
8,"[4, 5, 3, 3, 3, 3, 5, 6, 3, 13, 5, 7, 3, 3, 3, 3, 3, 2, 3, 3, 3, 4, 3, 2, 5, 4, 4, 3, 4, 10, 4, 4, 2, 3, 3, 4, 6, 2, 20, 2, 3, 10, 4, 4, 4, 4, 3, 5, 2, 3, 7, 6, 1, 5, 4, 3, 2, 6, 5, 9, 4, 3, 6, 3, 4, 4, 2, 5, 4, 3, 1, 4, 6, 1]","[-97, 27, 203, 86, 108, 114, -88, -65, 101, -637, -19, -173, 172, 123, 61, 104, 128, 174, -2, 125, 82, 69, 40, 218, 52, 201, 62, 166, 113, -456, -7, -58, -31, 118, 114, 205, -175, 136, -1323, 156, 154, -410, 110, 36, -368, 76, 6, -221, 112, 119, -241, -151, 0, -71, 59, -77, 85, 9, 6, -200, 80, 156, -2, 148, 100, 85, -72, -76, 42, 133, 39, 75, -8, 140]","[444, 552, 335, 313, 336, 380, 507, 641, 384, 1290, 506, 704, 377, 381, 321, 368, 323, 280, 329, 348, 329, 447, 316, 336, 521, 487, 420, 354, 428, 985, 471, 407, 213, 379, 408, 459, 625, 248, 1916, 260, 324, 984, 472, 395, 464, 457, 316, 496, 228, 396, 743, 671, 142, 515, 432, 316, 294, 670, 512, 878, 418, 357, 603, 346, 431, 479, 210, 570, 461, 367, 193, 418, 661, 200]","[1, 7, 2, 2, 9, 1, 11, 9, 3, 19, 6, 4, 7, 1, 3, 2, 6, 4, 3, 3, 2, 4, 5, 3, 1, 4, 8, 5, 5, 19, 6, 5, 2, 1, 5, 2, 12, 7, 19, 3, 5, 13, 6, 8, 9, 3, 3, 6, 4, 5, 6, 10, 3, 4, 4, 2, 1, 15, 10, 13, 5, 7, 6, 3, 3, 7, 1, 6, 4, 3, 4, 4, 5, 2]",34547
9,"[4, 5, 3, 3, 3, 3, 5, 6, 3, 12, 5, 7, 3, 3, 3, 3, 3, 2, 3, 3, 3, 4, 3, 3, 5, 4, 4, 3, 4, 9, 4, 4, 2, 3, 4, 4, 6, 2, 19, 2, 3, 9, 4, 3, 4, 4, 3, 4, 2, 3, 7, 6, 1, 5, 4, 3, 2, 6, 5, 8, 4, 3, 6, 3, 4, 4, 2, 5, 4, 3, 1, 4, 6, 2]","[-97, 22, 217, 97, 121, 136, -98, -66, 103, -698, -25, -202, 181, 125, 60, 117, 139, 194, -7, 120, 78, 66, 53, 244, 58, 197, 66, 167, 124, -496, -10, -63, -32, 119, 123, 216, -173, 148, -1406, 169, 166, -444, 113, 50, -396, 82, 6, -237, 128, 136, -247, -179, 4, -87, 61, -82, 94, 14, 0, -200, 73, 164, -9, 152, 115, 93, -78, -69, 58, 152, 38, 80, -1, 163]","[439, 543, 349, 321, 345, 400, 496, 638, 378, 1231, 498, 676, 378, 383, 321, 380, 335, 297, 322, 342, 322, 440, 331, 359, 522, 480, 425, 357, 440, 946, 462, 397, 214, 377, 418, 468, 624, 257, 1832, 272, 336, 946, 468, 404, 428, 464, 314, 481, 245, 407, 729, 638, 144, 499, 434, 309, 302, 673, 506, 877, 408, 363, 594, 350, 442, 483, 204, 576, 478, 386, 190, 418, 665, 222]","[9, 9, 3, 6, 7, 5, 6, 8, 11, 10, 7, 6, 11, 3, 2, 4, 2, 5, 5, 4, 6, 8, 1, 6, 10, 7, 3, 1, 3, 8, 10, 9, 0, 6, 3, 6, 9, 5, 20, 3, 3, 13, 11, 8, 12, 3, 5, 3, 1, 9, 15, 11, 3, 5, 4, 5, 3, 8, 5, 9, 7, 5, 8, 3, 8, 8, 2, 6, 3, 3, 3, 9, 9, 3]",34398
