,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-22, -2, 50, 25, 15, 41, -24, -23, 26, -112, 18, -61, 22, 30, 26, 12, 34, 27, 12, 15, 6, 19, 0, 43, 12, 28, 16, 13, 22, -81, -9, 10, -2, 12, 30, 12, -28, 46, -250, 23, 29, -91, 18, 14, -59, 3, 9, -41, 7, 28, -29, -43, 4, -17, 1, -8, 12, -19, -5, -4, 21, 28, 36, 40, 14, 18, -10, -14, -6, 10, 8, 6, -14, 23]","[522, 524, 188, 246, 256, 304, 580, 686, 315, 1823, 550, 800, 228, 286, 292, 273, 239, 139, 344, 254, 261, 395, 279, 164, 482, 317, 383, 207, 352, 1350, 471, 482, 241, 279, 335, 266, 775, 162, 2988, 128, 207, 1323, 377, 383, 771, 383, 315, 691, 130, 310, 964, 786, 151, 563, 387, 394, 218, 664, 516, 1072, 368, 242, 647, 233, 358, 423, 279, 643, 406, 253, 171, 354, 654, 89]","[6, 5, 1, 6, 2, 2, 6, 8, 2, 17, 7, 5, 2, 2, 2, 4, 1, 0, 1, 0, 2, 7, 0, 3, 2, 2, 4, 3, 0, 17, 5, 3, 2, 6, 3, 3, 7, 0, 24, 1, 1, 11, 4, 0, 6, 2, 2, 11, 1, 5, 11, 7, 2, 5, 1, 3, 1, 6, 1, 10, 1, 3, 4, 0, 2, 2, 1, 8, 3, 0, 2, 3, 8, 1]",34891
2,"[5, 5, 1, 2, 2, 3, 5, 6, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 2, 3, 2, 7, 1, 29, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-25, 2, 84, 42, 20, 50, -33, -50, 48, -213, 22, -76, 38, 58, 44, 37, 67, 50, 1, 43, 20, 29, 6, 83, 34, 58, 10, 47, 31, -179, -19, 7, -6, 51, 47, 31, -30, 72, -441, 48, 54, -185, 38, 27, -115, 3, 11, -79, 11, 61, -41, -76, 2, -21, -15, -18, 22, -38, -20, -30, 39, 46, 57, 69, 31, 47, -27, -17, -17, 30, 20, 5, -30, 48]","[522, 529, 222, 261, 262, 316, 572, 659, 340, 1718, 552, 787, 243, 313, 307, 300, 274, 161, 333, 282, 276, 402, 281, 200, 507, 347, 376, 235, 363, 1260, 463, 479, 238, 319, 354, 287, 773, 188, 2799, 153, 230, 1233, 397, 397, 714, 382, 315, 652, 132, 342, 953, 750, 150, 559, 365, 382, 228, 647, 500, 1044, 383, 260, 662, 262, 375, 453, 262, 639, 394, 273, 182, 354, 643, 112]","[2, 4, 1, 4, 1, 0, 4, 6, 0, 22, 7, 6, 3, 3, 5, 0, 0, 2, 3, 2, 1, 6, 6, 5, 1, 3, 4, 8, 1, 5, 2, 4, 1, 1, 1, 0, 7, 1, 27, 1, 4, 9, 3, 2, 8, 4, 5, 7, 3, 4, 8, 10, 0, 5, 9, 5, 2, 4, 6, 12, 6, 2, 12, 2, 3, 3, 2, 7, 5, 2, 2, 2, 1, 2]",34879
3,"[5, 5, 2, 2, 2, 3, 5, 6, 3, 17, 5, 7, 2, 3, 3, 3, 2, 1, 3, 2, 2, 4, 2, 2, 5, 3, 3, 2, 3, 12, 4, 4, 2, 3, 3, 2, 7, 1, 27, 1, 2, 12, 3, 3, 7, 3, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 1]","[-28, 2, 122, 47, 50, 74, -39, -61, 84, -283, 31, -105, 62, 71, 47, 50, 92, 74, -13, 62, 25, 32, 18, 107, 44, 66, 33, 71, 49, -250, -25, 0, -8, 63, 72, 62, -74, 106, -613, 74, 82, -244, 62, 41, -177, 1, 15, -127, 29, 97, -84, -92, -6, -23, -5, -42, 35, -49, -38, -45, 47, 50, 75, 83, 51, 59, -34, -30, -36, 49, 19, 8, -33, 71]","[519, 530, 258, 265, 291, 341, 566, 647, 377, 1656, 563, 757, 268, 327, 309, 315, 300, 184, 320, 298, 280, 407, 293, 220, 518, 356, 398, 257, 382, 1193, 457, 469, 235, 330, 382, 320, 728, 222, 2632, 176, 257, 1172, 420, 411, 649, 379, 319, 605, 150, 379, 910, 733, 143, 550, 374, 357, 241, 633, 485, 1032, 392, 264, 676, 278, 395, 468, 257, 625, 375, 291, 179, 360, 640, 135]","[5, 4, 4, 3, 3, 2, 5, 7, 2, 9, 3, 8, 1, 2, 4, 1, 1, 2, 2, 5, 3, 2, 2, 6, 4, 2, 4, 4, 2, 8, 4, 7, 3, 4, 0, 0, 8, 1, 22, 4, 3, 14, 4, 3, 10, 4, 3, 5, 1, 2, 9, 8, 0, 12, 4, 4, 2, 9, 2, 7, 2, 2, 10, 0, 3, 1, 0, 7, 3, 3, 3, 0, 6, 1]",34880
4,"[5, 5, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 2, 3, 3, 3, 3, 1, 3, 2, 2, 4, 2, 2, 5, 3, 3, 2, 3, 11, 4, 4, 2, 3, 3, 3, 7, 2, 26, 1, 2, 11, 4, 4, 6, 3, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 4, 10, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 1]","[-44, 19, 143, 61, 53, 97, -44, -64, 99, -359, 14, -138, 73, 93, 62, 63, 113, 94, 0, 80, 23, 58, 32, 138, 52, 84, 50, 91, 74, -289, -30, -22, -11, 74, 82, 70, -90, 123, -777, 87, 115, -317, 73, 58, -209, 23, 20, -158, 29, 132, -123, -107, -14, -29, -3, -54, 47, -65, -50, -56, 64, 76, 79, 99, 58, 80, -40, -51, -52, 66, 26, 21, -42, 70]","[501, 545, 278, 279, 292, 366, 562, 644, 394, 1588, 539, 720, 279, 352, 324, 327, 320, 203, 334, 317, 274, 434, 305, 252, 531, 373, 415, 278, 406, 1156, 449, 445, 232, 340, 393, 330, 714, 235, 2472, 186, 286, 1103, 432, 430, 612, 401, 326, 574, 145, 408, 872, 715, 136, 541, 375, 345, 254, 621, 468, 1018, 405, 285, 677, 292, 403, 488, 250, 599, 359, 309, 187, 374, 635, 134]","[7, 7, 3, 2, 4, 1, 4, 6, 1, 8, 12, 11, 2, 0, 3, 4, 4, 2, 2, 1, 6, 3, 4, 1, 0, 4, 3, 1, 4, 9, 7, 6, 2, 4, 2, 1, 5, 6, 22, 4, 6, 7, 3, 2, 11, 3, 1, 6, 6, 9, 8, 10, 0, 8, 4, 3, 1, 2, 9, 13, 7, 7, 9, 4, 2, 5, 3, 11, 3, 1, 0, 2, 2, 1]",34843
5,"[5, 5, 2, 2, 2, 3, 5, 6, 3, 15, 5, 7, 2, 3, 3, 3, 3, 2, 3, 3, 2, 4, 3, 2, 5, 3, 4, 2, 4, 11, 4, 4, 2, 3, 3, 3, 7, 2, 24, 1, 2, 11, 4, 4, 6, 4, 3, 5, 1, 4, 8, 7, 1, 5, 3, 3, 2, 6, 4, 10, 4, 2, 6, 2, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-49, 19, 171, 92, 65, 114, -58, -71, 147, -450, 18, -161, 94, 99, 79, 79, 137, 109, -7, 84, 35, 72, 46, 165, 73, 85, 46, 102, 90, -340, -20, -42, -3, 87, 97, 69, -101, 143, -924, 93, 143, -385, 87, 59, -248, 36, 34, -185, 45, 149, -149, -113, -11, -50, -7, -55, 56, -83, -61, -58, 74, 88, 82, 117, 58, 106, -50, -61, -54, 92, 27, 6, -53, 80]","[495, 545, 304, 310, 299, 380, 549, 639, 439, 1500, 541, 697, 301, 361, 338, 342, 346, 217, 325, 318, 281, 449, 319, 280, 556, 377, 412, 288, 423, 1105, 459, 423, 239, 350, 408, 330, 705, 256, 2326, 192, 314, 1040, 447, 431, 572, 412, 340, 546, 160, 424, 846, 707, 138, 521, 371, 345, 264, 604, 454, 1016, 412, 299, 679, 312, 404, 512, 239, 588, 354, 335, 189, 358, 625, 142]","[6, 5, 4, 2, 7, 6, 4, 4, 6, 12, 7, 7, 1, 0, 6, 4, 1, 3, 5, 6, 7, 3, 3, 1, 1, 0, 3, 3, 3, 11, 4, 6, 3, 6, 3, 2, 5, 1, 23, 1, 2, 6, 3, 4, 7, 6, 3, 6, 2, 5, 8, 9, 2, 4, 3, 2, 1, 5, 7, 10, 7, 0, 7, 0, 3, 6, 3, 6, 6, 3, 0, 4, 5, 3]",34824
6,"[4, 5, 3, 3, 2, 3, 5, 6, 4, 15, 5, 6, 3, 3, 3, 3, 3, 2, 3, 3, 2, 4, 3, 2, 5, 3, 4, 2, 4, 11, 4, 4, 2, 3, 4, 3, 7, 2, 23, 1, 3, 10, 4, 4, 5, 4, 3, 5, 1, 4, 8, 7, 1, 5, 3, 3, 2, 6, 4, 10, 4, 2, 6, 3, 4, 5, 2, 5, 3, 3, 1, 3, 6, 1]","[-42, 18, 196, 105, 71, 126, -64, -81, 171, -515, 13, -181, 118, 120, 92, 93, 144, 132, -24, 97, 40, 100, 46, 192, 74, 97, 47, 117, 109, -386, -16, -52, -10, 90, 114, 86, -129, 165, -1060, 99, 163, -433, 94, 72, -287, 48, 45, -206, 51, 160, -168, -113, -5, -49, -6, -72, 68, -109, -57, -90, 81, 96, 81, 137, 64, 124, -58, -66, -67, 107, 25, 24, -53, 87]","[501, 543, 329, 324, 304, 391, 545, 628, 463, 1434, 531, 674, 328, 382, 352, 356, 353, 237, 308, 331, 287, 476, 320, 307, 557, 384, 414, 303, 440, 1062, 460, 414, 230, 351, 424, 345, 675, 275, 2182, 196, 334, 989, 453, 444, 531, 423, 348, 524, 165, 435, 829, 706, 143, 522, 373, 320, 276, 580, 459, 981, 419, 307, 676, 332, 411, 530, 231, 585, 341, 348, 185, 377, 620, 149]","[5, 6, 3, 2, 3, 4, 3, 7, 4, 16, 10, 9, 0, 3, 2, 3, 3, 5, 3, 3, 1, 5, 2, 2, 5, 8, 3, 2, 6, 8, 7, 3, 4, 5, 5, 5, 9, 5, 31, 3, 3, 13, 5, 4, 7, 5, 6, 6, 2, 4, 6, 8, 2, 5, 2, 11, 2, 4, 3, 13, 4, 2, 8, 3, 3, 5, 2, 3, 3, 5, 3, 2, 11, 1]",34762
7,"[5, 5, 3, 3, 3, 3, 5, 6, 4, 14, 5, 6, 3, 3, 3, 3, 3, 2, 3, 3, 2, 4, 3, 3, 5, 3, 4, 3, 4, 10, 4, 4, 2, 3, 4, 3, 6, 2, 21, 1, 3, 9, 4, 4, 5, 4, 3, 5, 1, 4, 8, 7, 1, 5, 3, 3, 2, 5, 4, 9, 4, 3, 6, 3, 4, 5, 2, 5, 3, 3, 1, 3, 6, 1]","[-50, 28, 235, 120, 79, 138, -80, -109, 185, -574, 33, -199, 130, 119, 111, 97, 161, 146, -26, 104, 41, 93, 68, 206, 74, 101, 59, 139, 130, -428, -25, -50, -9, 129, 131, 91, -136, 181, -1186, 123, 194, -492, 114, 81, -325, 40, 58, -232, 52, 163, -176, -138, -1, -63, -10, -79, 76, -137, -49, -98, 90, 71, 91, 147, 76, 122, -58, -74, -61, 131, 36, 38, -67, 100]","[491, 554, 366, 337, 310, 403, 529, 600, 472, 1372, 550, 661, 342, 382, 372, 361, 369, 251, 307, 334, 289, 469, 341, 318, 557, 387, 424, 326, 462, 1021, 450, 414, 230, 391, 442, 351, 666, 287, 2049, 218, 363, 924, 474, 455, 490, 415, 359, 496, 167, 437, 820, 679, 146, 509, 368, 309, 284, 548, 464, 976, 429, 281, 683, 343, 423, 529, 229, 575, 346, 370, 194, 393, 605, 161]","[7, 4, 5, 5, 5, 3, 5, 6, 9, 17, 6, 1, 1, 2, 2, 2, 4, 2, 2, 7, 1, 4, 4, 6, 5, 4, 6, 2, 3, 9, 5, 6, 3, 2, 3, 2, 8, 6, 28, 3, 5, 15, 3, 2, 8, 4, 5, 7, 0, 5, 9, 9, 2, 4, 4, 7, 2, 9, 7, 6, 3, 4, 9, 2, 4, 4, 4, 7, 4, 5, 3, 1, 7, 2]",34699
8,"[4, 5, 3, 3, 3, 4, 5, 6, 4, 13, 5, 6, 3, 3, 3, 3, 3, 2, 3, 3, 2, 4, 3, 3, 5, 3, 4, 3, 4, 10, 4, 4, 2, 3, 4, 3, 6, 2, 20, 2, 3, 9, 4, 4, 4, 4, 3, 4, 1, 4, 8, 6, 1, 5, 3, 3, 2, 5, 4, 9, 4, 2, 6, 3, 4, 5, 2, 5, 3, 3, 1, 3, 6, 1]","[-53, 40, 246, 125, 85, 144, -100, -114, 194, -590, 19, -220, 146, 128, 110, 125, 177, 163, -36, 116, 49, 114, 70, 237, 68, 108, 68, 155, 136, -462, -11, -41, -15, 137, 134, 99, -141, 209, -1304, 141, 206, -545, 126, 82, -349, 66, 58, -239, 66, 180, -215, -172, -1, -74, -12, -77, 81, -156, -47, -125, 111, 76, 85, 164, 83, 133, -68, -85, -55, 148, 35, 43, -78, 99]","[484, 562, 377, 342, 311, 408, 512, 594, 481, 1352, 535, 640, 357, 390, 370, 388, 385, 267, 295, 344, 298, 486, 344, 350, 549, 393, 431, 339, 464, 986, 461, 421, 223, 397, 444, 359, 660, 315, 1925, 235, 372, 874, 482, 459, 465, 445, 357, 490, 181, 456, 778, 646, 145, 497, 368, 310, 289, 521, 461, 951, 448, 284, 676, 360, 428, 540, 217, 564, 350, 386, 190, 396, 591, 159]","[8, 9, 3, 3, 8, 5, 2, 7, 4, 17, 6, 6, 4, 4, 4, 4, 3, 3, 5, 5, 1, 8, 2, 2, 7, 4, 6, 6, 8, 11, 7, 6, 3, 5, 5, 3, 7, 2, 26, 3, 6, 6, 8, 1, 5, 0, 5, 3, 1, 2, 11, 5, 2, 6, 1, 4, 2, 13, 9, 7, 6, 4, 7, 3, 6, 5, 4, 5, 5, 4, 4, 5, 9, 2]",34610
9,"[4, 5, 3, 3, 3, 4, 5, 5, 4, 13, 5, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 4, 3, 3, 5, 3, 4, 3, 4, 9, 4, 4, 2, 3, 4, 3, 6, 3, 19, 2, 3, 8, 4, 4, 4, 4, 3, 4, 1, 4, 7, 6, 1, 4, 3, 3, 2, 5, 4, 9, 4, 2, 6, 3, 4, 5, 2, 5, 3, 3, 1, 3, 5, 1]","[-58, 48, 260, 144, 95, 155, -91, -136, 202, -653, 16, -223, 171, 136, 111, 130, 178, 170, -37, 122, 44, 115, 80, 250, 69, 120, 59, 162, 153, -496, -7, -40, -21, 148, 144, 106, -148, 232, -1401, 145, 223, -590, 136, 96, -383, 91, 65, -247, 77, 183, -223, -162, 4, -71, -21, -78, 92, -170, -48, -137, 87, 86, 98, 180, 85, 129, -71, -84, -66, 170, 36, 37, -80, 102]","[479, 564, 386, 359, 319, 415, 518, 570, 489, 1279, 532, 633, 381, 392, 373, 390, 383, 275, 292, 348, 292, 483, 354, 362, 545, 406, 421, 343, 477, 949, 463, 423, 216, 406, 455, 366, 653, 334, 1817, 237, 387, 819, 490, 469, 422, 469, 361, 479, 192, 455, 765, 655, 149, 498, 356, 307, 300, 509, 454, 938, 421, 294, 685, 377, 429, 530, 213, 563, 338, 406, 190, 388, 589, 161]","[4, 11, 8, 5, 5, 8, 8, 7, 4, 23, 5, 10, 4, 9, 1, 6, 6, 1, 4, 5, 3, 8, 3, 4, 10, 2, 5, 6, 8, 12, 6, 3, 3, 5, 3, 3, 6, 7, 30, 4, 5, 18, 6, 8, 13, 5, 6, 7, 1, 8, 12, 7, 2, 6, 6, 5, 2, 3, 10, 10, 7, 2, 10, 2, 5, 11, 3, 7, 4, 5, 2, 5, 5, 2]",34437
