0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-11, 2, 37, 33, 27, 26, -7, 3, 28, -106, -20, -20, 26, 21, 11, 21, 20, 29, -13, 11, 14, 24, 22, 20, 2, 28, 5, 25, 11, -70, -15, -9, -11, 8, 9, 39, -50, 16, -240, 24, 39, -58, 6, 5, -50, 7, 7, -50, 28, 24, -44, -21, -6, -17, 7, -17, 18, 16, 30, -17, 4, 19, 13, 31, 2, 12, -22, -15, 4, 26, 0, 15, -3, 37]"
2,"[-30, 8, 74, 56, 46, 36, -13, 12, 35, -197, -22, -43, 48, 43, 17, 41, 37, 44, 0, 30, 32, 24, 40, 62, 21, 34, 2, 47, 23, -137, -19, -27, -19, 34, 31, 93, -66, 48, -443, 46, 72, -119, 13, 15, -101, 16, 8, -108, 49, 39, -80, -52, 4, -20, 31, -37, 26, 16, 41, -58, 20, 35, 10, 63, 0, 26, -39, -32, -7, 47, 8, 14, -11, 63]"
3,"[-32, 5, 107, 66, 52, 53, -27, 7, 54, -306, -16, -63, 51, 50, 43, 67, 48, 73, -8, 59, 32, 41, 40, 86, 27, 64, 29, 57, 28, -198, -21, -21, -24, 46, 55, 132, -116, 59, -623, 75, 92, -182, 25, 26, -141, 15, 15, -135, 75, 61, -111, -82, -8, -39, 66, -50, 54, 11, 60, -95, 15, 55, 5, 80, 22, 40, -48, -42, -10, 69, 11, 25, -12, 82]"
4,"[-31, 5, 148, 89, 57, 66, -36, 26, 72, -386, -6, -85, 79, 65, 51, 63, 69, 91, -13, 61, 58, 46, 53, 105, 17, 90, 36, 69, 40, -270, -33, -15, -28, 55, 68, 168, -145, 79, -759, 95, 115, -219, 42, 31, -175, 24, 25, -164, 84, 72, -136, -109, -13, -49, 73, -64, 56, -10, 64, -125, 17, 72, 10, 92, 33, 68, -63, -57, -8, 82, 19, 11, -18, 106]"
5,"[-50, 2, 172, 86, 53, 84, -44, 23, 90, -455, 6, -112, 87, 87, 72, 54, 94, 111, -10, 77, 74, 58, 66, 136, 10, 118, 62, 78, 60, -345, -42, -32, -23, 62, 86, 187, -186, 106, -953, 119, 120, -250, 41, 43, -222, 35, 34, -172, 94, 79, -157, -133, -15, -57, 73, -77, 67, -6, 70, -139, 16, 82, 38, 115, 59, 64, -75, -53, -1, 105, 32, 2, -13, 133]"
6,"[-75, -5, 199, 102, 65, 95, -45, 18, 100, -529, -3, -125, 106, 107, 72, 59, 104, 126, -17, 93, 90, 62, 89, 159, 22, 135, 81, 97, 84, -388, -47, -55, -22, 77, 116, 222, -215, 120, -1090, 132, 142, -295, 58, 49, -270, 28, 33, -205, 115, 105, -195, -150, -12, -81, 65, -96, 83, -2, 70, -175, 27, 107, 61, 137, 70, 67, -73, -69, -1, 119, 36, 11, -25, 150]"
7,"[-94, -2, 225, 119, 73, 93, -62, 17, 117, -590, 12, -145, 118, 114, 63, 73, 112, 147, -24, 101, 97, 64, 95, 179, 35, 153, 90, 103, 105, -430, -48, -52, -22, 89, 142, 240, -228, 139, -1184, 162, 154, -325, 70, 54, -322, 29, 26, -227, 137, 102, -222, -171, -9, -87, 57, -98, 94, -3, 64, -178, 28, 134, 39, 146, 70, 85, -74, -77, -3, 135, 35, 18, -48, 171]"
8,"[-110, -1, 241, 115, 79, 121, -62, 24, 112, -675, 17, -155, 132, 127, 88, 82, 120, 177, -31, 91, 95, 71, 99, 203, 52, 166, 85, 109, 114, -454, -46, -53, -21, 92, 146, 247, -256, 160, -1283, 175, 177, -391, 65, 55, -362, 29, 30, -240, 151, 123, -258, -188, -2, -88, 71, -105, 107, 13, 77, -213, 26, 155, 51, 176, 87, 105, -85, -84, -13, 146, 31, 24, -46, 183]"
9,"[-115, 9, 241, 126, 81, 127, -58, 19, 110, -742, 13, -170, 137, 127, 88, 90, 125, 196, -43, 86, 112, 75, 106, 222, 73, 176, 89, 122, 128, -499, -39, -66, -16, 119, 156, 274, -265, 172, -1386, 187, 211, -404, 82, 68, -380, 36, 13, -259, 162, 150, -293, -207, -9, -97, 84, -106, 113, 9, 90, -228, 24, 167, 27, 179, 94, 97, -92, -66, -10, 144, 38, 30, -53, 199]"
10,"[-121, 18, 259, 135, 91, 130, -67, 6, 109, -792, 20, -189, 148, 146, 98, 86, 140, 216, -27, 76, 122, 78, 108, 227, 91, 190, 86, 117, 153, -544, -44, -69, -27, 125, 151, 288, -300, 173, -1467, 220, 216, -454, 106, 82, -410, 46, 17, -276, 179, 157, -305, -227, -14, -100, 88, -121, 123, 9, 81, -235, 26, 202, 32, 193, 96, 113, -99, -83, 5, 184, 36, 42, -73, 204]"
