,Births,County Influx,County Population,Deaths,Total Population
0,[],"[53, -74, 204, 417, 209, 61, -490, -649, -91, -1302, 147, -735, 511, 412, 345, 326, 452, 409, 409, 278, -208, 184, 165, 411, 247, 322, 439, 756, 643, -749, 158, -195, 605, 698, 792, -106, -154, 186, -2450, 38, 745, -1180, 253, 213, 38, 254, 75, -233, -70, 207, 306, -255, 446, -97, -222, 356, 320, -562, -265, -657, -17, -17, -334, -67, -179, -142, -53, -538, -340, -72, 130, -298, -373, -46]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[18, 17, 4, 7, 8, 8, 20, 23, 9, 64, 17, 28, 6, 8, 8, 8, 6, 3, 11, 7, 8, 12, 9, 4, 15, 9, 12, 6, 10, 47, 16, 15, 8, 9, 10, 8, 26, 3, 107, 3, 5, 47, 12, 12, 27, 12, 10, 24, 4, 9, 33, 27, 4, 19, 12, 13, 6, 22, 17, 35, 11, 7, 20, 6, 11, 13, 9, 21, 13, 8, 5, 11, 22, 2]","[53, -74, 204, 417, 209, 61, -490, -649, -91, -1302, 147, -735, 511, 412, 345, 326, 452, 409, 409, 278, -208, 184, 165, 411, 247, 322, 439, 756, 643, -749, 158, -195, 605, 698, 792, -106, -154, 186, -2450, 38, 745, -1180, 253, 213, 38, 254, 75, -233, -70, 207, 306, -255, 446, -97, -222, 356, 320, -562, -265, -657, -17, -17, -334, -67, -179, -142, -53, -538, -340, -72, 130, -298, -373, -46]","[570, 521, 151, 209, 243, 276, 595, 680, 296, 1909, 528, 836, 211, 304, 279, 258, 213, 125, 325, 229, 231, 368, 273, 182, 461, 269, 378, 205, 363, 1444, 466, 464, 236, 282, 323, 253, 776, 135, 3175, 104, 199, 1312, 398, 401, 865, 391, 314, 743, 119, 292, 1000, 874, 195, 560, 380, 439, 196, 669, 509, 1064, 348, 224, 617, 195, 364, 409, 286, 657, 416, 245, 148, 359, 653, 67]","[9, 17, 7, 4, 9, 11, 10, 23, 2, 60, 20, 22, 3, 5, 4, 12, 5, 5, 6, 3, 11, 18, 7, 3, 15, 8, 4, 10, 15, 16, 14, 15, 3, 4, 9, 3, 25, 2, 87, 1, 10, 47, 10, 9, 29, 7, 11, 14, 1, 5, 29, 22, 3, 13, 10, 16, 6, 22, 11, 32, 6, 8, 14, 5, 6, 10, 7, 19, 5, 6, 7, 4, 35, 3]",35054
2,"[19, 17, 5, 6, 8, 9, 19, 22, 9, 63, 17, 27, 7, 10, 9, 8, 7, 4, 10, 7, 7, 12, 9, 6, 15, 8, 12, 6, 12, 48, 15, 15, 7, 9, 10, 8, 25, 4, 105, 3, 6, 43, 13, 13, 28, 13, 10, 24, 3, 9, 33, 29, 6, 18, 12, 14, 6, 22, 16, 35, 11, 7, 20, 6, 12, 13, 9, 21, 13, 8, 4, 11, 21, 2]","[53, -74, 204, 417, 209, 61, -490, -649, -91, -1302, 147, -735, 511, 412, 345, 326, 452, 409, 409, 278, -208, 184, 165, 411, 247, 322, 439, 756, 643, -749, 158, -195, 605, 698, 792, -106, -154, 186, -2450, 38, 745, -1180, 253, 213, 38, 254, 75, -233, -70, 207, 306, -255, 446, -97, -222, 356, 320, -562, -265, -657, -17, -17, -334, -67, -179, -142, -53, -538, -340, -72, 130, -298, -373, -46]","[614, 499, 180, 258, 237, 298, 549, 623, 304, 1835, 540, 744, 214, 406, 281, 243, 232, 148, 347, 244, 214, 346, 262, 200, 599, 240, 370, 228, 423, 1452, 479, 479, 233, 283, 348, 227, 762, 165, 2999, 110, 209, 1183, 409, 422, 858, 481, 333, 739, 111, 283, 1051, 932, 269, 606, 358, 514, 219, 614, 475, 1073, 330, 225, 616, 199, 373, 424, 283, 637, 398, 233, 146, 379, 653, 56]","[15, 10, 0, 8, 4, 10, 13, 12, 7, 41, 15, 16, 4, 7, 11, 5, 4, 4, 10, 3, 3, 12, 6, 5, 17, 11, 8, 5, 7, 30, 14, 9, 7, 9, 9, 9, 13, 5, 72, 3, 4, 33, 7, 9, 23, 13, 12, 17, 6, 8, 33, 32, 6, 12, 13, 15, 3, 18, 10, 27, 14, 6, 14, 4, 7, 14, 10, 15, 2, 8, 10, 4, 15, 1]",35306
3,"[20, 16, 6, 8, 7, 9, 18, 20, 10, 61, 18, 24, 7, 13, 9, 8, 7, 4, 11, 8, 7, 11, 8, 6, 19, 8, 12, 7, 14, 48, 15, 15, 7, 9, 11, 7, 25, 5, 99, 3, 6, 39, 13, 14, 28, 16, 11, 24, 3, 9, 35, 31, 8, 20, 11, 17, 7, 20, 15, 35, 11, 7, 20, 6, 12, 14, 9, 21, 13, 7, 4, 12, 21, 1]","[53, -74, 204, 417, 209, 61, -490, -649, -91, -1302, 147, -735, 511, 412, 345, 326, 452, 409, 409, 278, -208, 184, 165, 411, 247, 322, 439, 756, 643, -749, 158, -195, 605, 698, 792, -106, -154, 186, -2450, 38, 745, -1180, 253, 213, 38, 254, 75, -233, -70, 207, 306, -255, 446, -97, -222, 356, 320, -562, -265, -657, -17, -17, -334, -67, -179, -142, -53, -538, -340, -72, 130, -298, -373, -46]","[632, 475, 233, 349, 243, 308, 506, 541, 286, 1740, 637, 674, 233, 633, 266, 232, 243, 186, 353, 254, 176, 341, 234, 231, 606, 296, 333, 278, 452, 1328, 503, 508, 238, 279, 373, 210, 721, 213, 2824, 116, 280, 1018, 427, 460, 965, 555, 345, 754, 110, 329, 998, 1022, 369, 665, 340, 629, 252, 577, 434, 1105, 317, 222, 568, 210, 390, 427, 268, 597, 366, 259, 147, 389, 613, 53]","[17, 15, 6, 4, 4, 4, 9, 8, 11, 32, 15, 8, 4, 10, 7, 3, 6, 3, 7, 7, 3, 12, 8, 3, 12, 6, 5, 4, 9, 24, 6, 10, 6, 5, 8, 2, 14, 1, 58, 2, 3, 15, 9, 5, 19, 8, 9, 18, 0, 5, 20, 18, 5, 9, 3, 13, 7, 18, 11, 22, 6, 2, 12, 4, 12, 16, 9, 10, 11, 3, 1, 12, 9, 0]",35744
4,"[21, 15, 7, 11, 8, 10, 16, 18, 9, 58, 21, 22, 7, 21, 8, 7, 8, 6, 11, 8, 5, 11, 7, 7, 20, 9, 11, 9, 15, 44, 16, 16, 7, 9, 12, 7, 24, 7, 94, 3, 9, 33, 14, 15, 32, 18, 11, 25, 3, 10, 33, 34, 12, 22, 11, 20, 8, 19, 14, 36, 10, 7, 18, 7, 13, 14, 8, 19, 12, 8, 4, 12, 20, 1]","[53, -74, 204, 417, 209, 61, -490, -649, -91, -1302, 147, -735, 511, 412, 345, 326, 452, 409, 409, 278, -208, 184, 165, 411, 247, 322, 439, 756, 643, -749, 158, -195, 605, 698, 792, -106, -154, 186, -2450, 38, 745, -1180, 253, 213, 38, 254, 75, -233, -70, 207, 306, -255, 446, -97, -222, 356, 320, -562, -265, -657, -17, -17, -334, -67, -179, -142, -53, -538, -340, -72, 130, -298, -373, -46]","[687, 521, 314, 369, 264, 319, 460, 471, 314, 1550, 647, 603, 252, 847, 295, 253, 278, 234, 384, 269, 155, 367, 253, 319, 647, 352, 357, 330, 516, 1244, 450, 479, 330, 276, 372, 197, 681, 249, 2592, 121, 365, 852, 514, 467, 1095, 545, 371, 806, 91, 353, 974, 1089, 467, 688, 286, 698, 315, 532, 381, 1116, 302, 235, 577, 201, 389, 427, 252, 528, 299, 226, 153, 379, 630, 56]","[10, 12, 6, 4, 7, 5, 10, 6, 7, 26, 12, 14, 3, 14, 6, 4, 12, 3, 6, 1, 2, 7, 3, 3, 14, 8, 7, 5, 10, 20, 8, 10, 3, 3, 13, 2, 12, 3, 38, 2, 5, 18, 7, 10, 14, 11, 6, 14, 0, 5, 22, 28, 8, 10, 9, 14, 7, 5, 5, 16, 4, 3, 8, 6, 5, 6, 4, 8, 2, 5, 2, 4, 11, 1]",36277
5,"[22, 17, 10, 12, 8, 10, 15, 15, 10, 51, 21, 20, 8, 28, 9, 8, 9, 7, 12, 8, 5, 12, 8, 10, 21, 11, 11, 11, 17, 41, 15, 15, 11, 9, 12, 6, 22, 8, 86, 4, 12, 28, 17, 15, 36, 18, 12, 26, 3, 11, 32, 36, 15, 22, 9, 23, 10, 17, 12, 37, 10, 7, 19, 6, 12, 14, 8, 17, 9, 7, 5, 12, 21, 1]","[53, -74, 204, 417, 209, 61, -490, -649, -91, -1302, 147, -735, 511, 412, 345, 326, 452, 409, 409, 278, -208, 184, 165, 411, 247, 322, 439, 756, 643, -749, 158, -195, 605, 698, 792, -106, -154, 186, -2450, 38, 745, -1180, 253, 213, 38, 254, 75, -233, -70, 207, 306, -255, 446, -97, -222, 356, 320, -562, -265, -657, -17, -17, -334, -67, -179, -142, -53, -538, -340, -72, 130, -298, -373, -46]","[657, 485, 352, 403, 252, 360, 373, 371, 301, 1380, 649, 556, 266, 914, 316, 299, 281, 290, 414, 299, 132, 401, 298, 294, 719, 310, 680, 381, 562, 1175, 506, 517, 384, 356, 477, 169, 619, 267, 2342, 128, 414, 714, 594, 456, 1198, 523, 479, 692, 84, 400, 1012, 1192, 621, 754, 238, 824, 358, 453, 359, 1042, 319, 238, 548, 242, 357, 427, 251, 449, 250, 257, 148, 325, 637, 48]","[11, 12, 10, 11, 5, 7, 6, 7, 4, 26, 15, 12, 7, 16, 4, 6, 3, 5, 8, 7, 4, 8, 8, 4, 6, 9, 6, 4, 12, 14, 10, 4, 4, 11, 13, 2, 13, 4, 37, 2, 3, 21, 3, 8, 8, 7, 7, 14, 1, 5, 17, 17, 5, 10, 7, 11, 4, 11, 8, 19, 7, 6, 7, 6, 5, 9, 4, 3, 3, 4, 2, 4, 10, 0]",36838
6,"[21, 16, 11, 13, 8, 12, 12, 12, 10, 46, 21, 18, 8, 30, 10, 9, 9, 9, 13, 9, 4, 13, 9, 9, 23, 10, 22, 12, 18, 39, 16, 17, 12, 11, 15, 5, 20, 8, 78, 4, 13, 23, 19, 15, 39, 17, 15, 23, 2, 13, 33, 39, 20, 25, 7, 27, 11, 15, 11, 34, 10, 7, 18, 8, 11, 14, 8, 14, 8, 8, 4, 10, 21, 1]","[53, -74, 204, 417, 209, 61, -490, -649, -91, -1302, 147, -735, 511, 412, 345, 326, 452, 409, 409, 278, -208, 184, 165, 411, 247, 322, 439, 756, 643, -749, 158, -195, 605, 698, 792, -106, -154, 186, -2450, 38, 745, -1180, 253, 213, 38, 254, 75, -233, -70, 207, 306, -255, 446, -97, -222, 356, 320, -562, -265, -657, -17, -17, -334, -67, -179, -142, -53, -538, -340, -72, 130, -298, -373, -46]","[711, 484, 411, 459, 259, 399, 327, 333, 226, 1273, 706, 555, 278, 1027, 360, 328, 398, 332, 450, 329, 146, 393, 326, 295, 691, 264, 881, 460, 678, 1110, 533, 543, 439, 437, 549, 169, 643, 315, 2062, 141, 532, 650, 696, 454, 1072, 711, 544, 754, 62, 389, 979, 1239, 734, 700, 195, 889, 374, 387, 351, 872, 297, 204, 506, 238, 361, 362, 226, 407, 227, 225, 146, 281, 631, 43]","[9, 10, 3, 10, 5, 10, 3, 6, 3, 17, 6, 6, 3, 7, 6, 8, 6, 4, 12, 2, 1, 8, 4, 2, 15, 2, 7, 9, 11, 21, 8, 10, 8, 9, 10, 2, 4, 3, 36, 0, 7, 9, 10, 8, 18, 9, 6, 13, 2, 6, 14, 17, 9, 16, 4, 10, 2, 10, 2, 9, 5, 7, 7, 6, 3, 7, 6, 6, 2, 6, 6, 6, 10, 1]",37458
7,"[23, 16, 13, 15, 8, 13, 10, 11, 7, 42, 23, 18, 9, 34, 12, 10, 13, 11, 15, 10, 4, 13, 10, 9, 23, 8, 29, 15, 22, 37, 17, 18, 14, 14, 18, 5, 21, 10, 68, 4, 17, 21, 23, 15, 35, 23, 18, 25, 2, 12, 32, 41, 24, 23, 6, 29, 12, 12, 11, 29, 9, 6, 16, 7, 12, 12, 7, 13, 7, 7, 4, 9, 21, 1]","[53, -74, 204, 417, 209, 61, -490, -649, -91, -1302, 147, -735, 511, 412, 345, 326, 452, 409, 409, 278, -208, 184, 165, 411, 247, 322, 439, 756, 643, -749, 158, -195, 605, 698, 792, -106, -154, 186, -2450, 38, 745, -1180, 253, 213, 38, 254, 75, -233, -70, 207, 306, -255, 446, -97, -222, 356, 320, -562, -265, -657, -17, -17, -334, -67, -179, -142, -53, -538, -340, -72, 130, -298, -373, -46]","[637, 436, 468, 519, 310, 404, 287, 327, 210, 1254, 743, 525, 286, 1074, 471, 361, 429, 381, 553, 277, 109, 394, 319, 304, 726, 236, 1070, 443, 830, 951, 493, 594, 482, 526, 694, 147, 593, 303, 1827, 122, 619, 617, 783, 386, 1043, 826, 646, 824, 57, 361, 985, 1249, 747, 715, 171, 909, 385, 359, 322, 823, 314, 240, 524, 284, 360, 359, 249, 347, 170, 231, 179, 229, 604, 43]","[15, 5, 6, 8, 4, 2, 3, 5, 3, 15, 6, 13, 3, 24, 5, 5, 8, 11, 8, 5, 1, 10, 4, 8, 6, 4, 19, 8, 10, 13, 6, 6, 9, 6, 8, 2, 13, 6, 23, 4, 12, 12, 16, 4, 10, 10, 8, 14, 3, 7, 20, 23, 11, 8, 2, 12, 2, 8, 8, 19, 7, 0, 9, 6, 7, 9, 5, 2, 6, 2, 1, 1, 12, 0]",38075
8,"[21, 14, 15, 17, 10, 13, 9, 10, 7, 41, 24, 17, 9, 35, 15, 12, 14, 12, 18, 9, 3, 13, 10, 10, 24, 7, 35, 14, 27, 31, 16, 19, 16, 17, 23, 4, 19, 10, 60, 4, 20, 20, 26, 12, 34, 27, 21, 27, 1, 12, 32, 41, 24, 23, 5, 30, 12, 11, 10, 27, 10, 8, 17, 9, 12, 11, 8, 11, 5, 7, 5, 7, 20, 1]","[53, -74, 204, 417, 209, 61, -490, -649, -91, -1302, 147, -735, 511, 412, 345, 326, 452, 409, 409, 278, -208, 184, 165, 411, 247, 322, 439, 756, 643, -749, 158, -195, 605, 698, 792, -106, -154, 186, -2450, 38, 745, -1180, 253, 213, 38, 254, 75, -233, -70, 207, 306, -255, 446, -97, -222, 356, 320, -562, -265, -657, -17, -17, -334, -67, -179, -142, -53, -538, -340, -72, 130, -298, -373, -46]","[653, 403, 446, 598, 359, 436, 233, 319, 242, 1144, 821, 503, 448, 1003, 467, 380, 475, 390, 667, 269, 71, 484, 307, 266, 597, 216, 1327, 501, 915, 969, 512, 612, 521, 550, 785, 126, 556, 319, 1720, 175, 718, 532, 916, 396, 941, 968, 679, 950, 47, 278, 1008, 1282, 709, 701, 160, 866, 363, 331, 263, 805, 297, 232, 598, 256, 291, 387, 271, 293, 167, 202, 222, 207, 590, 40]","[9, 5, 3, 6, 2, 9, 6, 5, 3, 19, 12, 11, 6, 13, 8, 7, 6, 6, 12, 3, 1, 4, 6, 5, 6, 3, 18, 6, 4, 17, 11, 10, 5, 6, 8, 1, 10, 4, 25, 3, 14, 10, 11, 4, 13, 15, 9, 12, 1, 9, 16, 14, 8, 11, 1, 15, 7, 6, 8, 5, 3, 3, 7, 7, 5, 4, 3, 7, 5, 2, 3, 0, 11, 1]",38751
9,"[21, 13, 14, 19, 11, 14, 7, 10, 8, 38, 27, 16, 14, 33, 15, 12, 15, 13, 22, 8, 2, 16, 10, 8, 19, 7, 44, 16, 30, 32, 17, 20, 17, 18, 26, 4, 18, 10, 57, 5, 23, 17, 30, 13, 31, 32, 22, 31, 1, 9, 33, 42, 23, 23, 5, 28, 12, 11, 8, 26, 9, 7, 19, 8, 9, 12, 9, 9, 5, 6, 7, 6, 19, 1]","[53, -74, 204, 417, 209, 61, -490, -649, -91, -1302, 147, -735, 511, 412, 345, 326, 452, 409, 409, 278, -208, 184, 165, 411, 247, 322, 439, 756, 643, -749, 158, -195, 605, 698, 792, -106, -154, 186, -2450, 38, 745, -1180, 253, 213, 38, 254, 75, -233, -70, 207, 306, -255, 446, -97, -222, 356, 320, -562, -265, -657, -17, -17, -334, -67, -179, -142, -53, -538, -340, -72, 130, -298, -373, -46]","[701, 498, 443, 695, 400, 436, 195, 293, 258, 1060, 920, 467, 594, 1022, 525, 456, 571, 487, 774, 285, 65, 471, 305, 277, 594, 199, 1078, 711, 1087, 948, 530, 549, 554, 576, 783, 135, 561, 380, 1613, 193, 749, 518, 904, 392, 937, 986, 750, 926, 64, 365, 990, 1176, 628, 806, 132, 886, 383, 308, 249, 742, 242, 224, 540, 263, 262, 344, 284, 296, 145, 202, 195, 189, 622, 38]","[6, 8, 7, 10, 3, 5, 4, 4, 4, 19, 26, 4, 7, 17, 5, 12, 10, 3, 12, 10, 0, 10, 5, 4, 10, 5, 14, 9, 16, 16, 7, 8, 3, 5, 13, 5, 12, 8, 19, 2, 12, 12, 15, 5, 11, 7, 12, 10, 1, 6, 14, 17, 9, 7, 1, 12, 4, 8, 4, 9, 8, 2, 6, 4, 4, 4, 6, 1, 1, 1, 2, 1, 12, 2]",39426
