0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-15, 21, 29, 18, 10, 25, -6, -6, 20, -115, 18, -39, 26, 18, 0, 17, 26, 37, -4, 21, 11, 27, 25, 55, 11, 22, -5, 32, 36, -89, -12, 2, -21, 26, 28, 45, 34, 20, -223, 34, 15, -85, 16, 21, -74, 9, -6, -48, 15, 30, -52, -34, -3, -14, 6, -5, 27, -9, -1, -54, -12, 32, 18, 13, 14, -2, -18, 0, -2, 21, -1, -9, 15, 18]"
2,"[-34, 34, 68, 33, 18, 29, -29, -8, 27, -214, 13, -81, 49, 37, 29, 23, 40, 43, -3, 40, 16, 86, 28, 109, 16, 59, -5, 66, 68, -151, -4, -4, -23, 50, 46, 70, 70, 37, -436, 60, 46, -180, 29, 40, -133, 21, 3, -94, 24, 48, -83, -62, -5, -23, 17, -28, 63, -6, -10, -105, -9, 52, 20, 41, 23, 6, -37, -13, -7, 41, -2, 10, 0, 41]"
3,"[-50, 64, 111, 48, 30, 49, -36, -16, 37, -309, 28, -112, 64, 78, 50, 28, 60, 71, -17, 44, 28, 117, 35, 146, 13, 78, -2, 96, 76, -255, -6, -25, -29, 67, 67, 101, 119, 63, -624, 83, 71, -241, 44, 55, -203, 26, 13, -143, 44, 51, -123, -83, -10, -26, 22, -33, 84, -17, -18, -150, -17, 74, 24, 53, 30, 19, -54, -22, -1, 70, 0, 12, 14, 65]"
4,"[-67, 97, 131, 61, 23, 61, -40, -29, 39, -409, 26, -115, 88, 94, 62, 36, 80, 99, -35, 55, 51, 182, 33, 179, 38, 88, 10, 117, 103, -315, -17, -29, -25, 85, 80, 122, 174, 66, -830, 107, 91, -315, 51, 48, -266, 20, 17, -162, 61, 66, -140, -89, -16, -36, 20, -46, 104, -37, -20, -183, -13, 98, 35, 67, 46, 31, -70, -38, -4, 83, -2, 18, 28, 77]"
5,"[-71, 106, 156, 82, 28, 79, -51, -38, 56, -491, 42, -132, 100, 101, 77, 55, 101, 122, -50, 73, 48, 236, 43, 191, 53, 111, 18, 156, 132, -362, -16, -36, -39, 81, 105, 147, 228, 104, -993, 121, 102, -356, 47, 46, -300, 33, 39, -211, 68, 77, -188, -114, -20, -51, 29, -52, 118, -67, -33, -218, -11, 105, 28, 81, 39, 48, -84, -61, -9, 113, -2, 14, 23, 94]"
6,"[-85, 126, 186, 98, 27, 88, -58, -29, 54, -557, 49, -157, 123, 100, 98, 63, 106, 138, -54, 92, 58, 276, 39, 212, 58, 123, 14, 166, 156, -396, -15, -45, -50, 96, 114, 163, 274, 126, -1136, 133, 121, -400, 54, 60, -336, 33, 40, -232, 82, 88, -214, -143, -28, -51, 35, -61, 134, -70, -43, -249, -23, 122, 16, 97, 53, 57, -93, -77, -12, 123, 2, 31, 5, 105]"
7,"[-98, 164, 220, 102, 32, 92, -71, -35, 67, -616, 54, -180, 134, 106, 90, 67, 121, 158, -52, 107, 70, 309, 46, 247, 69, 137, 11, 186, 170, -458, -22, -56, -56, 113, 117, 183, 339, 144, -1284, 170, 130, -446, 61, 53, -367, 23, 47, -254, 109, 105, -255, -150, -28, -52, 34, -74, 142, -85, -40, -292, -24, 134, 14, 123, 54, 60, -103, -86, -2, 125, 3, 37, -3, 110]"
8,"[-109, 187, 246, 105, 41, 103, -84, -37, 95, -693, 83, -182, 148, 100, 86, 73, 128, 171, -50, 126, 75, 333, 51, 273, 74, 151, 15, 204, 168, -490, -31, -66, -62, 123, 140, 177, 407, 160, -1392, 177, 133, -503, 66, 77, -397, 35, 51, -282, 101, 102, -280, -171, -39, -52, 33, -89, 157, -92, -29, -298, -25, 137, -2, 128, 57, 65, -113, -90, 1, 130, 5, 36, 8, 116]"
9,"[-108, 194, 276, 106, 52, 111, -80, -61, 107, -746, 88, -208, 168, 119, 96, 79, 133, 176, -59, 139, 68, 355, 53, 302, 71, 168, 23, 219, 184, -529, -29, -76, -66, 136, 158, 192, 483, 180, -1512, 190, 146, -544, 82, 62, -429, 36, 48, -310, 98, 112, -309, -198, -38, -64, 30, -100, 163, -102, -27, -322, -22, 137, -11, 134, 86, 76, -123, -80, 11, 143, 10, 23, 9, 121]"
10,"[-121, 188, 288, 112, 67, 106, -102, -69, 96, -792, 101, -217, 181, 129, 89, 75, 135, 184, -57, 141, 76, 376, 54, 325, 77, 181, 22, 240, 191, -553, -16, -82, -68, 155, 160, 213, 566, 194, -1603, 205, 156, -586, 85, 66, -451, 47, 43, -336, 105, 126, -336, -228, -42, -76, 19, -103, 186, -119, -37, -335, -20, 142, -27, 150, 92, 84, -127, -77, 4, 165, 19, 24, 12, 128]"
11,"[-141, 207, 302, 129, 61, 106, -118, -82, 102, -834, 119, -243, 207, 130, 93, 87, 139, 200, -47, 159, 93, 388, 66, 344, 74, 184, 22, 250, 202, -588, -24, -89, -68, 157, 173, 210, 619, 191, -1704, 211, 180, -615, 87, 63, -475, 58, 62, -359, 120, 136, -347, -232, -39, -82, 17, -125, 204, -115, -56, -356, -21, 146, -35, 159, 79, 93, -134, -97, 18, 178, 28, 13, 19, 141]"
