,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-19, 21, 33, 12, 20, 21, -16, -3, 11, -98, -7, -26, 47, 35, 21, 12, 27, 17, -3, 9, 9, 25, 10, 38, 11, 18, 7, 16, 21, -93, -8, -15, -5, 27, 45, 29, -31, 29, -230, 16, 22, -59, 29, 17, -66, 0, 12, -42, 20, 11, -51, -15, -1, -7, 0, -12, 14, 1, -19, -19, 12, 32, 6, 25, 9, 11, -18, -10, 3, 24, 8, 5, -1, 26]","[528, 546, 169, 239, 260, 285, 589, 703, 297, 1843, 528, 829, 251, 290, 286, 274, 232, 129, 325, 246, 264, 402, 287, 161, 480, 309, 375, 211, 347, 1348, 473, 455, 240, 294, 353, 284, 777, 145, 3009, 122, 200, 1352, 390, 383, 764, 378, 318, 691, 142, 296, 947, 816, 148, 572, 383, 389, 217, 680, 500, 1058, 355, 249, 617, 215, 353, 414, 272, 652, 416, 264, 172, 354, 670, 92]","[3, 6, 3, 0, 3, 1, 5, 11, 5, 11, 4, 11, 4, 3, 3, 3, 1, 0, 5, 2, 2, 6, 2, 1, 3, 0, 3, 2, 4, 7, 4, 5, 0, 6, 0, 2, 2, 0, 23, 0, 1, 14, 2, 3, 6, 4, 2, 10, 2, 2, 6, 5, 0, 6, 4, 4, 4, 10, 3, 9, 5, 0, 4, 3, 2, 4, 0, 3, 2, 3, 1, 2, 5, 1]",34904
2,"[5, 5, 1, 2, 2, 2, 5, 7, 2, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 2, 3, 2, 7, 1, 30, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 2, 9, 8, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-32, 32, 77, 39, 35, 34, -31, -27, 20, -212, -9, -50, 69, 71, 28, 22, 50, 46, -2, 31, 13, 38, 21, 82, 22, 36, 13, 30, 42, -167, -12, -24, -11, 54, 59, 62, -17, 62, -431, 41, 62, -126, 51, 19, -117, 10, 16, -69, 20, 23, -73, -34, -2, -17, 23, -30, 35, -3, -4, -61, 5, 37, -17, 42, 22, 14, -38, -22, 1, 44, 26, 10, 5, 44]","[518, 558, 212, 264, 275, 295, 575, 681, 305, 1734, 525, 809, 273, 326, 295, 284, 255, 156, 325, 267, 262, 414, 297, 204, 489, 328, 381, 224, 369, 1276, 471, 448, 232, 319, 367, 316, 789, 176, 2817, 147, 238, 1281, 413, 387, 713, 389, 325, 660, 142, 307, 920, 798, 147, 557, 406, 370, 238, 676, 511, 1018, 349, 253, 593, 229, 364, 410, 251, 642, 416, 285, 191, 359, 675, 109]","[2, 4, 2, 4, 2, 5, 4, 5, 3, 13, 6, 4, 2, 2, 0, 2, 2, 3, 4, 3, 8, 5, 3, 2, 6, 2, 3, 3, 2, 11, 2, 2, 4, 4, 3, 3, 9, 3, 21, 1, 4, 17, 2, 1, 7, 2, 0, 10, 1, 3, 14, 7, 1, 10, 3, 4, 2, 6, 9, 8, 2, 3, 7, 5, 5, 11, 3, 4, 2, 1, 0, 3, 7, 1]",34880
3,"[5, 5, 2, 2, 2, 2, 5, 6, 3, 17, 5, 8, 2, 3, 2, 2, 2, 1, 3, 2, 2, 4, 2, 2, 4, 3, 3, 2, 3, 12, 4, 4, 2, 3, 3, 3, 7, 1, 28, 1, 2, 12, 4, 3, 7, 3, 3, 6, 1, 3, 9, 7, 1, 5, 4, 3, 2, 6, 5, 10, 3, 2, 5, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 1]","[-46, 35, 112, 58, 59, 48, -49, -32, 32, -299, 2, -81, 90, 82, 40, 30, 73, 72, -1, 50, 19, 60, 23, 104, 39, 54, 13, 39, 60, -246, -22, -32, -13, 71, 82, 91, -41, 90, -607, 64, 96, -189, 70, 34, -165, 28, 15, -96, 53, 38, -115, -74, 3, -21, 30, -39, 42, -10, -12, -79, 14, 54, -35, 67, 32, 35, -51, -13, -10, 66, 30, 24, -3, 58]","[503, 562, 247, 282, 300, 309, 558, 676, 320, 1647, 538, 779, 295, 339, 308, 290, 279, 180, 327, 287, 268, 436, 298, 227, 509, 347, 381, 233, 386, 1193, 461, 440, 232, 337, 387, 345, 768, 202, 2642, 170, 272, 1222, 432, 400, 663, 408, 326, 634, 176, 322, 882, 757, 153, 550, 414, 359, 243, 671, 506, 999, 355, 271, 574, 254, 374, 432, 239, 651, 405, 303, 194, 373, 670, 122]","[6, 4, 2, 3, 1, 2, 4, 6, 0, 17, 3, 7, 1, 1, 1, 4, 1, 3, 2, 1, 2, 4, 3, 1, 1, 2, 3, 2, 4, 16, 4, 4, 0, 2, 6, 3, 4, 3, 27, 1, 2, 8, 4, 5, 9, 2, 1, 5, 0, 3, 5, 8, 0, 8, 3, 5, 4, 4, 2, 11, 6, 1, 6, 2, 3, 3, 1, 6, 4, 6, 2, 3, 3, 2]",34894
4,"[5, 5, 2, 2, 3, 3, 5, 6, 3, 16, 5, 7, 2, 3, 3, 2, 2, 1, 3, 2, 2, 4, 2, 2, 5, 3, 3, 2, 3, 11, 4, 4, 2, 3, 3, 3, 7, 2, 26, 1, 2, 12, 4, 4, 6, 4, 3, 6, 1, 3, 8, 7, 1, 5, 4, 3, 2, 6, 5, 9, 3, 2, 5, 2, 3, 4, 2, 6, 4, 3, 1, 3, 6, 1]","[-62, 62, 143, 74, 70, 57, -65, -34, 41, -380, 6, -109, 119, 101, 49, 38, 100, 96, -4, 61, 26, 84, 22, 128, 38, 62, 20, 78, 59, -340, -17, -33, -28, 84, 93, 125, -49, 116, -778, 79, 122, -228, 102, 47, -203, 34, 17, -144, 77, 69, -154, -98, 2, -30, 29, -41, 52, -20, -7, -125, 16, 73, -28, 93, 50, 53, -56, -22, -20, 84, 37, 25, -12, 74]","[488, 591, 277, 295, 308, 320, 539, 674, 330, 1565, 543, 756, 324, 359, 312, 300, 305, 202, 326, 294, 275, 461, 296, 249, 509, 355, 384, 270, 387, 1102, 464, 439, 218, 350, 399, 379, 762, 229, 2474, 185, 298, 1184, 465, 415, 621, 414, 328, 586, 199, 351, 842, 736, 152, 541, 411, 356, 253, 655, 512, 955, 359, 291, 577, 280, 389, 449, 233, 642, 396, 320, 201, 372, 660, 139]","[4, 3, 3, 5, 6, 1, 8, 6, 2, 17, 4, 2, 2, 2, 8, 0, 3, 3, 1, 6, 2, 3, 3, 4, 4, 3, 7, 4, 1, 8, 6, 4, 1, 3, 2, 3, 5, 1, 23, 1, 2, 11, 3, 2, 10, 4, 3, 6, 2, 5, 9, 4, 1, 5, 6, 4, 2, 12, 4, 7, 1, 1, 9, 2, 6, 5, 3, 6, 3, 4, 1, 5, 7, 0]",34877
5,"[4, 5, 2, 2, 3, 3, 5, 6, 3, 15, 5, 7, 3, 3, 3, 3, 3, 2, 3, 2, 2, 4, 2, 2, 5, 3, 3, 2, 3, 11, 4, 4, 2, 3, 3, 3, 7, 2, 24, 1, 2, 11, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 4, 3, 2, 6, 5, 9, 3, 2, 5, 2, 3, 4, 2, 6, 3, 3, 2, 3, 6, 1]","[-67, 85, 165, 85, 81, 67, -73, -57, 56, -438, 2, -138, 139, 119, 61, 60, 111, 121, 1, 88, 29, 85, 27, 156, 42, 90, 36, 92, 80, -406, -15, -54, -35, 108, 115, 136, -64, 134, -919, 105, 147, -300, 125, 46, -240, 36, 16, -166, 85, 88, -183, -138, -1, -43, 32, -58, 58, -34, 5, -134, 14, 80, -30, 119, 69, 67, -65, -21, -8, 107, 34, 32, -38, 89]","[482, 612, 298, 306, 317, 329, 528, 647, 344, 1505, 535, 726, 342, 377, 320, 323, 317, 229, 330, 321, 276, 460, 302, 277, 512, 383, 400, 284, 406, 1034, 465, 417, 212, 375, 423, 388, 744, 249, 2337, 210, 323, 1112, 487, 415, 579, 417, 328, 566, 206, 368, 813, 690, 147, 531, 413, 333, 259, 638, 526, 945, 357, 298, 575, 304, 410, 461, 225, 643, 410, 345, 198, 378, 633, 154]","[5, 7, 3, 2, 5, 4, 8, 10, 4, 17, 9, 8, 5, 3, 7, 2, 2, 0, 4, 2, 4, 6, 1, 2, 6, 3, 3, 2, 5, 13, 5, 5, 1, 2, 1, 5, 10, 0, 20, 2, 2, 11, 5, 3, 11, 3, 2, 3, 2, 5, 8, 13, 3, 2, 5, 9, 2, 9, 3, 10, 3, 2, 5, 4, 1, 6, 1, 6, 1, 1, 2, 4, 7, 1]",34829
6,"[4, 6, 2, 3, 3, 3, 5, 6, 3, 15, 5, 7, 3, 3, 3, 3, 3, 2, 3, 3, 2, 4, 3, 2, 5, 3, 4, 2, 4, 10, 4, 4, 2, 3, 4, 3, 7, 2, 23, 2, 3, 11, 4, 4, 5, 4, 3, 5, 2, 3, 8, 6, 1, 5, 4, 3, 2, 6, 5, 9, 3, 2, 5, 3, 4, 4, 2, 6, 4, 3, 1, 3, 6, 1]","[-90, 108, 182, 92, 101, 78, -74, -73, 69, -511, -12, -150, 154, 136, 80, 72, 123, 138, -6, 98, 27, 95, 34, 170, 52, 99, 53, 110, 98, -454, -7, -49, -29, 117, 127, 169, -84, 159, -1039, 119, 176, -357, 131, 55, -288, 62, 20, -194, 88, 86, -200, -167, -1, -30, 26, -75, 77, -41, -11, -154, 26, 98, -31, 124, 83, 79, -74, -41, -9, 125, 39, 40, -47, 103]","[457, 636, 313, 313, 333, 337, 527, 631, 356, 1423, 521, 714, 358, 396, 339, 336, 329, 243, 322, 331, 273, 470, 310, 292, 522, 390, 418, 303, 422, 985, 472, 423, 218, 384, 435, 424, 724, 274, 2223, 226, 351, 1055, 489, 423, 528, 443, 334, 534, 208, 364, 797, 660, 145, 543, 405, 319, 280, 633, 507, 924, 366, 313, 575, 307, 424, 472, 215, 623, 412, 360, 203, 383, 624, 168]","[6, 5, 4, 3, 7, 6, 5, 6, 4, 24, 5, 7, 2, 1, 3, 2, 3, 5, 4, 3, 3, 4, 2, 1, 5, 5, 3, 1, 6, 11, 5, 3, 2, 3, 4, 0, 7, 2, 17, 0, 4, 11, 8, 5, 8, 4, 1, 9, 3, 5, 7, 7, 3, 6, 6, 0, 0, 4, 8, 10, 6, 5, 4, 5, 4, 5, 3, 6, 1, 6, 1, 6, 6, 1]",34790
7,"[4, 6, 3, 3, 3, 3, 5, 6, 3, 14, 5, 7, 3, 3, 3, 3, 3, 2, 3, 3, 2, 4, 3, 2, 5, 3, 4, 3, 4, 9, 4, 4, 2, 3, 4, 4, 7, 2, 22, 2, 3, 10, 4, 4, 5, 4, 3, 5, 2, 3, 7, 6, 1, 5, 4, 3, 2, 6, 5, 9, 3, 3, 5, 3, 4, 4, 2, 6, 4, 3, 2, 3, 6, 1]","[-110, 102, 214, 97, 115, 75, -65, -74, 78, -588, 0, -173, 162, 147, 82, 92, 154, 161, -9, 114, 42, 100, 36, 190, 47, 120, 64, 121, 119, -497, -3, -45, -34, 124, 131, 169, -108, 173, -1169, 137, 211, -401, 139, 57, -327, 62, 31, -208, 94, 99, -227, -170, 6, -29, 17, -87, 95, -54, -10, -174, 27, 108, -29, 136, 91, 110, -84, -50, -9, 146, 29, 33, -38, 115]","[434, 624, 344, 319, 341, 333, 535, 630, 361, 1343, 533, 684, 367, 405, 341, 354, 361, 265, 317, 347, 289, 474, 314, 308, 518, 411, 427, 314, 443, 940, 475, 425, 213, 389, 440, 419, 694, 289, 2094, 245, 386, 998, 495, 421, 491, 442, 340, 524, 215, 374, 762, 655, 152, 540, 396, 303, 300, 616, 509, 905, 364, 324, 573, 319, 433, 504, 204, 618, 413, 377, 192, 373, 631, 179]","[7, 12, 4, 2, 9, 4, 6, 6, 7, 17, 5, 14, 2, 5, 3, 5, 2, 3, 5, 3, 1, 5, 1, 6, 4, 3, 6, 3, 4, 11, 5, 6, 2, 5, 3, 9, 13, 1, 21, 1, 3, 23, 6, 8, 3, 5, 8, 1, 1, 6, 15, 8, 1, 9, 4, 7, 0, 10, 4, 8, 6, 2, 9, 3, 3, 3, 3, 2, 3, 7, 3, 6, 8, 2]",34687
8,"[4, 6, 3, 3, 3, 3, 5, 6, 3, 13, 5, 6, 3, 4, 3, 3, 3, 2, 3, 3, 2, 4, 3, 3, 5, 4, 4, 3, 4, 9, 4, 4, 2, 3, 4, 4, 6, 2, 20, 2, 3, 9, 4, 4, 4, 4, 3, 5, 2, 3, 7, 6, 1, 5, 3, 3, 3, 6, 5, 9, 3, 3, 5, 3, 4, 5, 2, 6, 4, 3, 1, 3, 6, 1]","[-125, 86, 252, 104, 120, 79, -65, -92, 96, -622, 14, -182, 171, 158, 83, 113, 160, 162, -13, 133, 44, 108, 39, 208, 47, 142, 74, 143, 148, -550, -7, -61, -34, 148, 133, 200, -117, 189, -1291, 143, 229, -441, 131, 63, -356, 81, 35, -225, 99, 108, -242, -186, -1, -38, 12, -93, 100, -59, -25, -198, 32, 134, -15, 151, 99, 120, -102, -73, -7, 165, 31, 37, -29, 125]","[417, 607, 382, 326, 345, 335, 537, 611, 378, 1307, 548, 673, 372, 417, 339, 373, 367, 265, 314, 362, 288, 482, 318, 327, 512, 434, 436, 334, 468, 890, 470, 405, 209, 410, 446, 450, 687, 301, 1964, 250, 403, 955, 490, 426, 461, 461, 346, 506, 218, 381, 741, 637, 145, 528, 391, 296, 303, 609, 495, 878, 368, 351, 580, 332, 441, 513, 185, 596, 416, 393, 193, 377, 638, 188]","[6, 7, 3, 3, 4, 5, 3, 7, 4, 15, 4, 8, 7, 3, 6, 5, 3, 3, 2, 7, 5, 4, 2, 2, 11, 3, 5, 5, 8, 6, 5, 8, 6, 6, 0, 4, 4, 6, 28, 3, 4, 12, 1, 5, 5, 4, 1, 6, 4, 5, 13, 8, 1, 8, 3, 4, 5, 8, 4, 12, 4, 2, 12, 5, 4, 6, 3, 5, 3, 6, 2, 3, 8, 2]",34597
9,"[4, 6, 3, 3, 3, 3, 5, 6, 3, 13, 5, 6, 3, 4, 3, 3, 3, 2, 3, 3, 2, 4, 3, 3, 5, 4, 4, 3, 4, 8, 4, 4, 2, 4, 4, 4, 6, 3, 19, 2, 4, 9, 4, 4, 4, 4, 3, 5, 2, 3, 7, 6, 1, 5, 3, 2, 3, 6, 4, 8, 3, 3, 5, 3, 4, 5, 1, 5, 4, 3, 1, 3, 6, 1]","[-127, 81, 275, 108, 127, 94, -86, -96, 102, -672, 10, -205, 181, 192, 103, 119, 171, 177, -11, 136, 55, 122, 42, 226, 53, 166, 78, 139, 165, -597, -10, -72, -50, 151, 148, 200, -136, 221, -1402, 158, 250, -483, 133, 76, -381, 88, 31, -236, 101, 124, -263, -209, -1, -54, 20, -97, 118, -75, -38, -221, 45, 151, -8, 168, 109, 143, -109, -90, -8, 194, 36, 52, -35, 133]","[413, 601, 403, 330, 349, 348, 514, 605, 382, 1249, 541, 651, 382, 449, 358, 378, 375, 281, 315, 362, 297, 495, 319, 340, 515, 455, 439, 330, 486, 843, 466, 396, 193, 414, 461, 449, 665, 334, 1842, 265, 420, 909, 490, 435, 432, 466, 342, 492, 216, 395, 715, 614, 143, 508, 397, 288, 317, 595, 485, 850, 378, 367, 587, 350, 448, 531, 175, 578, 417, 420, 198, 391, 629, 195]","[6, 7, 5, 3, 6, 5, 7, 8, 5, 21, 8, 5, 3, 6, 4, 4, 6, 1, 4, 6, 4, 5, 5, 8, 8, 7, 5, 3, 3, 8, 5, 2, 2, 3, 4, 5, 9, 2, 30, 2, 8, 13, 6, 8, 8, 6, 3, 8, 6, 5, 12, 6, 3, 9, 5, 6, 7, 4, 1, 13, 6, 4, 5, 2, 7, 10, 4, 6, 2, 5, 1, 4, 9, 2]",34463
