0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-19, 21, 33, 12, 20, 21, -16, -3, 11, -98, -7, -26, 47, 35, 21, 12, 27, 17, -3, 9, 9, 25, 10, 38, 11, 18, 7, 16, 21, -93, -8, -15, -5, 27, 45, 29, -31, 29, -230, 16, 22, -59, 29, 17, -66, 0, 12, -42, 20, 11, -51, -15, -1, -7, 0, -12, 14, 1, -19, -19, 12, 32, 6, 25, 9, 11, -18, -10, 3, 24, 8, 5, -1, 26]"
2,"[-32, 32, 77, 39, 35, 34, -31, -27, 20, -212, -9, -50, 69, 71, 28, 22, 50, 46, -2, 31, 13, 38, 21, 82, 22, 36, 13, 30, 42, -167, -12, -24, -11, 54, 59, 62, -17, 62, -431, 41, 62, -126, 51, 19, -117, 10, 16, -69, 20, 23, -73, -34, -2, -17, 23, -30, 35, -3, -4, -61, 5, 37, -17, 42, 22, 14, -38, -22, 1, 44, 26, 10, 5, 44]"
3,"[-46, 35, 112, 58, 59, 48, -49, -32, 32, -299, 2, -81, 90, 82, 40, 30, 73, 72, -1, 50, 19, 60, 23, 104, 39, 54, 13, 39, 60, -246, -22, -32, -13, 71, 82, 91, -41, 90, -607, 64, 96, -189, 70, 34, -165, 28, 15, -96, 53, 38, -115, -74, 3, -21, 30, -39, 42, -10, -12, -79, 14, 54, -35, 67, 32, 35, -51, -13, -10, 66, 30, 24, -3, 58]"
4,"[-62, 62, 143, 74, 70, 57, -65, -34, 41, -380, 6, -109, 119, 101, 49, 38, 100, 96, -4, 61, 26, 84, 22, 128, 38, 62, 20, 78, 59, -340, -17, -33, -28, 84, 93, 125, -49, 116, -778, 79, 122, -228, 102, 47, -203, 34, 17, -144, 77, 69, -154, -98, 2, -30, 29, -41, 52, -20, -7, -125, 16, 73, -28, 93, 50, 53, -56, -22, -20, 84, 37, 25, -12, 74]"
5,"[-67, 85, 165, 85, 81, 67, -73, -57, 56, -438, 2, -138, 139, 119, 61, 60, 111, 121, 1, 88, 29, 85, 27, 156, 42, 90, 36, 92, 80, -406, -15, -54, -35, 108, 115, 136, -64, 134, -919, 105, 147, -300, 125, 46, -240, 36, 16, -166, 85, 88, -183, -138, -1, -43, 32, -58, 58, -34, 5, -134, 14, 80, -30, 119, 69, 67, -65, -21, -8, 107, 34, 32, -38, 89]"
6,"[-90, 108, 182, 92, 101, 78, -74, -73, 69, -511, -12, -150, 154, 136, 80, 72, 123, 138, -6, 98, 27, 95, 34, 170, 52, 99, 53, 110, 98, -454, -7, -49, -29, 117, 127, 169, -84, 159, -1039, 119, 176, -357, 131, 55, -288, 62, 20, -194, 88, 86, -200, -167, -1, -30, 26, -75, 77, -41, -11, -154, 26, 98, -31, 124, 83, 79, -74, -41, -9, 125, 39, 40, -47, 103]"
7,"[-110, 102, 214, 97, 115, 75, -65, -74, 78, -588, 0, -173, 162, 147, 82, 92, 154, 161, -9, 114, 42, 100, 36, 190, 47, 120, 64, 121, 119, -497, -3, -45, -34, 124, 131, 169, -108, 173, -1169, 137, 211, -401, 139, 57, -327, 62, 31, -208, 94, 99, -227, -170, 6, -29, 17, -87, 95, -54, -10, -174, 27, 108, -29, 136, 91, 110, -84, -50, -9, 146, 29, 33, -38, 115]"
8,"[-125, 86, 252, 104, 120, 79, -65, -92, 96, -622, 14, -182, 171, 158, 83, 113, 160, 162, -13, 133, 44, 108, 39, 208, 47, 142, 74, 143, 148, -550, -7, -61, -34, 148, 133, 200, -117, 189, -1291, 143, 229, -441, 131, 63, -356, 81, 35, -225, 99, 108, -242, -186, -1, -38, 12, -93, 100, -59, -25, -198, 32, 134, -15, 151, 99, 120, -102, -73, -7, 165, 31, 37, -29, 125]"
9,"[-127, 81, 275, 108, 127, 94, -86, -96, 102, -672, 10, -205, 181, 192, 103, 119, 171, 177, -11, 136, 55, 122, 42, 226, 53, 166, 78, 139, 165, -597, -10, -72, -50, 151, 148, 200, -136, 221, -1402, 158, 250, -483, 133, 76, -381, 88, 31, -236, 101, 124, -263, -209, -1, -54, 20, -97, 118, -75, -38, -221, 45, 151, -8, 168, 109, 143, -109, -90, -8, 194, 36, 52, -35, 133]"
10,"[-126, 93, 311, 121, 141, 99, -98, -104, 101, -736, 5, -230, 195, 210, 105, 120, 188, 197, -7, 149, 55, 128, 48, 249, 68, 183, 92, 157, 162, -628, -13, -78, -51, 163, 153, 219, -152, 240, -1482, 166, 272, -530, 142, 73, -406, 83, 38, -260, 101, 124, -271, -217, 5, -57, 12, -101, 135, -72, -43, -245, 48, 136, -18, 175, 124, 155, -117, -107, -4, 200, 44, 63, -26, 131]"
11,"[-132, 101, 326, 130, 151, 108, -96, -99, 111, -771, 32, -256, 201, 212, 107, 132, 196, 216, -3, 167, 56, 120, 46, 279, 64, 190, 93, 167, 195, -678, -18, -79, -50, 168, 165, 223, -173, 256, -1570, 161, 283, -550, 163, 85, -421, 81, 46, -286, 112, 127, -277, -226, 12, -58, 12, -114, 146, -83, -53, -262, 40, 136, -26, 189, 119, 148, -113, -95, -24, 217, 49, 65, -27, 137]"
12,"[-131, 106, 351, 139, 173, 108, -104, -99, 117, -818, 43, -283, 209, 225, 130, 145, 214, 226, -2, 169, 64, 107, 52, 308, 66, 189, 106, 157, 206, -702, -37, -83, -42, 178, 174, 217, -191, 266, -1672, 171, 306, -578, 170, 98, -446, 99, 49, -286, 122, 128, -280, -254, 8, -62, 25, -113, 163, -102, -60, -285, 34, 156, -27, 197, 120, 176, -114, -110, -36, 230, 43, 65, -36, 148]"
