0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-22, -2, 50, 25, 15, 41, -24, -23, 26, -112, 18, -61, 22, 30, 26, 12, 34, 27, 12, 15, 6, 19, 0, 43, 12, 28, 16, 13, 22, -81, -9, 10, -2, 12, 30, 12, -28, 46, -250, 23, 29, -91, 18, 14, -59, 3, 9, -41, 7, 28, -29, -43, 4, -17, 1, -8, 12, -19, -5, -4, 21, 28, 36, 40, 14, 18, -10, -14, -6, 10, 8, 6, -14, 23]"
2,"[-25, 2, 84, 42, 20, 50, -33, -50, 48, -213, 22, -76, 38, 58, 44, 37, 67, 50, 1, 43, 20, 29, 6, 83, 34, 58, 10, 47, 31, -179, -19, 7, -6, 51, 47, 31, -30, 72, -441, 48, 54, -185, 38, 27, -115, 3, 11, -79, 11, 61, -41, -76, 2, -21, -15, -18, 22, -38, -20, -30, 39, 46, 57, 69, 31, 47, -27, -17, -17, 30, 20, 5, -30, 48]"
3,"[-28, 2, 122, 47, 50, 74, -39, -61, 84, -283, 31, -105, 62, 71, 47, 50, 92, 74, -13, 62, 25, 32, 18, 107, 44, 66, 33, 71, 49, -250, -25, 0, -8, 63, 72, 62, -74, 106, -613, 74, 82, -244, 62, 41, -177, 1, 15, -127, 29, 97, -84, -92, -6, -23, -5, -42, 35, -49, -38, -45, 47, 50, 75, 83, 51, 59, -34, -30, -36, 49, 19, 8, -33, 71]"
4,"[-44, 19, 143, 61, 53, 97, -44, -64, 99, -359, 14, -138, 73, 93, 62, 63, 113, 94, 0, 80, 23, 58, 32, 138, 52, 84, 50, 91, 74, -289, -30, -22, -11, 74, 82, 70, -90, 123, -777, 87, 115, -317, 73, 58, -209, 23, 20, -158, 29, 132, -123, -107, -14, -29, -3, -54, 47, -65, -50, -56, 64, 76, 79, 99, 58, 80, -40, -51, -52, 66, 26, 21, -42, 70]"
5,"[-49, 19, 171, 92, 65, 114, -58, -71, 147, -450, 18, -161, 94, 99, 79, 79, 137, 109, -7, 84, 35, 72, 46, 165, 73, 85, 46, 102, 90, -340, -20, -42, -3, 87, 97, 69, -101, 143, -924, 93, 143, -385, 87, 59, -248, 36, 34, -185, 45, 149, -149, -113, -11, -50, -7, -55, 56, -83, -61, -58, 74, 88, 82, 117, 58, 106, -50, -61, -54, 92, 27, 6, -53, 80]"
6,"[-42, 18, 196, 105, 71, 126, -64, -81, 171, -515, 13, -181, 118, 120, 92, 93, 144, 132, -24, 97, 40, 100, 46, 192, 74, 97, 47, 117, 109, -386, -16, -52, -10, 90, 114, 86, -129, 165, -1060, 99, 163, -433, 94, 72, -287, 48, 45, -206, 51, 160, -168, -113, -5, -49, -6, -72, 68, -109, -57, -90, 81, 96, 81, 137, 64, 124, -58, -66, -67, 107, 25, 24, -53, 87]"
7,"[-50, 28, 235, 120, 79, 138, -80, -109, 185, -574, 33, -199, 130, 119, 111, 97, 161, 146, -26, 104, 41, 93, 68, 206, 74, 101, 59, 139, 130, -428, -25, -50, -9, 129, 131, 91, -136, 181, -1186, 123, 194, -492, 114, 81, -325, 40, 58, -232, 52, 163, -176, -138, -1, -63, -10, -79, 76, -137, -49, -98, 90, 71, 91, 147, 76, 122, -58, -74, -61, 131, 36, 38, -67, 100]"
8,"[-53, 40, 246, 125, 85, 144, -100, -114, 194, -590, 19, -220, 146, 128, 110, 125, 177, 163, -36, 116, 49, 114, 70, 237, 68, 108, 68, 155, 136, -462, -11, -41, -15, 137, 134, 99, -141, 209, -1304, 141, 206, -545, 126, 82, -349, 66, 58, -239, 66, 180, -215, -172, -1, -74, -12, -77, 81, -156, -47, -125, 111, 76, 85, 164, 83, 133, -68, -85, -55, 148, 35, 43, -78, 99]"
9,"[-58, 48, 260, 144, 95, 155, -91, -136, 202, -653, 16, -223, 171, 136, 111, 130, 178, 170, -37, 122, 44, 115, 80, 250, 69, 120, 59, 162, 153, -496, -7, -40, -21, 148, 144, 106, -148, 232, -1401, 145, 223, -590, 136, 96, -383, 91, 65, -247, 77, 183, -223, -162, 4, -71, -21, -78, 92, -170, -48, -137, 87, 86, 98, 180, 85, 129, -71, -84, -66, 170, 36, 37, -80, 102]"
