,Births,County Influx,County Population,Deaths,Total Population
0,[],"[109, -54, 351, 385, 318, 224, -492, -495, -103, -996, 251, -638, 364, 526, 271, 193, 416, 595, 4, 185, -216, 41, 299, 374, 217, 273, 368, 670, 520, -952, 230, -273, 693, 617, 701, -194, -219, 231, -2216, 19, 715, -1284, 257, 213, 19, 284, -73, -140, -45, 243, 111, -256, 463, 213, -281, 258, 288, -521, -220, -662, -48, 18, -292, -59, -165, -102, -88, -615, -351, 23, -22, -240, -185, -53]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[18, 17, 4, 7, 8, 8, 20, 23, 9, 64, 17, 28, 6, 8, 8, 8, 6, 3, 11, 7, 8, 12, 9, 4, 15, 9, 12, 6, 10, 47, 16, 15, 8, 9, 10, 8, 26, 3, 107, 3, 5, 47, 12, 12, 27, 12, 10, 24, 4, 9, 33, 27, 4, 19, 12, 13, 6, 22, 17, 35, 11, 7, 20, 6, 11, 13, 9, 21, 13, 8, 5, 11, 22, 2]","[109, -54, 351, 385, 318, 224, -492, -495, -103, -996, 251, -638, 364, 526, 271, 193, 416, 595, 4, 185, -216, 41, 299, 374, 217, 273, 368, 670, 520, -952, 230, -273, 693, 617, 701, -194, -219, 231, -2216, 19, 715, -1284, 257, 213, 19, 284, -73, -140, -45, 243, 111, -256, 463, 213, -281, 258, 288, -521, -220, -662, -48, 18, -292, -59, -165, -102, -88, -615, -351, 23, -22, -240, -185, -53]","[570, 502, 163, 220, 245, 281, 611, 688, 296, 1860, 546, 859, 201, 306, 284, 244, 197, 147, 320, 230, 240, 382, 272, 181, 469, 277, 379, 203, 344, 1447, 473, 475, 235, 272, 312, 260, 787, 131, 3172, 108, 180, 1374, 401, 376, 847, 398, 324, 733, 127, 299, 1038, 851, 189, 575, 365, 422, 214, 652, 504, 1109, 340, 208, 584, 189, 358, 408, 280, 632, 396, 240, 168, 343, 670, 62]","[17, 19, 2, 7, 9, 9, 15, 20, 8, 51, 23, 26, 9, 5, 5, 4, 2, 4, 9, 6, 4, 16, 7, 1, 7, 4, 7, 12, 8, 27, 19, 9, 6, 9, 16, 0, 15, 5, 79, 0, 11, 41, 14, 13, 29, 9, 5, 17, 3, 7, 18, 33, 5, 17, 12, 19, 4, 17, 10, 32, 11, 6, 10, 7, 8, 15, 4, 12, 8, 7, 7, 16, 27, 3]",35045
2,"[19, 16, 5, 7, 8, 9, 20, 22, 9, 62, 18, 28, 6, 10, 9, 8, 6, 4, 10, 7, 8, 12, 9, 6, 15, 9, 12, 6, 11, 48, 15, 15, 7, 9, 10, 8, 26, 4, 105, 3, 6, 45, 13, 12, 28, 13, 10, 24, 4, 9, 34, 28, 6, 19, 12, 14, 7, 21, 16, 36, 11, 6, 19, 6, 11, 13, 9, 21, 13, 8, 5, 11, 22, 2]","[109, -54, 351, 385, 318, 224, -492, -495, -103, -996, 251, -638, 364, 526, 271, 193, 416, 595, 4, 185, -216, 41, 299, 374, 217, 273, 368, 670, 520, -952, 230, -273, 693, 617, 701, -194, -219, 231, -2216, 19, 715, -1284, 257, 213, 19, 284, -73, -140, -45, 243, 111, -256, 463, 213, -281, 258, 288, -521, -220, -662, -48, 18, -292, -59, -165, -102, -88, -615, -351, 23, -22, -240, -185, -53]","[596, 471, 197, 262, 228, 290, 561, 638, 290, 1779, 578, 801, 199, 409, 312, 262, 200, 182, 322, 263, 225, 387, 260, 212, 576, 262, 375, 237, 391, 1401, 470, 509, 236, 264, 322, 237, 761, 169, 3092, 105, 230, 1242, 446, 401, 860, 439, 331, 744, 125, 310, 1039, 879, 274, 605, 353, 461, 230, 606, 505, 1104, 338, 212, 559, 198, 391, 417, 272, 606, 378, 224, 150, 335, 666, 59]","[8, 16, 5, 7, 6, 4, 11, 18, 4, 47, 11, 22, 1, 11, 3, 7, 4, 4, 13, 8, 4, 8, 6, 7, 15, 7, 9, 2, 7, 43, 10, 7, 2, 5, 12, 7, 18, 4, 67, 0, 10, 32, 7, 11, 19, 10, 2, 23, 2, 3, 28, 24, 11, 10, 11, 20, 11, 29, 11, 27, 11, 5, 16, 4, 7, 13, 7, 10, 3, 5, 4, 6, 17, 1]",35320
3,"[19, 15, 6, 8, 7, 9, 18, 21, 9, 59, 19, 26, 6, 13, 10, 8, 6, 6, 10, 8, 7, 12, 8, 7, 19, 8, 12, 7, 13, 46, 15, 16, 7, 8, 10, 7, 25, 5, 103, 3, 7, 41, 14, 13, 28, 14, 11, 24, 4, 10, 34, 29, 9, 20, 11, 15, 7, 20, 16, 36, 11, 7, 18, 6, 13, 13, 9, 20, 12, 7, 5, 11, 22, 1]","[109, -54, 351, 385, 318, 224, -492, -495, -103, -996, 251, -638, 364, 526, 271, 193, 416, 595, 4, 185, -216, 41, 299, 374, 217, 273, 368, 670, 520, -952, 230, -273, 693, 617, 701, -194, -219, 231, -2216, 19, 715, -1284, 257, 213, 19, 284, -73, -140, -45, 243, 111, -256, 463, 213, -281, 258, 288, -521, -220, -662, -48, 18, -292, -59, -165, -102, -88, -615, -351, 23, -22, -240, -185, -53]","[631, 446, 254, 334, 230, 288, 491, 556, 293, 1684, 616, 730, 221, 566, 319, 299, 225, 210, 336, 278, 225, 376, 280, 278, 599, 312, 376, 275, 453, 1325, 486, 545, 256, 271, 397, 230, 696, 185, 2732, 108, 294, 1088, 513, 407, 952, 539, 318, 751, 115, 329, 1009, 946, 401, 631, 338, 599, 281, 560, 491, 1144, 321, 212, 531, 251, 399, 413, 287, 549, 301, 217, 134, 328, 665, 53]","[17, 10, 7, 2, 4, 5, 8, 15, 1, 34, 15, 20, 2, 14, 6, 2, 5, 1, 4, 3, 5, 9, 6, 5, 6, 7, 5, 8, 10, 24, 7, 17, 3, 5, 8, 7, 13, 3, 56, 1, 2, 26, 6, 6, 16, 5, 4, 22, 3, 4, 18, 23, 1, 10, 8, 8, 5, 15, 6, 15, 5, 5, 20, 6, 6, 5, 5, 9, 7, 4, 3, 6, 13, 3]",35779
4,"[21, 14, 8, 11, 7, 9, 16, 18, 9, 56, 20, 24, 7, 18, 10, 9, 7, 7, 11, 9, 7, 12, 9, 9, 19, 10, 12, 9, 15, 44, 16, 18, 8, 9, 13, 7, 23, 6, 91, 3, 9, 36, 17, 13, 31, 17, 10, 25, 3, 10, 33, 31, 13, 21, 11, 19, 9, 18, 16, 38, 10, 7, 17, 8, 13, 13, 9, 18, 10, 7, 4, 10, 22, 1]","[109, -54, 351, 385, 318, 224, -492, -495, -103, -996, 251, -638, 364, 526, 271, 193, 416, 595, 4, 185, -216, 41, 299, 374, 217, 273, 368, 670, 520, -952, 230, -273, 693, 617, 701, -194, -219, 231, -2216, 19, 715, -1284, 257, 213, 19, 284, -73, -140, -45, 243, 111, -256, 463, 213, -281, 258, 288, -521, -220, -662, -48, 18, -292, -59, -165, -102, -88, -615, -351, 23, -22, -240, -185, -53]","[627, 430, 289, 420, 246, 268, 432, 468, 343, 1576, 680, 682, 223, 778, 370, 309, 234, 241, 376, 272, 205, 385, 260, 317, 569, 370, 398, 315, 506, 1261, 503, 523, 336, 259, 473, 212, 638, 214, 2434, 111, 365, 964, 589, 437, 1060, 486, 367, 761, 104, 343, 1006, 1009, 536, 641, 294, 705, 351, 535, 466, 1145, 307, 204, 553, 258, 447, 401, 278, 495, 256, 212, 141, 340, 666, 42]","[10, 8, 3, 6, 3, 6, 6, 8, 2, 19, 13, 9, 5, 10, 6, 6, 4, 5, 4, 5, 6, 10, 6, 3, 11, 4, 3, 9, 10, 28, 10, 11, 4, 6, 7, 2, 12, 4, 37, 3, 2, 21, 12, 11, 13, 12, 6, 10, 1, 3, 25, 16, 7, 12, 5, 15, 6, 12, 11, 19, 3, 7, 8, 5, 3, 6, 4, 7, 5, 8, 0, 7, 14, 2]",36317
5,"[20, 14, 9, 14, 8, 8, 14, 15, 11, 52, 22, 22, 7, 25, 12, 10, 7, 8, 12, 9, 6, 12, 8, 10, 18, 12, 13, 10, 16, 42, 16, 17, 11, 8, 15, 7, 21, 7, 81, 3, 12, 32, 19, 14, 35, 16, 12, 25, 3, 11, 33, 33, 17, 21, 9, 23, 11, 17, 15, 38, 10, 6, 18, 8, 14, 13, 9, 16, 8, 7, 4, 11, 22, 1]","[109, -54, 351, 385, 318, 224, -492, -495, -103, -996, 251, -638, 364, 526, 271, 193, 416, 595, 4, 185, -216, 41, 299, 374, 217, 273, 368, 670, 520, -952, 230, -273, 693, 617, 701, -194, -219, 231, -2216, 19, 715, -1284, 257, 213, 19, 284, -73, -140, -45, 243, 111, -256, 463, 213, -281, 258, 288, -521, -220, -662, -48, 18, -292, -59, -165, -102, -88, -615, -351, 23, -22, -240, -185, -53]","[627, 468, 331, 462, 262, 334, 364, 406, 277, 1421, 673, 617, 234, 986, 420, 402, 263, 276, 428, 307, 161, 423, 271, 329, 625, 311, 733, 365, 523, 1177, 522, 483, 352, 300, 539, 177, 580, 251, 2048, 127, 528, 868, 782, 432, 1100, 539, 438, 723, 78, 414, 1048, 1018, 617, 673, 250, 755, 364, 457, 397, 1024, 284, 210, 552, 313, 408, 393, 287, 429, 243, 210, 151, 322, 659, 44]","[10, 8, 7, 6, 5, 5, 7, 12, 3, 25, 13, 9, 1, 17, 4, 9, 7, 5, 10, 4, 8, 10, 2, 4, 11, 6, 13, 8, 11, 15, 5, 11, 2, 6, 4, 1, 8, 6, 40, 5, 4, 21, 11, 7, 11, 7, 7, 6, 4, 2, 21, 18, 10, 12, 4, 15, 3, 5, 14, 18, 7, 5, 8, 4, 8, 9, 2, 6, 7, 4, 4, 6, 12, 2]",36865
6,"[20, 15, 11, 15, 8, 11, 12, 13, 9, 47, 22, 20, 7, 32, 14, 13, 8, 9, 14, 10, 5, 14, 9, 10, 20, 10, 24, 12, 17, 39, 17, 16, 11, 10, 17, 5, 19, 8, 68, 4, 17, 28, 26, 14, 36, 17, 14, 24, 2, 13, 34, 33, 20, 22, 8, 25, 12, 15, 13, 34, 9, 7, 18, 10, 13, 13, 9, 14, 8, 7, 5, 10, 21, 1]","[109, -54, 351, 385, 318, 224, -492, -495, -103, -996, 251, -638, 364, 526, 271, 193, 416, 595, 4, 185, -216, 41, 299, 374, 217, 273, 368, 670, 520, -952, 230, -273, 693, 617, 701, -194, -219, 231, -2216, 19, 715, -1284, 257, 213, 19, 284, -73, -140, -45, 243, 111, -256, 463, 213, -281, 258, 288, -521, -220, -662, -48, 18, -292, -59, -165, -102, -88, -615, -351, 23, -22, -240, -185, -53]","[622, 465, 376, 519, 300, 331, 329, 381, 256, 1435, 617, 562, 259, 1183, 463, 419, 344, 308, 487, 346, 146, 474, 296, 296, 644, 276, 1048, 400, 640, 1100, 517, 550, 389, 374, 624, 167, 581, 274, 1831, 114, 622, 730, 859, 433, 925, 603, 502, 828, 74, 358, 981, 999, 696, 671, 219, 769, 360, 386, 398, 927, 273, 268, 510, 340, 396, 338, 306, 397, 246, 212, 117, 304, 645, 51]","[10, 10, 6, 8, 7, 10, 0, 8, 5, 21, 16, 16, 3, 15, 4, 3, 6, 4, 5, 6, 0, 5, 3, 2, 6, 2, 19, 5, 5, 23, 16, 8, 4, 4, 6, 1, 4, 3, 28, 2, 8, 15, 5, 9, 16, 8, 7, 14, 1, 4, 16, 23, 10, 10, 4, 12, 6, 2, 8, 16, 5, 4, 10, 3, 4, 3, 1, 11, 1, 1, 3, 3, 24, 0]",37486
7,"[20, 15, 12, 17, 10, 11, 10, 12, 8, 47, 20, 18, 8, 39, 15, 13, 11, 10, 16, 11, 4, 15, 9, 9, 21, 9, 34, 13, 21, 36, 17, 18, 12, 12, 20, 5, 19, 9, 61, 3, 20, 24, 28, 14, 30, 20, 16, 27, 2, 11, 32, 33, 23, 22, 7, 25, 12, 12, 13, 30, 9, 8, 17, 11, 13, 11, 10, 13, 8, 7, 3, 10, 21, 1]","[109, -54, 351, 385, 318, 224, -492, -495, -103, -996, 251, -638, 364, 526, 271, 193, 416, 595, 4, 185, -216, 41, 299, 374, 217, 273, 368, 670, 520, -952, 230, -273, 693, 617, 701, -194, -219, 231, -2216, 19, 715, -1284, 257, 213, 19, 284, -73, -140, -45, 243, 111, -256, 463, 213, -281, 258, 288, -521, -220, -662, -48, 18, -292, -59, -165, -102, -88, -615, -351, 23, -22, -240, -185, -53]","[592, 467, 464, 577, 331, 344, 239, 320, 206, 1262, 674, 551, 233, 1192, 500, 429, 380, 322, 542, 391, 135, 418, 292, 312, 734, 240, 1298, 392, 710, 1102, 517, 599, 493, 523, 712, 162, 524, 312, 1543, 115, 749, 692, 928, 448, 847, 668, 665, 908, 86, 346, 915, 1110, 722, 693, 212, 795, 386, 340, 368, 856, 307, 268, 466, 409, 356, 314, 293, 322, 221, 181, 138, 311, 591, 41]","[12, 7, 7, 9, 6, 4, 7, 5, 3, 22, 9, 6, 2, 17, 5, 6, 7, 4, 12, 4, 0, 6, 6, 5, 16, 10, 21, 4, 13, 22, 12, 4, 9, 3, 6, 3, 8, 1, 25, 4, 17, 9, 17, 6, 16, 9, 8, 19, 2, 3, 18, 15, 8, 8, 2, 11, 6, 6, 7, 8, 2, 7, 9, 8, 5, 7, 6, 4, 4, 2, 1, 5, 11, 0]",38101
8,"[19, 15, 15, 19, 11, 11, 7, 10, 6, 42, 22, 18, 7, 39, 16, 14, 12, 10, 18, 13, 4, 13, 9, 10, 24, 8, 43, 13, 23, 36, 17, 19, 16, 17, 23, 5, 17, 10, 51, 3, 24, 23, 30, 14, 28, 22, 22, 30, 2, 11, 30, 37, 24, 23, 7, 26, 12, 11, 12, 28, 10, 8, 15, 13, 11, 10, 9, 10, 7, 6, 4, 10, 19, 1]","[109, -54, 351, 385, 318, 224, -492, -495, -103, -996, 251, -638, 364, 526, 271, 193, 416, 595, 4, 185, -216, 41, 299, 374, 217, 273, 368, 670, 520, -952, 230, -273, 693, 617, 701, -194, -219, 231, -2216, 19, 715, -1284, 257, 213, 19, 284, -73, -140, -45, 243, 111, -256, 463, 213, -281, 258, 288, -521, -220, -662, -48, 18, -292, -59, -165, -102, -88, -615, -351, 23, -22, -240, -185, -53]","[553, 537, 535, 583, 373, 312, 227, 347, 212, 1069, 671, 521, 445, 1204, 487, 404, 446, 370, 631, 384, 133, 504, 320, 259, 607, 253, 1398, 492, 852, 1076, 485, 602, 508, 599, 686, 148, 530, 360, 1401, 218, 836, 613, 943, 390, 790, 723, 754, 912, 91, 332, 990, 1087, 689, 710, 176, 892, 413, 342, 354, 784, 269, 235, 601, 445, 318, 291, 353, 282, 195, 162, 143, 264, 592, 36]","[15, 7, 12, 12, 9, 5, 3, 3, 3, 24, 12, 5, 5, 20, 8, 7, 7, 10, 5, 11, 1, 5, 4, 4, 10, 2, 19, 7, 13, 7, 9, 10, 8, 10, 9, 2, 10, 6, 23, 5, 9, 8, 17, 2, 6, 13, 10, 18, 1, 1, 16, 18, 6, 9, 1, 18, 4, 3, 6, 9, 7, 2, 11, 8, 3, 5, 3, 4, 0, 5, 0, 3, 13, 0]",38749
9,"[18, 17, 17, 19, 12, 10, 7, 11, 7, 35, 22, 17, 14, 40, 16, 13, 14, 12, 21, 12, 4, 16, 10, 8, 20, 8, 46, 16, 28, 35, 16, 20, 16, 19, 22, 4, 17, 12, 46, 7, 27, 20, 31, 13, 26, 24, 25, 30, 3, 11, 33, 36, 22, 23, 5, 29, 13, 11, 11, 26, 8, 7, 20, 14, 10, 9, 11, 9, 6, 5, 4, 8, 19, 1]","[109, -54, 351, 385, 318, 224, -492, -495, -103, -996, 251, -638, 364, 526, 271, 193, 416, 595, 4, 185, -216, 41, 299, 374, 217, 273, 368, 670, 520, -952, 230, -273, 693, 617, 701, -194, -219, 231, -2216, 19, 715, -1284, 257, 213, 19, 284, -73, -140, -45, 243, 111, -256, 463, 213, -281, 258, 288, -521, -220, -662, -48, 18, -292, -59, -165, -102, -88, -615, -351, 23, -22, -240, -185, -53]","[593, 571, 631, 558, 377, 366, 208, 296, 232, 1082, 723, 475, 597, 1193, 447, 487, 454, 474, 773, 394, 117, 469, 353, 238, 661, 238, 1274, 700, 1005, 1033, 507, 533, 461, 675, 673, 118, 510, 385, 1322, 234, 783, 590, 940, 424, 726, 774, 777, 971, 95, 383, 879, 1056, 714, 760, 170, 943, 453, 298, 281, 796, 277, 241, 612, 417, 327, 323, 330, 241, 153, 153, 142, 256, 647, 32]","[13, 7, 16, 7, 7, 7, 2, 7, 5, 19, 9, 5, 9, 14, 6, 7, 8, 8, 10, 3, 0, 10, 9, 2, 4, 2, 22, 11, 10, 21, 6, 10, 9, 6, 9, 1, 5, 3, 22, 5, 10, 7, 15, 9, 16, 15, 8, 13, 4, 10, 13, 13, 12, 16, 3, 16, 7, 2, 2, 10, 4, 5, 7, 6, 8, 10, 5, 1, 3, 3, 1, 2, 10, 0]",39401
