u10,10to15,15to20,20to25,25to35,35to50,50to75,75to100,100to150,150a
0.199519313,0.189124121,0.269025277,0.315373092,0.360240534,0.368268065,0.463884485,0.58262333,0.693062004,0.843892221
0.25388271,0.344638101,0.452330126,0.512059985,0.548947786,0.627583692,0.713734626,0.813549471,0.898204433,0.921742379
0.256341236,0.353642187,0.501284304,0.550692106,0.603713496,0.683241937,0.785959516,0.880313708,0.931661359,0.957165313
0.283128738,0.312403377,0.3561147,0.332965416,0.412837682,0.5040572,0.637165296,0.779181563,0.863987544,0.930608258
0.181723716,0.270728405,0.372686704,0.355198833,0.385948137,0.480149189,0.569840538,0.668676266,0.759033522,0.849858174
0.279890934,0.362965517,0.43334398,0.503806141,0.514611058,0.59860121,0.710192308,0.779177889,0.867995499,0.921463587
0.286888462,0.36260791,0.391993958,0.432691754,0.465276077,0.538927935,0.660418506,0.748440926,0.83438914,0.895329864
0.281164302,0.324967658,0.343188955,0.385102549,0.429997998,0.47783242,0.567396855,0.658642732,0.753730317,0.840459949
0.398924205,0.343431221,0.354103997,0.415400552,0.422569661,0.485725296,0.595247616,0.712921897,0.853730191,0.918572798
0.223715145,0.308728374,0.387274056,0.419789714,0.464893153,0.519961115,0.621813923,0.715584951,0.789960271,0.874259023
0.209750764,0.350936589,0.42587852,0.474754813,0.519090498,0.60371786,0.716846725,0.819570566,0.88589993,0.920157556
0.249815371,0.295493895,0.334074733,0.363536866,0.391897225,0.459338576,0.557553635,0.665594821,0.755640689,0.854325692
0.15816366,0.185840708,0.248027057,0.316270567,0.341494912,0.462359465,0.620303281,0.778724126,0.872699013,0.922347281
0.183858037,0.2769004,0.311834934,0.367473083,0.424041776,0.49413189,0.633618186,0.726160176,0.821946088,0.903750634
0.160472415,0.257763358,0.263543593,0.322807751,0.347711522,0.457709797,0.539198859,0.654964623,0.740350528,0.864493175
0.135100548,0.178396072,0.18968059,0.232957381,0.260486486,0.29880609,0.394192178,0.446056085,0.550126478,0.741169481
0.22003431,0.307482993,0.381184029,0.386671516,0.43197091,0.565293235,0.692768563,0.805272713,0.896767427,0.952026238
0.171918443,0.257913467,0.284780422,0.31892651,0.362166598,0.467368962,0.592133788,0.755456872,0.848986723,0.908396199
0.333380859,0.409928689,0.409464684,0.479338843,0.501283596,0.561442071,0.675562541,0.772825562,0.858865248,0.898644083
0.354066287,0.361657303,0.361997747,0.401753653,0.467308446,0.537316121,0.660183614,0.776821171,0.86560702,0.91291663
0.348267808,0.428122216,0.49986402,0.478326467,0.550224795,0.618311174,0.722231083,0.792873601,0.8513692,0.869883281
0.216132017,0.34077754,0.432999249,0.521445331,0.544756511,0.632660361,0.733493192,0.834623859,0.901057353,0.951791179
0.112926496,0.158535778,0.195345654,0.25471631,0.255820884,0.31174778,0.442177821,0.551743126,0.732435034,0.911433678
0.156885924,0.210358566,0.305665722,0.302338848,0.383782061,0.491167525,0.664837566,0.761846109,0.865263585,0.923678161
0.175157595,0.253364269,0.300928026,0.33855509,0.396379749,0.489086645,0.60180326,0.730495039,0.849688528,0.917150382
0.200814111,0.265580247,0.338898504,0.336591741,0.399199689,0.52017127,0.61563453,0.738273155,0.819789101,0.886546777
0.210741959,0.263657335,0.311208151,0.306545498,0.351010252,0.451769555,0.530343499,0.657625971,0.74551629,0.894162316
0.259228188,0.318578609,0.405011608,0.390223764,0.487652061,0.58306538,0.705825696,0.817448575,0.904105642,0.925402379
0.172137519,0.253148005,0.350961538,0.375906483,0.472445222,0.569122583,0.699572293,0.805347066,0.894269318,0.9278117
0.26091024,0.31771693,0.342509251,0.368615431,0.410299873,0.486469029,0.589538509,0.69630418,0.791947352,0.87664998
0.214331157,0.254021276,0.341297774,0.400821653,0.439248727,0.533508049,0.642926675,0.76612267,0.851886082,0.933084523
0.321042993,0.371829235,0.41620771,0.454402917,0.477624038,0.543621929,0.637574258,0.742206369,0.836119145,0.88897525
0.083052578,0.12903974,0.164486123,0.190938776,0.238598131,0.239923507,0.333849149,0.392803755,0.483336241,0.551791952
0.2438659,0.320534432,0.387051462,0.439362529,0.502701175,0.59729185,0.684581677,0.805683192,0.887928157,0.928934901
0.235715386,0.31059499,0.415455968,0.452422333,0.502465596,0.608347614,0.724803604,0.831620236,0.895653969,0.925098438
0.280823872,0.322921323,0.37851725,0.42278958,0.464728575,0.553859153,0.632632063,0.741485392,0.802560363,0.895708178
