10less,10to15,15to20,20to25,25to35,35to50,50to75,75to100,100to150,150plus
0.047447785,0.030470427,0.032036892,0.033661917,0.068143666,0.10829104,0.167889908,0.128430607,0.186985165,0.196642592
0.069735537,0.040015465,0.03533234,0.042883957,0.089852397,0.135399063,0.205564875,0.145950126,0.148070315,0.087195924
0.070799878,0.04116272,0.042849883,0.043459701,0.116597215,0.169712369,0.226018904,0.146478301,0.102368127,0.040552902
0.050769814,0.032055477,0.037750146,0.04271002,0.09924339,0.154089025,0.210599433,0.132745497,0.157854855,0.082182344
0.115680654,0.051903934,0.043687786,0.044353656,0.098932352,0.136311311,0.201058619,0.116335237,0.118840711,0.072895741
0.079487789,0.050886437,0.054740979,0.060992464,0.114891274,0.155509728,0.189531193,0.130579369,0.114696927,0.048683841
0.068762883,0.03647467,0.049290095,0.053864898,0.108408335,0.158005693,0.214123853,0.127787237,0.120468405,0.062813931
0.060298191,0.03321658,0.0394567,0.047850585,0.110828293,0.1561589,0.211873994,0.144400209,0.129758952,0.066157595
0.025997396,0.017394736,0.018475988,0.025460716,0.06933428,0.106017916,0.177601515,0.155660787,0.224679373,0.179377294
0.07157814,0.03665985,0.041296755,0.04444381,0.092282302,0.13413554,0.183182239,0.132860663,0.145692427,0.117868275
0.105903228,0.051650985,0.049822257,0.052604578,0.105746308,0.145706716,0.188944348,0.119482887,0.117358425,0.062780269
0.057876078,0.043555687,0.04992548,0.062802051,0.127960242,0.16375163,0.196315657,0.112908352,0.10625637,0.078648453
0.050979458,0.028016755,0.032656952,0.040607991,0.098911435,0.128721563,0.198374677,0.159973915,0.167348065,0.09440919
0.070348412,0.043931406,0.050610706,0.057487007,0.115696355,0.176532393,0.198605978,0.123529522,0.097881761,0.065376461
0.067110845,0.038958588,0.041625298,0.046006909,0.100498059,0.14469981,0.184232767,0.126024632,0.1320555,0.11878759
0.071986221,0.026121728,0.025394682,0.028579837,0.061158427,0.102859715,0.152696995,0.139887135,0.176308683,0.215006578
0.055048643,0.0334143,0.042211511,0.053236342,0.10771864,0.148407315,0.209459204,0.142240457,0.14157343,0.066690159
0.073145953,0.031726211,0.046795632,0.053949374,0.118142567,0.148090924,0.197405181,0.12487301,0.12887318,0.076997968
0.081575421,0.038549991,0.050164623,0.050338346,0.115012988,0.165483695,0.204058503,0.125932728,0.115922966,0.052960739
0.04847204,0.032536956,0.037859952,0.04617784,0.098413272,0.15420867,0.223769269,0.157011437,0.135538628,0.066011934
0.076563125,0.060205851,0.063992447,0.070036635,0.126148036,0.168036614,0.191669489,0.110057569,0.095301132,0.037989102
0.094696119,0.043712544,0.047028549,0.045430994,0.099065647,0.127433032,0.198692596,0.148348042,0.131474413,0.064118064
0.083417947,0.042615905,0.044962096,0.053094902,0.10640668,0.130874104,0.168373734,0.110063978,0.127492828,0.132697824
0.070934474,0.048442544,0.054605291,0.052467195,0.101559552,0.147905924,0.187355888,0.134217918,0.12681843,0.075692785
0.074624362,0.038968869,0.041265164,0.049249772,0.106772499,0.150606579,0.202346625,0.130731564,0.131748645,0.073685921
0.087489577,0.062455902,0.061988583,0.067229894,0.121741361,0.143751203,0.180751927,0.108152438,0.107236125,0.059202991
0.075953698,0.03565364,0.038993836,0.043179966,0.098414495,0.118835099,0.187119407,0.121727447,0.137265269,0.142857143
0.077947386,0.050199811,0.053871246,0.063911208,0.132341105,0.169408475,0.187469111,0.107516557,0.1044382,0.052896903
0.10440913,0.049838006,0.044064146,0.049774657,0.09849047,0.143405311,0.188944596,0.123106301,0.123830296,0.074137088
0.061569123,0.042738276,0.052385421,0.056197771,0.112937589,0.14896495,0.186177939,0.122470101,0.127363272,0.089195558
0.049751297,0.030397012,0.032795506,0.034593034,0.078007373,0.123707523,0.18745808,0.150246557,0.174585629,0.138457989
0.067241948,0.04149649,0.045717244,0.046962992,0.112117316,0.158403395,0.194319617,0.127316579,0.127965051,0.078459368
0.055418487,0.033132665,0.036416325,0.039107849,0.073998977,0.101649904,0.165600524,0.132602435,0.172320363,0.189752469
0.089027764,0.042454667,0.048191784,0.049912919,0.114598914,0.142874705,0.200143428,0.137403955,0.117959225,0.05743264
0.088657672,0.052344849,0.044621529,0.062126462,0.111072295,0.144222145,0.185595725,0.12996516,0.118672873,0.06272129
0.067367685,0.053573448,0.058229774,0.061827377,0.121825115,0.136955606,0.199862263,0.126851481,0.119666554,0.053840698
0.040842221,0.022043763,0.025494823,0.034420194,0.069320481,0.115001044,0.173438372,0.14830206,0.192614046,0.178522996
0.051258843,0.036610056,0.03820594,0.051235024,0.115856418,0.163089822,0.207726937,0.159326394,0.125145892,0.051544673
0.058284215,0.04000137,0.048148468,0.050856555,0.100832166,0.13310978,0.184519372,0.130140674,0.141441224,0.112666176
0.062222344,0.045055668,0.050320847,0.059809137,0.118439094,0.165770855,0.203641748,0.125678714,0.116848571,0.05221302
0.123834135,0.059966115,0.06287543,0.060804682,0.10464977,0.139732685,0.190080947,0.122584841,0.095134599,0.040336796
0.064503767,0.036364426,0.039977649,0.047979974,0.104453099,0.149861908,0.195795523,0.137797067,0.14309797,0.080168617
0.092246103,0.052333835,0.059254422,0.062654382,0.130809744,0.156958917,0.19080946,0.11559155,0.100437239,0.038904347
0.055516777,0.031514818,0.038666422,0.047654911,0.107390399,0.150618418,0.194305658,0.128306392,0.135396767,0.110629439
0.075941316,0.048035591,0.057887343,0.058635223,0.120985385,0.158540165,0.183510285,0.111933935,0.109022793,0.075507965
0.081414223,0.054292334,0.059362948,0.061208069,0.117838018,0.148331067,0.199897339,0.120688938,0.110089898,0.046877168
0.06936498,0.040160327,0.048381012,0.047642251,0.096392644,0.141464948,0.191119145,0.135767054,0.143453317,0.086254323
0.055638805,0.027044209,0.025503552,0.026476598,0.055648536,0.076591742,0.140449548,0.111926308,0.164636243,0.31608446
0.066197217,0.048882244,0.049605711,0.059324282,0.129331758,0.147297851,0.199146309,0.136204693,0.118166253,0.045843683
0.083462309,0.046326804,0.052384705,0.061908334,0.13223886,0.154590427,0.192789388,0.117331485,0.101180246,0.057787442
0.035697806,0.022872782,0.028660914,0.032943613,0.068416469,0.11288155,0.179460928,0.146624022,0.1939327,0.178509217
0.060423378,0.03756291,0.051911437,0.051311583,0.127163226,0.168007342,0.198497963,0.121914497,0.114158374,0.06904929
0.144882114,0.061952418,0.064855047,0.067330294,0.108305435,0.145594416,0.158950068,0.086384358,0.088182919,0.073562932
0.133301856,0.053267566,0.050998423,0.057883783,0.11396142,0.148759535,0.175526258,0.109253521,0.098774204,0.058273434
0.078952107,0.053432234,0.048184196,0.062427647,0.114607898,0.161162801,0.190567251,0.138043991,0.108665266,0.043956609
0.072768073,0.035696986,0.043921824,0.055023379,0.113842838,0.165841217,0.2095851,0.13186433,0.112617021,0.05883923
0.063705081,0.036784025,0.042038886,0.047132059,0.106592829,0.146691459,0.198472048,0.149884797,0.136316477,0.072382338
0.047603069,0.037150443,0.041474944,0.049247302,0.091519196,0.141412447,0.199161944,0.149356778,0.159670986,0.083402892
