10less,10to15,15to20,20to25,25to35,35to50,50to75,75to100,100to150,150plus
0.049951612,0.095963792,0.079658648,0.06470249,0.10780164,0.125074536,0.153090451,0.104761532,0.114546574,0.104448724
0.072244268,0.093753674,0.112948266,0.096972369,0.153960905,0.154122575,0.148515579,0.069900059,0.056768078,0.040814227
0.050378925,0.067015518,0.087152652,0.096030314,0.187477445,0.173330927,0.181162035,0.069866474,0.053157705,0.034428004
0.06663877,0.066847997,0.067423371,0.066769537,0.126242285,0.142012763,0.185218119,0.106287269,0.090386024,0.082173868
0.130759504,0.133545404,0.11629653,0.091045602,0.120564293,0.127696989,0.131727654,0.051588556,0.051687347,0.045088121
0.068531209,0.068827561,0.088794221,0.07699574,0.134524912,0.158696055,0.167975551,0.092813484,0.08907205,0.053769217
0.089527117,0.091174637,0.076400392,0.072731321,0.129993766,0.146424437,0.167298958,0.095440378,0.07801229,0.052996705
0.064792406,0.071560032,0.082783856,0.075951018,0.139555105,0.152199116,0.179117455,0.097905949,0.08447214,0.051662923
0.056516081,0.0449101,0.057498738,0.060393594,0.110588798,0.144450641,0.191565081,0.109367116,0.123788277,0.100921573
0.092550869,0.085595332,0.096649667,0.082721205,0.135846601,0.139128123,0.149956404,0.083933455,0.074769536,0.058848809
0.085257429,0.106268774,0.110138294,0.096128221,0.149804642,0.153681691,0.138022931,0.070479474,0.05045433,0.039764215
0.083432219,0.091100263,0.085670297,0.078993616,0.127600451,0.140510702,0.152917762,0.088727,0.081051446,0.069996245
0.039832285,0.056632492,0.062232561,0.067459292,0.123201516,0.156428592,0.183624824,0.130438528,0.100083283,0.080066626
0.064194338,0.093520528,0.086731631,0.07617882,0.132037131,0.151780354,0.165427423,0.092088856,0.078926708,0.059114211
0.099356552,0.103111905,0.093563234,0.085182386,0.125850106,0.135398777,0.142588903,0.078953997,0.066886492,0.069107646
0.114969863,0.095001845,0.064455287,0.056459879,0.084443807,0.109824101,0.141498216,0.080077084,0.106215917,0.147054
0.057139009,0.085021552,0.096551724,0.077020474,0.13362069,0.16096444,0.190409483,0.079498922,0.070581897,0.04919181
0.063853791,0.080606949,0.071920126,0.074514892,0.127369134,0.151793773,0.15077843,0.092903881,0.095329422,0.090929603
0.073065993,0.095058415,0.085838333,0.084117461,0.13621724,0.14545311,0.168455952,0.092595516,0.067508683,0.051689296
0.055230669,0.071402787,0.0750367,0.073207711,0.117247852,0.153779511,0.190648088,0.110268813,0.099824321,0.053353548
0.161352541,0.125570088,0.100034155,0.073815121,0.126474193,0.141100597,0.135334418,0.061961304,0.047214353,0.02714323
0.067817535,0.099110693,0.104969659,0.089746809,0.150292948,0.157606194,0.161268048,0.07774639,0.056831973,0.034609751
0.104618268,0.102655681,0.093373174,0.073163832,0.109091552,0.119275788,0.129318576,0.083896177,0.09218855,0.092418402
0.073842954,0.079563183,0.079657732,0.081406893,0.129579729,0.150522385,0.165602988,0.099891268,0.077955846,0.061977025
0.076092044,0.08274831,0.09125065,0.07949818,0.144643786,0.151547062,0.172399896,0.081838274,0.07225689,0.047724909
0.060097883,0.105565983,0.096216254,0.076885295,0.13135229,0.148946621,0.166646201,0.090374866,0.075973126,0.047941481
0.110748674,0.099637176,0.080449344,0.062988418,0.102550237,0.128924784,0.134471811,0.087862824,0.09159573,0.100771002
0.070748299,0.08148423,0.094545455,0.078936302,0.150896722,0.153642548,0.157575758,0.084081633,0.071317254,0.0567718
0.079446663,0.095913686,0.089499618,0.084402345,0.129470733,0.154504007,0.153286325,0.084331549,0.074929912,0.054215162
0.087426786,0.084866089,0.08223373,0.075683888,0.12289913,0.137494148,0.14649003,0.090498667,0.090360122,0.082047411
0.069396785,0.069837006,0.080199115,0.076846668,0.130576124,0.155070435,0.164698844,0.101555445,0.088777768,0.06304181
0.083530561,0.091976984,0.092964933,0.086081859,0.135913582,0.15676908,0.160601455,0.081891217,0.063847574,0.046422755
0.139023001,0.117631038,0.107900666,0.075664166,0.120379311,0.121567754,0.141053257,0.064695833,0.066206145,0.045878828
0.061741434,0.098689628,0.097114317,0.087053811,0.153753894,0.160896495,0.155490315,0.083527264,0.065787118,0.035945723
0.071605576,0.10105356,0.09430348,0.080103988,0.145248339,0.171746963,0.152028825,0.077701932,0.063684875,0.042522462
0.059583975,0.111185823,0.099039108,0.073552697,0.138429169,0.1496215,0.157451793,0.086089842,0.079582674,0.045463419
0.068902231,0.066305771,0.065615752,0.064171694,0.118106931,0.145842818,0.17955412,0.104832973,0.10300478,0.08366293
0.0490168,0.082187858,0.082665139,0.05980336,0.134975181,0.181366934,0.19840588,0.094406262,0.063287514,0.053885071
0.070681611,0.118437105,0.088821382,0.069800085,0.109041683,0.126464308,0.142528384,0.088773035,0.094698758,0.090753648
0.063573544,0.075863771,0.083859822,0.085439289,0.154195459,0.154491609,0.172112537,0.084402764,0.074728529,0.051332675
0.075476572,0.091052332,0.104561657,0.103476778,0.1588056,0.170119337,0.156093403,0.061450638,0.047037248,0.031926435
0.056799252,0.068466529,0.081813134,0.075227861,0.140569347,0.167679004,0.176471783,0.098423597,0.080655209,0.053894284
0.068439705,0.099372027,0.096232163,0.088864364,0.155889576,0.172645879,0.162324743,0.074781608,0.050906208,0.030543725
0.06360424,0.077683015,0.079459049,0.075555473,0.133628106,0.150962944,0.187390154,0.089486245,0.078256526,0.063974247
0.17725271,0.125285823,0.101985942,0.07964939,0.113577659,0.117356877,0.114170478,0.063024009,0.057439871,0.050257241
0.073500783,0.111455993,0.114628004,0.099530325,0.150609217,0.155727997,0.140085767,0.071404261,0.050969982,0.032087673
