10less,10to15,15to20,20to25,25to35,35to50,50to75,75to100,100to150,150plus
0.234373319,0.081280258,0.068154922,0.055782679,0.101183432,0.138246369,0.162022593,0.087950511,0.044540075,0.026465842
0.263597188,0.106146518,0.094397823,0.085552279,0.127784078,0.115400318,0.124109775,0.054479474,0.019233386,0.009299161
0.174722222,0.093194444,0.088888889,0.07125,0.135,0.204722222,0.143194444,0.065138889,0.020833333,0.003055556
0.168498863,0.08055345,0.079605762,0.120735406,0.182903715,0.13883624,0.145564822,0.06520091,0.013267627,0.004833207
0.311381664,0.0699133,0.064287032,0.06022874,0.143977126,0.143792658,0.103486442,0.049160671,0.046393654,0.007378712
0.226961664,0.090758089,0.104378447,0.096937081,0.160985981,0.150754103,0.105175736,0.040728191,0.018470534,0.004850176
0.227232426,0.088568714,0.104053198,0.103356555,0.15129829,0.16139962,0.1069981,0.040626979,0.014597847,0.001868271
0.149924877,0.073656722,0.079917007,0.069972097,0.166773986,0.165629248,0.17056593,0.074586821,0.041174787,0.007798526
0.144100959,0.054294659,0.068381921,0.078458227,0.167775386,0.192330268,0.169927607,0.06300137,0.052240266,0.009489337
0.238033279,0.08601344,0.079216863,0.074777657,0.138411377,0.133666019,0.135150856,0.064858328,0.035727953,0.014144228
0.287711975,0.114636055,0.11818419,0.077484999,0.147091051,0.125384816,0.083798591,0.021445343,0.020662666,0.003600313
0.169515638,0.076510992,0.09260453,0.107297664,0.162535844,0.170404784,0.141018516,0.047191411,0.028652722,0.0042679
0.259043306,0.112199264,0.082932352,0.080554769,0.130880272,0.148995188,0.11882253,0.044155109,0.01341636,0.009000849
0.226369197,0.087294968,0.117041979,0.073603003,0.153044204,0.161314985,0.116624965,0.036071726,0.017862107,0.010772866
0.224147331,0.08244987,0.08578179,0.069182771,0.15993215,0.141697462,0.125098443,0.07245411,0.031562367,0.007693706
0.268813063,0.074404991,0.05229916,0.04944928,0.097589155,0.146268197,0.133174151,0.065547254,0.083108681,0.029346068
0.192092285,0.107665301,0.096213324,0.08885731,0.160662041,0.156900443,0.117278275,0.055755245,0.021984452,0.002591323
0.273076396,0.102043615,0.1054725,0.111507338,0.144561789,0.114524757,0.096420244,0.040872308,0.009189412,0.002331642
0.188074255,0.105631602,0.07919245,0.10831927,0.175323458,0.151384462,0.120757547,0.040565035,0.019501219,0.011250703
0.140107775,0.06382532,0.088599622,0.095528029,0.172440339,0.212891035,0.159773252,0.035271887,0.020155364,0.011407376
0.179260118,0.091781842,0.083091947,0.090292146,0.217164611,0.20516428,0.100057933,0.017048746,0.012745179,0.003393197
