countypoints_NAME,x,y
Alameda,-121.8775366,37.64275382
Allegheny,-79.98642291,40.46728742
Allen,-85.06455662,41.10447979
Arapahoe,-104.3392855,39.64309757
Baltimore City,-76.6172384,39.30502035
Bernalillo,-106.6578921,35.05694534
Bexar,-98.52530495,29.45256387
Clark,-115.0092868,36.21136318
Collin,-96.56487279,33.1917375
Cook,-87.82113141,41.84349602
Cuyahoga,-81.65187826,41.4241808
Dallas,-96.77460664,32.77382278
Dane,-89.41663341,43.06766616
Davidson,-86.77796329,36.16913639
Denver,-104.8751379,39.75959574
District of Columbia,-77.01562756,38.90260104
Douglas,-96.15979777,41.29536834
Durham,-78.87778486,36.02885911
Duval,-81.68880295,30.32742186
El Paso CO,-104.5176529,38.82773921
El Paso TX,-106.2434986,31.77486296
Erie,-78.72528565,42.75648762
Essex,-74.2483124,40.78107731
Fayette,-84.47024262,38.04107568
Franklin,-83.00853603,39.96473104
Fresno,-119.641139,36.7542967
Fulton,-84.46163052,33.79448407
Guilford,-79.78255683,36.07305135
Hamilton,-84.53715828,39.191508
Harris,-95.40019036,29.86136969
Hennepin,-93.47802407,45.0077218
Hillsborough,-82.30680977,27.92980155
Hudson,-74.06432689,40.7400507
Jackson,-94.35213345,39.00680093
Jefferson,-85.66731146,38.1900189
Kern,-118.7305113,35.34527144
King,-121.7936868,47.48994678
Lancaster,-96.68061164,40.78466081
Los Angeles,-118.2225598,34.32209948
Lubbock,-101.820058,33.6126553
Lucas,-83.64907274,41.61755847
Maricopa,-112.4884936,33.35963683
Marion,-86.14963236,39.78449905
Mecklenburg,-80.8291604,35.24506136
Miami-Dade,-80.57137443,25.61079305
Milwaukee,-87.95614619,43.0083854
Multnomah,-122.4143239,45.54093138
New York,-73.95223203,40.80157902
Nueces,-97.6361378,27.72605586
Oklahoma,-97.40562311,35.55465784
Orange CA,-117.7566693,33.70398512
Orange FL,-81.37924,28.53834
Orleans,-89.9121784,30.03768228
Philadelphia,-75.14061439,40.00433235
Pima,-111.7908852,32.10476296
Pinellas,-82.72564761,27.93788108
Ramsey,-93.09940258,45.02303024
Riverside,-115.9941376,33.74437476
Sacramento,-121.3184265,38.46550658
San Diego,-116.7386948,33.03619366
San Francisco,-122.4301026,37.74670026
San Joaquin,-121.2628075,37.93468445
Santa Clara,-121.6833781,37.22731917
Sedgwick,-97.45404365,37.68032871
Shelby,-89.89924352,35.19459555
St. Louis County,-90.44993491,38.64011042
Suffolk,-71.07241475,42.33090291
Tarrant,-97.28705533,32.77624145
Travis,-97.7878632,30.33595692
Tulsa,-95.94426957,36.12862556
Virginia Beach,-76.06198906,36.75954605
Wake,-78.65249323,35.78463053
Wayne,-83.29129712,42.28926862
Webb,-99.33702206,27.76241774
