county,total,10less,10to15,15to20,20to25,25to35,25to35,35to50,35to50,35to50,50to75,50to75,75to100,100to150,100to150,150plus,150plus
"Alameda County, California: Summary level: 050, state:06> county:001",204920,9723,6244,6565,6898,6833,7131,6932,8070,7189,14752,19652,26318,23145,15172,19933,20363
"Allegheny County, Pennsylvania: Summary level: 050, state:42> county:003",160363,11183,6417,5666,6877,6004,8405,7170,7697,6846,14600,18365,23405,15131,8614,7819,6164
"Allen County, Indiana: Summary level: 050, state:18> county:003",49195,3483,2025,2108,2138,2571,3165,2547,3192,2610,4902,6217,7206,3366,1670,1115,880
"Arapahoe County, Colorado: Summary level: 050, state:08> county:005",87099,4422,2792,3288,3720,4393,4251,4643,4488,4290,7773,10570,11562,8629,5120,3879,3279
"Baltimore city, Maryland: Summary level: 050, state:24> county:510",88606,10250,4599,3871,3930,4040,4726,3879,4604,3595,8149,9666,10308,6665,3865,3587,2872
"Bernalillo County, New Mexico: Summary level: 050, state:35> county:001",92618,7362,4713,5070,5649,5458,5183,4573,5226,4604,7305,10249,12094,7113,3510,2634,1875
"Bexar County, Texas: Summary level: 050, state:48> county:029",234327,16113,8547,11550,12622,12810,12593,12144,12663,12218,22792,27383,29944,18344,9885,8321,6398
"Clark County, Nevada: Summary level: 050, state:32> county:003",275796,16630,9161,10882,13197,13917,16649,13520,15547,14001,25599,32835,39825,22648,13139,10512,7734
"Collin County, Texas: Summary level: 050, state:48> county:085",126705,3294,2204,2341,3226,4297,4488,4066,4938,4429,9247,13256,19723,17477,10991,12321,10407
"Cook County, Illinois: Summary level: 050, state:17> county:031",734973,52608,26944,30352,32665,32614,35211,32487,34261,31838,58834,75800,97649,67151,39929,43177,43453
"Cuyahoga County, Ohio: Summary level: 050, state:39> county:035",165689,17547,8558,8255,8716,7957,9564,8133,8602,7407,13413,17893,19797,12510,6935,5173,5229
"Dallas County, Texas: Summary level: 050, state:48> county:113",365004,21125,15898,18223,22923,23364,23342,20855,20828,18087,32966,38690,41212,25594,13190,14457,14250
"Dane County, Wisconsin: Summary level: 050, state:55> county:025",79738,4065,2234,2604,3238,3414,4473,2973,3812,3479,6856,8962,12756,8790,4554,4766,2762
"Davidson County, Tennessee: Summary level: 050, state:47> county:037",106598,7499,4683,5395,6128,6127,6206,6664,6416,5738,9771,11400,13168,7083,3351,3420,3549
"Denver County, Colorado: Summary level: 050, state:08> county:031",121873,8179,4748,5073,5607,5790,6458,6250,6029,5356,10309,12144,15359,10198,5896,7088,7389
"District of Columbia, District of Columbia: Summary level: 050, state:11> county:001",115536,8317,3018,2934,3302,3289,3777,3758,4279,3847,7775,9867,16162,12116,8254,11039,13802
"Douglas County, Nebraska: Summary level: 050, state:31> county:055",79457,4374,2655,3354,4230,4384,4175,3781,4172,3839,7625,9018,11302,7473,3776,2874,2425
"Durham County, North Carolina: Summary level: 050, state:37> county:063",47248,3456,1499,2211,2549,2799,2783,2181,2110,2706,4483,4844,5900,3772,2317,2090,1548
"Duval County, Florida: Summary level: 050, state:12> county:031",120882,9861,4660,6064,6085,6668,7235,7052,6772,6180,10998,13669,15223,9233,4780,3647,2755
"El Paso County, Texas: Summary level: 050, state:48> county:141",97449,7461,5867,6236,6825,6310,5983,5525,5335,5515,9188,9490,10725,6496,2791,2108,1594
"Erie County, New York: Summary level: 050, state:36> county:029",115802,10966,5062,5446,5261,5596,5876,4677,5226,4854,10236,12773,17179,10298,4927,4500,2925
"Essex County, New Jersey: Summary level: 050, state:34> county:013",101441,8462,4323,4561,5386,5338,5456,4450,4411,4415,7707,9373,11165,7757,5176,5451,8010
"Fayette County, Kentucky: Summary level: 050, state:21> county:067",47706,3384,2311,2605,2503,2332,2513,2534,2194,2328,3728,5210,6403,3731,2319,1774,1837
"Franklin County, Ohio: Summary level: 050, state:39> county:049",190742,14234,7433,7871,9394,9445,10921,9962,9752,9013,16471,22125,24936,15755,9375,7995,6060
"Fresno County, California: Summary level: 050, state:06> county:019",109133,9548,6816,6765,7337,6566,6720,5334,5768,4586,8700,11026,11803,7755,3948,3975,2486
"Fulton County, Georgia: Summary level: 050, state:13> county:121",160769,12211,5732,6269,6942,6724,9098,7156,6340,5609,14035,16048,19570,14087,7981,9881,13086
"Guilford County, North Carolina: Summary level: 050, state:37> county:081",70817,5520,3555,3815,4526,4500,4872,3738,4664,3595,5773,7503,7614,4983,2413,2239,1507
"Hamilton County, Ohio: Summary level: 050, state:39> county:061",110498,11537,5507,4869,5500,5078,5805,5854,4888,5104,8821,12057,13603,9009,4674,4255,3937
"Harris County, Texas: Summary level: 050, state:48> county:201",610647,37597,26098,31989,34317,33043,35922,30326,32267,28372,50788,62901,74786,48622,29152,27628,26839
"Hennepin County, Minnesota: Summary level: 050, state:27> county:053",186367,9272,5665,6112,6447,6590,7948,7825,8139,7091,13912,21024,28001,19996,12541,12897,12907
"Hillsborough County, Florida: Summary level: 050, state:12> county:057",175798,11821,7295,8037,8256,9211,10499,9485,9771,8591,15984,18177,22382,14899,7597,7251,6542
"Hudson County, New Jersey: Summary level: 050, state:34> county:017",111461,6177,3693,4059,4359,3879,4369,3715,3666,3949,8208,10250,14780,11327,7880,9683,11467
"Jackson County, Missouri: Summary level: 050, state:29> county:095",97610,8690,4144,4704,4872,5219,5967,4598,5388,3960,8305,11231,13412,7369,4145,3426,2180
"Jefferson County, Kentucky: Summary level: 050, state:21> county:111",105913,9390,5544,4726,6580,5314,6450,4938,5728,4609,8676,10981,13765,8250,4319,3736,2907
"Kern County, California: Summary level: 050, state:06> county:029",97287,6554,5212,5665,6015,6011,5841,5118,4332,3874,8127,11317,12341,7270,4372,3396,1842
"King County, Washington: Summary level: 050, state:53> county:033",320771,13101,7071,8178,11041,10182,12054,11327,13076,12486,22602,33032,47571,36889,24896,28261,29004
"Lancaster County, Nebraska: Summary level: 050, state:31> county:109",41983,2152,1537,1604,2151,2505,2359,2455,2231,2161,3709,5012,6689,3353,1901,1385,779
"Los Angeles County, California: Summary level: 050, state:06> county:037",1225958,71454,49040,59028,62348,59193,64423,55255,57244,50688,100077,126136,159547,108182,65219,70508,67616
