county,total,10less,10to15,15to20,20to25,25to35,25to35,35to50,35to50,35to50,50to75,50to75,75to100,100to150,100to150,150plus,150plus
"Alameda County, California: Summary level: 050, state:06> county:001",102299,5110,9817,8149,6619,6206,4822,4564,4285,3946,7149,8512,10717,7099,4619,4908,5777
"Allegheny County, Pennsylvania: Summary level: 050, state:42> county:003",136080,9831,12758,15370,13196,11427,9524,7939,6781,6253,10219,9991,9512,5044,2681,2485,3069
"Allen County, Indiana: Summary level: 050, state:18> county:003",27710,1396,1857,2415,2661,2755,2440,1862,1641,1300,2525,2495,1936,1001,472,533,421
"Arapahoe County, Colorado: Summary level: 050, state:08> county:005",38236,2548,2556,2578,2553,2645,2182,1831,1908,1691,3408,3674,4064,2163,1293,1436,1706
"Baltimore city, Maryland: Summary level: 050, state:24> county:510",50612,6618,6759,5886,4608,3148,2954,2278,2193,1992,3272,3395,2611,1626,990,1079,1203
"Bernalillo County, New Mexico: Summary level: 050, state:35> county:001",53990,3700,3716,4794,4157,4026,3237,3177,2700,2691,3969,5100,5011,3128,1681,1729,1174
"Bexar County, Texas: Summary level: 050, state:48> county:029",112290,10053,10238,8579,8167,8114,6483,5684,5890,4868,7752,11034,10717,5686,3074,2920,3031
"Clark County, Nevada: Summary level: 050, state:32> county:003",138010,8942,9876,11425,10482,9928,9332,7511,6796,6698,11537,13183,13512,7180,4478,3871,3259
"Collin County, Texas: Summary level: 050, state:48> county:085",37653,2128,1691,2165,2274,2304,1860,2150,1854,1435,3541,3672,4118,2851,1810,1858,1942
"Cook County, Illinois: Summary level: 050, state:17> county:031",402557,37257,34457,38907,33300,29103,25583,20654,19006,16347,27739,32627,33788,19859,10240,10909,12781
"Cuyahoga County, Ohio: Summary level: 050, state:39> county:035",132833,11325,14116,14630,12769,10817,9082,8232,7044,5138,8836,9498,9362,4168,2534,2578,2704
"Dallas County, Texas: Summary level: 050, state:48> county:113",133150,11109,12130,11407,10518,9742,7248,6830,6699,5180,9808,10553,11814,6804,3988,3916,5404
"Dane County, Wisconsin: Summary level: 050, state:55> county:025",34821,1387,1972,2167,2349,2368,1922,1919,1910,1618,2972,3422,4542,2224,1261,1346,1442
"Davidson County, Tennessee: Summary level: 050, state:47> county:037",43306,2780,4050,3756,3299,3334,2384,2204,2097,2272,3723,3441,3988,2226,1192,1109,1451
"Denver County, Colorado: Summary level: 050, state:08> county:031",43671,4339,4503,4086,3720,3071,2425,2125,1879,1909,2877,3350,3448,1879,1042,1348,1670
"District of Columbia, District of Columbia: Summary level: 050, state:11> county:001",48778,5608,4634,3144,2754,2319,1800,1810,2026,1521,3163,3739,3906,3167,2014,2657,4516
"Douglas County, Nebraska: Summary level: 050, state:31> county:055",37120,2121,3156,3584,2859,2498,2462,2092,2308,1575,3150,3918,2951,1617,1003,962,864
"Durham County, North Carolina: Summary level: 050, state:37> county:063",17728,1132,1429,1275,1321,1381,877,975,930,786,1194,1479,1647,1075,615,713,899
"Duval County, Florida: Summary level: 050, state:12> county:031",63340,4628,6021,5437,5328,4549,4079,3500,2979,2734,5210,5460,5865,2917,1359,1538,1736
"El Paso County, Texas: Summary level: 050, state:48> county:141",49773,8031,6250,4979,3674,3327,2968,2838,2204,1981,3168,3568,3084,1580,770,732,619
