total,10less,10to15,15to20,20to25,25to35,35to50,50to75,75to100,100to150,150plus
18590,4357,1511,1267,1037,1881,2570,3012,1635,828,492
22045,5811,2340,2081,1886,2817,2544,2736,1201,424,205
7200,1258,671,640,513,972,1474,1031,469,150,22
10552,1778,850,840,1274,1930,1465,1536,688,140,51
10842,3376,758,697,653,1561,1559,1122,533,503,80
15051,3416,1366,1571,1459,2423,2269,1583,613,278,73
31580,7176,2797,3286,3264,4778,5097,3379,1283,461,59
27954,4191,2059,2234,1956,4662,4630,4768,2085,1151,218
10222,1473,555,699,802,1715,1966,1737,644,534,97
65327,15550,5619,5175,4885,9042,8732,8829,4237,2334,924
19165,5514,2197,2265,1485,2819,2403,1606,411,396,69
44987,7626,3442,4166,4827,7312,7666,6344,2123,1289,192
17665,4576,1982,1465,1423,2312,2632,2099,780,237,159
14388,3257,1256,1684,1059,2202,2321,1678,519,257,155
16507,3700,1361,1416,1142,2640,2339,2065,1196,521,127
12983,3490,966,679,642,1267,1899,1729,851,1079,381
11963,2298,1288,1151,1063,1922,1877,1403,667,263,31
7291,1991,744,769,813,1054,835,703,298,67,17
15999,3009,1690,1267,1733,2805,2422,1932,649,312,180
12083,2166,1109,1004,1091,2624,2479,1209,206,154,41
14549,3696,1304,1377,1538,1557,2231,1861,656,228,101
6848,1950,585,550,559,967,752,882,353,236,14
11337,3232,1507,1121,1163,1378,1817,944,98,67,10
29745,7694,3104,2713,2767,4313,3712,3718,1128,503,93
14404,3005,1302,1550,1725,2274,2080,1451,607,303,107
17721,5169,1749,1491,1489,2204,2523,1845,686,452,113
10396,2699,1032,1485,1001,1661,1291,955,216,23,33
16508,4638,2129,1702,1544,2113,1879,1387,672,372,72
67676,11836,5299,6050,6160,11384,10528,9807,3789,2212,611
23068,3948,1900,1863,1939,3591,3347,3842,1513,873,252
22523,4704,2252,2499,2555,3034,3508,2712,844,294,121
7957,1450,558,601,408,726,1261,1149,728,635,441
13802,3626,1558,1281,1073,2093,1729,1793,408,236,5
13668,2825,1631,1261,1543,2016,2161,1685,290,211,45
12655,2175,1308,881,1061,1595,2167,1996,770,508,194
34874,6824,2389,2491,1925,4818,5483,5612,2890,1810,632
12137,2743,1580,984,1327,1968,1666,1239,497,133,0
106744,22622,8064,8115,8002,13986,16248,15724,7090,4963,1930
13582,4129,1670,1405,1571,1463,1873,1065,184,113,109
10295,3914,999,1200,769,1526,973,682,155,69,8
70113,12665,5480,5909,6882,11432,12115,9379,4144,1842,265
21667,4766,2325,2171,2053,3244,3181,2738,827,317,45
17360,3544,1360,1602,1588,2617,2918,1930,1090,474,237
21159,4521,1548,1956,2148,3108,3324,2987,899,507,161
23028,5751,3117,2294,1893,3482,3440,2025,734,234,58
14299,3338,1258,1105,1381,2243,2137,1624,767,418,28
29291,6449,1709,1108,1453,2515,3229,4281,3149,2975,2423
7601,1557,555,644,434,1236,1226,1230,297,391,31
17739,3801,1537,2049,1744,2555,2678,2344,816,131,84
28308,5487,1873,1308,1537,3614,4419,4907,2830,1688,645
21159,4521,1548,1956,2148,3108,3324,2987,899,507,161
7529,2572,720,749,605,964,885,566,254,140,74
27624,9663,2589,2043,1974,3239,3330,2778,978,649,381
24375,6725,3051,2501,2501,3440,3325,1941,508,321,62
10226,1949,737,1081,1260,1554,1702,1405,361,127,50
12031,2500,1056,1191,1055,1694,1982,1616,600,212,125
20844,3146,1728,1746,2050,3129,3470,2966,1234,941,434
24061,4106,2136,2417,2060,3821,4166,3437,1001,621,296
50003,7512,3053,3122,3925,7791,9277,8736,3696,2127,764
13648,3286,777,699,887,1151,1495,1849,979,1355,1170
8682,1421,883,824,777,1412,1438,1072,499,224,132
15562,2867,802,892,805,1747,2303,2869,1464,1217,596
11623,2057,941,1594,1318,1834,1751,1549,435,141,3
15222,4023,2148,1729,1274,2084,2118,1372,259,151,64
13510,2526,920,1105,1789,2356,2059,1787,621,249,98
22096,7254,1689,1574,1163,2281,2461,2399,1636,1194,445
33872,5626,3205,3176,2976,5667,6326,4407,1475,792,222
32360,9002,3240,2981,2789,4113,4631,3236,1737,454,177
14198,2696,1097,1115,1938,2001,2374,2076,638,164,99
7798,627,225,552,284,1318,1755,1729,823,374,111
15977,3307,1380,1346,1538,2018,2540,2294,1153,360,41
20743,6571,2550,2006,1828,2615,2353,1748,605,382,85
2837,865,219,375,283,399,276,201,143,76,0
