county,total,owner,u5,5to10,10to15,15to20,20to25,25to35,35to50,50to75,75to100,100to150,150a,renter,u5,5to10,10to15,15to20,20to25,25to35,35to50,50to75,75to100,100to150,150a
"Alameda County, California: Summary level: 050, state:06> county:001",545071,289960,3485,2326,4949,5992,6737,14138,20651,40383,38773,63892,88634,255111,12016,11298,21219,16281,14625,25108,35425,46671,27776,28296,16396
"Allegheny County, Pennsylvania: Summary level: 050, state:42> county:003",526004,344618,4967,5397,10223,13773,15434,31172,43024,66792,51793,57627,44416,181386,12658,17800,19440,16676,14707,25613,25531,26789,11870,6531,3771
"Allen County, Indiana: Summary level: 050, state:18> county:003",138212,96539,1176,1300,2374,3708,4416,10047,14702,21977,15490,14042,7307,41673,3601,3582,4339,3689,3603,6595,6816,5985,2106,1030,327
"Arapahoe County, Colorado: Summary level: 050, state:08> county:005",225552,141460,2178,1420,2627,3142,3620,8940,15157,27746,22449,29411,24770,84092,5075,4035,5782,5681,7252,12715,14913,15800,6362,4630,1847
"Baltimore city, Maryland: Summary level: 050, state:24> county:510",241455,116673,2894,3052,4999,5679,4868,10091,15577,23478,15417,17435,13183,124782,11615,15159,13466,9559,8837,16055,16865,17723,7639,5535,2329
"Bernalillo County, New Mexico: Summary level: 050, state:35> county:001",263135,166175,3058,3101,5263,6784,7942,15004,22253,33237,24301,26999,18233,96960,7733,8113,9237,8871,7822,14152,14922,13563,6887,4106,1554
"Bexar County, Texas: Summary level: 050, state:48> county:029",604698,360802,6056,7836,11635,12975,15017,30403,47465,76314,52566,59930,40605,243896,15869,18662,20452,20125,19689,34941,40608,39240,17668,11895,4747
"Clark County, Nevada: Summary level: 050, state:32> county:003",710058,386600,7622,5399,10048,11584,14533,34362,50914,80218,60688,65769,45463,323458,17320,15970,20872,22170,23205,45550,55638,61161,31453,21489,8630
"Collin County, Texas: Summary level: 050, state:48> county:085",289752,197559,2531,1548,2222,2472,3609,8811,15125,28282,28452,50855,53652,92193,3042,3104,4248,4509,5079,12040,16014,19231,11457,8713,4756
"Cook County, Illinois: Summary level: 050, state:17> county:031",1933335,1127937,19462,17268,29248,39744,41882,87412,128368,206510,166727,200029,191287,805398,60010,67442,65489,62881,57887,100614,118512,125599,66267,53185,27512
"Cuyahoga County, Ohio: Summary level: 050, state:39> county:035",534476,325389,5857,6228,12646,14640,15684,30957,45175,63699,46300,49629,34574,209087,21937,23594,23389,19736,17352,28680,29653,25161,10193,6392,3000
"Dallas County, Texas: Summary level: 050, state:48> county:113",858332,451047,8065,7157,12971,15771,18933,39718,58641,87217,61684,73177,67713,407285,23330,22381,30925,31437,33147,61630,69023,69211,30991,23664,11546
"Dane County, Wisconsin: Summary level: 050, state:55> county:025",206982,123138,1084,959,1512,1980,2941,6611,12173,23971,22949,28635,20323,83844,5520,5354,6624,6003,6358,12748,14155,14673,6521,4177,1711
"Davidson County, Tennessee: Summary level: 050, state:47> county:037",256745,140374,1779,1982,3945,4806,5529,12424,19999,30548,20827,20704,17831,116371,7858,8837,10302,10606,9517,16875,20474,17664,7854,4485,1899
"Denver County, Colorado: Summary level: 050, state:08> county:031",266069,133651,2132,1754,3893,3848,4631,9633,16608,24189,19347,22346,25270,132418,9642,10688,11210,10753,9715,18071,19677,20672,10192,7837,3961
"District of Columbia, District of Columbia: Summary level: 050, state:11> county:001",263649,111070,2100,1595,2180,1930,2334,4819,8184,15027,12916,21313,38672,152579,11359,12296,10040,8245,7685,13681,19205,23094,16040,17429,13505
"Douglas County, Nebraska: Summary level: 050, state:31> county:055",204226,128058,1466,1484,3164,4153,4253,9385,16203,26479,20404,23941,17126,76168,4688,5769,7126,6742,6746,12341,12460,11743,4934,2756,863
"Durham County, North Carolina: Summary level: 050, state:37> county:063",111276,61223,923,561,1377,1699,2044,4413,7276,11472,10037,12149,9272,50053,3904,3244,3962,4267,4365,7772,8292,7902,3249,2161,935
"Duval County, Florida: Summary level: 050, state:12> county:031",330897,203796,5032,4321,7473,7519,9048,19136,27331,42122,30379,31486,19949,127101,8699,10003,10757,10844,9828,19038,21349,20229,8930,5174,2250
"El Paso County, Colorado: Summary level: 050, state:08> county:041",237039,150987,2662,2188,3605,3856,4811,10728,17898,30346,24452,29789,20652,86052,3732,5116,6363,6796,7164,12229,15412,15620,7025,4625,1970
"El Paso County, Texas: Summary level: 050, state:48> county:141",255573,157814,3573,5374,8169,9190,8243,17868,24508,31698,19270,19338,10583,97759,6183,10560,10912,9195,8990,14606,15129,12191,5034,3376,1583
"Erie County, New York: Summary level: 050, state:36> county:029",380152,248379,3391,3616,7477,9807,11112,21355,31838,51390,39774,42183,26436,131773,10913,14500,14464,12842,10198,17846,18486,18672,7881,4632,1339
"Essex County, New Jersey: Summary level: 050, state:34> county:013",277302,127297,1600,1296,2395,2854,3578,6867,10076,18988,16032,25874,37737,150005,10338,12411,12712,11756,10469,19976,22245,23954,13025,9452,3667
"Fayette County, Kentucky: Summary level: 050, state:21> county:067",123142,67972,946,912,1584,2158,2120,4818,8397,13691,10515,12786,10045,55170,4587,5398,5946,4902,4892,7736,8699,6902,3287,1991,830
"Franklin County, Ohio: Summary level: 050, state:39> county:049",468295,258092,3481,3660,6006,7296,8407,19949,32536,52062,40270,48558,35867,210203,17341,16287,17699,16949,16425,30379,33988,34448,14857,8590,3240
"Fresno County, California: Summary level: 050, state:06> county:019",289811,155858,2130,2458,5378,6658,6439,13368,21017,30887,23514,25966,18043,133953,8114,10145,14872,12988,12691,20119,19387,19284,8336,5708,2309
"Fulton County, Georgia: Summary level: 050, state:13> county:121",368184,198367,4082,3479,5029,5345,5161,11709,19071,31373,25241,35125,52752,169817,14321,13996,14045,11830,11675,21649,23143,27783,13141,11990,6244
"Guilford County, North Carolina: Summary level: 050, state:37> county:081",196463,119937,2204,2122,3613,5059,4726,11986,16864,24183,17128,18828,13224,76526,6147,6215,7728,7432,7385,12593,12059,10079,3825,1997,1066
"Hamilton County, Ohio: Summary level: 050, state:39> county:061",327914,195255,2889,2869,5227,6351,6946,15654,24927,38601,29400,34128,28263,132659,12801,14891,15421,11745,11532,17480,18872,16577,7106,4035,2199
"Harris County, Texas: Summary level: 050, state:48> county:201",1434694,810622,13862,12354,22522,26751,29344,62693,94896,145797,115152,142602,144649,624072,34273,39990,48365,51352,50262,90105,100175,101510,50224,37463,20353
"Hennepin County, Minnesota: Summary level: 050, state:27> county:053",481263,306704,3391,3010,4943,6885,8293,18195,31350,52837,49526,64521,63753,174559,10223,13241,14516,13288,12397,23228,27412,29345,15119,11218,4572
