county1, county2, distance, net_mig
0, 1, 2236, 57
0, 2, 1967, 28
0, 3, 955, -140
0, 4, 2426, -126
0, 5, 865, 108
0, 6, 1454, 48
0, 7, 392, 73
0, 8, 1454, 72
0, 9, 1821, 179
0, 10, 2141, 114
0, 11, 1452, 118
0, 12, 1739, 25
0, 13, 1931, -208
0, 14, 927, -346
0, 15, 2411, -216
0, 16, 1390, -557
0, 17, 2360, -194
0, 18, 2340, -20
0, 19, 944, -230
0, 20, 975, 32
0, 21, 2280, -13
0, 22, 2529, -48
0, 23, 2028, -85
0, 24, 2083, -40
0, 25, 137, 91
0, 26, 2102, -262
0, 27, 2311, -218
0, 28, 2011, -112
0, 29, 1607, 265
0, 30, 1550, -261
0, 31, 2376, 88
0, 32, 2539, -460
0, 33, 1490, -351
0, 34, 1962, -310
0, 35, 236, 44
0, 36, 680, -181
0, 37, 1362, -139
0, 38, 307, 455
0, 39, 1158, 43
0, 40, 2037, -69
0, 41, 605, 94
0, 42, 1920, -25
0, 43, 2270, 55
0, 44, 2546, 138
0, 45, 1812, 84
0, 46, 546, 50
0, 47, 2544, -126
0, 48, 1561, 12
0, 49, 1361, 86
0, 50, 357, 290
0, 51, 2408, 261
0, 52, 1898, 68
0, 53, 2493, 73
0, 54, 687, 37
0, 55, 2353, 228
0, 56, 1568, 38
0, 57, 426, 77
0, 58, 64, 76
0, 59, 430, 271
0, 60, 31, -32
0, 61, 39, 53
0, 62, 30, 156
0, 63, 1332, 67
0, 64, 1778, 38
0, 65, 1701, 9
0, 66, 2670, 20
0, 67, 1424, 71
0, 68, 1465, 42
0, 69, 1433, 50
0, 70, 2498, 12
0, 71, 2377, 20
0, 72, 2051, 112
0, 73, 1473, 17
1, 2, 269, 82
1, 3, 1285, 35
1, 4, 195, 511
1, 5, 1498, -25
1, 6, 1292, -41
1, 7, 1909, -108
1, 8, 1043, -92
1, 9, 418, -254
1, 10, 109, 32
1, 11, 1070, -119
1, 12, 518, 96
1, 13, 473, -110
1, 14, 1312, -49
1, 15, 191, 156
1, 16, 846, 230
1, 17, 312, -53
1, 18, 707, -150
1, 19, 1306, 151
1, 20, 1577, -48
1, 21, 171, -448
1, 22, 301, -40
1, 23, 292, 104
1, 24, 163, -74
1, 25, 2139, 4
1, 26, 522, 423
1, 27, 303, -64
1, 28, 257, 193
1, 29, 1135, -264
1, 30, 752, 2731
1, 31, 876, -74
1, 32, 311, 1305
1, 33, 769, 4
1, 34, 342, -55
1, 35, 2125, -56
1, 36, 2108, -9
1, 37, 874, -2
1, 38, 2125, -391
1, 39, 1290, -39
1, 40, 206, -54
1, 41, 1850, -120
1, 42, 329, -52
1, 43, 363, -54
1, 44, 1027, -179
1, 45, 446, -34
1, 46, 2147, -43
1,47, 317, 311
1, 48, 1335, -20
1, 49, 1005, -55
1, 50, 2117, -155
1, 51, 828, -159
1, 52, 911, -92
1, 53, 257, -65
1, 54, 1852, -56
1, 55, 880, -149
1, 56, 735, -22
1, 57, 2024, -103
1, 58, 2190, -116
1, 59, 2083, -210
1, 60, 2262, 38
1, 61, 2198, -41
1, 62, 2235, -130
1, 63, 955, -35
1, 64, 651, -45
1, 65, 571, -25
1, 66, 479, -35
1, 67, 1094, -75
1, 68, 1219, -60
1, 69, 914, -13
1, 70, 332, -11
1, 71, 331, -41
1, 72, 212, -81
1, 73, 1407, 0
2, 3, 1018, 34
2, 4, 462, 234
2, 5, 1243, 1
2, 6, 1104, -43
2, 7, 1643, -112
2, 8, 835, -24
2, 9, 151, -86
2, 10, 178, 177
2, 11, 864, -54
2, 12, 261, 93
2, 13, 353, -19
2, 14, 1044, 5
2, 15, 452, 38
2, 16, 576, 173
2, 17, 484, 36
2, 18, 768, -152
2, 19, 1040, 108
2, 20, 1337, -23
2, 21, 345, -35
2, 22, 564, 39
2, 23, 214, 12
2, 24, 133, -74
2, 25, 1871, -24
2, 26, 506, 226
2, 27, 449, 222
2, 28, 135, -56
2, 29, 969, -129
2, 30, 503, 1518
2, 31, 924, -93
2, 32, 574, 1006
2, 33, 512, 8
2, 34, 204, 34
2, 35, 1859, -60
2, 36, 1851, -22
2, 37, 606, 5
2, 38, 1860, -356
2, 39, 1053, -14
2, 40, 81, -114
2, 41, 1593, -141
2, 42, 107, -52
2, 43, 465, -40
2, 44, 1101, -40
2,45, 198, 33
2, 46, 1885, -169
2, 47, 580, 308
2, 48, 1167, -22
2, 49, 770, -24)
2, 50, 1854, 2
2, 51, 893, -91
2, 52, 811, -55
2, 53, 526, -76
2, 54, 1600, -72
2, 55, 919, -75
2, 56, 487, 0
2, 57, 1762, -74
2, 58, 1920, -76
2, 59, 1822, -135
2, 60, 1993, 72
2, 61, 1928, -39
2, 62, 1966, -92
2, 63, 702, -35
2, 64, 485, -50
2, 65, 332, -25
2, 66, 726, 1
2, 67, 885, -50
2, 68, 1029, -45
2, 69, 680, -43
2, 70, 569, -7
2, 71, 505, -31
2, 72, 122, -78
2, 73, 1226, -3
3, 4, 1473, -300
3, 5, 341, 172
3, 6, 777, 77
3, 7, 627, 117
3, 8, 620, 131
3, 9, 877, 132
3, 10, 1194, -237
3, 11, 634, 168
3, 12, 808, -144
3, 13, 985, -362
3, 14, 29, -437
3, 15, 1457, -336
3, 16, 444, -609
3, 17, 1407, -267
3, 18, 1429, -10
3, 19, 57, -267
3, 20, 554, 39
3, 21, 1344, -88
3, 22, 1582, -153
3, 23, 1073, -172
3, 24, 1130, -112
3, 25, 853, 137
3, 26, 1170, -381
3, 27, 1358, -378
3, 28, 1055, -203
3, 29, 844, 386
3, 30, 666, -278
3, 31, 1496, 270
3, 32, 1592, -614
3, 33, 535, -616
3, 34, 1007, -444
3, 35, 842, 51
3, 36, 1025, -25
3, 37, 411, -274
3, 38, 849, 621
3, 39, 439, 51
3, 40, 1091, 0
3, 41, 626, 152
3, 42, 965, 164
3, 43, 1321, 54
3, 44, 1681, 339
3, 45, 880, 101
3, 46, 1003, 58
3, 47, 1597, -130
3, 48, 908, 19
3, 49, 473, 146
3, 50, 848, 388
3, 51, 1515, 527
3, 52, 1051, 109
3, 53, 1543, 102
3, 54, 667, 63
3, 55, 1475, 409
3, 56, 683, 87
3, 57, 763, 97
3, 58, 913, 166
3, 59, 826, 431
3, 60, 983, -2
3, 61, 918, 97
3, 62, 952, 291
3, 63, 395, 127
3, 64, 849, 101
3, 65, 747, -26
3, 66, 1734, 71
3, 67, 616, 119
3, 68, 742,74
3, 69, 518, 118
3, 70, 1542, 8
3, 71, 1424, 11
3, 72, 1110, 68
3, 73, 869,6
4, 5, 1672, 22
4, 6, 1418, -39
4, 7, 2093, -6
4, 8, 1186, 14
4, 9, 613, -347
4, 10, 302, -418
4, 11, 1210, -56
4, 12, 713, -169
4, 13, 595, 443
4, 14, 1500, 285
4, 15, 35, 178
4, 16, 1037, 654
4, 17, 258, 355
4, 18, 683, 86
4, 19, 1491, 353
4, 20, 1736, -6
4, 21, 262, -229
4, 22, 161, -92
4, 23, 432, -40
4, 24, 343, -47
4, 25, 2327, 81
4, 26, 578, 45
4, 27, 282, 606
4, 28, 423, -161
4, 29, 1248, -7
4, 30, 947, -558
4, 31, 851, 13
4, 32, 167, -93
4, 33, 949, 488
4, 34, 493, 335
4, 35, 2310, -24
4, 36, 2304, -10
4, 37, 1064, 162
4, 38, 2307, -133
4, 39, 1450, -2
4, 40, 402, -45
4, 41, 2025, -126
4, 42, 509, -93
4, 43, 363, 23
4,44, 974, 21
4, 45, 642, -47
4, 46, 2343, -90
4, 47, 174, 85
4, 48, 1446, -9
4, 49, 1167, 17
4, 50, 2298, 30
4, 51, 792, -69
